R,side,crowd,h1,h4,year,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
-1.0029772197774571,-1,1,-1,-1,2021,0.02098413121747828,1,2.679985285749708,1,0
-1.0012404690832244,-1,1,-1,-1,2021,0.6799519625933603,3,2.7112858475621633,1,1
0.07996264112098292,1,-1,1,1,2021,0.3511816978634992,2,2.5047208162913375,1,1
-1.0018403688318518,-1,1,-1,-1,2021,0.16095646569323738,1,3.351542526495579,1,0
-1.0018120848098846,-1,1,1,1,2021,0.6145122203283653,1,5.37250381805989,-1,1
0.44606430152621357,-1,1,1,1,2021,0.0,1,3.902193101656327,-1,0
-1.0024536948574927,1,-1,1,1,2021,0.4949564356979975,4,2.762899268719352,1,1
2.2201382063146373,-1,1,-1,0,2021,0.0,1,2.9124538626766983,0,0
2.2201333456664956,-1,1,-1,-1,2021,0.06340402925298569,1,2.9911178575557464,1,0
-1.0013083831216554,1,-1,-1,-1,2021,0.3060618010397246,3,2.5271057958286067,-1,1
1.1094818028479254,1,-1,-1,-1,2021,0.4963132840553046,2,2.5721398795905897,-1,1
0.3896250004570025,-1,1,-1,-1,2021,0.8597925152217875,4,2.509843330292778,1,2
-1.0024257594443582,1,-1,1,1,2021,0.04375681752412306,1,4.7187982067947045,1,0
1.2002575913642608,1,-1,1,1,2021,0.41271983925648453,2,3.475582488179062,1,1
1.3667468476409619,-1,1,0,1,2021,0.1839680348710545,2,4.179277765506299,0,0
-1.0025563231629182,1,-1,-1,0,2021,1.4898061349693337,3,2.531762032623153,0,2
1.4770515509592461,1,-1,-1,-1,2021,0.028745678994625035,1,3.4064507897814917,-1,0
2.2194770952453267,1,-1,1,1,2021,0.048075003966156014,1,3.253667645837325,1,0
-1.0019033987387904,1,-1,0,1,2021,0.17250391318879457,1,2.867044843077619,0,0
1.1453365092371275,1,-1,-1,-1,2021,0.269648344144745,1,3.626689571442013,-1,1
0.9503793120166334,-1,1,0,1,2021,0.43991780342778714,2,2.856108693640917,0,1
-0.39318912531427963,-1,1,-1,-1,2021,0.627603546380839,4,3.326226637311568,1,1
-1.0027087940172303,1,-1,1,-1,2021,7.378906863788415e-05,1,2.9756107039858515,0,0
1.0824566395687607,-1,1,-1,-1,2021,0.015486455883639196,1,2.9283126970903703,1,0
-1.0023771016930538,-1,1,-1,-1,2021,1.7526680077738797,4,3.190331388953415,1,2
0.8708508845337457,-1,1,-1,-1,2021,0.021272637062754018,1,2.8327363251075472,1,0
0.7348192376195956,1,-1,1,1,2021,0.1901961640538955,1,3.0309739074435136,1,0
-1.0020071361466167,-1,1,1,1,2021,0.8384259972277835,1,2.740099828516349,-1,2
-0.06894249104603155,-1,1,1,1,2021,0.5838096793510955,2,3.9067455898433865,-1,1
-1.0018045246363012,-1,1,1,1,2021,0.5617612935972631,1,2.508225590254228,-1,1
-1.002339410924987,1,-1,1,1,2021,0.17380132470290607,1,2.6175528969910493,1,0
-0.12263713973395303,-1,1,1,1,2021,1.3075629008054672,4,2.5121212891699236,-1,2
0.3613109032445813,-1,1,-1,1,2021,0.31541130534257295,1,2.621483974844213,0,1
-1.0018008349402345,-1,1,-1,-1,2021,0.42289314430550584,1,3.087152022459684,1,1
-1.002538232430952,1,-1,1,0,2021,0.967653814602136,2,3.2804567700381084,0,2
-1.0017091802018654,-1,1,1,1,2021,0.0,1,2.656746819314264,-1,0
-0.17553871227617965,1,-1,1,1,2021,0.0826977877100285,1,2.6031578445759798,1,0
1.7584448166911386,1,-1,-1,1,2021,0.8702986652728756,4,3.1991707678135106,0,2
-1.0036292796950268,-1,1,1,1,2021,2.3207116900186215,2,3.8510051977585356,-1,2
1.112017670644366,-1,1,1,1,2021,1.7834716472152745,1,3.489761883272863,-1,2
0.25288546527204625,-1,1,0,1,2021,0.36675270017321854,2,3.0955188278210723,0,1
-1.002662010677363,1,-1,-1,-1,2021,0.02847832947411256,1,3.3438517739262683,-1,0
2.218890872080764,1,-1,1,1,2021,0.6688368988235837,2,3.683693943671308,1,1
0.5346304273304129,1,-1,1,1,2021,0.12638122639925395,1,2.8410587556555913,1,0
