entry_ts,R,side,crowd,h1,h4,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
1776416458,2.2163165445726745,1,-1,1,1,0.40883090817871,1,3.160127332405539,1,1
1776476805,2.217282555628636,-1,1,1,1,0.0765373232489493,1,2.7323255930413786,-1,0
1776551100,2.216606261565789,-1,1,-1,1,0.6473872584109343,4,2.571711566094692,0,1
1776643431,-1.0029579808165048,-1,1,-1,1,0.311503241074183,1,2.558902533554765,0,1
1776701337,0.21965055006296968,1,-1,0,1,0.12049247974666556,1,2.737358275028793,0,0
1776825127,0.8743031574074068,1,-1,1,1,0.0,1,2.8559823278565926,1,0
1776999084,-1.0042215082530837,1,-1,1,1,0.04370295862092855,1,2.7496359109343027,1,0
1777109924,-1.0128516790912356,-1,1,-1,1,0.42641107561223657,3,2.6539936654304155,0,1
1777186132,2.2160611656892386,1,-1,1,1,0.18865046272754812,1,2.615777572008927,1,0
1777309460,0.4725238687136813,-1,1,-1,0,0.2635771180304207,2,2.6763817771432605,0,1
1777539750,1.7908407904561892,1,-1,-1,-1,0.412233111655513,2,2.614004673781621,-1,1
1777642205,0.06358766504307989,1,-1,1,1,0.44150912243050133,2,3.3093938406237786,1,1
1777818058,2.2156432099562338,1,-1,1,1,0.38487196040461136,3,3.31548399750074,1,1
1777863740,-1.0025990734353,1,-1,1,1,0.0,1,3.133854165025253,1,0
1778080756,1.1761398401768373,-1,1,1,1,1.1247130833970962,2,3.4465968331888384,-1,2
1778250660,0.5540853877566851,1,-1,-1,1,0.6940254311095095,4,3.9216024344731277,0,1
1778351762,0.6119787609668341,1,-1,1,1,0.12217432446645034,1,2.7219051125532876,1,0
1778457320,-0.22842707283719849,1,-1,1,1,0.08666740144751098,1,2.75923194081414,1,0
1778554368,0.19121036148285275,-1,1,0,1,0.0004614674665033168,2,2.716361303179046,0,0
1778673855,2.216404153988227,-1,1,0,1,0.8392069461855841,2,4.194547693977042,0,2
1778742255,2.218100609384515,1,-1,-1,-1,0.2861891307960778,1,2.6031448588215915,-1,1
1778853731,0.9076055077699315,-1,1,-1,1,0.6073308212139313,1,3.7504611552570566,0,1
1778975368,-1.0129442608366546,1,-1,-1,-1,0.5232112436116727,2,2.8326039020811202,-1,1
1778980996,-1.0085498211473831,1,-1,-1,-1,1.3523232038355888,1,3.2662115620301395,-1,2
1779062520,-1.0033537464931936,1,-1,-1,-1,0.5089417738470662,1,7.703073385442617,-1,1
1779122185,-0.17528029448231727,-1,1,-1,-1,0.8011810168902965,2,2.5518891324709996,1,2
1779361975,0.004615386750555969,-1,1,1,-1,0.1359489408356026,1,2.6338555322873467,0,0
1779462345,2.217089737144711,-1,1,-1,-1,0.05230386052310899,1,2.667188249682897,1,0
1779526119,-1.005252196497164,-1,1,-1,-1,0.9235648588645339,3,4.430655649881837,1,2
1779550132,2.2165710925088407,1,-1,-1,-1,0.36909458289225455,1,2.7509304927289535,-1,1
1779670185,0.3222793723333576,-1,1,1,-1,0.20146008486416117,1,2.6384333184496507,0,0
1779760059,-1.0047465435878355,-1,1,0,1,0.7186195379904953,3,4.300503215652126,0,1
1779813042,0.7995608242595396,-1,1,-1,-1,0.03669247058008153,1,2.518539195592423,1,0
1779920215,2.2174768749061218,-1,1,-1,-1,1.7365941583712594,1,2.8620189171683332,1,2
1779978139,-0.47391267879212473,1,-1,-1,-1,3.250414593698153,3,2.775678953217147,-1,2
1780152300,-1.0101392651997998,1,-1,0,-1,0.6810610734114491,1,2.62877698863849,0,1
1780327833,2.2200915466734976,-1,1,-1,-1,0.5054957724827291,3,2.940403801046123,1,1
1780465968,2.220454680439625,-1,1,-1,-1,0.3432462573079796,2,2.559517561829695,1,1
1780579865,0.7097944215239602,-1,1,-1,-1,0.8670136687359007,3,3.4445742140744344,1,2
1780670083,-0.11496389753135693,-1,1,-1,-1,0.41822895891503215,1,3.668003388078909,1,1
1780813047,-1.003173006061138,-1,1,1,-1,0.6102232201822771,3,2.8932490835564257,0,1
1780871801,-0.043497543453072184,-1,1,-1,-1,1.4475086906141335,1,3.9276613274573986,1,2
1781104008,0.46064425708326723,1,-1,0,-1,0.5682635108149543,3,2.5449472042761396,0,1
1781337693,2.214568269890265,1,-1,1,-1,0.3175925925926101,1,2.9352923683007295,0,1
1781410266,-1.0078080558583826,1,-1,1,1,0.2518299330322227,1,2.6761987167133796,1,1
1781471646,-1.0060610217517625,-1,1,-1,0,0.32704708602020893,1,2.8239984565856004,0,1
1781475773,-1.0034751207332235,-1,1,0,0,1.9989038092628229,2,4.05540519886064,0,2
1781524313,-1.0046427270678313,-1,1,1,1,0.30227631282393946,1,4.6490709919983795,-1,1
1781571986,0.6928827247630065,-1,1,1,1,0.14857239113954465,1,3.210111622571199,-1,0
1781703150,-1.0039855210838167,-1,1,-1,0,0.3051996688610941,2,2.703816249382217,0,1
1781803966,-0.15596436621650214,-1,1,-1,-1,0.49021735064156985,4,3.3740873921867593,1,1
1781919024,-1.0056374386292062,-1,1,0,-1,2.104674390731104,4,3.694572366707187,0,2
1782093368,0.44315715475974465,-1,1,-1,-1,0.24098530939307816,1,4.558179358081167,1,0
1782273799,-1.0039736076236065,1,-1,-1,-1,1.69664112180008,4,2.7042232824267796,-1,2
1782401096,-0.33254318034740366,-1,1,-1,-1,2.272909646373928,4,3.4489350159147425,1,2
1782574668,1.575269044530924,-1,1,1,-1,0.02033722438393821,1,3.1441969596980686,0,0
1782669183,-1.0041677585474924,-1,1,-1,-1,1.4601033940211379,4,2.5553179204242795,1,2
1782786154,2.2175523066633245,-1,1,0,-1,1.5948833709555956,4,2.978061641472866,0,2
1782865155,-1.0048048847612816,1,-1,-1,-1,0.3220938209065367,4,2.5746833713855484,-1,1
1782916062,2.219315085058809,1,-1,0,-1,0.9763779527558945,1,2.663146816042586,0,2
1783042505,-1.004679255499155,-1,1,1,1,0.15374853572823147,1,4.366848662031246,-1,0
1783173686,-1.0098906777269798,-1,1,1,1,2.2439817166074394,4,3.2706264504120286,-1,2
1783181937,-1.006162390360097,-1,1,1,1,1.7310214375787938,4,4.473935496768548,-1,2
1783252869,2.217087952075461,1,-1,1,1,0.08710783021351871,1,2.54573747399017,1,0
1783337022,2.216948130128084,-1,1,0,1,1.5533739683909915,4,2.605858880733775,0,2
1783405716,-1.0036331328901917,-1,1,0,1,0.49051019275591484,2,3.0788400439246053,0,1
1783768653,-1.0117405594771214,1,-1,1,1,0.8054117647059131,3,2.6535687312908576,1,2
1783896908,-1.0072529364383367,-1,1,0,1,0.42560654779303214,1,3.141992050661847,0,1
1784012091,2.2167848266875216,1,-1,-1,-1,0.2689601250977431,2,2.6403419089839923,-1,1
1784036011,1.7799793047398602,1,-1,1,-1,0.0054814023847587065,1,4.0169979030107275,0,0
1784190204,-1.0049304868814979,-1,1,1,1,0.37995245641840564,2,2.8445541740707068,-1,1
1784247389,2.215890545459698,-1,1,-1,1,0.1624689153860613,1,3.560234535805541,0,0
1784465367,-1.0074552830344836,1,-1,1,1,0.6174936671136649,2,2.9255518012432287,1,1
1784548950,-1.0041651193850518,1,-1,-1,1,0.0,1,3.526492365565581,0,0
1784624513,-0.31249625555138544,1,-1,1,1,0.18944994361605508,1,2.8581275879179846,1,0
1784730725,-1.0053158074027737,-1,1,0,1,2.3719429701320824,3,3.1383152747594947,0,2
1784813426,-1.0056915668234436,-1,1,-1,1,0.4879419866209511,1,3.1770969381880794,0,1
1785049843,2.2102614232627196,1,-1,0,-1,2.1672240802675793,4,3.381569054646919,0,2
1785110603,-1.0054133468343598,1,-1,1,-1,0.4499040716265403,1,3.2777163148397572,0,1
1785194337,0.3789391630391676,-1,1,0,1,0.07760780342200306,1,3.176467784640184,0,0
1785382362,0.25388646993284647,1,-1,0,-1,0.305940633614303,2,2.8704619631729167,0,1
1785554538,2.2113724101958363,-1,1,-1,-1,0.733170947741287,3,3.220812305560903,1,1
1785640697,-0.4587336695386017,1,-1,-1,-1,0.6265243013010992,2,2.707895902805097,-1,1
1785734032,-1.0061023719242783,-1,1,-1,-1,0.0,1,2.5553559586841557,1,0
1785767781,0.3350877488256583,1,-1,0,-1,0.7724009571922317,1,3.4619574268122038,0,2
1785992376,1.0871473108402394,-1,1,1,1,0.3815580286168496,1,3.213636546193765,-1,1
1786096142,0.33431196839271493,1,-1,0,1,0.27254668255861686,1,3.9571174673776097,0,1
1786200442,2.2039351655230477,-1,1,1,1,1.5319609967496643,1,3.4858075359822864,-1,2
1786285060,-1.0157303623263292,1,-1,1,1,0.6341917468196857,2,2.8695267172601393,1,1
1786322888,1.6579351270092209,-1,1,1,1,3.5530706633100984,4,2.512575933226047,-1,2
1786498835,-1.0098131917513018,-1,1,-1,-1,0.0013850415512263983,1,2.662425420311347,1,0
1786531762,-1.0075057082119716,1,-1,0,-1,0.00105453449832753,1,3.1562865591312605,0,0
1786604621,-1.007043078462431,1,-1,0,-1,1.1832943345388098,4,2.9931594081421258,0,2
1786695397,-0.1934524339199094,-1,1,-1,-1,1.3636034470272853,4,4.730769758969334,1,2
1786830307,-1.0263458301284998,1,-1,-1,-1,0.3418298899918853,1,5.354098208608638,-1,1
1786922533,-1.0065570603264025,-1,1,-1,-1,0.7695917409666876,1,3.0745174251647356,1,2
1787092497,-1.011297564852289,-1,1,1,1,0.07242465137199712,1,2.9118417667907646,-1,0
1787147582,2.2157861063688102,1,-1,1,1,1.7560198751433402,1,3.5489809815818623,1,2
1787468292,1.0347207115617918,1,-1,1,1,1.043925507020266,4,2.55686604893643,1,2
1787625078,-1.003145060366233,1,-1,1,1,1.1905726938377144,4,2.723340966791152,1,2
1787672037,0.7840128345539229,-1,1,1,1,0.49138788945876416,3,2.8413559878827037,-1,1
1787762902,-1.0022157712501774,-1,1,-1,1,0.31647509578542576,4,2.8466242238303345,0,1
1788094899,-1.006171784715565,1,-1,-1,1,0.47521057144300305,1,3.4460140668489734,0,1
1788174339,-0.0019118871467923466,1,-1,1,1,0.8969447216767074,4,2.586489465025313,1,2
