flow_id,signal_time,side,origin,entry,atr14,reaccept_time,state,class_time,class_close,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr,audit_first_passage,plus05_time,second_fail_time
1731,2023-12-31 15:30:00+00:00,-1,42531.9,42477.2,109.39999999999938,2023-12-31 22:45:00+00:00,PERSIST2,2023-12-31 23:15:00+00:00,42211.2,-1.103290676416865,0.5,5.674588665447956,1.170932358318092,PLUS05_FIRST,2023-12-31 23:00:00+00:00,2024-01-01 01:45:00+00:00
1734,2024-01-02 06:45:00+00:00,1,45202.9,45274.69642857143,143.59285714285735,2024-01-02 15:30:00+00:00,SECOND_FAIL,2024-01-02 17:45:00+00:00,45001.2,1.3078644978361622,2.25,0.22006665671789233,2.139382181763943,PLUS05_FIRST,2024-01-02 16:45:00+00:00,2024-01-02 17:45:00+00:00
1747,2024-01-09 14:00:00+00:00,-1,46837.6,46658.31071428571,358.5785714285718,2024-01-09 18:00:00+00:00,PERSIST2,2024-01-09 18:30:00+00:00,46616.1,1.7823150933248282,0.5,4.138284097926336,6.132268281508334,PLUS05_FIRST,2024-01-09 21:15:00+00:00,
1759,2024-01-15 18:00:00+00:00,1,42722.9,42799.21071428571,152.62142857142786,2024-01-16 03:30:00+00:00,PERSIST2,2024-01-16 04:00:00+00:00,42937.5,-1.2914307109093428,0.5,1.5299293302756658,0.049141199045256934,PLUS05_FIRST,2024-01-16 03:45:00+00:00,
1769,2024-01-21 00:30:00+00:00,1,41643.1,41679.95357142857,73.70714285714244,2024-01-21 08:00:00+00:00,UNRESOLVED,2024-01-21 08:15:00+00:00,41692.5,0.6959976741932792,0.25,0.5074135090609782,1.8180056206996904,PLUS05_FIRST,2024-01-21 09:00:00+00:00,
1770,2024-01-21 12:30:00+00:00,1,41743.8,41772.87857142858,58.15714285714109,2024-01-21 21:45:00+00:00,SECOND_FAIL,2024-01-21 22:30:00+00:00,41706.7,-2.7098992876443706,0.75,4.24195529353975,0.32842053549507444,SECOND_FAIL_FIRST,,2024-01-21 22:30:00+00:00
1780,2024-01-26 14:30:00+00:00,1,41359.0,41468.36785714286,218.73571428571609,2024-01-26 16:00:00+00:00,PERSIST2,2024-01-26 16:30:00+00:00,41800.0,0.18698363974790702,0.5,0.5403781471442856,2.008359729614992,PLUS05_FIRST,2024-01-26 16:15:00+00:00,
1799,2024-02-06 07:00:00+00:00,1,42790.1,42826.3,72.40000000000042,2024-02-06 12:30:00+00:00,UNRESOLVED,2024-02-06 12:45:00+00:00,42777.0,4.544198895027598,0.25,2.0165745856353476,8.31215469613259,PLUS05_FIRST,2024-02-06 12:45:00+00:00,
1800,2024-02-06 19:00:00+00:00,1,43106.0,43168.61428571429,125.22857142857174,2024-02-07 01:00:00+00:00,SECOND_FAIL,2024-02-07 01:45:00+00:00,43028.2,-0.4328085785991087,0.75,2.114533424594986,0.629249372575883,SECOND_FAIL_FIRST,,2024-02-07 01:45:00+00:00
1801,2024-02-07 07:00:00+00:00,-1,42974.0,42940.45,67.10000000000062,2024-02-07 10:45:00+00:00,SECOND_FAIL,2024-02-07 12:45:00+00:00,43056.5,-7.9627421758569,2.0,9.712369597615366,2.3323397913561634,PLUS05_FIRST,2024-02-07 11:00:00+00:00,2024-02-07 12:45:00+00:00
1804,2024-02-08 21:45:00+00:00,1,45298.3,45378.703571428574,160.80714285714254,2024-02-09 01:45:00+00:00,PERSIST2,2024-02-09 02:15:00+00:00,45775.6,4.490472171634167,0.5,1.8531515124594715,6.030826633500674,PLUS05_FIRST,2024-02-09 02:00:00+00:00,
1807,2024-02-10 21:30:00+00:00,1,47906.7,47999.49642857142,185.59285714285733,2024-02-11 03:15:00+00:00,PERSIST2,2024-02-11 03:45:00+00:00,48517.1,-1.963437632298047,0.5,2.5264980949082148,0.44667667320941357,PLUS05_FIRST,2024-02-11 03:30:00+00:00,
1813,2024-02-15 15:15:00+00:00,-1,52240.8,52111.81428571429,257.9714285714285,2024-02-15 17:45:00+00:00,PERSIST2,2024-02-15 18:15:00+00:00,52011.6,-0.5659541477461515,0.5,1.243548565732651,2.6231587108206784,PLUS05_FIRST,2024-02-15 18:00:00+00:00,
1821,2024-02-21 11:00:00+00:00,-1,51237.1,51137.575,199.04999999999927,2024-02-21 13:15:00+00:00,SECOND_FAIL,2024-02-21 16:45:00+00:00,51371.6,-1.3986435568952649,3.5,1.683998995227358,3.559909570459689,PLUS05_FIRST,2024-02-21 13:30:00+00:00,2024-02-21 16:45:00+00:00
1822,2024-02-21 23:00:00+00:00,1,51650.0,51731.92857142857,163.85714285714286,2024-02-22 06:30:00+00:00,PERSIST2,2024-02-22 07:00:00+00:00,51763.3,-0.4387968613775154,0.5,0.9483870967742024,1.9205754141237834,PLUS05_FIRST,2024-02-22 06:45:00+00:00,
1825,2024-02-23 14:45:00+00:00,-1,51157.1,51058.17857142857,197.84285714285733,2024-02-23 18:00:00+00:00,SECOND_FAIL,2024-02-23 18:30:00+00:00,51194.7,1.8236695790309532,0.5,0.1713481117770308,3.4471803018268434,SECOND_FAIL_FIRST,2024-02-23 22:15:00+00:00,2024-02-23 18:30:00+00:00
1826,2024-02-24 17:45:00+00:00,1,51570.8,51616.51785714286,91.43571428571418,2024-02-24 22:00:00+00:00,PERSIST2,2024-02-24 22:30:00+00:00,51644.6,0.5960471838137652,0.5,1.958753222404486,3.337864229357133,PLUS05_FIRST,2024-02-24 22:15:00+00:00,2024-02-25 00:15:00+00:00
