signal_ts,baseline_R,side,signal_atr,entry_move_atr,pre_entry_mfe_atr,pre_entry_mae_atr,ORACLE_EARLY_0.10_filled,ORACLE_EARLY_0.10_R,ORACLE_EARLY_0.15_filled,ORACLE_EARLY_0.15_R,ORACLE_EARLY_0.20_filled,ORACLE_EARLY_0.20_R,ORACLE_EARLY_0.25_filled,ORACLE_EARLY_0.25_R,ORACLE_EARLY_0.30_filled,ORACLE_EARLY_0.30_R,RETRACE_0.10_filled,RETRACE_0.10_R,RETRACE_0.20_filled,RETRACE_0.20_R,RETRACE_0.30_filled,RETRACE_0.30_R
1774074900,-1.0078381454312348,1,100.29285714285756,0.4207677515846142,0.4207677515846142,0.036891959262131645,True,-1.0078352428206263,True,-1.0078352428206263,True,-1.007836627653932,True,-1.007836627653932,True,-1.0078381454312348,True,-1.0078370343201237,True,-1.0078359232090126,True,-1.0078348120979015
1774271400,-0.029680914278740044,1,650.1785714285714,0.30283987915406957,0.302993683054106,0.00968964570173477,True,0.016838456101804525,True,0.004601942567670664,True,0.017076506942537154,True,0.007335106228447618,True,-0.029680914278740044,True,-0.05291517806463596,True,-0.03349449357624726,False,
1774371900,-1.001901387980271,-1,403.9785714285733,0.3653659140336065,0.3653659140336065,0.0,True,-1.001901387980271,True,-1.001901387980271,True,-1.001901387980271,True,-1.001901387980271,True,-1.001901387980271,True,-1.001902499091382,True,-1.0019036102024932,True,-1.0019047213136043
1774405200,0.13052057108603904,1,233.028571428571,0.305971064247193,0.305971064247193,0.39480137322216846,True,0.27928803675549896,True,0.27928803675549896,True,0.2881561815432518,True,0.27213463162769913,True,0.13052057108603904,True,0.22178646340799318,True,0.24400979674132792,True,0.26508877826822436
1774524600,2.218831575558425,-1,226.79285714285652,0.327170797770137,0.35186293345086456,0.6093666341218129,True,2.2188293905003866,True,2.21882967955515,True,2.2188302233700425,True,2.2188309386581,True,2.218831575558425,True,2.218830464447314,True,2.218829353336203,True,2.218828242225092
1774846200,-1.0026785481519285,1,280.3214285714317,0.3057204739457118,0.37778060899480337,0.06956300165626117,True,-1.0026763284778015,True,-1.0026768516867028,True,-1.0026776008267206,True,-1.0026780804348803,True,-1.0026785481519285,True,-1.0026774370408174,True,-1.0026763259297062,False,
1774923300,-1.0025673748189154,1,294.192857142858,0.3188384684487914,0.3473911671158266,0.010537305460480581,True,-1.0025651993752074,True,-1.0025655468419108,True,-1.0025663437492414,True,-1.0025668158507404,True,-1.0025673748189154,True,-1.0025662637078043,True,-1.0025651525966932,True,-1.002564041485582
1774977000,0.4543655840182282,1,505.8142857142863,0.308018188493806,0.336487135312249,0.044680430423345296,True,0.5075710164029066,True,0.49957489102908026,True,0.4842414064387726,True,0.46798545767785593,True,0.4543655840182282,False,,False,,False,
1775297100,-1.0120241123292866,1,61.892857142857146,0.6608193883440533,0.8724754760530871,0.9177149451818127,True,-1.0120183317304534,True,-1.0120189780085838,True,-1.0120241123292866,True,-1.0120241123292866,True,-1.0120241123292866,False,,False,,False,
1775413200,2.2182897677291176,1,190.1857142857147,0.3186359197776143,0.3186359197776143,0.01840306467362724,True,2.2182920987839765,True,2.2182914152415742,True,2.2182909829156103,True,2.2182904103758205,True,2.2182897677291176,False,,False,,False,
1775572500,-1.0027460347130315,-1,275.1357142857149,0.3176614138477425,0.3176614138477425,0.119940808432202,True,-1.0027480458417384,True,-1.0027473068125148,True,-1.0027473068125148,True,-1.0027466687435675,True,-1.0027460347130315,True,-1.0027471458241426,True,-1.0027482569352537,True,-1.0027493680463648
