month,trades,net40_r,expectancy_net40,parent
2025-12,10,0.5924557319098647,0.059245573190986466,P0_BASELINE_E75
2026-01,4,-0.3678595730755534,-0.09196489326888835,P0_BASELINE_E75
2026-02,8,1.6971651544483002,0.21214564430603752,P0_BASELINE_E75
2026-03,4,-4.133516293633788,-1.033379073408447,P0_BASELINE_E75
2026-04,0,0.0,,P0_BASELINE_E75
2026-05,0,0.0,,P0_BASELINE_E75
2026-06,0,0.0,,P0_BASELINE_E75
2023-01,35,-14.145516539549686,-0.40415761541570533,P1_PULLBACK_D14
2023-02,6,1.8422070377886557,0.3070345062981093,P1_PULLBACK_D14
2023-03,17,-3.4883100693622193,-0.20519470996248348,P1_PULLBACK_D14
2023-04,17,-1.4307102973453039,-0.08415942925560611,P1_PULLBACK_D14
2023-05,14,-9.173481147302965,-0.6552486533787832,P1_PULLBACK_D14
2023-06,0,0.0,,P1_PULLBACK_D14
2023-07,17,-1.2525037163096067,-0.07367668919468275,P1_PULLBACK_D14
2023-08,3,-1.5405786078101724,-0.5135262026033908,P1_PULLBACK_D14
2023-09,4,-3.74962296141857,-0.9374057403546425,P1_PULLBACK_D14
2023-10,12,-7.1098450880848265,-0.5924870906737355,P1_PULLBACK_D14
2023-11,31,-16.531722914890892,-0.5332813843513191,P1_PULLBACK_D14
2023-12,26,-12.464897050518083,-0.47941911732761855,P1_PULLBACK_D14
2024-01,12,-1.9820175300886382,-0.16516812750738652,P1_PULLBACK_D14
2024-02,12,-8.342480652594684,-0.695206721049557,P1_PULLBACK_D14
2024-03,21,-1.9452112478492694,-0.0926291070404414,P1_PULLBACK_D14
2024-04,20,-1.0560022300069338,-0.05280011150034669,P1_PULLBACK_D14
2024-05,16,-8.43035222973718,-0.5268970143585737,P1_PULLBACK_D14
2024-06,3,-0.8790291857986692,-0.2930097285995564,P1_PULLBACK_D14
2024-07,14,0.2955228085862813,0.02110877204187724,P1_PULLBACK_D14
2024-08,32,-11.221701257413851,-0.35067816429418286,P1_PULLBACK_D14
2024-09,20,0.5600652121001144,0.02800326060500572,P1_PULLBACK_D14
2024-10,38,-0.8563072227886079,-0.02253440059970021,P1_PULLBACK_D14
2024-11,5,-3.027982018932807,-0.6055964037865614,P1_PULLBACK_D14
2024-12,3,-2.0820060719335816,-0.6940020239778605,P1_PULLBACK_D14
2025-01,32,-1.4383003085944888,-0.044946884643577774,P1_PULLBACK_D14
2025-02,34,11.112646281403254,0.326842537688331,P1_PULLBACK_D14
2025-03,26,-1.9954686109759312,-0.0767487927298435,P1_PULLBACK_D14
2025-04,19,1.592719360177122,0.08382733474616431,P1_PULLBACK_D14
2025-05,20,-0.2734151036010206,-0.013670755180051031,P1_PULLBACK_D14
2025-06,20,-9.713865115543438,-0.48569325577717193,P1_PULLBACK_D14
2025-07,20,-4.85737212846699,-0.24286860642334948,P1_PULLBACK_D14
2025-08,16,-8.07823387303418,-0.5048896170646362,P1_PULLBACK_D14
2025-09,26,8.148610158713113,0.31340808302742745,P1_PULLBACK_D14
2025-10,18,8.76262376333638,0.48681243129646556,P1_PULLBACK_D14
2025-11,13,3.3179124705813567,0.25522403619856593,P1_PULLBACK_D14
2025-12,35,4.223861040442639,0.12068174401264682,P1_PULLBACK_D14
2026-01,23,3.1757121620457323,0.13807444182807532,P1_PULLBACK_D14
2026-02,21,9.448662956216257,0.44993633124839316,P1_PULLBACK_D14
2026-03,10,-2.7909971208470044,-0.2790997120847004,P1_PULLBACK_D14
2026-04,0,0.0,,P1_PULLBACK_D14
2026-05,0,0.0,,P1_PULLBACK_D14
2026-06,0,0.0,,P1_PULLBACK_D14
2023-01,5,-3.465274170114431,-0.6930548340228861,P2_G1_D14
