period,candidate_time,side_name,R,anchor_high,anchor_low,resolution_1m,resolution_3m,resolution_5m,resolution_minute_3m,resolution_close_3m,mfe_15m,mae_15m,mfe_60m,mae_60m,ret_60m,impulse60,delayed_release_R,delayed_minus_original_R
historical,2021-09-18 04:30:00,BUY,2.4102049332406965,48100.0,47999.98,RELEASE,RELEASE,RELEASE,1.0,48131.46,1.517295590171033,-0.11180621124949487,2.2140494983650982,-0.11180621124949487,1.5089605901477845,1,2.5237198590367864,0.1135149257960899
historical,2021-10-05 08:45:00,BUY,-1.0105880198914268,49877.55,49649.19,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.0057285985537108,0.6031430533672664,2.504536823819338,1.3980204419666344,2.252397689168982,0,,
historical,2021-10-11 07:35:00,BUY,-1.0070272498971649,57026.46,56691.18,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.6145009778553693,1.434813949013689,0.6145009778553693,2.5653526166606184,-1.52841237066033,0,,
historical,2021-10-18 09:55:00,SELL,2.057675669893576,61727.21,61202.77,RELEASE,RELEASE,RELEASE,1.0,61068.5,1.789129876063729,-0.0005497172882364841,1.789129876063729,0.5415964646753094,-0.09852433034439495,1,-1.0050864257905423,-3.062762095684118
historical,2021-10-20 05:40:00,SELL,-1.0135850962454813,63880.32,63600.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.8000731846769759,0.9611892510005656,0.8000731846769759,3.734293882218432,-1.216631217838756,0,,
historical,2021-10-28 03:20:00,SELL,-1.0065131135461625,59119.55,58843.11,UNRESOLVED,RELEASE,RELEASE,2.0,58784.44,0.42079096777478886,0.26169011672177417,0.42079096777478886,1.3151904974621087,-0.45588388461599183,0,-1.0063493920113151,0.00016372153484733865
historical,2021-11-24 02:45:00,SELL,-1.0072067966527039,56577.46,56257.31,RELEASE,RELEASE,RELEASE,1.0,56249.8,0.47443332690413254,0.5521862392035493,0.47443332690413254,0.6889011601639113,-0.3213688401795504,0,-1.0069355943010867,0.00027120235161715023
historical,2021-12-07 12:40:00,BUY,2.334135820598728,50806.53,50639.0,UNRESOLVED,UNRESOLVED,RELEASE,,,0.8428159949865228,0.2532117720786684,1.3656900790590218,0.2532117720786684,0.5987152911685404,1,,
historical,2021-12-15 10:10:00,BUY,-1.0075614361944647,48598.86,48454.6,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.11955451593757198,1.5122228816813836,0.11955451593757198,2.020256258073532,-1.496582061934863,0,,
historical,2021-12-29 12:50:00,BUY,2.296853648583579,46967.72,46864.6,UNRESOLVED,UNRESOLVED,REJECTION,,,0.20121210339623505,0.4728330099751198,0.6577547180904252,1.1948919199639516,0.5926274325357009,0,,
historical,2022-01-20 14:50:00,BUY,2.075817317039178,42858.41,42706.92,UNRESOLVED,UNRESOLVED,RELEASE,,,2.1978556875110153,0.060547320901667416,3.9346712671602884,0.060547320901667416,2.4148973288706466,1,,
historical,2022-01-21 01:10:00,SELL,2.300883306304965,40879.64,40620.24,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.061724040632054195,0.41290443942813815,2.284824115876605,0.41290443942813815,1.903898607975928,1,,
historical,2022-02-02 14:20:00,SELL,2.3180754439839135,38411.99,38265.0,UNRESOLVED,UNRESOLVED,RELEASE,,,3.8811361078030067,0.38918707277682874,5.784437520052658,0.38918707277682874,5.1440146608588755,1,,
historical,2022-02-21 01:05:00,SELL,-1.0057705608025107,38733.5,38525.0,UNRESOLVED,REJECTION,REJECTION,2.0,38819.5,-0.4343204738274457,2.36478309588603,-0.4343204738274457,3.4127101008484297,-2.326684808708184,0,,
historical,2022-02-28 08:10:00,BUY,-1.0052896361115677,38666.6,38363.5,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.06191162996382405,0.8501721212681734,0.13353488815730566,1.4644326067917912,-0.25614419455626863,0,,
historical,2022-03-04 00:10:00,SELL,2.0738688962942895,42515.0,42230.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.6098652015971596,0.3623044822720768,4.750307724638972,0.4766279383950343,4.538052778528312,1,,
historical,2022-03-10 05:10:00,SELL,0.3991651527587705,39526.3,39090.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.12995896032831755,0.7149110807113632,1.3712722298221554,0.7149110807113632,-0.20820793433652163,0,,
historical,2022-03-14 06:30:00,BUY,1.4924828202775313,38764.4,38520.5,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.34944639481499734,0.46178773967053505,1.4804212800431928,0.5892519578719848,0.9986497434512585,0,,
historical,2022-03-20 01:50:00,BUY,-0.4910074523507843,41983.0,41799.7,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.3030738657984674,0.21783434104267807,0.6132510253266127,1.013995179907838,-0.9175087734133812,0,,
historical,2022-03-25 11:00:00,BUY,1.9963759983387566,44328.3,44111.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.8826210569068782,0.2160747326142684,2.770431878694876,0.2160747326142684,2.433683830497738,1,,
historical,2022-04-01 02:25:00,SELL,-1.0066518029931326,44933.2,44732.9,RELEASE,RELEASE,RELEASE,1.0,44623.9,0.9087195121951281,0.12847560975609135,2.2481097560975796,0.12847560975609135,1.4486585365853721,1,-1.0063489288617915,0.0003028741313411132
historical,2022-05-24 09:15:00,BUY,-1.0124455644671206,29298.3,29135.6,RELEASE,RELEASE,RELEASE,1.0,29321.0,0.9388537154281895,0.26007997334221045,0.9388537154281895,0.8373875374874946,0.03148950349884217,0,-1.0113988115072612,0.0010467529598594538
historical,2022-05-29 03:05:00,SELL,-1.0150043568618692,28908.4,28873.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.1979514584724542,1.0895123580494495,0.1979514584724542,1.7971498552661243,-1.161211311511907,0,,
historical,2022-07-03 18:00:00,BUY,2.8328398681499527,19270.0,19132.8,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.4024068767908426,0.6402292263609912,1.4024068767908426,0.6402292263609912,0.24710601719199837,0,,
historical,2022-07-18 00:40:00,SELL,-1.007552114717612,20903.0,20816.6,UNRESOLVED,UNRESOLVED,RELEASE,,,0.7245801526717499,0.05129770992369537,0.7245801526717499,1.521832061068722,-1.1264122137404766,0,,
