signal_ts,entry_ts,exit_ts,side,entry_price,atr,horizon_min,rejection_minute,rejection_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1704339300,1704340200,1704340920,1,43110.8,160.50714285714275,15,12,43026.1,43162.1,43039.6,-0.3607546200287962,-1.0089530387314094,0.6481984187026132,0.6481984187026132,0.0,1704354300,INITIAL_STOP,0.17320101464106588,0.8965333095990484,-0.7526144808864945,0.17320101464106588,0.8965333095990484,-0.13581950068979615,0.6566685950780649,0.8965333095990484,0.46166169729873185,1.116461216679258,0.8965333095990484,0.28783765742510775,historical
1704415800,1704416400,1704416940,1,44207.5,196.56428571428583,15,9,44125.8,44231.9,44137.9,-0.2845901013844879,-1.0074966992502157,0.7229065978657278,0.7229065978657278,0.0,1704417600,INITIAL_STOP,0.3891856535484572,0.5458773938006614,-0.3561175914822484,0.3891856535484572,1.9505069224899223,-1.5776009302663532,0.3891856535484572,9.70420436789127,-4.237799338638756,0.3891856535484572,9.70420436789127,-3.566772048402912,historical
1704585600,1704586800,1704587340,1,43989.9,106.5714285714291,15,9,43933.1,44044.3,43956.8,-0.36907637622879214,-1.0137591286863352,0.6446827524575431,0.6446827524575431,0.0,1704595200,INITIAL_STOP,0.4325737265415392,0.7788203753351168,0.25522788203750496,2.346782841823031,0.7788203753351168,2.275469168900793,2.608579088471837,0.7788203753351168,0.7975871313672883,2.608579088471837,0.7788203753351168,0.7168900804289645,historical
1704588000,1704588600,1704589080,1,44232.4,106.79285714285808,15,8,44125.5,44240.0,44143.0,-0.6811418099123836,-1.013806291663888,0.3326644817515043,0.3326644817515043,0.0,1704589500,INITIAL_STOP,0.3324192361714906,1.8774663902079962,-1.395224399705693,0.3324192361714906,1.8774663902079962,-1.4748177379439373,0.3324192361714906,2.1293558959266887,-1.8662296836332126,0.3324192361714906,3.822353019864899,-3.3560296970102175,historical
1704683100,1704684600,1704685200,-1,43276.3,191.0999999999996,15,10,43396.5,43338.7,43211.0,-0.4268753357753265,-1.0075486307343522,0.5806732949590256,0.5806732949590256,0.0,1704687000,INITIAL_STOP,0.1480900052328779,1.1093668236525402,-1.0538984824698827,0.1480900052328779,1.43223443223442,-1.1805337519623182,0.1480900052328779,1.656200941915231,-1.2626896912610996,0.1480900052328779,1.9031920460491778,-1.1114599686027977,historical
1704946500,1704947400,1704947640,1,46497.8,193.0928571428563,15,4,46454.1,46498.0,46463.3,-0.15890416897867146,-1.0080268462003266,0.8491226772216551,0.8491226772216551,0.0,1704951600,INITIAL_STOP,0.06680723560090233,0.4288092331594887,-0.26878259904561963,0.06680723560090233,0.4950985832131422,-0.4811156734361802,0.06680723560090233,1.4195242851330219,-0.8964598823660311,0.06680723560090233,4.597270003329307,-3.785225465172221,historical
1704957600,1704958800,1704958860,-1,46036.1,200.35714285714388,15,1,46055.4,46055.0,45957.3,-0.07187766369579066,-1.007659006535953,0.9357813428401623,0.9357813428401623,0.0,1704964200,INITIAL_STOP,0.13426024955437377,0.2854901960784517,-0.19165775401070148,0.13426024955437377,0.32991087344027625,-0.26852049910874753,0.13426024955437377,1.317147950089127,-1.0601069518716595,0.13426024955437377,1.5866666666666658,-0.9473083778966228,historical
1705043100,1705043700,1705043940,-1,45907.1,144.11428571428613,15,4,46000.1,45986.0,45900.5,-0.4408323321437999,-1.0106182163626607,0.5697858842188608,0.5697858842188608,0.0,1705057200,INITIAL_STOP,0.04926645519428001,0.9353687549564014,-0.7355273592386974,0.34070182394923554,0.9353687549564014,-0.3504163362410775,1.3385210150674132,0.9353687549564014,0.41703013481362866,1.9227795400475658,0.9353687549564014,1.1907216494845225,historical
1705050900,1705051500,1705051980,-1,45671.9,183.5642857142853,15,8,45771.1,45743.5,45632.2,-0.36856695591267163,-1.00829353411936,0.6397265782066883,0.6397265782066883,0.0,1705052700,INITIAL_STOP,0.7866453947624519,1.1086034476049678,-1.1080586793260543,0.7866453947624519,2.276586637612372,-1.9731507062531504,0.7866453947624519,2.276586637612372,-1.4926650842445266,0.7866453947624519,2.6045371415230147,-2.5228218996848106,historical
1705108800,1705110300,1705110780,1,42831.4,458.5142857142855,15,8,42703.2,42848.0,42718.0,-0.18951291749751392,0.46026690968759987,-0.6497798271851138,0.0,0.6497798271851138,1705131900,TIME_EXIT,0.08549351944166866,0.43291999002991044,-0.31253115653041524,0.08549351944166866,0.5258287637088704,0.06739157527418067,0.08549351944166866,0.5258287637088704,-0.2525548354935259,0.08549351944166866,0.8411951645064905,-0.532589730807587,historical
