signal_time,dir,entry_delta,sl_delta,tp_delta,exit_match,r_net_delta
2026-02-26 13:30:00,BUY,0.000000,-0.004107,-0.001786,True,0.000245
2026-03-05 17:45:00,BUY,0.000000,-0.001071,0.002143,True,-0.000169
2026-03-05 20:30:00,BUY,0.000000,-0.000893,0.001786,True,0.000231
2026-03-06 01:45:00,SELL,0.000000,0.000357,-0.000714,True,0.000472
2026-03-09 14:00:00,BUY,0.000000,0.001607,-0.003214,True,0.000461
2026-03-10 12:45:00,BUY,0.000000,-0.002143,0.004286,True,0.000331
2026-03-12 12:15:00,SELL,0.000000,-0.002500,0.005000,True,0.000242
2026-03-16 00:45:00,BUY,0.000000,0.000179,-0.000357,True,-0.000332
2026-03-17 17:45:00,BUY,0.000000,0.001250,-0.002500,True,0.000010
2026-04-09 21:00:00,SELL,0.000000,-0.000179,0.000357,True,-0.000382
2026-04-10 12:00:00,BUY,0.000000,0.003393,0.003214,True,0.000124
2026-04-15 04:30:00,SELL,0.000000,0.001250,-0.002500,True,-0.000212
