split,rr,cost_bps,n,tp_rate,sl_rate,time_rate,gross_ev_R,net_ev_R,profit_factor,cum_net_R,max_consecutive_losses,max_dd_R,mean_mfe_R,mean_mae_R,median_duration_h,max_overlap,risk_load_025_pct,risk_load_050_pct,equity_return_025_pct,equity_maxdd_025_pct,equity_return_050_pct,equity_maxdd_050_pct
DEV_2021_2024,2.0,5.0,77,0.35064935064935066,0.6103896103896104,0.03896103896103896,0.10430529644060177,0.04174909140976947,1.0643952419400684,3.2146800385522494,7,13.231653655616498,1.4573996259382518,1.1389400609609648,0.75,2,0.5,1.0,0.7583592360312696,3.261671645999189,1.4249936116680129,6.432195631632251
DEV_2021_2024,2.0,10.0,77,0.35064935064935066,0.6103896103896104,0.03896103896103896,0.10430529644060177,-0.02080711362106286,0.9696831418601577,-1.60214774882184,7,14.463307311232997,1.4573996259382518,1.1389400609609648,0.75,2,0.5,1.0,-0.4476357478299442,3.5597644741629693,-0.9883524098867835,7.009276604241264
OOS_2026,1.5,0.0,14,0.6428571428571429,0.35714285714285715,0.0,0.6071428571428571,0.6071428571428571,2.7,8.5,2,2.0,1.4400882390619516,0.9512038502847728,0.5,1,0.25,0.5,2.1396925782148912,0.4993749999999908,4.308787479527076,0.997500000000006
OOS_2026,1.5,2.0,14,0.6428571428571429,0.35714285714285715,0.0,0.6071428571428571,0.5754754296278647,2.558295330600684,8.056656014790105,2,2.1121252102757637,1.4400882390619516,0.9512038502847728,0.5,1,0.25,0.5,2.026693452917705,0.527334421316142,4.0784097212818615,1.0532750801267925
OOS_2026,1.5,5.0,14,0.6428571428571429,0.35714285714285715,0.0,0.6071428571428571,0.5279742883553761,2.36240584981261,7.391640036975265,2,2.2803130256894093,1.4400882390619516,0.9512038502847728,0.5,1,0.25,0.5,1.8574073271890423,0.5692667920540895,3.7337081250730764,1.1369106553717017
OOS_2026,1.5,10.0,14,0.6428571428571429,0.35714285714285715,0.0,0.6071428571428571,0.44880571956789506,2.0739064316022255,6.283280073950531,2,2.5606260513788186,1.4400882390619516,0.9512038502847728,0.5,1,0.25,0.5,1.575829762377623,0.6391360466538113,3.1615053007806537,1.2762311609258434
OOS_2026,2.0,0.0,14,0.5714285714285714,0.42857142857142855,0.0,0.7142857142857143,0.7142857142857143,2.6666666666666665,10.0,3,3.0,1.6880880722548963,1.0185584723700503,0.625,1,0.25,0.5,2.5193679940152425,0.7481265624999738,5.077437871357948,1.4925125000000035
OOS_2026,2.0,2.0,14,0.5714285714285714,0.42857142857142855,0.0,0.7142857142857143,0.6826182867707218,2.536911300948521,9.556656014790105,3,3.160044583274602,1.6880880722548963,1.0185584723700503,0.625,1,0.25,0.5,2.405943701320612,0.787932754675492,4.845339310412355,1.571716029818385
OOS_2026,2.0,5.0,14,0.5714285714285714,0.42857142857142855,0.0,0.7142857142857143,0.6351171454982333,2.358491558933271,8.891640036975266,3,3.4001114581865037,1.6880880722548963,1.0185584723700503,0.625,1,0.25,0.5,2.236020625178292,0.8476227400248386,4.498062986655249,1.690444317771386
OOS_2026,2.0,10.0,14,0.5714285714285714,0.42857142857142855,0.0,0.7142857142857143,0.5559485767107522,2.0977115080710322,7.78328007395053,3,3.800222916373008,1.6880880722548963,1.0185584723700503,0.625,1,0.25,0.5,1.953383608315007,0.9470545853029996,3.9215861690255593,1.8881195326924787
