flow_id,signal_time,passage_time,side,signal_close,entry,atr14,frozen_residual12_atr,time_only_net_atr,post_mae_atr,post_mfe_atr,time_to_mae_h,time_to_mfe_h,fp_fav05_time,fp_fav10_time,fp_fav15_time,mae_ge_05,mae_ge_10,mae_ge_15,mae_ge_20,wick_origin_any,origin_close1_trigger,origin_close1_time,origin_close1_net_atr,origin_close2_trigger,origin_close2_time,origin_close2_net_atr,entry_close2_trigger,entry_close2_time,entry_close2_net_atr,hard_sl15_trigger,hard_sl15_time,hard_sl15_net_atr
20,2021-01-11 02:15:00+00:00,2021-01-11 02:30:00+00:00,1,36720.73,37038.78928571429,636.1185714285712,-6.191910537792824,-6.221023655181091,9.263429100145304,0.2534287183656218,11.75,0.0,,,,True,True,True,True,True,True,2021-01-11 02:45:00+00:00,-1.0064769511748737,True,2021-01-11 03:00:00+00:00,-2.085222378240357,True,2021-01-11 03:00:00+00:00,-2.085222378240357,True,2021-01-11 03:00:00+00:00,-1.5291131173882706
22,2021-01-12 02:15:00+00:00,2021-01-12 02:30:00+00:00,1,33925.99,34220.824642857144,589.6692857142859,-2.0847018365015733,-2.1137188003081624,2.2569000541465742,4.193223925759839,11.75,5.0,2021-01-12 02:45:00+00:00,2021-01-12 03:15:00+00:00,2021-01-12 04:00:00+00:00,True,True,True,True,True,True,2021-01-12 13:45:00+00:00,-1.5081251079600329,True,2021-01-12 14:00:00+00:00,-0.6578858091763313,True,2021-01-12 13:45:00+00:00,-1.5081251079600329,True,2021-01-12 13:45:00+00:00,-1.5290169638065911
24,2021-01-13 03:00:00+00:00,2021-01-13 03:15:00+00:00,1,34085.22,34410.66785714286,650.8957142857151,0.035846207533795,0.009412888722574453,2.432291106541092,1.4053282619335534,2.25,8.25,2021-01-13 07:15:00+00:00,2021-01-13 07:45:00+00:00,,True,True,True,True,True,True,2021-01-13 03:15:00+00:00,-0.7481431823618808,True,2021-01-13 03:30:00+00:00,-0.8539973130433395,True,2021-01-13 03:30:00+00:00,-0.8539973130433395,True,2021-01-13 04:30:00+00:00,-1.5264333188112214
25,2021-01-13 16:15:00+00:00,2021-01-13 16:30:00+00:00,1,34484.07,34655.813214285714,343.4864285714289,7.679449801510134,7.629002665420332,0.6824817366458645,10.531847796024373,0.0,7.5,2021-01-13 16:45:00+00:00,2021-01-13 17:00:00+00:00,2021-01-13 18:15:00+00:00,True,False,False,False,True,False,2021-01-14 04:15:00+00:00,7.629002665420332,False,2021-01-14 04:15:00+00:00,7.629002665420332,False,2021-01-14 04:15:00+00:00,7.629002665420332,False,2021-01-14 04:15:00+00:00,7.629002665420332
26,2021-01-14 04:15:00+00:00,2021-01-14 04:30:00+00:00,1,37293.6,37469.80642857143,352.41285714285704,6.44185796691381,6.388696162982544,0.7001913340278557,7.717038457328865,0.0,11.0,2021-01-14 05:00:00+00:00,2021-01-14 05:45:00+00:00,2021-01-14 06:15:00+00:00,True,False,False,False,True,False,2021-01-14 16:15:00+00:00,6.388696162982544,False,2021-01-14 16:15:00+00:00,6.388696162982544,False,2021-01-14 16:15:00+00:00,6.388696162982544,False,2021-01-14 16:15:00+00:00,6.388696162982544
28,2021-01-15 05:30:00+00:00,2021-01-15 05:45:00+00:00,-1,38509.99,38357.10357142857,305.7728571428571,8.600578861059324,8.537857297200063,1.6119692021622136,12.68622600342924,4.25,10.25,2021-01-15 05:45:00+00:00,2021-01-15 05:45:00+00:00,2021-01-15 05:45:00+00:00,True,True,True,False,True,True,2021-01-15 07:45:00+00:00,-0.5634410521815995,True,2021-01-15 08:30:00+00:00,-0.6723127169561082,True,2021-01-15 08:30:00+00:00,-0.6723127169561082,True,2021-01-15 10:00:00+00:00,-1.5627215638592498
30,2021-01-16 05:30:00+00:00,2021-01-16 06:00:00+00:00,1,35781.33,35999.762500000004,436.86500000000007,2.500171677749409,2.4589692897119146,0.35199088963411207,4.578616964050669,0.0,4.0,2021-01-16 06:15:00+00:00,2021-01-16 07:00:00+00:00,2021-01-16 07:00:00+00:00,False,False,False,False,False,False,2021-01-16 17:30:00+00:00,2.4589692897119146,False,2021-01-16 17:30:00+00:00,2.4589692897119146,False,2021-01-16 17:30:00+00:00,2.4589692897119146,False,2021-01-16 17:30:00+00:00,2.4589692897119146
31,2021-01-16 17:30:00+00:00,2021-01-16 17:45:00+00:00,-1,37092.0,36902.9875,378.02499999999935,3.1851795516169603,3.136369304278821,0.8091594471265134,4.065835592884083,0.5,4.25,2021-01-16 18:45:00+00:00,2021-01-16 18:45:00+00:00,2021-01-16 19:00:00+00:00,True,False,False,False,True,True,2021-01-16 18:15:00+00:00,-0.635920888168766,False,2021-01-17 05:30:00+00:00,3.136369304278821,True,2021-01-16 18:15:00+00:00,-0.635920888168766,False,2021-01-17 05:30:00+00:00,3.136369304278821
34,2021-01-18 05:30:00+00:00,2021-01-18 05:45:00+00:00,1,35322.13,35482.015,319.7699999999999,0.6102354817525162,0.5547549566876258,1.218203708915778,6.460659223817129,1.0,6.5,2021-01-18 07:00:00+00:00,2021-01-18 07:00:00+00:00,2021-01-18 07:00:00+00:00,True,True,False,False,True,True,2021-01-18 06:15:00+00:00,-0.6660912765425069,True,2021-01-18 06:30:00+00:00,-1.0781374347187025,True,2021-01-18 06:00:00+00:00,-0.5012227773086789,False,2021-01-18 17:30:00+00:00,0.5547549566876258
36,2021-01-19 05:30:00+00:00,2021-01-19 06:00:00+00:00,1,36285.48,36398.243571428575,225.52714285714268,3.969661554833435,3.888965628147385,0.6910191361191964,6.929349650659715,0.0,10.0,2021-01-19 06:00:00+00:00,2021-01-19 06:30:00+00:00,2021-01-19 06:30:00+00:00,True,False,False,False,True,False,2021-01-19 17:30:00+00:00,3.888965628147385,False,2021-01-19 17:30:00+00:00,3.888965628147385,False,2021-01-19 17:30:00+00:00,3.888965628147385,False,2021-01-19 17:30:00+00:00,3.888965628147385
37,2021-01-19 18:00:00+00:00,2021-01-19 18:15:00+00:00,-1,36980.0,36827.93714285715,304.1257142857129,4.58217466461242,4.521627437901661,1.0524031415579946,6.832494081394956,0.25,10.0,2021-01-19 18:45:00+00:00,2021-01-19 19:00:00+00:00,2021-01-19 19:15:00+00:00,True,True,False,False,True,True,2021-01-19 18:15:00+00:00,-0.8818946018563771,False,2021-01-20 06:00:00+00:00,4.521627437901661,True,2021-01-19 18:30:00+00:00,-0.5324338525421621,False,2021-01-20 06:00:00+00:00,4.521627437901661
40,2021-01-21 07:00:00+00:00,2021-01-21 07:15:00+00:00,1,34724.99,34862.823214285716,275.6664285714292,-10.408460795008438,-10.471694507207188,13.894195365516786,0.7634835580269068,7.25,0.25,2021-01-21 07:30:00+00:00,,,True,True,True,True,True,True,2021-01-21 07:45:00+00:00,-0.7195095424594342,True,2021-01-21 08:00:00+00:00,-1.6078295358261734,True,2021-01-21 08:00:00+00:00,-1.6078295358261734,True,2021-01-21 08:00:00+00:00,-1.5632337121987598
41,2021-01-21 19:15:00+00:00,2021-01-21 20:00:00+00:00,-1,32585.16,32317.476785714287,535.3664285714286,2.0556701484830864,2.0254875715964946,0.466957210882266,6.420792567974139,0.0,5.25,2021-01-21 20:45:00+00:00,2021-01-21 21:30:00+00:00,2021-01-21 21:45:00+00:00,False,False,False,False,False,False,2021-01-22 07:15:00+00:00,2.0254875715964946,False,2021-01-22 07:15:00+00:00,2.0254875715964946,False,2021-01-22 07:15:00+00:00,2.0254875715964946,False,2021-01-22 07:15:00+00:00,2.0254875715964946
43,2021-01-22 19:15:00+00:00,2021-01-22 19:30:00+00:00,-1,33593.5,33420.300357142856,346.3992857142865,1.026792986623599,0.9785534235883734,1.1871261281881467,3.928906361156287,0.75,7.0,2021-01-22 21:45:00+00:00,2021-01-22 22:45:00+00:00,2021-01-22 22:45:00+00:00,True,True,False,False,True,True,2021-01-22 19:45:00+00:00,-0.5929567453124858,True,2021-01-22 20:30:00+00:00,-0.6523102164306769,True,2021-01-22 20:00:00+00:00,-0.2863163901484383,False,2021-01-23 07:15:00+00:00,0.9785534235883734
44,2021-01-23 07:15:00+00:00,2021-01-23 07:30:00+00:00,-1,33064.62,32912.39464285714,304.45071428571435,1.888465409601835,1.8344133198899182,0.8591057431298872,4.951194305435316,0.0,5.5,2021-01-23 07:30:00+00:00,2021-01-23 09:15:00+00:00,2021-01-23 09:15:00+00:00,True,False,False,False,True,False,2021-01-23 19:15:00+00:00,1.8344133198899182,False,2021-01-23 19:15:00+00:00,1.8344133198899182,False,2021-01-23 19:15:00+00:00,1.8344133198899182,False,2021-01-23 19:15:00+00:00,1.8344133198899182
47,2021-01-24 20:30:00+00:00,2021-01-24 21:15:00+00:00,1,31665.52,31776.690714285716,222.34142857142905,7.641937432134584,7.570478210795459,0.8798662289014975,9.383763067097533,0.0,6.75,2021-01-24 21:45:00+00:00,2021-01-24 22:30:00+00:00,2021-01-24 22:30:00+00:00,True,False,False,False,True,False,2021-01-25 08:30:00+00:00,7.570478210795459,False,2021-01-25 08:30:00+00:00,7.570478210795459,True,2021-01-24 21:30:00+00:00,-0.35620469001985705,False,2021-01-25 08:30:00+00:00,7.570478210795459
49,2021-01-25 21:45:00+00:00,2021-01-25 22:00:00+00:00,-1,32732.55,32558.286785714285,348.5264285714288,2.137074048493964,2.090365557951127,0.8471185829318121,4.148054974310197,3.75,9.25,2021-01-25 22:00:00+00:00,2021-01-25 22:15:00+00:00,2021-01-25 22:15:00+00:00,True,False,False,False,True,True,2021-01-26 01:45:00+00:00,-0.6355109383998371,False,2021-01-26 09:45:00+00:00,2.090365557951127,True,2021-01-26 01:45:00+00:00,-0.6355109383998371,False,2021-01-26 09:45:00+00:00,2.090365557951127
50,2021-01-26 12:15:00+00:00,2021-01-26 12:45:00+00:00,-1,31627.93,31465.07,325.71999999999986,-2.6038008105120998,-2.6521016056735878,4.558915633059072,2.0111445413238362,10.25,2.0,2021-01-26 12:45:00+00:00,2021-01-26 14:30:00+00:00,2021-01-26 14:45:00+00:00,True,True,True,True,True,True,2021-01-26 13:45:00+00:00,-0.8580146598305346,True,2021-01-26 15:45:00+00:00,-0.969091658479682,True,2021-01-26 13:45:00+00:00,-0.8580146598305346,True,2021-01-26 16:00:00+00:00,-1.5483007951614833
52,2021-01-27 12:15:00+00:00,2021-01-27 12:30:00+00:00,1,30593.52,30758.01785714286,328.9957142857144,-1.6907145989743757,-1.7374599158912263,4.614096145412232,2.7861522295123238,2.25,8.5,2021-01-27 13:00:00+00:00,2021-01-27 20:15:00+00:00,2021-01-27 20:15:00+00:00,True,True,True,True,True,True,2021-01-27 13:45:00+00:00,-1.501256231084208,True,2021-01-27 14:00:00+00:00,-1.0742597873615383,True,2021-01-27 12:45:00+00:00,-0.05400333590971821,True,2021-01-27 13:45:00+00:00,-1.5467453169168492
55,2021-01-29 01:15:00+00:00,2021-01-29 01:30:00+00:00,-1,33953.58,33787.53428571429,332.091428571428,-10.950676233739436,-11.00154706535207,13.759601486681829,5.503105857251036,8.0,6.0,2021-01-29 03:30:00+00:00,2021-01-29 04:00:00+00:00,2021-01-29 04:00:00+00:00,True,True,True,True,True,True,2021-01-29 02:00:00+00:00,-0.5704136425424896,True,2021-01-29 02:15:00+00:00,-0.9054117497762983,True,2021-01-29 01:45:00+00:00,-0.5272327629224298,True,2021-01-29 08:45:00+00:00,-1.5508708316126423
58,2021-01-30 13:15:00+00:00,2021-01-30 13:45:00+00:00,1,33936.67,34095.95357142857,318.56714285714304,0.0644022116889651,0.010887663286968705,1.7127741628811,2.301858320963973,2.5,8.25,2021-01-30 13:45:00+00:00,2021-01-30 14:00:00+00:00,2021-01-30 21:45:00+00:00,True,True,True,False,True,True,2021-01-30 16:00:00+00:00,-0.9837221296698822,True,2021-01-30 16:15:00+00:00,-1.6336949992600711,True,2021-01-30 16:15:00+00:00,-1.6336949992600711,True,2021-01-30 16:15:00+00:00,-1.5535145484019897
60,2021-01-31 13:45:00+00:00,2021-01-31 14:00:00+00:00,-1,33725.83,33614.86928571429,221.92142857142764,0.7196208439280556,0.643884873990175,0.6314429173774394,6.406903987897941,0.0,4.0,2021-01-31 14:30:00+00:00,2021-01-31 14:30:00+00:00,2021-01-31 15:00:00+00:00,True,False,False,False,True,False,2021-02-01 01:45:00+00:00,0.643884873990175,False,2021-02-01 01:45:00+00:00,0.643884873990175,False,2021-02-01 01:45:00+00:00,0.643884873990175,False,2021-02-01 01:45:00+00:00,0.643884873990175
64,2021-02-02 13:45:00+00:00,2021-02-02 14:15:00+00:00,-1,34901.89,34791.76285714286,220.25428571428503,-5.230895458496035,-5.3098763571975365,7.248336338517828,2.060177197784388,10.75,0.25,2021-02-02 14:15:00+00:00,2021-02-02 14:15:00+00:00,2021-02-02 14:30:00+00:00,True,True,True,True,True,True,2021-02-02 15:00:00+00:00,-0.601636530503691,True,2021-02-02 16:30:00+00:00,-1.3662073512433646,True,2021-02-02 15:00:00+00:00,-0.601636530503691,True,2021-02-02 15:15:00+00:00,-1.5789808987014904
65,2021-02-03 01:45:00+00:00,2021-02-03 02:45:00+00:00,1,35943.89,36060.14607142857,232.5121428571422,2.224760918784588,2.1472162675067743,1.9842235582166228,3.6768571226694773,6.5,1.75,2021-02-03 03:15:00+00:00,2021-02-03 03:45:00+00:00,2021-02-03 03:45:00+00:00,True,True,True,False,True,True,2021-02-03 02:45:00+00:00,-0.669539846613235,True,2021-02-03 09:15:00+00:00,-0.8606696493578027,True,2021-02-03 09:15:00+00:00,-0.8606696493578027,True,2021-02-03 09:00:00+00:00,-1.5775446512778237
66,2021-02-03 13:45:00+00:00,2021-02-03 14:00:00+00:00,1,36577.43,36705.62321428571,256.3864285714283,5.924599028809767,5.8530164114715415,1.1446519065807321,6.564726514942596,0.5,11.75,2021-02-03 15:15:00+00:00,2021-02-03 15:30:00+00:00,2021-02-03 16:00:00+00:00,True,True,False,False,True,True,2021-02-03 14:30:00+00:00,-0.8150822454107959,False,2021-02-04 01:45:00+00:00,5.8530164114715415,True,2021-02-03 14:15:00+00:00,-0.4721623783574427,False,2021-02-04 01:45:00+00:00,5.8530164114715415
74,2021-02-07 17:45:00+00:00,2021-02-07 18:00:00+00:00,1,37916.75,38103.19178571428,372.8835714285721,1.6501885881652012,1.5990959754768286,0.9645149673298917,2.903689776778276,2.0,6.0,2021-02-07 18:45:00+00:00,2021-02-07 19:00:00+00:00,2021-02-07 21:45:00+00:00,True,False,False,False,True,False,2021-02-08 05:45:00+00:00,1.5990959754768286,False,2021-02-08 05:45:00+00:00,1.5990959754768286,False,2021-02-08 05:45:00+00:00,1.5990959754768286,False,2021-02-08 05:45:00+00:00,1.5990959754768286
76,2021-02-08 18:45:00+00:00,2021-02-08 19:00:00+00:00,1,42770.0,43030.86892857143,521.7378571428562,9.926634612620203,9.88539659592326,0.6269219764167306,10.00335896653083,0.75,11.75,2021-02-08 20:00:00+00:00,2021-02-08 20:30:00+00:00,2021-02-08 20:30:00+00:00,True,False,False,False,True,False,2021-02-09 06:45:00+00:00,9.88539659592326,False,2021-02-09 06:45:00+00:00,9.88539659592326,False,2021-02-09 06:45:00+00:00,9.88539659592326,False,2021-02-09 06:45:00+00:00,9.88539659592326
77,2021-02-09 06:45:00+00:00,2021-02-09 07:00:00+00:00,-1,48209.97,47978.16714285714,463.6057142857145,1.8721450493645997,1.8204004680701498,0.6216335309561095,6.29957106408154,0.0,6.0,2021-02-09 07:00:00+00:00,2021-02-09 07:30:00+00:00,2021-02-09 08:15:00+00:00,True,False,False,False,True,False,2021-02-09 18:45:00+00:00,1.8204004680701498,False,2021-02-09 18:45:00+00:00,1.8204004680701498,False,2021-02-09 18:45:00+00:00,1.8204004680701498,False,2021-02-09 18:45:00+00:00,1.8204004680701498
78,2021-02-09 19:45:00+00:00,2021-02-09 20:00:00+00:00,-1,47162.5,46943.72928571429,437.5414285714277,0.6098149073230631,0.5561700108397912,1.4999053150885253,2.865395603355125,0.5,8.0,2021-02-09 22:00:00+00:00,2021-02-09 23:00:00+00:00,2021-02-09 23:00:00+00:00,True,True,False,False,True,True,2021-02-09 20:30:00+00:00,-0.9891465142892596,True,2021-02-09 20:45:00+00:00,-0.573757277678195,True,2021-02-09 20:15:00+00:00,-0.1303706922446515,False,2021-02-10 07:45:00+00:00,0.5561700108397912
79,2021-02-10 08:00:00+00:00,2021-02-10 08:15:00+00:00,-1,46667.01,46508.97607142857,316.06785714285746,4.437484039367676,4.36390968655013,3.0563814280387267,8.665784924123432,2.0,7.5,2021-02-10 12:00:00+00:00,2021-02-10 12:00:00+00:00,2021-02-10 12:30:00+00:00,True,True,True,True,True,True,2021-02-10 08:45:00+00:00,-1.0785292110645275,True,2021-02-10 09:00:00+00:00,-1.3138900625995709,True,2021-02-10 08:30:00+00:00,-0.3520712849862656,True,2021-02-10 09:15:00+00:00,-1.5735743528175483
82,2021-02-11 21:00:00+00:00,2021-02-11 21:15:00+00:00,-1,47300.0,47071.64964285714,456.7007142857146,-0.4221590882431578,-0.4736935485258375,4.833209776330553,1.1053401649407812,2.75,0.0,2021-02-11 21:15:00+00:00,2021-02-11 21:15:00+00:00,,True,True,True,True,True,True,2021-02-11 22:15:00+00:00,-0.5776566002899726,True,2021-02-11 22:30:00+00:00,-1.055168443776098,True,2021-02-11 22:15:00+00:00,-0.5776566002899726,True,2021-02-11 22:45:00+00:00,-1.551534460282676
88,2021-02-14 23:15:00+00:00,2021-02-14 23:30:00+00:00,-1,49036.57,48923.8425,225.45500000000015,4.043700516732828,3.935200278326052,0.7813421747133621,15.855192832272504,1.0,2.75,2021-02-14 23:30:00+00:00,2021-02-14 23:30:00+00:00,2021-02-14 23:30:00+00:00,True,False,False,False,True,False,2021-02-15 11:15:00+00:00,3.935200278326052,False,2021-02-15 11:15:00+00:00,3.935200278326052,False,2021-02-15 11:15:00+00:00,3.935200278326052,False,2021-02-15 11:15:00+00:00,3.935200278326052
93,2021-02-17 13:45:00+00:00,2021-02-17 14:15:00+00:00,-1,51235.0,51050.18392857143,369.63214285714326,-3.247244847676739,-3.316300238171149,4.733939147994618,0.5831579659313911,6.0,0.25,2021-02-17 14:30:00+00:00,,,True,True,True,True,True,True,2021-02-17 14:45:00+00:00,-0.9046052131945761,True,2021-02-17 15:00:00+00:00,-1.2541419147414923,True,2021-02-17 15:00:00+00:00,-1.2541419147414923,True,2021-02-17 15:00:00+00:00,-1.5690553904944133
99,2021-02-21 01:15:00+00:00,2021-02-21 01:45:00+00:00,1,55987.52,56275.49607142857,575.952142857143,1.6752675383495472,1.6264132222667378,0.6215552383444493,3.0142676784901536,6.25,8.5,2021-02-21 02:00:00+00:00,2021-02-21 03:00:00+00:00,2021-02-21 10:00:00+00:00,True,False,False,False,True,False,2021-02-21 13:15:00+00:00,1.6264132222667378,False,2021-02-21 13:15:00+00:00,1.6264132222667378,False,2021-02-21 13:15:00+00:00,1.6264132222667378,False,2021-02-21 13:15:00+00:00,1.6264132222667378
105,2021-02-24 02:00:00+00:00,2021-02-24 02:15:00+00:00,-1,50298.69,49930.28785714286,736.8042857142864,0.6119777882477087,0.5780947823903673,2.0430013397626405,1.1119477356848027,7.25,11.25,2021-02-24 06:15:00+00:00,2021-02-24 13:30:00+00:00,,True,True,True,True,True,True,2021-02-24 03:00:00+00:00,-0.6446994079645028,True,2021-02-24 03:45:00+00:00,-1.3467854436049067,True,2021-02-24 02:30:00+00:00,-0.2150873574684507,True,2021-02-24 04:00:00+00:00,-1.5338830058573414
107,2021-02-25 02:15:00+00:00,2021-02-25 02:30:00+00:00,1,50528.79,50760.15642857143,462.7328571428557,0.3340881656494233,0.27923993556912385,4.714353854275699,2.9710524122218116,7.0,10.5,2021-02-25 12:45:00+00:00,2021-02-25 12:45:00+00:00,2021-02-25 12:45:00+00:00,True,True,True,True,True,True,2021-02-25 03:15:00+00:00,-1.3125640364851092,True,2021-02-25 03:30:00+00:00,-0.8749897495623778,True,2021-02-25 03:00:00+00:00,-0.4912910403410829,True,2021-02-25 04:00:00+00:00,-1.5548482300803017
116,2021-03-01 18:30:00+00:00,2021-03-01 19:00:00+00:00,1,48459.99,48669.80107142857,419.6221428571423,0.4626041115221002,0.40461169870512703,1.8559579962244939,3.698491500005958,1.5,5.25,2021-03-01 20:15:00+00:00,2021-03-01 22:30:00+00:00,2021-03-01 22:30:00+00:00,True,True,True,False,True,True,2021-03-01 19:15:00+00:00,-0.9405032090945672,True,2021-03-01 19:30:00+00:00,-1.5149247550091767,True,2021-03-01 19:15:00+00:00,-0.9405032090945672,True,2021-03-01 20:30:00+00:00,-1.5579924128169804
117,2021-03-02 07:00:00+00:00,2021-03-02 07:15:00+00:00,1,48408.26,48578.60571428572,340.69142857142754,-3.626054578084928,-3.6973487194109715,4.17725717448553,3.334731051139704,11.75,7.0,2021-03-02 07:15:00+00:00,2021-03-02 08:15:00+00:00,2021-03-02 08:30:00+00:00,True,True,True,True,True,True,2021-03-02 07:45:00+00:00,-0.7569460089565804,True,2021-03-02 16:45:00+00:00,-3.069273041378052,True,2021-03-02 16:45:00+00:00,-3.069273041378052,True,2021-03-02 16:30:00+00:00,-1.5712941413260333
118,2021-03-02 19:00:00+00:00,2021-03-02 19:15:00+00:00,1,47343.24,47570.27,454.0600000000003,4.203673523322909,4.151290281020129,1.128066775316035,4.601021891380006,1.5,11.75,2021-03-02 19:30:00+00:00,2021-03-02 23:00:00+00:00,2021-03-02 23:00:00+00:00,True,True,False,False,True,True,2021-03-02 20:30:00+00:00,-0.6230126745364013,False,2021-03-03 07:00:00+00:00,4.151290281020129,True,2021-03-02 20:00:00+00:00,-0.37187846319869533,False,2021-03-03 07:00:00+00:00,4.151290281020129
