impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,tail_cont,tail_rev,p_cont,p_rev,router_conf,router_side,selected_top20,selected_rev,bucket,is_fresh_aug,signal_id,aligned_ret30d,eff30d,rv30d,oriented_pos30d,aligned_ret60d,eff60d,rv60d,oriented_pos60d,aligned_ret90d,eff90d,rv90d,oriented_pos90d,rv30_90_ratio,accept_rate_10,accept_rate_20,mean_cont_10,mean_cont_20,same_dir_accept_rate_10,same_dir_mean_cont_10,accept_ewm20,accept_streak_signed,known_impulses_30d,filled,signal_net_R,gross_R,cost_R,outcome,fill_time,stop_frac
1.0,1.1317852154928723,2.9688956976684873,-0.08792861356921872,-0.13170695597689389,-0.3896113988877086,0.2558189166694583,-0.0007585020001084193,0.25881904510252074,0.9659258262890683,25963,2021-09-29 01:00:00+00:00,DEV_2021_2024,41596.21,41799.0,41531.03,41777.17,43275.07,0.03585475891611578,0.03585475891611578,-0.03585475891611578,1,0,0.19611773662039036,0.37695103734710783,0.37695103734710783,REV,True,True,2021,False,198,-0.17711813134894952,0.024666388547384736,0.0038738894277168083,0.09300675675675665,0.03911261604989173,0.0027564297074220666,0.0036156579326038505,0.22493632636826139,0.15907665930579248,0.007531198147744507,0.003599658020381214,0.48899627781067584,1.0761826278448952,0.5,0.6,-0.006783523976898531,0.004164861297195882,0.5,-0.00429792859986039,0.018780060134557925,1.0,31.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-4.590199984880706,-3.049024390383724,-3.703429412144133,-2.902010031132647,2.3047371167955806,5.168308211614366,-0.048726951844423994,0.7518398074789774,0.6593458151000688,30572,2021-11-16 03:15:00+00:00,DEV_2021_2024,61786.47,61806.95,60501.0,60882.33,59501.21,-0.022685071349930364,0.022685071349930364,-0.022685071349930364,1,0,0.26696351118755085,0.3577916728043834,0.3577916728043834,REV,True,True,2021,False,230,-0.018614728692044044,0.002874434245490131,0.0032110235987788897,0.6224212880143112,-0.262818435867677,0.018972966629768388,0.0035127809402927127,0.23668945578231282,-0.3270935390163708,0.016189980035102663,0.003452800936714029,0.23668945578231282,0.9299764619024824,0.4,0.45,-0.0056943766791610175,-0.002777630151693805,0.6,-0.0005552251276308761,-0.1998950352165673,-1.0,21.0,False,0.0,0.0,0.0,NO_FILL,,
1.0,0.4836824167913967,3.0159216216718767,0.028927420893967118,-1.885187446517571,-0.051525702048327945,0.4677529255741822,-0.05753324121162552,-0.6087614290087209,0.7933533402912349,30645,2021-11-16 21:30:00+00:00,DEV_2021_2024,60393.02,60700.0,60321.05,60489.99,59916.8,-0.009475782687350387,-0.009475782687350387,0.009475782687350387,0,0,0.20088803987370177,0.3595465278816468,0.3595465278816468,REV,True,True,2021,False,232,-0.002859427865629103,0.00043198430763128254,0.0032998297762084,0.13654203935599293,0.2344765504303653,0.016742933647769045,0.0035568902479911606,0.6716510204081633,0.26428488846027137,0.013027617163434792,0.0034753186944149754,0.6716510204081633,0.949504222882179,0.4,0.45,-0.0056943766791610175,-0.002777630151693805,0.3,-0.008398764791827796,-0.1998950352165673,-1.0,21.0,True,-1.0800626269956464,-1.0,0.08006262699564648,SL,2021-11-16 22:15:00+00:00,0.006245111093184442
1.0,5.155479469277847,3.6796958716781605,1.8839820617663756,-1.2749662907002686,1.8494208290454706,3.665215012921596,-0.02971698798744881,0.8314696123025451,-0.5555702330196023,30880,2021-11-19 08:15:00+00:00,DEV_2021_2024,56377.79,57373.72,56377.79,57358.37,58474.04,0.019451044276719287,0.019451044276719287,-0.019451044276719287,0,0,0.26665623553513074,0.33350686454825096,0.33350686454825096,REV,True,True,2021,False,235,-0.13301009994973348,0.019755990700985448,0.0033507465709378607,0.03202985074626844,0.20144217816201337,0.014104197345725534,0.003611780816558861,0.5588163265306122,0.13601828930315368,0.006654791915039928,0.0035033392438175996,0.5588163265306122,0.9564436492557717,0.4,0.35,-0.0030464455217207196,-0.0053042084210942475,0.2,-0.008941217336412243,-0.4758748619400372,-3.0,23.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-0.81370148494047,-3.018597778132655,-1.9089983044255467,-0.22440223317024893,0.5042717300924544,0.21329411368758971,-0.07017255243568289,0.6087614290087207,0.7933533402912352,31337,2021-11-24 02:30:00+00:00,DEV_2021_2024,56423.65,56555.2,56244.5,56267.79,57599.06,0.023659357572181516,-0.023659357572181516,0.023659357572181516,0,1,0.14209536526294775,0.35393016036723357,0.35393016036723357,REV,True,True,2021,False,241,0.07371999794431372,0.011032277309577667,0.0033567435072132546,0.8505342395673464,-0.29773637507742234,0.021730006823407994,0.00344327354915751,0.4119596460176992,-0.15756440979518802,0.007636014708173235,0.003552889841005578,0.3958455782312925,0.9447924527440997,0.4,0.4,-0.0006434116695079872,-0.0031688941743345024,0.4,-0.0018067408136976048,-0.235575016461826,-2.0,25.0,False,0.0,0.0,0.0,NO_FILL,,
1.0,0.8256924395085176,2.7692253978203474,-1.4633044316254185,-1.7190848980621694,0.34076263027372367,0.1778630289317909,0.007016837411857083,-0.6087614290087209,0.7933533402912349,32277,2021-12-03 21:30:00+00:00,DEV_2021_2024,53714.11,53949.99,53650.9,53860.84,48722.17,-0.09540642143717026,-0.09540642143717026,0.09540642143717026,0,1,0.24440215986210126,0.3694295224555961,0.3694295224555961,REV,True,True,2021,False,250,-0.17068350222707884,0.024811972691532912,0.0033644253770046674,0.07116512702078533,0.07496295472895559,0.0054513014647486575,0.0034024679355856417,0.21309475535746364,0.058215988271880834,0.002758495194778015,0.0036127142724223893,0.452808843537415,0.931273586368833,0.2,0.3,-0.012263851182364349,-0.007950990965873855,0.3,-0.008198111155941313,-0.6360629707043097,-4.0,25.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-2.645537027382447,-3.2096258106396136,-2.246972648559138,-2.4156149255587867,0.9722168605584118,1.7189625956675425,0.013698306266426577,0.8314696123025451,0.5555702330196024,32302,2021-12-04 03:45:00+00:00,DEV_2021_2024,52467.29,52555.64,52000.0,52000.0,49170.79,-0.05440806645998719,0.05440806645998719,-0.05440806645998719,1,0,0.22091887573908728,0.3942235990009408,0.3942235990009408,REV,True,True,2021,False,251,0.1634119190252041,0.02359902404635299,0.0033802435265079004,0.91729792147806,-0.07398302000626367,0.005371687782429517,0.0034077106357458292,0.797890719164323,-0.057093049607820266,0.0027001000950623586,0.003617303270834658,0.5403945578231293,0.9344650623468299,0.2,0.3,-0.012263851182364349,-0.007950990965873855,0.4,-0.0009265253372187198,-0.6360629707043097,-4.0,25.0,True,-1.046542887481103,-1.0,0.04654288748110292,SL,2021-12-04 04:45:00+00:00,0.01074277998336496
-1.0,0.8882316644709115,-2.4069835449713732,-0.9519335512556354,-5.492927547420951,1.076233026671192,1.3198424785132397,0.07576179555185203,0.06540312923014312,-0.9978589232386035,32334,2021-12-04 11:45:00+00:00,DEV_2021_2024,46331.58,46783.45,46250.0,46489.67,49242.58,0.059215748190027506,-0.059215748190027506,0.059215748190027506,0,1,0.2634210446976428,0.46205634402195367,0.46205634402195367,REV,True,True,2021,False,252,0.2674362369769492,0.03711994269486138,0.0038173022033191613,0.8011007529713295,0.05402271114085297,0.003846954073778211,0.003629770751136874,0.8011007529713295,0.05695181770337801,0.0026578933747343266,0.0037603611478210976,0.7356965986394559,1.0151424433078875,0.2,0.3,-0.012263851182364349,-0.007950990965873855,0.4,-0.0009265253372187198,-0.6360629707043097,-4.0,25.0,False,0.0,0.0,0.0,NO_FILL,,
1.0,1.0853445301031972,2.588534583458689,-0.37074984763927066,0.13146515711151868,-0.251581404908606,0.5516861492020303,0.031814733784819714,0.25881904510252074,0.9659258262890683,32963,2021-12-11 01:00:00+00:00,DEV_2021_2024,47746.28,48053.65,47655.45,47952.6,49366.59,0.02948724365310751,0.02948724365310751,-0.02948724365310751,1,0,0.2044293583221842,0.37297733857696297,0.37297733857696297,REV,True,True,2021,False,259,-0.31806728806827755,0.041376710406453056,0.004044081066588423,0.20448357315445917,-0.19101948384346887,0.013254140289960283,0.0037103687683045926,0.18480612747549047,0.04081356191236062,0.0018824853560711057,0.003753317732316077,0.25136088435374154,1.0774683506724925,0.4,0.3,0.0003031279234318784,-0.0060735230738623025,0.3,-0.015202299750590342,-0.32336852482471273,-2.0,29.0,True,-1.0604617026619783,-1.0,0.06046170266197824,SL,2021-12-11 01:30:00+00:00,0.00826969764307396
-1.0,-0.32451303061795767,-2.4565374172170555,-1.2053029958470793,-1.1016615266789713,0.44721269698711674,-0.34789875319749114,-0.02449687572597885,-0.19509032201612792,-0.9807852804032305,34738,2021-12-29 12:45:00+00:00,DEV_2021_2024,46886.74,46982.93,46808.3,46824.23,47514.17,0.014734679032629039,-0.014734679032629039,0.014734679032629039,0,0,0.1501740789162082,0.35384365629032793,0.35384365629032793,REV,True,True,2021,False,268,0.17527494583251418,0.023420083495631856,0.00389111345583679,0.6659629998562007,0.25485418170610635,0.018076562117210315,0.003595008624350528,0.7874920832453696,-0.1028468121467287,0.0048856435778193265,0.003572040358133383,0.7874920832453696,1.089325165931256,0.5,0.45,0.0050352136479580815,0.00266917078569498,0.3,0.00769514878378198,0.08248998555076932,2.0,23.0,True,1.3661830298345052,1.5,0.1338169701654948,TP,2021-12-29 13:15:00+00:00,0.00373644687502368
-1.0,-0.7559262019633509,-2.690735144550849,-1.4417840521748777,-0.24594146309373596,0.47620996927318865,0.353577530678044,-0.01355188726924182,0.8660254037844386,0.5000000000000001,36719,2022-01-19 04:00:00+00:00,DEV_2021_2024,41706.41,41807.97,41587.53,41612.38,41895.54,0.006804947663399119,-0.006804947663399119,0.006804947663399119,0,0,0.16444727110973942,0.3641858467110141,0.3641858467110141,REV,True,True,2022,False,287,0.10048720638473999,0.0166836398384807,0.002928887310969379,0.7892337996462452,0.32792392417150457,0.023605478615991944,0.0035659188145794104,0.8713669837132527,0.4233904501626705,0.020497761225221678,0.0034947270874549816,0.9106810902896081,0.8380875638281464,0.5,0.45,-0.002320403010555927,-0.0010704640928144327,0.3,-0.006771336372828651,0.27753483206251867,2.0,20.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-2.9140686525097035,-2.9845348070536177,-2.298512056943534,-4.436235240389165,2.0577886776889533,3.607635310133152,0.024493819102821092,-0.8660254037844386,0.5000000000000001,36975,2022-01-21 20:00:00+00:00,DEV_2021_2024,37984.11,38172.05,37601.16,37645.36,35277.56,-0.06289752575084961,0.06289752575084961,-0.06289752575084961,1,0,0.28025495727809857,0.3420055114772488,0.3420055114772488,REV,True,True,2022,False,293,0.23953108137786827,0.038971336980648336,0.0030422020071921765,0.9558137432188066,0.39310971271002404,0.028063991481198917,0.0035778106601772205,0.9707080580389048,0.4661609429903201,0.022654089783149593,0.0034864787852908015,0.9796960690316395,0.8725714953514141,0.4,0.35,-0.015061032794387575,-0.010456218490780534,0.3,-0.00801161722167656,-0.48209636031700426,-4.0,23.0,False,0.0,0.0,0.0,NO_FILL,,
1.0,6.662509634487038,2.976147836846286,-0.0006441750076190175,-1.7388324031170022,1.8505942361173804,6.823923215553511,0.028433221270555836,-0.8660254037844386,0.5000000000000001,37071,2022-01-22 20:00:00+00:00,DEV_2021_2024,34528.61,35400.0,34415.95,35277.56,35284.44,0.00039551477736776697,0.00039551477736776697,-0.00039551477736776697,0,0,0.23721334358199977,0.36653394456679667,0.36653394456679667,REV,True,True,2022,False,295,-0.37944778815833047,0.05887460939818753,0.0032403782536768195,0.03477544247787599,-0.5050471015682685,0.035580506156296085,0.003635226454755436,0.024762414880921825,-0.5587021372624722,0.026757265063200034,0.003546225943053027,0.017968106995884716,0.9137540319518118,0.5,0.5,0.009105332709702707,0.004534052860472976,0.4,-0.012900819759884507,0.25255042321625387,3.0,25.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-0.48430057072041166,-2.688306416339215,-0.008990636563581757,0.1821603591962664,-0.5419279084895233,-0.646155787989247,0.015906768225429954,-0.19509032201612872,0.9807852804032303,43900,2022-04-03 23:15:00+00:00,DEV_2021_2024,46575.56,46575.56,46478.1,46509.02,46806.29,0.0063916633805658485,-0.0063916633805658485,0.0063916633805658485,0,0,0.12566076837481574,0.3458177570199128,0.3458177570199128,REV,True,True,2022,False,347,-0.20167738617391656,0.035693697769530915,0.0030720737630598213,0.08166588731689794,-0.24504854124980963,0.018981108117101388,0.0034813252433573082,0.0649840346823809,-0.021860355866602215,0.0010781927633357286,0.003560252229223313,0.05900539984167785,0.8628809323798976,0.4,0.5,0.0020955293558997056,0.00923323710015302,0.6,0.004119987913633427,-0.18184320384521577,-2.0,14.0,True,-1.2383556843833388,-1.0,0.23835568438333885,SL,2022-04-03 23:30:00+00:00,0.002097705373771863
1.0,4.2536415842494115,2.726776291218844,-0.3898613296607234,0.22531940295201303,0.9477911482274104,3.0387739665985736,0.0005260747171076648,-0.7518398074789772,0.6593458151000691,46578,2022-05-01 20:45:00+00:00,DEV_2021_2024,37903.87,38349.98,37903.86,38313.23,38316.36,8.169501762167464e-05,8.169501762167464e-05,-8.169501762167464e-05,0,0,0.19483487172568267,0.32497489405620567,0.32497489405620567,REV,True,True,2022,False,373,-0.20395597393837933,0.04112186584603244,0.0025417076287809915,0.0419070704821073,-0.14493195913866738,0.013472995699393498,0.002854045515914552,0.059164428301633994,-0.01595129097874227,0.0008899847629954129,0.0032078811874443926,0.25134847081966866,0.7923322218819088,0.4,0.55,-0.006027887114125041,-0.0007825432159872192,0.5,-0.005772463640173253,-0.49469933235022684,-4.0,25.0,False,0.0,0.0,0.0,NO_FILL,,
-1.0,-0.7278463646344848,-3.386363116221984,-1.6272195721692069,-1.7324439698385177,0.8506858412142124,0.5093653621059124,0.009169744609030053,-0.9914448613738104,-0.13052619222005163,47237,2022-05-08 17:30:00+00:00,DEV_2021_2024,33987.97,33988.92,33813.48,33921.06,31811.75,-0.06218262701184085,0.06218262701184085,-0.06218262701184085,1,0,0.1644548090263363,0.3296783251323255,0.3296783251323255,REV,True,True,2022,False,382,0.23219421367740742,0.047211467965284554,0.00259480603770977,0.9648622343456852,0.20233629119669266,0.01958550011569921,0.0027743095880626814,0.9764482283059034,0.23092523524822053,0.012981398455990759,0.0031937089175016514,0.9764482283059034,0.8124741811910692,0.4,0.45,-0.003648678823345919,-0.004596876304640935,0.3,-0.0015573494881499284,-0.28700929907770545,-2.0,29.0,True,1.4035757523939782,1.5,0.09642424760602186,TP,2022-05-08 18:00:00+00:00,0.0051854176974544955
-1.0,4.472245563379164,-2.723003048833171,-4.4214696727183584,-3.623616218351972,3.186215078192918,5.954276028098967,0.0455886405272325,-0.9807852804032304,0.1950903220161283,47338,2022-05-09 18:45:00+00:00,DEV_2021_2024,30415.9,31084.6,30399.99,30786.98,31624.51,0.02720436600289,-0.02720436600289,0.02720436600289,0,1,0.2686721494216243,0.396292449791641,0.396292449791641,REV,True,True,2022,False,386,0.3086845548489176,0.06032470078763381,0.0027122781596870455,0.978396976704834,0.22516669837837636,0.021588364883523933,0.002794132235491639,0.9844035779274269,0.31752810782531327,0.017793299249776674,0.0032052615366591104,0.9844035779274269,0.8461955845619049,0.6,0.45,0.00792321963193059,-0.0042660687821752695,0.5,0.011382680245321464,0.34105123887221467,3.0,32.0,True,1.4777649501175851,1.5,0.022235049882414905,TP,2022-05-09 19:30:00+00:00,0.02248701948698736
-1.0,-1.5144720991200007,-2.824048374635801,-5.10224074035445,-3.349695836353962,1.6749158993066744,2.8977742560861413,0.10476192672086834,0.9469301294951056,0.3214394653031617,47570,2022-05-12 04:45:00+00:00,DEV_2021_2024,27951.69,28004.77,27506.61,27793.62,30471.6,0.09635193387837426,-0.09635193387837426,0.09635193387837426,0,1,0.3180543055825889,0.4707541044743324,0.4707541044743324,REV,True,True,2022,False,399,0.3359319662163223,0.05394132552827131,0.0036539865924315024,0.9591106576262259,0.32192004396400287,0.027889838351768625,0.003284153393295914,0.9695586929375579,0.42255592364007566,0.022617035267650295,0.0034567925067083304,0.9695586929375579,1.0570453926119352,0.4,0.5,-0.014001006837358831,0.000306765243482171,0.7,0.025196217306066037,-0.2395429389082851,-1.0,40.0,True,-1.0276462783041593,-1.0,0.02764627830415932,SL,2022-05-12 05:00:00+00:00,0.018085616968008898
-1.0,0.19133260781608502,-3.220507533194929,-2.803476796771536,-3.2006235453645093,2.3186130531021787,3.005907115829286,0.15294054476191857,0.8660254037844387,-0.4999999999999998,50655,2022-06-13 08:00:00+00:00,DEV_2021_2024,24811.59,24941.17,24576.45,24825.14,22709.75,-0.0852112355504282,0.0852112355504282,-0.0852112355504282,1,0,0.3398706443835708,0.4074212205424206,0.4074212205424206,REV,True,True,2022,False,421,0.1512532759945606,0.024028854390773534,0.003154133223227414,0.9380837444992663,0.4849116765624633,0.036987622781421446,0.003635607817328932,0.9743134543040495,0.41078297596917035,0.022284042989460365,0.003386715364161531,0.9800638389958882,0.9313251584720351,0.4,0.4,0.003021577552699395,-0.0030513932010178546,0.5,0.0030854019381153287,0.0010837838745892286,2.0,14.0,True,-1.033783148716824,-1.0,0.03378314871682409,SL,2022-06-13 08:15:00+00:00,0.01480027821536359
1.0,8.09233712448853,3.064248040276713,-1.261850426515786,-3.6166112881599912,2.20382226728694,7.202319756906251,0.12012246968585978,1.2246467991473532e-16,-1.0,50671,2022-06-13 12:00:00+00:00,DEV_2021_2024,23729.43,24376.09,23657.01,24353.31,21950.0,-0.09868477783298357,-0.09868477783298357,0.09868477783298357,0,1,0.3253190087676501,0.4809626372191105,0.4809626372191105,REV,True,True,2022,False,422,-0.19624416330643374,0.03077421598642888,0.003211579439862437,0.00898269655092307,-0.5425142436375913,0.04108486516596698,0.0036630255616420366,0.004031165311653041,-0.4831538109981708,0.026080014109578248,0.003406072215368554,0.00316984292987736,0.9428982231707991,0.4,0.4,0.003021577552699395,-0.0030513932010178546,0.3,-0.01882272193031198,0.0010837838745892286,2.0,14.0,False,0.0,0.0,0.0,NO_FILL,,
