period,cost_model,method,signals,fills,fill_rate,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD,TP_rate,SL_rate,TIME_rate,mean_entry_improve_atr
forward_2026,IC,CONFIRM_MARKET,544,544,1.0,544,0.3639705882352941,0.01357058801883883,1.0215606475636774,7.382399882248324,37.492393254896406,0.19690393814175097,0.3014705882352941,0.6102941176470589,0.08823529411764706,0.0
forward_2026,IC,MARKET_SIGNAL,544,544,1.0,544,0.4889705882352941,0.35904182447235183,1.7407606074552477,195.3187525129594,11.207307436142997,17.427803567078595,0.3897058823529412,0.45955882352941174,0.15073529411764705,0.5709870921894241
forward_2026,IC,RETRACE_LIMIT_10,544,333,0.6121323529411765,333,0.3333333333333333,-0.09923160294422936,0.8483597761506825,-33.04412378042838,46.18403685459972,-0.7154879917591556,0.25225225225225223,0.6336336336336337,0.11411411411411411,0.2622764545942474
forward_2026,IC,RETRACE_LIMIT_15,544,386,0.7095588235294118,386,0.3471502590673575,-0.05545746154110192,0.9138914523646446,-21.406580154865342,49.86549764724286,-0.42928640372345594,0.2694300518134715,0.6243523316062176,0.10621761658031088,0.2677530777984851
forward_2026,IC,RETRACE_LIMIT_5,544,253,0.4650735294117647,253,0.35968379446640314,-0.03402822102954432,0.945659615878507,-8.609139920474714,31.049063044567937,-0.2772753531440586,0.2727272727272727,0.6086956521739131,0.11857707509881422,0.2636336494396417
historical,GETLEVERAGED,CONFIRM_MARKET,5297,5297,1.0,5297,0.36548989994336417,-0.008680608382426541,0.9857665952975032,-45.981182601713385,160.9992758979057,-0.2855986919523252,0.26920898621861433,0.5912780819331697,0.13951293184821598,0.0
historical,GETLEVERAGED,MARKET_SIGNAL,5297,5297,1.0,5297,0.5065131206343213,0.38776649684731396,1.838368569363627,2053.999133800222,13.3938844020131,153.3535061338521,0.38153671889748914,0.4423258448178214,0.17613743628468945,0.5749283913528711
historical,GETLEVERAGED,RETRACE_LIMIT_10,5297,3253,0.6141212006796299,3253,0.3599754073163234,-0.01167824635772639,0.980965260128458,-37.989335401683945,125.0677500009505,-0.3037500506836913,0.27113433753458344,0.5945281278819551,0.13433753458346143,0.26389218871485903
historical,GETLEVERAGED,RETRACE_LIMIT_15,5297,3614,0.6822729847083254,3614,0.35915882678472605,-0.01582794079326037,0.9741967283778444,-57.20217802684297,133.60421729814885,-0.428146500040426,0.26784726065301606,0.5940785832872164,0.13807415605976758,0.268051687709672
historical,GETLEVERAGED,RETRACE_LIMIT_5,5297,2597,0.4902775155748537,2597,0.35541008856372736,-0.01738688777315496,0.9719436361422148,-45.15374754688343,126.16418554561521,-0.3578967149164364,0.27300731613400075,0.6006931074316519,0.12629957643434733,0.25788948884047963
historical,GROSS,CONFIRM_MARKET,5297,5297,1.0,5297,0.39173116858599205,0.07196599190769554,1.1245989383658195,381.2038591350632,39.43289034671761,9.66715489996524,0.29091938833301867,0.56277138002643,0.14630923164055126,0.0
historical,GROSS,MARKET_SIGNAL,5297,5297,1.0,5297,0.5301113838021522,0.4602351694939777,2.0584192647118402,2437.8656928095998,12.762081469219197,191.02414435211656,0.40324712101189353,0.41797243722862,0.1787804417594865,0.5749283913528711
historical,GROSS,RETRACE_LIMIT_10,5297,3253,0.6141212006796299,3253,0.38549031663080235,0.05959310223493201,1.102161250239612,193.85636157023384,38.8846535390976,4.985420826118866,0.288964033200123,0.5687058100215185,0.14233015677835845,0.26389218871485903
historical,GROSS,RETRACE_LIMIT_15,5297,3614,0.6822729847083254,3614,0.38461538461538464,0.055151679853665356,1.0945220998673955,199.3181709911466,35.809767752790094,5.566028028082278,0.28527946873270615,0.5683453237410072,0.14637520752628666,0.268051687709672
historical,GROSS,RETRACE_LIMIT_5,5297,2597,0.4902775155748537,2597,0.37928378898729304,0.05021232628104163,1.0849460647955649,130.4014113518651,39.92902341480877,3.265830220718651,0.29033500192529843,0.5764343473238351,0.13323065075086638,0.25788948884047963
historical,IC,CONFIRM_MARKET,5297,5297,1.0,5297,0.3843685104776288,0.04121968469244039,1.0692671449168913,218.34066981585673,50.665636983023745,4.309442904843276,0.2852558051727393,0.5701340381347932,0.14461015669246743,0.0
historical,IC,MARKET_SIGNAL,5297,5297,1.0,5297,0.5244478006418728,0.4361954247063379,1.9721151846924945,2310.527164669472,13.646347458790046,169.3146954997975,0.39871625448367,0.42401359259958465,0.17727015291674533,0.5749283913528711
historical,IC,RETRACE_LIMIT_10,5297,3253,0.6141212006796299,3253,0.3802643713495235,0.03556731987697113,1.0593491077188326,115.70049155978708,47.99905802373516,2.4104742118600346,0.2855825391945896,0.574239163848755,0.1401782969566554,0.26389218871485903
historical,IC,RETRACE_LIMIT_15,5297,3614,0.6822729847083254,3614,0.3793580520199225,0.03092599677538094,1.051601474145667,111.76655234622672,49.065714946319204,2.277895114103727,0.28168234643054785,0.57387935805202,0.1444382955174322,0.268051687709672
historical,IC,RETRACE_LIMIT_5,5297,2597,0.4902775155748537,2597,0.37350789372352716,0.024946512821766773,1.0410551623820499,64.7860937981283,55.158379978981046,1.1745467111763626,0.28648440508278783,0.5825953022718522,0.13092029264536004,0.25788948884047963
