flow_id,signal_time,side,origin,entry,extension050,atr14,reaccept_time,state,class_time,class_price,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr
664,2022-02-14 07:15:00+00:00,1,42125.76,42192.225,42258.689999999995,132.92999999999978,2022-02-14 10:45:00+00:00,EXTENSION050_FIRST,2022-02-14 11:30:00+00:00,42258.689999999995,-2.0480704129992717,0.75,3.577672459189011,4.734145791017874
666,2022-02-15 13:30:00+00:00,1,44177.9,44273.732142857145,44369.56428571429,191.66428571428645,2022-02-15 23:15:00+00:00,EXTENSION050_FIRST,2022-02-15 23:30:00+00:00,44369.56428571429,-2.029404091976312,0.25,2.449931055044167,1.9499496888160037
671,2022-02-18 04:15:00+00:00,-1,40691.8,40607.05714285715,40522.314285714296,169.48571428571398,2022-02-18 11:00:00+00:00,EXTENSION050_FIRST,2022-02-18 11:15:00+00:00,40522.314285714296,2.2079399865138947,0.25,1.5375084288603706,6.492076871207083
676,2022-02-21 11:45:00+00:00,1,37549.9,37677.68571428572,37805.471428571436,255.5714285714296,2022-02-21 14:00:00+00:00,EXTENSION050_FIRST,2022-02-21 14:15:00+00:00,37805.471428571436,-3.2048630519843604,0.25,4.082895472330924,5.8477920626047535
677,2022-02-22 00:30:00+00:00,-1,37232.8,37012.328571428574,36791.857142857145,440.94285714285695,2022-02-22 02:15:00+00:00,EXTENSION050_FIRST,2022-02-22 03:00:00+00:00,36791.857142857145,-1.8211948422212136,0.75,2.440549471910837,1.0925613944145747
682,2022-02-25 06:30:00+00:00,1,38634.2,38745.860714285714,38857.52142857143,223.3214285714301,2022-02-25 12:00:00+00:00,EXTENSION050_FIRST,2022-02-25 12:15:00+00:00,38857.52142857143,-0.15950743643052065,0.25,1.46659203582281,3.996385734847231
688,2022-03-01 15:00:00+00:00,1,43711.4,43920.525,44129.65,418.2500000000005,2022-03-01 19:15:00+00:00,EXTENSION050_FIRST,2022-03-01 21:00:00+00:00,44129.65,0.2937238493723811,1.75,1.015301852958759,1.4688583383144
689,2022-03-02 17:45:00+00:00,-1,43734.5,43491.61428571429,43248.728571428575,485.7714285714288,2022-03-03 03:30:00+00:00,EXTENSION050_FIRST,2022-03-03 03:45:00+00:00,43248.728571428575,-0.14671803317255971,0.25,0.535789907069748,0.0
690,2022-03-03 15:45:00+00:00,-1,42549.5,42401.38571428572,42253.27142857144,296.22857142857174,2022-03-04 00:00:00+00:00,EXTENSION050_FIRST,2022-03-04 00:15:00+00:00,42253.27142857144,2.741705246913618,0.25,0.3724440586419342,4.061969521604969
691,2022-03-04 03:45:00+00:00,-1,41441.1,41316.94285714286,41192.78571428572,248.31428571428583,2022-03-04 13:45:00+00:00,EXTENSION050_FIRST,2022-03-04 14:00:00+00:00,41192.78571428572,2.006270854907393,0.25,1.4325163962719922,2.628868944885525
