flow_id_new,signal_time,side,signed12_atr,signal_close,atr14,level,touch_time,class_time,state,class_price,pressure_mag_60,response_60,fut_elasticity_60,prior_n,pressure_med90,response_med90,book_state,response_router
59,2026-08-07 13:00:00+00:00,1,-1.7948892343567906,65186.1,147.02857142857152,65358.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
60,2026-08-09 13:30:00+00:00,1,-5.325473161650705,65193.0,46.042857142856,65068.9,2026-08-09 13:30:00+00:00,2026-08-09 13:30:00+00:00,ACCEPT,65193.0,1.112252417953997,3.175302513186646,2.8548398384493123,84,1.4050031987004112,1.123853301053423,THIN_BOOK,HIGH_RESPONSE
61,2026-08-10 07:30:00+00:00,1,-14.322053858836657,65303.0,90.97857142857018,65482.7,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
62,2026-08-10 19:30:00+00:00,-1,-0.31272579249988386,64000.0,140.37857142857112,63788.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
63,2026-08-11 09:00:00+00:00,1,-5.122868791697621,64106.9,77.08571428571356,64148.0,2026-08-11 09:15:00+00:00,2026-08-11 09:15:00+00:00,ACCEPT,64160.2,0.34652500328624425,1.168828762045952,3.3729997863399492,83,1.4616414072606434,1.1418242491656896,THIN_BOOK,HIGH_RESPONSE
64,2026-08-11 21:00:00+00:00,-1,-0.9573786061972893,63712.0,120.32857142857185,63211.6,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
65,2026-08-12 09:45:00+00:00,1,-6.899054116917359,64077.0,92.12857142857112,64064.9,2026-08-12 09:45:00+00:00,2026-08-12 09:45:00+00:00,ACCEPT,64077.0,1.5502547579157893,2.8221429679020096,1.8204381915242025,82,1.4050031987004112,1.145623955429346,DRIVEN_MOVE,HIGH_RESPONSE
66,2026-08-12 21:45:00+00:00,-1,-3.143873630283192,63441.4,100.38571428571387,63283.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
67,2026-08-13 11:15:00+00:00,-1,-0.42725892785807645,63410.0,89.40714285714368,63343.8,2026-08-13 11:30:00+00:00,2026-08-13 12:15:00+00:00,REJECT,63545.4,2.576567027462861,2.0971478788846976,0.8139310394535917,82,1.4050031987004112,1.1553265056058208,DRIVEN_MOVE,HIGH_RESPONSE
68,2026-08-14 06:45:00+00:00,-1,0.4521688753711148,62944.6,98.63571428571542,63145.5,2026-08-14 06:45:00+00:00,2026-08-14 06:45:00+00:00,ACCEPT,62944.6,1.190886969927172,1.7650807444419954,1.4821564002416936,83,1.4616414072606434,1.168828762045952,THIN_BOOK,HIGH_RESPONSE
69,2026-08-14 18:45:00+00:00,1,1.5441964548613276,62900.0,121.29285714285808,63215.3,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
70,2026-08-15 11:30:00+00:00,-1,-1.5549273021002163,63021.7,35.37142857142732,62876.2,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
71,2026-08-15 23:30:00+00:00,1,-5.247097844112516,63076.7,21.535714285715326,63141.6,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
72,2026-08-16 16:15:00+00:00,-1,-5.727552816901211,63294.8,32.45714285714296,62928.5,2026-08-16 21:30:00+00:00,2026-08-16 21:30:00+00:00,ACCEPT,62906.9,0.3770296348812417,1.9749119718309347,5.238081543518457,83,1.348364990140179,1.168828762045952,THIN_BOOK,HIGH_RESPONSE
73,2026-08-17 04:15:00+00:00,1,4.076233408464804,63480.7,142.60714285714388,63500.0,2026-08-17 04:15:00+00:00,2026-08-17 04:45:00+00:00,ACCEPT,63512.3,0.5504706538208751,0.49857250187827323,0.9057204020189427,84,1.3285584298760513,1.1720634826385465,WEAK,LOW_RESPONSE
74,2026-08-17 16:15:00+00:00,1,0.38673373689148605,64062.0,167.5571428571415,64199.9,2026-08-17 17:15:00+00:00,2026-08-17 17:45:00+00:00,ACCEPT,64293.1,3.297364117999109,-0.5663739449228541,-0.17176566634883456,84,1.3285584298760513,1.1720634826385465,ABSORPTION,LOW_RESPONSE
75,2026-08-18 04:15:00+00:00,-1,-6.454193331087955,64126.8,84.82857142857081,63944.3,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
76,2026-08-18 16:15:00+00:00,1,-1.7446548564447388,64674.3,198.7785714285705,65057.9,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
77,2026-08-19 04:15:00+00:00,-1,-64.64919231941467,64327.5,70.30714285714306,64252.0,2026-08-19 05:45:00+00:00,2026-08-19 05:45:00+00:00,ACCEPT,64209.1,0.9445678892851167,0.38118459819154504,0.40355447450160453,83,1.4616414072606434,1.168828762045952,WEAK,LOW_RESPONSE
78,2026-08-19 16:15:00+00:00,1,0.7048914125276157,68872.8,681.8071428571457,70450.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
79,2026-08-20 06:45:00+00:00,1,13.394034536891736,69838.8,191.09999999999854,70048.2,2026-08-20 08:00:00+00:00,2026-08-20 08:00:00+00:00,ACCEPT,71287.9,0.6295984119862768,-0.11983254840402358,-0.19033171958927295,84,1.4050031987004112,1.1373555574935543,WEAK,LOW_RESPONSE
80,2026-08-20 18:45:00+00:00,1,9.572224585282854,72398.4,335.8571428571439,72945.3,2026-08-20 20:30:00+00:00,2026-08-20 21:15:00+00:00,REJECT,72623.8,0.38496562000487183,0.6833262441514227,1.7750318694505112,84,1.4050031987004112,1.1373555574935543,WEAK,LOW_RESPONSE
81,2026-08-21 06:45:00+00:00,1,4.619003690036856,75613.3,325.20000000000124,75767.5,2026-08-21 07:00:00+00:00,2026-08-21 07:00:00+00:00,ACCEPT,75935.2,0.04058666979263633,0.5544280442804497,2.2177121771217987,84,1.3285584298760513,1.0711777765340005,WEAK,LOW_RESPONSE
82,2026-08-23 05:00:00+00:00,1,5.558517914835456,75896.0,245.40714285714162,77498.0,2026-08-23 13:15:00+00:00,2026-08-23 13:30:00+00:00,ACCEPT,77508.0,0.82091760315352,1.008528101987955,1.2285375512886278,83,1.3087518696119238,1.1058823529411568,WEAK,LOW_RESPONSE
83,2026-08-24 11:15:00+00:00,1,4.037700282752039,77819.5,257.67142857143233,78016.6,2026-08-24 11:30:00+00:00,2026-08-24 11:30:00+00:00,ACCEPT,78559.5,3.629137356608263,-0.10129178910020407,-0.02791070691104121,82,1.281787704910277,1.0710949560279435,ABSORPTION,LOW_RESPONSE
84,2026-08-25 02:15:00+00:00,1,-4.543627900289369,80981.6,397.4357142857137,79974.8,2026-08-25 02:15:00+00:00,2026-08-25 02:15:00+00:00,ACCEPT,80981.6,0.07606050890487788,0.5339228266925403,2.1356913067701613,81,1.3087518696119238,1.0363075591147302,WEAK,LOW_RESPONSE
