signal_time,side,signed12_atr,delta_ls_12,q20,q80,history_n,flow_id_new
2026-07-29 17:45:00+00:00,-1,1.0536714074264808,0.09315308,-0.036038376000000025,0.038620579999999974,8640,45
2026-07-30 07:00:00+00:00,-1,-6.956230258492759,0.047345400000000204,-0.036038376000000025,0.03883191600000009,8640,46
2026-07-31 01:00:00+00:00,-1,7.915219895911999,0.060413569999999917,-0.03594296999999989,0.038837498000000054,8640,47
2026-07-31 13:00:00+00:00,-1,8.058304398148152,0.09262534999999983,-0.03594296999999989,0.040193052000000076,8640,48
2026-08-01 07:30:00+00:00,1,-12.053148120187398,-0.06850065999999977,-0.036188628,0.040634229999999966,8640,49
2026-08-01 19:30:00+00:00,-1,-7.2239457101309785,0.06576696999999987,-0.03679202200000006,0.04069478000000009,8640,50
2026-08-02 07:30:00+00:00,1,-2.2851681957186414,-0.053502649999999985,-0.037228845999999906,0.04124773000000009,8640,51
2026-08-02 23:00:00+00:00,1,-5.0970051426842655,-0.040726159999999956,-0.03704801800000019,0.041254104000000257,8640,52
2026-08-03 11:00:00+00:00,-1,-6.823791659870566,0.11855859999999963,-0.037343479999999915,0.041863028,8640,53
2026-08-04 04:30:00+00:00,1,-0.7750204526861391,-0.06168115000000007,-0.03804361000000002,0.0419222440000001,8640,54
2026-08-04 16:30:00+00:00,1,1.0257165231010243,-0.06957090999999993,-0.03840656600000001,0.041863028,8640,55
2026-08-05 09:15:00+00:00,-1,-5.100698609836927,0.04619572999999999,-0.03928488599999999,0.041835754000000024,8640,56
2026-08-06 06:00:00+00:00,1,-2.5171321199616856,-0.04248569999999985,-0.03986322199999996,0.041667333999999986,8640,57
2026-08-07 01:00:00+00:00,-1,-9.60161030595797,0.04403774999999999,-0.040261098000000016,0.041863028,8640,58
2026-08-07 13:00:00+00:00,1,-1.7948892343567906,-0.06533835000000021,-0.04073265000000012,0.041938780000000085,8640,59
2026-08-09 13:30:00+00:00,1,-5.325473161650705,-0.041218069999999996,-0.040589448000000056,0.04185052000000004,8640,60
2026-08-10 07:30:00+00:00,1,-14.322053858836657,-0.047961299999999873,-0.04037007399999987,0.04195678000000004,8640,61
2026-08-10 19:30:00+00:00,-1,-0.31272579249988386,0.13936756000000017,-0.04066196999999998,0.042866416000000074,8640,62
2026-08-11 09:00:00+00:00,1,-5.122868791697621,-0.04471636999999995,-0.04066196999999998,0.043100451999999886,8640,63
2026-08-11 21:00:00+00:00,-1,-0.9573786061972893,0.07828221000000002,-0.04097360999999999,0.04302800800000011,8640,64
