parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
11,2021-04-25 23:45:00+00:00,11000,2021-04-26 00:00:00+00:00,11001,2021-04-25 23:45:00+00:00,11001,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,49066.76,49999.99,48753.44,49922.69,1246.5499999999956,11096,0.3809589823134167,0.3809589823134167,0.214610577998808,11,49299.41500000001,False,,,NO_FILL,0.0,0.0,0.0,0.025285289896441885,,7,0,False,False,0.0
12,2021-04-30 19:45:00+00:00,11464,2021-04-30 20:45:00+00:00,11468,2021-04-30 19:45:00+00:00,11468,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,56836.88,56844.18,56660.99,56757.34,183.19000000000233,11560,0.32303934850208077,0.32303934850208077,0.10223298341347596,12,56848.935,True,2021-04-30 21:00:00+00:00,11469.0,SL,-1.0,0.15516385992684992,-1.15516385992685,0.00322239985674318,2021-04-30 21:45:00+00:00,7,0,False,False,0.0
13,2021-05-03 11:45:00+00:00,11720,2021-05-03 12:15:00+00:00,11722,2021-05-03 11:45:00+00:00,11722,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,58676.89,58681.91,58485.0,58502.95,196.9100000000035,11816,0.34241348274503375,0.34241348274503375,0.13070841139544595,13,58601.405,True,2021-05-03 13:00:00+00:00,11725.0,TP,1.5,0.14880251129957586,1.351197488700424,0.0033601583443264456,2021-05-03 13:30:00+00:00,7,1,True,True,1.351197488700424
14,2021-05-08 11:45:00+00:00,12200,2021-05-08 12:00:00+00:00,12201,2021-05-08 11:45:00+00:00,12201,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,58556.09,58604.19,58213.76,58337.11,390.4300000000003,12296,0.3364589098833503,0.3364589098833503,0.11855570376157898,14,58532.325,True,2021-05-08 12:15:00+00:00,12202.0,SL,-1.0,0.07495879543067893,-1.074958795430679,0.006670331308383877,2021-05-08 12:45:00+00:00,7,2,True,True,-1.074958795430679
15,2021-06-08 07:45:00+00:00,15160,2021-06-08 08:00:00+00:00,15161,2021-06-08 07:45:00+00:00,15161,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,32966.7,33299.23,32961.09,33200.55,338.1400000000067,15256,0.44073240811851633,0.44073240811851633,0.20427146466880808,15,33031.479999999996,True,2021-06-08 08:45:00+00:00,15164.0,SL,-1.0,0.048842905305493796,-1.0488429053054937,0.010236901283260899,2021-06-08 09:30:00+00:00,8,0,False,False,0.0
16,2021-06-14 03:45:00+00:00,15720,2021-06-14 06:00:00+00:00,15729,2021-06-14 03:45:00+00:00,15729,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,39403.79,39514.38,39213.14,39246.75,301.23999999999796,15816,0.3496144062332988,0.3496144062332988,0.14655787007698615,16,39397.369999999995,True,2021-06-14 06:15:00+00:00,15730.0,SL,-1.0,0.06539199641481919,-1.065391996414819,0.007646195672452197,2021-06-14 06:45:00+00:00,8,1,True,True,-1.065391996414819
17,2021-06-29 19:45:00+00:00,17224,2021-06-29 20:30:00+00:00,17227,2021-06-29 19:45:00+00:00,17227,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,36373.62,36411.1,36300.0,36304.01,111.09999999999854,17320,0.33686362391117336,0.33686362391117336,0.11215792005599415,17,36359.56,False,,,NO_FILL,0.0,0.0,0.0,0.0030555925319227886,,9,0,False,False,0.0
18,2021-07-15 15:45:00+00:00,18744,2021-07-15 16:30:00+00:00,18747,2021-07-15 15:45:00+00:00,18747,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,31556.29,31673.58,31475.32,31668.33,198.26000000000204,18840,0.3867441953712866,0.3867441953712866,0.1267230585405476,18,31569.2,True,2021-07-15 16:45:00+00:00,18748.0,SL,-1.0,0.07961565620901764,-1.0796156562090176,0.0062801718130330204,2021-07-15 17:00:00+00:00,10,0,False,False,0.0
19,2021-07-15 19:45:00+00:00,18760,2021-07-15 20:15:00+00:00,18762,2021-07-15 19:45:00+00:00,18762,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,31638.59,31729.0,31604.0,31711.61,125.0,18856,0.3796396668775132,0.3796396668775132,0.14625497197419296,19,31649.11,True,2021-07-15 20:30:00+00:00,18763.0,TP,1.5,0.12659644,1.37340356,0.003949558139233615,2021-07-15 20:45:00+00:00,10,1,True,True,1.37340356
20,2021-07-20 11:45:00+00:00,19208,2021-07-20 12:30:00+00:00,19211,2021-07-20 11:45:00+00:00,19211,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,29621.77,29735.06,29606.45,29735.06,128.61000000000058,19304,0.4096990922314185,0.4096990922314185,0.1381725876446116,20,29670.755,True,2021-07-20 13:00:00+00:00,19213.0,SL,-1.0,0.11535166394526034,-1.1153516639452603,0.004334571196452554,2021-07-20 13:15:00+00:00,10,2,True,True,-1.1153516639452603
21,2021-07-23 07:45:00+00:00,19480,2021-07-23 08:45:00+00:00,19484,2021-07-23 07:45:00+00:00,19484,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,32476.04,32497.18,32285.57,32318.75,211.61000000000058,19576,0.39005267431518476,0.39005267431518476,0.11658903167731285,21,32424.555,True,2021-07-23 09:00:00+00:00,19485.0,TP,1.5,0.07661394782855231,1.4233860521714476,0.006526226805579925,2021-07-23 16:15:00+00:00,10,3,True,True,1.4233860521714476
22,2021-07-24 11:45:00+00:00,19592,2021-07-24 13:30:00+00:00,19599,2021-07-24 11:45:00+00:00,19599,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,33871.94,33871.94,33822.15,33829.12,49.79000000000087,19688,0.33724241807596606,0.33724241807596606,0.10656473556609103,22,33854.015,True,2021-07-24 14:30:00+00:00,19603.0,TP,1.5,0.3399680156657904,1.1600319843342097,0.0014707265888551438,2021-07-24 14:30:00+00:00,10,4,True,True,1.1600319843342097
