parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
108,2024-02-08 23:45:00+00:00,108793,2024-02-09 04:00:00+00:00,108810,2024-02-08 23:45:00+00:00,108810,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,46060.74,46148.0,46026.01,46029.34,121.98999999999796,108889,0.3255492115935417,0.3255492115935417,0.1203426655707066,108,46090.33499999999,False,,,NO_FILL,0.0,0.0,0.0,0.002646758805289612,,50,0,False,False,0.0
109,2024-02-12 03:45:00+00:00,109097,2024-02-12 04:00:00+00:00,109098,2024-02-12 03:45:00+00:00,109098,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,48145.0,48145.01,48053.7,48059.61,91.31000000000495,109193,0.3929384562456217,0.3929384562456217,0.1228276308238996,109,48105.265,True,2024-02-12 04:15:00+00:00,109099.0,TP,1.5,0.26341728726315516,1.236582712736845,0.0018981290301592756,2024-02-12 06:45:00+00:00,50,0,False,False,0.0
110,2024-02-23 23:45:00+00:00,110233,2024-02-24 00:30:00+00:00,110236,2024-02-23 23:45:00+00:00,110236,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,50830.01,50906.16,50784.4,50876.5,121.76000000000204,110329,0.3796757312455799,0.3796757312455799,0.1506398654634606,110,50815.619999999995,True,2024-02-24 01:00:00+00:00,110238.0,SL,-1.0,0.2086712385019676,-1.2086712385019676,0.002396113635925372,2024-02-24 01:30:00+00:00,51,0,False,False,0.0
111,2024-03-04 03:45:00+00:00,111113,2024-03-04 05:00:00+00:00,111118,2024-03-04 03:45:00+00:00,111118,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,63634.36,63706.0,63501.1,63512.64,204.90000000000146,111209,0.3170938468301944,0.3170938468301944,0.1829370535936084,111,63615.09,False,,,NO_FILL,0.0,0.0,0.0,0.0032209339010602902,,52,0,False,False,0.0
112,2024-03-14 07:45:00+00:00,112089,2024-03-14 08:45:00+00:00,112093,2024-03-14 07:45:00+00:00,112093,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,73379.99,73460.0,73321.1,73321.11,138.89999999999418,112185,0.3477355959551486,0.3477355959551486,0.1743818121647943,112,73390.56,True,2024-03-14 09:00:00+00:00,112094.0,TP,1.5,0.2641848812095143,1.2358151187904858,0.0018926139819616336,2024-03-14 09:30:00+00:00,53,0,False,False,0.0
113,2024-04-22 23:45:00+00:00,115897,2024-04-23 00:00:00+00:00,115898,2024-04-22 23:45:00+00:00,115898,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,66819.32,66869.75,66747.1,66808.01,122.64999999999418,115993,0.3686522085698937,0.3686522085698937,0.1196619556472367,113,66869.33499999999,True,2024-04-23 00:30:00+00:00,115900.0,SL,-1.0,0.27260226253568354,-1.2726022625356834,0.0018341740649879977,2024-04-23 00:45:00+00:00,54,0,False,False,0.0
114,2024-04-27 03:45:00+00:00,116297,2024-04-27 05:30:00+00:00,116304,2024-04-27 03:45:00+00:00,116304,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,63026.01,63077.78,62984.44,63065.98,93.33999999999651,116393,0.4825174589417309,0.4825174589417309,0.1580804580735073,114,63019.310000000005,True,2024-04-27 05:45:00+00:00,116305.0,SL,-1.0,0.3375793336190399,-1.3375793336190398,0.001481133322468883,2024-04-27 06:15:00+00:00,54,1,True,True,-1.3375793336190398
115,2024-04-29 07:45:00+00:00,116505,2024-04-29 09:45:00+00:00,116513,2024-04-29 07:45:00+00:00,116513,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,62336.0,62660.01,62325.3,62536.01,334.7099999999991,116601,0.3981756127218976,0.3981756127218976,0.2097480591751839,115,62368.655,False,,,NO_FILL,0.0,0.0,0.0,0.005366638097294212,,54,2,True,False,0.0
116,2024-05-01 11:45:00+00:00,116713,2024-05-01 12:00:00+00:00,116714,2024-05-01 11:45:00+00:00,116714,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,57898.46,58250.0,57729.89,58220.01,520.1100000000006,116809,0.3827823452509531,0.3827823452509531,0.2339581002127047,116,57959.955,True,2024-05-01 12:15:00+00:00,116715.0,SL,-1.0,0.05571893926284819,-1.055718939262848,0.008973609451560142,2024-05-01 13:30:00+00:00,54,2,True,True,-1.055718939262848
117,2024-05-06 11:45:00+00:00,117193,2024-05-06 12:15:00+00:00,117195,2024-05-06 11:45:00+00:00,117195,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,64164.75,64164.76,63750.04,63821.01,414.72000000000116,117289,0.3826021337630398,0.3826021337630398,0.1594260223819499,117,64028.37,True,2024-05-06 12:30:00+00:00,117196.0,TP,1.5,0.0771946976273146,1.4228053023726854,0.006477128810244602,2024-05-06 12:45:00+00:00,54,3,True,True,1.4228053023726854
118,2024-05-16 03:45:00+00:00,118121,2024-05-16 04:00:00+00:00,118122,2024-05-16 03:45:00+00:00,118122,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65975.39,66006.42,65893.33,65920.28,113.08999999999651,118217,0.3439796960276934,0.3439796960276934,0.1387018403710956,118,65976.825,False,,,NO_FILL,0.0,0.0,0.0,0.0017140867266649542,,55,0,False,False,0.0
119,2024-05-19 11:45:00+00:00,118441,2024-05-19 12:15:00+00:00,118443,2024-05-19 11:45:00+00:00,118443,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67245.99,67246.0,66852.92,66900.01,393.08000000000175,118537,0.334875251782128,0.334875251782128,0.1321055189079243,119,67096.54999999999,False,,,NO_FILL,0.0,0.0,0.0,0.005858423421174439,,55,0,False,False,0.0
120,2024-06-05 03:45:00+00:00,120041,2024-06-05 05:00:00+00:00,120046,2024-06-05 03:45:00+00:00,120046,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,71168.54,71196.0,70900.12,70900.12,295.88000000000466,120137,0.3298581389651072,0.3298581389651072,0.1613702724623669,120,71048.06,True,2024-06-05 05:15:00+00:00,120047.0,SL,-1.0,0.12006228876571394,-1.120062288765714,0.004164504984372616,2024-06-05 07:30:00+00:00,56,0,False,False,0.0
