available_time,close,atr14,bias,D1_HTF_BIAS,D2_TREND_PRESSURE,D14_CONCORDANCE,resolution,target_dir,touch_time,time_to_touch_min,close_ret_atr_24h
2022-10-10 04:00:00,1694.58,9.92412693359353,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-10-10 10:44:00,404.0,-2.2389878876684377
2022-10-10 08:00:00,1686.67,10.001689295479707,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-10-10 14:42:00,402.0,-2.3446039271184262
2022-10-19 04:00:00,1653.07,9.671405823203296,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-19 09:23:00,323.0,-2.5466825040997096
2022-10-19 08:00:00,1646.32,9.534876835831648,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-19 13:22:00,322.0,-1.413757118428921
2022-10-19 12:00:00,1640.78,9.580957061843662,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-19 15:22:00,202.0,-1.2013413613801462
2022-10-19 16:00:00,1634.9,9.737317271711987,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-0.23517771231023776
2022-10-20 08:00:00,1632.84,8.973732262530348,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.228028614806549
2022-10-20 12:00:00,1629.27,8.901322815206754,BEAR,-1,-1,-1,BULL_FIRST,1.0,2022-10-20 13:43:00,103.0,-0.9740125349895752
2022-10-20 16:00:00,1632.61,9.027656899834849,BEAR,-1,-1,-1,BULL_FIRST,1.0,2022-10-20 17:20:00,80.0,-0.15064817095837787
2022-10-20 20:00:00,1636.23,9.472109978418073,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-20 22:20:00,140.0,1.606822559564696
2022-10-21 00:00:00,1627.87,9.61910212281678,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,2.97740887188059
2022-10-21 04:00:00,1626.82,9.16345197118701,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-21 10:14:00,374.0,
2022-10-21 08:00:00,1621.82,9.081062544673651,BEAR,-1,-1,-1,BULL_FIRST,1.0,2022-10-21 15:58:00,478.0,
2022-10-28 04:00:00,1661.89,8.770562702805991,NEUTRAL,0,1,0,BEAR_FIRST,-1.0,2022-10-28 10:13:00,373.0,
2022-10-28 08:00:00,1664.5,8.564808224034143,NEUTRAL,0,1,0,BEAR_FIRST,-1.0,2022-10-28 10:00:00,120.0,
2022-10-31 04:00:00,1642.21,8.796709555405332,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-0.9469449852281839
2022-10-31 08:00:00,1644.33,8.521944587162098,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-10-31 11:34:00,214.0,-0.758042948288084
2022-10-31 12:00:00,1637.06,8.629662830936248,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,1.206304371786294
2022-10-31 16:00:00,1637.06,8.47397262872652,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,1.99552214066348
2022-11-02 12:00:00,1652.25,7.988813824047955,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,-3.1343827195752727
2022-11-02 16:00:00,1656.91,7.913184265187375,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-11-02 17:33:00,93.0,-4.882990046117061
2022-11-17 04:00:00,1769.77,9.714791581837817,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.704080982322623
2022-11-17 08:00:00,1763.01,9.628020754563687,BULL,1,0,0,NO_BREAKOUT,0.0,,,0.10594077703005586
2022-11-17 12:00:00,1765.46,9.526733557809141,BULL,1,0,0,BEAR_FIRST,-1.0,2022-11-17 16:00:00,240.0,-0.1333090709731199
2022-11-17 16:00:00,1756.58,9.654109732251342,BULL,1,0,0,NO_BREAKOUT,0.0,,,0.3739340136087591
2022-11-17 20:00:00,1760.2,9.567387608519107,BULL,1,0,0,NO_BREAKOUT,0.0,,,-0.9271078337102164
2022-11-18 00:00:00,1760.59,9.088288493624878,BULL,1,0,0,NO_BREAKOUT,0.0,,,-1.1806403381150086
2022-11-18 04:00:00,1762.93,8.81412502979453,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2022-11-18 08:00:00,1764.03,8.50668752766635,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2022-11-18 12:00:00,1764.19,8.395495561404472,BULL,1,0,0,BEAR_FIRST,-1.0,2022-11-18 16:29:00,269.0,
2022-11-18 16:00:00,1760.19,8.33510302130415,BULL,1,0,0,BEAR_FIRST,-1.0,2022-11-18 16:49:00,49.0,
2022-11-18 20:00:00,1751.33,8.544738519782424,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2022-11-19 00:00:00,1749.86,8.31368576836939,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2022-11-21 04:00:00,1746.25,8.334136784914428,BULL,1,0,0,BEAR_FIRST,-1.0,2022-11-21 11:44:00,464.0,-0.3179693432434227
2022-11-21 08:00:00,1746.68,7.9888413002776835,BULL,1,0,0,BEAR_FIRST,-1.0,2022-11-21 11:42:00,222.0,-0.6358869589540574
