entry_time,D_time,side
2024-03-26 04:00:00,2024-03-25 20:00:00,1
2024-04-08 20:00:00,2024-04-08 12:00:00,1
2024-04-13 12:00:00,2024-04-13 04:00:00,-1
2024-04-14 08:00:00,2024-04-14 00:00:00,-1
2024-04-22 16:00:00,2024-04-22 08:00:00,1
2024-05-01 00:00:00,2024-04-30 16:00:00,-1
2024-05-16 00:00:00,2024-05-15 16:00:00,1
2024-06-03 20:00:00,2024-06-03 12:00:00,1
2024-06-05 04:00:00,2024-06-04 20:00:00,1
2024-06-21 20:00:00,2024-06-21 12:00:00,-1
2024-06-25 00:00:00,2024-06-24 16:00:00,-1
2024-07-04 16:00:00,2024-07-04 08:00:00,-1
2024-07-21 01:00:00,2024-07-20 16:00:00,1
2024-08-03 20:00:00,2024-08-03 12:00:00,-1
2024-08-05 04:00:00,2024-08-04 20:00:00,-1
2024-08-16 08:00:00,2024-08-16 00:00:00,-1
2024-09-04 16:00:00,2024-09-04 08:00:00,-1
2024-09-07 04:00:00,2024-09-06 20:00:00,-1
2024-09-19 12:00:00,2024-09-19 04:00:00,1
2024-10-12 12:00:00,2024-10-12 04:00:00,1
2024-10-14 16:00:00,2024-10-14 08:00:00,1
2024-10-16 04:00:00,2024-10-15 20:00:00,1
2024-10-29 08:00:00,2024-10-29 00:00:00,1
2024-11-06 12:00:00,2024-11-06 04:00:00,1
2024-11-12 04:00:00,2024-11-11 20:00:00,1
2024-12-05 16:00:00,2024-12-05 08:00:00,1
2024-12-16 12:00:00,2024-12-16 04:00:00,1
2024-12-28 04:00:00,2024-12-27 20:00:00,-1
2025-01-04 04:00:00,2025-01-03 20:00:00,1
2025-01-07 04:00:00,2025-01-06 20:00:00,1
2025-02-03 00:00:00,2025-02-02 16:00:00,-1
2025-02-03 04:00:00,2025-02-02 20:00:00,-1
2025-02-19 04:00:00,2025-02-18 20:00:00,-1
2025-02-25 04:00:00,2025-02-24 20:00:00,-1
2025-02-27 04:00:00,2025-02-26 20:00:00,-1
2025-03-11 04:00:00,2025-03-10 20:00:00,-1
2025-03-29 04:00:00,2025-03-28 20:00:00,-1
2025-04-07 08:00:00,2025-04-07 00:00:00,-1
2025-04-21 12:00:00,2025-04-21 04:00:00,1
2025-04-23 04:00:00,2025-04-22 20:00:00,1
2025-05-08 16:00:00,2025-05-08 08:00:00,1
2025-05-09 04:00:00,2025-05-08 20:00:00,1
2025-05-22 04:00:00,2025-05-21 20:00:00,1
2025-06-10 00:00:00,2025-06-09 16:00:00,1
2025-06-23 04:00:00,2025-06-22 20:00:00,-1
2025-07-03 04:00:00,2025-07-02 20:00:00,1
2025-07-10 08:00:00,2025-07-10 00:00:00,1
2025-07-11 04:00:00,2025-07-10 20:00:00,1
2025-08-10 16:00:00,2025-08-10 08:00:00,1
2025-08-18 16:00:00,2025-08-18 08:00:00,-1
2025-08-26 08:00:00,2025-08-26 00:00:00,-1
2025-08-31 04:00:00,2025-08-30 20:00:00,-1
2025-09-22 12:00:00,2025-09-22 04:00:00,-1
2025-09-30 04:00:00,2025-09-29 20:00:00,1
2025-10-03 04:00:00,2025-10-02 20:00:00,1
2025-10-04 04:00:00,2025-10-03 20:00:00,1
2025-10-11 12:00:00,2025-10-11 04:00:00,-1
2025-10-17 04:00:00,2025-10-16 20:00:00,-1
2025-10-27 00:00:00,2025-10-26 16:00:00,1
2025-11-03 16:00:00,2025-11-03 08:00:00,-1
2025-11-04 16:00:00,2025-11-04 08:00:00,-1
2025-11-13 04:00:00,2025-11-12 20:00:00,-1
2025-11-14 16:00:00,2025-11-14 08:00:00,-1
2025-11-21 20:00:00,2025-11-21 12:00:00,-1
2025-12-01 12:00:00,2025-12-01 04:00:00,-1
2025-12-16 04:00:00,2025-12-15 20:00:00,-1
2025-12-26 16:00:00,2025-12-26 08:00:00,1
