signal_ts,confirm_ts,entry_ts,side,atr,entry,signal_to_confirm_s,confirm_to_entry_s,mfe_1h,mae_1h,tmfe_1h,tmae_1h,mfe_3h,mae_3h,tmfe_3h,tmae_3h,mfe_6h,mae_6h,tmfe_6h,tmae_6h,mfe_12h,mae_12h,tmfe_12h,tmae_12h,mfe_24h,mae_24h,tmfe_24h,tmae_24h,fav0.25_before_mae1,fav0.5_before_mae1,fav1.0_before_mae1,fav1.5_before_mae1,fav2.0_before_mae1,fav3.0_before_mae1
1784900100,1784900237,1784900285,-1,157.18571428571522,64334.715,137,48,4.254298827592427,0.5260338089612208,2662,427,4.254298827592427,0.5260338089612208,2662,427,4.254298827592427,0.5260338089612208,2662,427,4.254298827592427,0.5260338089612208,2662,427,4.254298827592427,0.5260338089612208,2662,427,1,1,1,1,1,1
1784900400,1784900407,1784900619,-1,157.18571428571522,64316.815,7,212,4.14042079432881,0.6399118422248384,2328,93,4.14042079432881,0.6399118422248384,2328,93,4.14042079432881,0.6399118422248384,2328,93,4.14042079432881,0.6399118422248384,2328,93,4.14042079432881,0.6399118422248384,2328,93,1,1,1,1,1,1
1784903700,1784904362,1784904615,-1,218.67857142857196,63865.8375,662,253,0.1899477380369029,2.011914094398173,1016,3030,0.1899477380369029,2.011914094398173,1016,3030,0.1899477380369029,2.011914094398173,1016,3030,0.1899477380369029,2.011914094398173,1016,3030,0.48170014698677666,2.011914094398173,64921,3030,0,0,0,0,0,0
1784904900,1784905618,1784905851,-1,217.90714285714316,63979.067500000005,718,233,0.19764152489594664,1.4994116104500506,551,1794,0.5725718687514413,1.4994116104500506,5838,1794,0.5725718687514413,1.4994116104500506,5838,1794,0.5725718687514413,1.4994116104500506,5838,1794,1.0030304520274236,1.4994116104500506,63685,1794,0,0,0,0,0,0
1785044100,1785044369,1785045161,1,55.35714285714182,64411.625,269,792,0.12599999999997608,2.8040645161290585,13,1831,0.9641935483871149,2.8040645161290585,10799,1831,2.6315483870968763,2.8040645161290585,17589,1831,8.984838709677588,2.8040645161290585,38382,1831,20.654516129032647,2.8040645161290585,62198,1831,0,0,0,0,0,0
1785045600,1785045873,1785045975,1,59.799999999998754,64365.07,273,102,1.237959866220742,1.8172240802675672,3362,1017,2.055685618729145,1.8172240802675672,10717,1017,4.3734113712375295,1.8172240802675672,21599,1017,9.095819397993505,1.8172240802675672,37568,1017,20.952006688963653,1.8172240802675672,86400,1017,0,0,0,0,0,0
1785105600,1785105607,1785106554,1,91.52142857142773,65359.4675,7,947,2.1364668695856093,1.2441621790369302,805,2131,2.1364668695856093,5.326266292047175,805,9580,2.1364668695856093,5.326266292047175,805,9580,3.9666393506595354,5.326266292047175,25828,9580,3.9666393506595354,15.53698977600887,25828,86273,1,1,1,1,1,0
1785106800,1785106804,1785107991,1,111.72857142857121,65345.594999999994,4,1187,0.8449494949495513,2.5212440864338967,1623,3587,0.8449494949495513,4.2387993862676945,1623,8143,1.2441311852704697,4.2387993862676945,18158,8143,3.3733985423859454,4.2387993862676945,24391,8143,3.3733985423859454,15.918891446106612,24391,85404,1,1,0,0,0,0
1785155100,1785156312,1785156719,1,102.78571428571377,64993.725,1212,407,6.770152883947291,1.0548644892285939,3470,2023,6.770152883947291,6.025399583043782,3470,9967,6.770152883947291,6.025399583043782,3470,9967,6.770152883947291,14.909902710215517,3470,40747,6.770152883947291,19.192599027102236,3470,44171,1,1,1,0,0,0
1785159900,1785160187,1785160206,1,176.30000000000084,65575.995,287,19,0.34205899035738674,6.563216108905209,104,3269,0.34205899035738674,6.815626772546728,104,6480,0.34205899035738674,6.815626772546728,104,6480,0.34205899035738674,14.492314237095764,104,40684,0.34205899035738674,16.539393079977216,104,86263,1,0,0,0,0,0
1785160800,1785160850,1785161196,1,206.0714285714296,65117.275,50,346,1.417105719237435,3.388994800693224,197,2279,1.417105719237435,3.604939341421126,197,5490,1.417105719237435,3.604939341421126,197,5490,1.417105719237435,10.172564991334445,197,39694,1.417105719237435,11.923899480069279,197,85273,1,1,1,0,0,0
1785194100,1785194127,1785194330,-1,167.65714285714316,63824.28,27,203,2.16561008861623,0.4731083844580751,3136,435,4.791206543967265,0.4731083844580751,6560,435,4.791206543967265,0.4731083844580751,6560,435,4.791206543967265,0.4731083844580751,6560,435,6.94381390593046,1.5520961145194316,52139,63262,1,1,1,1,1,1
1785195900,1785197239,1785197900,-1,190.60714285714337,63721.7125,1339,661,3.676213228405469,0.380822559490357,2990,136,3.676213228405469,0.380822559490357,2990,136,3.676213228405469,0.380822559490357,2990,136,3.676213228405469,0.380822559490357,2990,136,5.569636499906315,2.378124414465041,48569,85638,1,1,1,1,1,1
1785246000,1785246005,1785246021,1,142.5857142857146,62893.395000000004,5,16,3.2472046889089015,1.6361737300872008,3349,448,7.860570083157934,1.6361737300872008,7633,448,8.353606853020692,1.6361737300872008,11571,448,8.988312794309138,1.6361737300872008,37517,448,12.78182045887181,1.6361737300872008,73057,448,1,1,1,0,0,0
1785249900,1785251070,1785251400,-1,221.55000000000032,63404.842500000006,1170,330,0.3459377115775622,2.750428797111217,91,2254,0.3459377115775622,3.0677386594447884,91,6192,0.3459377115775622,3.0677386594447884,91,6192,0.3459377115775622,3.4762243285939642,91,32138,0.3459377115775622,5.917659670503243,91,67678,1,0,0,0,0,0
1785252300,1785252484,1785253585,-1,221.75,63928.6125,184,1101,0.8217023675310099,0.3859639233370651,2689,69,2.0356820744081436,0.702987598647112,6719,4007,2.0356820744081436,0.702987598647112,6719,4007,2.0356820744081436,1.1111048478015653,6719,29953,2.0356820744081436,3.5503382187147623,6719,65493,1,1,1,1,1,0
1785254400,1785257477,1785258614,1,278.14285714285717,63802.15,3077,1137,0.10048793014893663,1.1682845403184543,182,1690,0.5761427837699024,1.1682845403184543,10486,1690,0.8835387776065742,1.1682845403184543,16554,1690,1.3404982023626038,1.1682845403184543,24924,1690,3.285182331792501,1.1682845403184543,60464,1690,0,0,0,0,0,0
1785279000,1785279381,1785279601,1,109.3571428571413,63753.725,381,220,1.6512410189419315,2.082397126061414,3531,1546,3.852286087524562,2.082397126061414,3937,1546,3.852286087524562,2.082397126061414,3937,1546,8.79846505551942,2.082397126061414,39477,1546,8.79846505551942,4.752547354670205,39477,79515,0,0,0,0,0,0
1785346500,1785349942,1785350003,-1,232.0,63931.2,3442,61,0.41120689655169906,2.968965517241392,138,1245,3.005172413793091,2.968965517241392,9113,1245,3.005172413793091,2.968965517241392,9113,1245,3.005172413793091,2.968965517241392,9113,1245,3.005172413793091,5.283620689655185,9113,69373,1,0,0,0,0,0
1785378900,1785379274,1785380230,1,175.20714285714243,64158.4775,374,956,0.7095743813445443,0.28239430877737126,1199,919,0.7095743813445443,1.5837111174528198,1199,8788,1.0052244282278011,1.5837111174528198,20887,8788,5.699096987239603,1.5837111174528198,39146,8788,7.036371234049521,1.5837111174528198,80024,8788,1,1,0,0,0,0
1785404100,1785404103,1785404500,1,131.3357142857151,64534.0325,3,397,0.6301979659542161,0.0482161309621235,384,1,3.6666911404796436,0.14415347800078043,9159,4916,4.74332136835804,0.14415347800078043,14876,4916,4.74332136835804,0.14415347800078043,14876,4916,6.52729917876758,7.102656768368942,55754,85890,1,1,1,1,1,1
1785507000,1785507007,1785507083,-1,127.58571428571408,62682.354999999996,7,76,1.4065446198633562,1.440952860821868,945,61,1.7584648975478379,1.8109002351360892,4506,7965,1.7584648975478379,4.6505598477214365,4506,13783,1.7584648975478379,4.6505598477214365,4506,13783,1.7584648975478379,4.6505598477214365,4506,13783,0,0,0,0,0,0
1785507300,1785507306,1785508498,-1,184.3999999999999,62734.14,6,1192,1.49750542299349,0.32895878524947686,3091,28,1.49750542299349,1.767136659436013,3091,10782,1.49750542299349,2.936876355748362,3091,12368,1.49750542299349,2.936876355748362,3091,12368,1.49750542299349,2.936876355748362,3091,12368,1,1,1,0,0,0
1785508500,1785508735,1785509368,-1,194.778571428571,62781.1725,235,633,1.659178921119226,0.020163922402717957,2221,2,1.659178921119226,1.7549543437603146,2221,10715,1.659178921119226,2.538921485936399,2221,11498,1.659178921119226,2.538921485936399,2221,11498,1.659178921119226,2.538921485936399,2221,11498,1,1,1,1,0,0
1785600300,1785602230,1785602521,1,32.03571428571532,62947.0875,1930,291,0.6996098104793076,7.444425863990931,1533,3310,0.6996098104793076,22.421460423633565,1533,6552,0.6996098104793076,22.421460423633565,1533,6552,18.570289855071817,22.421460423633565,33961,6552,21.00507246376739,22.421460423633565,44392,6552,0,0,0,0,0,0
1785605700,1785605714,1785605831,1,61.94285714285642,62712.92,14,117,1.4187269372694644,7.815590405904075,354,3242,1.4187269372694644,7.815590405904075,354,3242,2.130673431734394,7.815590405904075,14260,3242,14.643819188192081,7.815590405904075,41082,3242,14.643819188192081,7.815590405904075,41082,3242,1,1,1,0,0,0
1785606000,1785606035,1785606647,1,61.94285714285642,62721.12,35,612,0.6325184501845139,7.947970479704885,0,2426,0.6325184501845139,7.947970479704885,0,2426,1.998293357933584,7.947970479704885,13444,2426,14.51143911439127,7.947970479704885,40266,2426,14.51143911439127,7.947970479704885,40266,2426,1,1,0,0,0,0
1785607500,1785607574,1785608119,1,73.47142857142742,62648.784999999996,74,545,0.0124538207272141,5.716303713785726,0,954,1.7587108691426028,5.716303713785726,9996,954,4.099756951195916,5.716303713785726,21373,954,13.21894808477568,5.716303713785726,38794,954,13.21894808477568,5.716303713785726,38794,954,0,0,0,0,0,0
1785637800,1785637853,1785638301,1,122.42142857142919,63336.752499999995,53,448,1.5736419861135866,0.2773411517590802,2585,211,2.3137085010794385,0.2773411517590802,8612,211,2.3137085010794385,0.2773411517590802,8612,211,2.3137085010794385,3.068519166812489,8612,33559,3.6125007293307885,3.068519166812489,70414,33559,1,1,1,1,1,0
1785644700,1785646591,1785647299,1,143.78571428571377,63467.175,1891,708,0.14135618479878803,0.5861152508693614,0,2039,0.32704918032782954,0.5861152508693614,9286,2039,0.32704918032782954,2.7949577744659813,9286,14203,0.32704918032782954,3.5196472925981555,9286,24561,2.16867858917038,5.2242672627918925,61416,86246,1,0,0,0,0,0
1785716400,1785716528,1785716898,1,167.30714285714254,63309.4425,128,370,0.5412649959441741,1.3235687145113646,750,3532,0.5412649959441741,1.5805810528113267,750,10675,0.5412649959441741,3.5470242923621993,750,16647,0.5412649959441741,6.223538829355775,750,29172,4.47893309994454,6.223538829355775,68796,29172,1,1,0,0,0,0
1785749100,1785749239,1785749637,-1,120.25714285714275,62661.09,139,398,0.4439653124257499,1.54011641720129,248,1396,2.171097647897336,1.54011641720129,9268,1396,2.171097647897336,10.80110477548115,9268,19566,2.171097647897336,11.62267759562848,9268,36057,2.171097647897336,13.12778569731534,9268,69238,1,0,0,0,0,0
1785766200,1785766232,1785766837,1,198.25000000000105,63190.8125,32,605,3.8798865069356667,0.29161412358133515,2366,53,3.8798865069356667,0.29161412358133515,2366,53,4.378247162673383,0.29161412358133515,18857,53,4.378247162673383,0.29161412358133515,18857,53,5.2912358133669475,0.29161412358133515,52038,53,1,1,1,1,1,1
1785770100,1785771619,1785771720,1,279.47857142857225,63691.5825,1519,101,0.772214838858092,0.29119406036751927,2594,983,1.280661691415143,0.29119406036751927,6171,983,1.3139379456641374,0.29119406036751927,13974,983,1.3139379456641374,1.4361834538809466,13974,33244,1.9615725713701697,1.4361834538809466,47155,33244,1,1,1,0,0,0
1785807300,1785807355,1785807607,-1,125.18571428571418,63702.815,55,252,0.407514549811704,2.043244322720501,3000,3401,0.6287858039484502,2.3739529841378357,5983,10798,1.7798756133744351,4.289507018144479,20646,11268,2.1888679675910048,4.289507018144479,30928,11268,2.1888679675910048,6.471065845030239,30928,77896,0,0,0,0,0,0
1785807900,1785808046,1785808316,-1,137.72142857142848,63836.402500000004,146,270,1.3404050619781205,0.8872802240547315,2291,2692,1.5415357087288395,2.9290830351122823,5274,10559,2.5878507338831267,2.9290830351122823,19937,10559,2.9596156838338343,2.9290830351122823,30219,10559,2.9596156838338343,4.912071469322117,30219,77187,1,1,1,1,0,0
1785840600,1785840615,1785840761,-1,100.4142857142854,63774.745,15,146,0.948520415421853,1.4953549580310075,1393,3568,0.948520415421853,3.039955896998134,1393,10264,1.9185019206146432,4.235004979371164,11289,17793,1.9185019206146432,6.202852468345405,11289,35467,1.9185019206146432,7.351095461658853,11289,44742,1,1,0,0,0,0
1785840900,1785842154,1785842494,-1,100.4142857142854,63747.44500000001,1254,340,0.5521624697681748,1.7781832408592333,655,2127,1.6466282543748225,3.311829563237955,9556,8531,1.6466282543748225,4.506878645610985,9556,16060,1.6466282543748225,7.622969127898674,9556,43009,1.6466282543748225,7.622969127898674,9556,43009,1,1,0,0,0,0
1785898800,1785898836,1785899930,1,132.96428571428729,64293.762500000004,36,1094,0.007050765511629321,2.13337362342199,0,686,1.551074402363634,2.13337362342199,7677,686,1.551074402363634,2.4921165726564523,7677,15918,3.2695809830780913,3.3600188020413575,42720,37070,5.4769406392693085,3.3600188020413575,61329,37070,0,0,0,0,0,0
1785939600,1785942572,1785942969,1,194.75,64451.8375,2972,397,1.2747753530166732,0.5295892169448234,1389,2615,1.7132862644415843,0.5295892169448234,10773,2615,2.927663671373548,0.5295892169448234,18290,2615,2.927663671373548,0.5295892169448234,18290,2615,2.927663671373548,1.7501283697047572,18290,79742,1,1,1,1,1,0
1785983100,1785983263,1785984320,-1,99.15714285714317,64555.005000000005,163,1057,0.8431566056764451,0.14618210632468964,3561,8,0.9389641262066278,4.202369975507763,4781,8598,0.9389641262066278,4.202369975507763,4781,8598,4.477791384526758,4.202369975507763,38391,8598,4.477791384526758,4.202369975507763,38391,8598,1,1,0,0,0,0
