R,signal_ts,entry_ts,exit_ts,side,exit_reason,hold_min
-0.18046461103541012,1628552700,1628554380,1628640780,1,TIME,1440.0
1.6812301172401816,1628779500,1628784120,1628870520,1,TIME,1440.0
0.9890478665903144,1628885700,1628887800,1628974200,-1,TIME,1440.0
-1.0023817592487907,1629071100,1629072960,1629121920,1,SL,816.0
0.48168361458777753,1629130500,1629132480,1629218880,-1,TIME,1440.0
-1.0026009756252612,1629273600,1629275100,1629343740,1,SL,1144.0
2.2190325549737655,1629446400,1629448500,1629470340,1,TP,364.0
0.48505093374958,1629470700,1629471660,1629558060,1,TIME,1440.0
0.15585862797416172,1629675900,1629678660,1629765060,1,TIME,1440.0
-1.002267358481532,1629883800,1629885660,1629902940,-1,SL,288.0
-1.0022139173672542,1629906300,1629907860,1629955440,1,SL,793.0
0.3504734205890537,1630209600,1630211640,1630298040,-1,TIME,1440.0
-1.0027394915611187,1630397700,1630398900,1630443240,1,SL,739.0
-1.0027470804999499,1630448100,1630449900,1630498920,-1,SL,817.0
0.4692962396232453,1630519200,1630521060,1630607460,1,TIME,1440.0
0.12299679955748123,1630713600,1630714680,1630801080,-1,TIME,1440.0
2.2188066958900827,1630854000,1630857060,1630875600,1,TP,309.0
-1.0047592861237986,1630917900,1630919280,1630965780,-1,SL,775.0
2.2187705462984626,1631000700,1631002560,1631007840,-1,TP,88.0
-0.522178114508119,1631148300,1631152980,1631239380,-1,TIME,1440.0
-1.0016730878087503,1631313900,1631315160,1631378280,-1,SL,1052.0
-0.4534869228299056,1631385000,1631386620,1631473020,-1,TIME,1440.0
-1.0024682147793966,1631480400,1631482380,1631487660,-1,SL,88.0
1.959690332786825,1631682900,1631683980,1631770380,1,TIME,1440.0
2.2194757401472462,1632057300,1632059280,1632106920,-1,TP,794.0
-0.28071257538104966,1632184200,1632186000,1632272400,1,TIME,1440.0
0.39199720822955203,1632365100,1632368460,1632454860,1,TIME,1440.0
-1.0021414084991689,1632521700,1632524940,1632558720,1,SL,563.0
-1.0019377504079428,1632559500,1632561060,1632641880,1,SL,1347.0
-0.3185349044800023,1632816900,1632818580,1632904980,-1,TIME,1440.0
2.217132426884124,1633252500,1633254120,1633283400,1,TP,488.0
2.219560601923734,1633284000,1633285260,1633359720,-1,TP,1241.0
2.2186995489250796,1633422600,1633424040,1633463400,1,TP,656.0
-1.0016522528674303,1633517100,1633518120,1633525860,-1,SL,129.0
-0.31312100693719774,1633567500,1633569240,1633655640,1,TIME,1440.0
-0.18934984337568192,1633685400,1633687140,1633773540,1,TIME,1440.0
-1.002569563176255,1633833900,1633835700,1633841640,-1,SL,99.0
2.219589816025843,1633998600,1633999560,1634069220,-1,TP,1161.0
-1.0032941634538053,1634103900,1634106780,1634112240,1,SL,91.0
-1.0014814787760347,1634117400,1634118540,1634143380,-1,SL,414.0
-1.0028107625561873,1634200200,1634203020,1634264880,-1,SL,1031.0
2.220457440332864,1634265900,1634267640,1634329020,1,TP,1023.0
0.4560938312653374,1634376600,1634379060,1634465460,-1,TIME,1440.0
-1.0036920234190567,1634499900,1634501760,1634507760,-1,SL,100.0
-1.0023357380408144,1634615100,1634618400,1634653620,1,SL,587.0
1.6732395849831987,1634664600,1634666880,1634753280,1,TIME,1440.0
-1.0021388905457724,1634782500,1634783520,1634807220,-1,SL,395.0
-1.0024940637521864,1634889600,1634891460,1634911320,1,SL,331.0
-0.18375589775699389,1634915700,1634916780,1635003180,-1,TIME,1440.0
-1.0024124142407873,1635075900,1635078120,1635123420,-1,SL,755.0
0.2112507820008151,1635148800,1635149820,1635236220,1,TIME,1440.0
2.2188819680457246,1635279300,1635281400,1635285840,-1,TP,74.0
0.3350561487883817,1635576300,1635578400,1635664800,-1,TIME,1440.0
-1.0029871194710118,1635791400,1635793260,1635831000,-1,SL,629.0
0.08048879750867695,1635948900,1635951060,1636037460,-1,TIME,1440.0
0.2992358675837657,1636039800,1636042260,1636128660,-1,TIME,1440.0
1.4946129599366016,1636333200,1636334760,1636421160,1,TIME,1440.0
-1.003562632361109,1636458300,1636459680,1636474320,1,SL,244.0
-1.0018375734734708,1636477200,1636479180,1636553520,-1,SL,1239.0
0.07609414381778935,1636578000,1636579920,1636666320,-1,TIME,1440.0
-1.0027943696693182,1636915500,1636917720,1636933680,-1,SL,266.0
-1.0031568999545903,1636969500,1636970580,1636987800,1,SL,287.0
2.219577965568568,1636990200,1636991160,1637024580,-1,TP,557.0
0.7465327024389317,1637038800,1637040600,1637127000,-1,TIME,1440.0
2.219975609944826,1637208000,1637210880,1637254860,-1,TP,733.0
1.2705529447646005,1637348400,1637350200,1637436600,1,TIME,1440.0
-1.0029163863792978,1637475300,1637476440,1637514120,-1,SL,628.0
-1.002297197489354,1637540100,1637541900,1637557740,1,SL,264.0
-1.0027647029432083,1637708400,1637711880,1637720640,1,SL,146.0
-1.0022738396502535,1637753400,1637756280,1637800980,-1,SL,745.0
-1.0027182757836048,1638021600,1638022740,1638066900,1,SL,736.0
-1.0028547914938555,1638098100,1638099660,1638124680,1,SL,417.0
-1.0029792582607828,1638180000,1638181920,1638252060,1,SL,1169.0
-1.002066553665464,1638369000,1638370200,1638390300,1,SL,335.0
2.2198740797672514,1638543600,1638544560,1638561660,-1,TP,285.0
-1.001845160974552,1638777600,1638780480,1638827280,-1,SL,780.0
-1.0024237697498477,1638881100,1638883320,1638959820,1,SL,1275.0
-1.0016803671427894,1639087200,1639090140,1639143000,-1,SL,881.0
0.6527337388253617,1639239300,1639241340,1639327740,1,TIME,1440.0
0.39754121918474983,1639409400,1639411560,1639497960,-1,TIME,1440.0
-1.0025156232242562,1639559700,1639563420,1639574700,1,SL,188.0
-1.001772397896317,1639582200,1639584180,1639594080,-1,SL,165.0
0.6413515484531757,1639730700,1639732740,1639819140,-1,TIME,1440.0
1.2095169837517097,1640141100,1640142060,1640228460,-1,TIME,1440.0
1.2377137953157675,1640429100,1640430480,1640516880,-1,TIME,1440.0
-0.1941308754940426,1640556900,1640558820,1640645220,1,TIME,1440.0
1.2809664804907233,1640657700,1640661720,1640748120,-1,TIME,1440.0
-1.0016760821058275,1640822400,1640823840,1640890380,-1,SL,1109.0
2.2172750043314,1642662000,1642665120,1642690500,1,TP,423.0
2.2204299934470053,1642715100,1642716180,1642735680,-1,TP,325.0
-1.0007959430989464,1642802400,1642803480,1642846200,1,SL,712.0
0.3416015708823437,1643468400,1643469600,1643556000,1,TIME,1440.0
2.2178771983869487,1643629500,1643630640,1643647560,1,TP,282.0
-1.002298664205913,1643708700,1643712300,1643734620,-1,SL,372.0
1.6861199349001972,1643813100,1643814060,1643900460,-1,TIME,1440.0
-1.0024514569842478,1644158700,1644160020,1644189600,-1,SL,493.0
2.2194701621112936,1644300000,1644303480,1644333360,-1,TP,498.0
-1.0021053536644902,1644398100,1644401340,1644434880,-1,SL,559.0
-1.002981452721909,1644465600,1644469020,1644487980,-1,SL,316.0
-1.0030508507755844,1644489000,1644491880,1644499920,1,SL,134.0
0.2498284474334246,1644650100,1644654420,1644740820,1,TIME,1440.0
-1.0028626007322803,1644766200,1644767460,1644802080,1,SL,577.0
-0.1708661353457272,1644929100,1644931320,1645017720,1,TIME,1440.0
1.3581486732673267,1645107300,1645110180,1645196580,-1,TIME,1440.0
-1.0024531860286514,1645625700,1645626720,1645639560,1,SL,214.0
-1.0020668525372192,1645991100,1645992060,1646035680,-1,SL,727.0
2.2206821236946683,1646037900,1646040660,1646064120,1,TP,391.0
-0.4262769992150402,1646088300,1646089440,1646175840,-1,TIME,1440.0
-0.2687809696188436,1646181900,1646183940,1646270340,1,TIME,1440.0
