signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1780051500,1780052298,1780054293,BUY,-1.2591665470892606,140.92912946428572,73426.0234375,73728.63699776786,1.7178197944920586,0.008703399394167376,trail,2.647274743115088,798
1780062300,1780065057,1780070100,SELL,1.9639187837926952,150.88950892857142,73505.2734375,73296.6875,1.1059002788523415,0.0066273659918489325,signal,2.2459522030814294,2757
1780073100,1780073259,1780073502,BUY,-1.6323268361434853,159.03738839285714,73310.390625,73111.59388950893,-0.9999999999999687,0.006287829611045808,stop,0.05713082685661152,159
1780098600,1780100545,1780101204,SELL,1.0067071530666818,229.72321428571428,73569.6328125,73535.17433035714,0.12000000000000291,0.014827626413774341,be,0.570251467215982,1945
1780164000,1780164844,1780176272,BUY,-1.0765122398201097,179.34319196428572,73979.21875,74006.12022879464,0.11999999999997031,0.005575901650056163,be,0.5428662997109368,844
1780176300,1780177482,1780183888,BUY,-1.2143869903894322,136.08928571428572,74064.2265625,73894.11495535714,-0.9999999999999877,0.007348117045007216,stop,0.25752853956173727,1182
1780189800,1780192921,1780193205,BUY,-1.0285687847090912,86.69642857142857,73911.4921875,73924.49665178571,0.11999999999996164,0.016040164778578784,be,0.6885556127703398,3121
1780200600,1780200662,1780201706,BUY,-2.4992432236235564,99.64341517857143,74126.328125,74141.27463727679,0.12000000000001,0.01003578608990765,be,1.2347153073739505,62
1780211400,1780212063,1780218120,BUY,-1.5845520291700865,136.63727678571428,74160.7890625,73989.99246651786,-1.0000000000000122,0.011606916774894428,stop,0.2445457292917412,663
1780223100,1780223251,1780223701,BUY,-1.4100675172446875,72.79631696428571,73892.453125,73801.45772879464,-0.9999999999999772,0.013736958704801037,stop,0.0,151
1780233900,1780234014,1780246352,BUY,-2.2277285234681212,93.5625,73784.171875,73798.20625,0.12000000000002488,0.01068804275217101,be,2.2783901135604543,114
1780257600,1780258210,1780259545,SELL,1.4254915006793902,143.78515625,73430.546875,73610.2783203125,-1.0,0.006954820831861773,stop,0.0,610
1780279200,1780280241,1780281202,SELL,3.559686419230412,122.97935267857143,73874.640625,73624.48967633929,1.6272712009764727,0.008131446281179242,trail,2.5340890012206243,1041
1780300800,1780302307,1780303200,SELL,1.8399889650532992,228.60546875,73401.8671875,73367.5763671875,0.11999999999998981,0.008031030535003331,be,0.5050663841566564,1507
1780311600,1780312703,1780313377,SELL,1.3474392713820795,179.32868303571428,72711.1484375,72684.24913504464,0.1200000000000297,0.005576352778996568,be,0.5558055371440486,1103
1780322400,1780322705,1780324517,SELL,2.6295039394337945,167.19475446428572,72665.90625,72640.82703683036,0.11999999999996816,0.005981048886396785,be,0.5103984139540007,305
1780333200,1780333873,1780336099,SELL,1.8419406780420857,323.375,71574.640625,71526.134375,0.1200000000000144,0.00992945496714341,be,0.5528362968689602,673
1780349400,1780350335,1780365114,SELL,1.4693580022398092,291.7734375,71413.3515625,71369.585546875,0.12000000000001596,0.003427316785819477,be,2.079872546657027,935
1780370100,1780373643,1780374683,BUY,-1.0006841210410704,233.35435267857142,71355.8515625,71064.15862165179,-0.9999999999999858,0.004285328250883012,stop,0.0,3543
1780380900,1780384199,1780387872,SELL,2.4920753469589023,298.97433035714283,70765.796875,70720.95072544643,0.12000000000000668,0.0033447687592625085,be,0.7036034657179868,3299
1780404000,1780405720,1780406525,BUY,-1.1608524381149772,283.91685267857144,69557.65625,69600.2437779018,0.1200000000000199,0.004402697438376977,be,0.5972534243748268,1720
1780414800,1780414870,1780416821,BUY,-4.48680307936865,230.95758928571428,69176.40625,68887.70926339286,-1.0000000000000073,0.004329799263547536,stop,0.22846456426562547,70
1780436400,1780439115,1780440456,SELL,1.3031382913843588,367.2338169642857,67053.3828125,66998.29773995536,0.11999999999998551,0.0027230607689303628,be,1.7775630125683235,2715
