period,scenario,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,median_hold_min,p90_hold_min
2026,S1_COST_1BPS,BALANCED_A3P5_G0P5,314,0.7356687898089171,0.05198553607552167,1.2058282216592688,16.323458327713805,11.183388745767896,1.45961646320227,6,24.608333333333334,104.44666666666666
2026,S1_COST_1BPS,AGGRESSIVE_A5P0_G0P5,312,0.7339743589743589,0.07081845386935985,1.278608127758232,22.095357607240274,10.549815952698792,2.0943832296513163,6,26.233333333333334,107.99833333333335
2026,S2_COST_2BPS,CONTROL_A2P5_G0P5,316,0.6708860759493671,-0.009358229408384938,0.9645793329334045,-2.9572004930496405,13.338209378831806,-0.22170895725649792,7,24.025,99.04166666666666
2026,S2_COST_2BPS,BALANCED_A3P5_G0P5,314,0.6687898089171974,0.014760098773241493,1.0555078267826266,4.634671014797829,13.68395511100432,0.33869381894352557,7,24.608333333333334,104.44666666666666
2026,S2_COST_2BPS,AGGRESSIVE_A5P0_G0P5,312,0.6666666666666666,0.033598660100376994,1.1255485972781964,10.482781951317623,13.05038231793521,0.8032547779777364,7,26.233333333333334,107.99833333333335
2026,S3_DELAY_60S,CONTROL_A2P5_G0P5,317,0.7066246056782335,-0.03474379617304805,0.8776860756615646,-11.01378338685623,14.73369226498729,-0.7475236477572603,4,23.3,86.68333333333334
2026,S3_DELAY_60S,BALANCED_A3P5_G0P5,315,0.707936507936508,0.018211493797535266,1.0644426676532068,5.736620546223609,12.424812357833734,0.46170681544391456,4,23.8,91.74333333333337
2026,S3_DELAY_60S,AGGRESSIVE_A5P0_G0P5,313,0.7092651757188498,0.01209472107531578,1.0430187895311407,3.7856476965738395,15.841049521538167,0.23897707607230892,4,24.5,95.40000000000002
2026,S4_DELAY_180S,CONTROL_A2P5_G0P5,311,0.7491961414790996,0.009664749018580512,1.0392243470990208,3.005736944778539,11.55403724407055,0.26014603218637383,4,21.8,80.18333333333334
2026,S4_DELAY_180S,BALANCED_A3P5_G0P5,309,0.7475728155339806,0.044547341841054855,1.1796325470663818,13.76512862888595,10.573590448074354,1.3018405334011054,4,23.633333333333333,87.81999999999995
2026,S4_DELAY_180S,AGGRESSIVE_A5P0_G0P5,306,0.7450980392156863,0.05642091648181723,1.2253026587589697,17.264800443436073,9.940017655005247,1.736898368056969,4,24.0,95.93333333333334
2026,S5_ADVERSE_COMBINED,CONTROL_A2P5_G0P5,311,0.6655948553054662,-0.04639833248481583,0.8256516903286043,-14.429881402777722,21.542651917977878,-0.669828462053719,5,21.8,80.18333333333334
2026,S5_ADVERSE_COMBINED,BALANCED_A3P5_G0P5,309,0.6601941747572816,-0.011613822805317366,0.9566468108989435,-3.588671246843066,14.972285128517452,-0.23968761054435078,5,23.633333333333333,87.81999999999995
2026,S5_ADVERSE_COMBINED,AGGRESSIVE_A5P0_G0P5,306,0.6568627450980392,0.00017493842926089874,1.0006466868416288,0.05353115935383501,13.418703348806645,0.003989294491601952,5,24.0,95.93333333333334
