R,signal_ts,entry_ts,exit_ts,hold_min,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,signal_z,signal_abs_z,execution_delay_sec
-1.004352032033478,1610242500,1610242800,1610248140,89.0,1,SL,2.0,-2.351315934755114,0.03356555497054666,-2.351315934755114,2.351315934755114,180.0
-1.0034234596322422,1610278200,1610278440,1610278980,9.0,1,SL,1.0,-1.162705273324214,0.0,-1.162705273324214,1.162705273324214,180.0
0.09638979119425209,1610299500,1610299740,1610299920,3.0,1,PROTECTED_STOP,1.0,-1.1738730847416754,0.0,-1.1738730847416754,1.1738730847416754,180.0
0.09878914296529576,1610339400,1610340120,1610342460,39.0,1,PROTECTED_STOP,9.0,-1.9023558849764004,0.287451607907908,-1.3706691871837875,1.3706691871837875,180.0
0.09741001018259043,1610437800,1610438760,1610440140,23.0,-1,PROTECTED_STOP,13.0,1.5265799727863523,0.1490817229679952,2.1879888276220245,2.1879888276220245,180.0
0.09724350126773607,1610529600,1610530080,1610532300,37.0,-1,PROTECTED_STOP,5.0,1.9172496955785443,0.3249349159422894,1.41398896453234,1.41398896453234,180.0
0.0964390167251498,1610628600,1610629080,1610629740,11.0,1,PROTECTED_STOP,5.0,-1.9086898751047678,0.03889523976435007,-1.5285302363574162,1.5285302363574162,180.0
1.5798495414001004,1610656800,1610657700,1610659200,25.0,-1,PROTECTED_STOP,12.0,1.4565142216792932,0.6125748091077877,1.2437764106710494,1.2437764106710494,180.0
-0.6504022086299862,1610686200,1610687760,1610689200,24.0,1,EXIT_Z,23.0,0.00822822475346684,0.541114346324132,-1.0223573184351296,1.0223573184351296,180.0
0.09587484313753533,1610690100,1610690400,1610690640,4.0,1,PROTECTED_STOP,2.0,-1.5627199487977108,0.05553141687808524,-1.5627199487977108,1.5627199487977108,180.0
0.09639143031386962,1610694900,1610695500,1610697960,41.0,1,PROTECTED_STOP,7.0,-0.041356653410043055,0.26375601460430526,-1.2761922553816245,1.2761922553816245,180.0
0.0968498877211202,1610806800,1610807100,1610808000,15.0,-1,PROTECTED_STOP,2.0,1.5279923785771066,0.0748808837254185,1.5279923785771066,1.5279923785771066,180.0
0.09642907498018422,1610825400,1610825700,1610829900,70.0,1,PROTECTED_STOP,2.0,-1.3139819385967784,0.14839561285517408,-1.3139819385967784,1.3139819385967784,180.0
0.09722724780702129,1610878200,1610879160,1610880000,14.0,1,PROTECTED_STOP,13.0,-1.3373591023817653,0.2416803728070223,-1.111738433110194,1.111738433110194,180.0
0.641998932334339,1610886300,1610886840,1610892600,96.0,-1,EXIT_Z,6.0,1.3826746817453566,0.164564157005264,1.3587263879814724,1.3587263879814724,180.0
0.09665771235021942,1610901600,1610901960,1610905800,64.0,-1,PROTECTED_STOP,3.0,2.9293488754838166,0.05260679206727908,2.9293488754838166,2.9293488754838166,180.0
0.09560707699042402,1610961600,1610962260,1610966280,67.0,-1,PROTECTED_STOP,8.0,1.1833705908471825,0.28232812112186617,1.3419583523434904,1.3419583523434904,180.0
