Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
1960,1960,2024-05-09 12:30:00+00:00,-1,163659,61448.4,253.04285714285652,2024-05-10 00:30:00+00:00,62834.9,0.12141895782758456,-5.600727939931138,-5.479308982103554,True,1.5,61827.96428571429,163669.0,2024-05-09 15:00:00+00:00,10.0,2.5,True,1.7156608140913274,1.5466324168689922,-4.101477939931123,-1.6221689578275846
1961,1961,2024-05-10 00:30:00+00:00,1,163707,62834.9,239.12857142857163,2024-05-10 12:30:00+00:00,63132.3,0.13138308740068094,1.1122993309038822,1.2436824183045632,False,1.5,62476.20714285714,,,,,,,,,
1962,1962,2024-05-10 12:30:00+00:00,1,163755,63132.3,187.54999999999978,2024-05-11 00:30:00+00:00,60686.0,0.16830791788856325,-13.211762996534288,-13.043455078645724,True,1.5,62850.975000000006,163758.0,2024-05-10 13:15:00+00:00,3.0,0.75,True,2.2126099706745204,1.2563316448946573,-11.711012996534302,-1.6675579178885633
1963,1963,2024-05-11 04:00:00+00:00,1,163817,60756.1,139.9857142857145,2024-05-11 16:00:00+00:00,61219.9,0.2170082151239919,3.096187008878473,3.313195224002465,True,1.5,60546.12142857142,163845.0,2024-05-11 11:00:00+00:00,28.0,7.0,False,0.8109500969486388,6.752678844780118,4.596937008878498,4.596937008878498
1964,1964,2024-05-11 18:00:00+00:00,1,163873,61047.9,201.37142857142837,2024-05-12 06:00:00+00:00,61016.0,0.15158034194097633,-0.3099940763337192,-0.15841373439274292,True,1.5,60745.84285714286,163883.0,2024-05-11 20:30:00+00:00,10.0,2.5,False,0.126844494892165,1.7438280363223513,1.1907559236662784,1.1907559236662784
1965,1965,2024-05-12 07:45:00+00:00,1,163928,60803.8,96.9785714285707,2024-05-12 19:45:00+00:00,61393.5,0.3134909037342588,5.767233851366294,6.080724755100553,False,1.5,60658.33214285714,,,,,,,,,
1966,1966,2024-05-13 00:30:00+00:00,1,163995,61533.2,170.06428571428634,2024-05-13 12:30:00+00:00,62730.2,0.18091158805493654,6.857603259271679,7.038514847326615,True,1.5,61278.10357142857,163998.0,2024-05-13 01:15:00+00:00,3.0,0.75,True,2.0974631441891365,1.2253979587551076,8.358353259271675,-1.6801615880549365
1967,1967,2024-05-13 13:15:00+00:00,-1,164046,62799.0,222.5857142857141,2024-05-14 01:15:00+00:00,62998.7,0.14106700468519362,-1.0382494705089411,-0.8971824658237474,True,1.5,63132.87857142857,164056.0,2024-05-13 15:45:00+00:00,10.0,2.5,False,1.3797894871959533,2.6626981580129714,0.46100052949105186,0.46100052949105186
1968,1968,2024-05-14 02:00:00+00:00,-1,164097,62530.0,176.33571428571355,2024-05-14 14:00:00+00:00,61473.3,0.17730384412848943,5.815242840361332,5.992546684489821,False,1.5,62794.50357142857,,,,,,,,,
1969,1969,2024-05-14 14:00:00+00:00,-1,164145,61473.3,286.692857142858,2024-05-15 02:00:00+00:00,61811.3,0.10721107706106554,-1.286173132022818,-1.1789620549617525,True,1.5,61903.33928571429,164146.0,2024-05-14 14:15:00+00:00,1.0,0.25,False,1.3692727408625325,2.82022821835214,0.2130768679771819,0.2130768679771819
