family,bucket,train_n,signals,on_n,coverage,base_filled,gated_filled,base_cum_R,gated_cum_R,delta_cum_R,base_ev_per_opportunity,gated_ev_per_opportunity,gated_ev_per_traded_signal,base_pf,gated_pf,base_maxdd_R,gated_maxdd_R,base_max_consecutive_losses,gated_max_consecutive_losses,threshold
TREND_ONLY,2026_JAN_JUL,149,22,7,0.3181818181818182,15,3,6.172553540376626,1.7599613614293954,-4.41259217894723,0.2805706154716648,0.07999824370133615,0.2514230516327708,1.9289693029183879,2.651327110402933,2.2803130256894093,1.065786027699839,2,1,0.06401497435687006
TREND_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
VOL_ONLY,2022,47,33,15,0.45454545454545453,20,12,-2.789905950092312,-0.5168619192091728,2.273044030883139,-0.08454260454825188,-0.015662482400277962,-0.03445746128061151,0.7811072930542744,0.9317011836262148,5.87259804938012,2.8253098747951206,2,2,0.18593473719538567
VOL_ONLY,2023,80,9,3,0.3333333333333333,6,2,1.5706208683097895,0.2705009735451771,-1.3001198947646124,0.17451342981219883,0.030055663727241902,0.0901669911817257,1.698167931773271,1.2444828118103928,2.249631924973383,1.1064212307692307,1,1,0.07685992449952876
VOL_ONLY,2024,89,33,20,0.6060606060606061,24,15,-5.6610114576703765,-6.2096299743646775,-0.548618516694301,-0.17154580174758716,-0.1881706052837781,-0.3104814987182339,0.6711993855615386,0.48124170752534,9.482021730643114,7.162104227100258,4,2,0.1006306783826483
VOL_ONLY,2025,122,27,14,0.5185185185185185,18,10,4.962343155673568,6.231066609421031,1.2687234537474632,0.18379048724716918,0.23078024479337153,0.4450761863872165,1.555518398122641,2.806649181337246,4.061983193932155,1.200929553264599,3,1,0.02337149329619832
VOL_ONLY,2026_JAN_JUL,149,22,9,0.4090909090909091,15,7,6.172553540376626,2.4313283388282794,-3.7412252015483465,0.2805706154716648,0.11051492449219452,0.2701475932031423,1.9289693029183879,1.737119253646865,2.2803130256894093,2.0793327575442833,2,2,0.04865372688096013
VOL_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
IMPULSE_ONLY,2022,47,33,12,0.36363636363636365,20,10,-2.789905950092312,4.37520373645974,7.165109686552052,-0.08454260454825188,0.13258193140787092,0.364600311371645,0.7811072930542744,2.047487463344469,5.87259804938012,2.1154260386190304,2,2,0.20597213807716588
IMPULSE_ONLY,2023,80,9,3,0.3333333333333333,6,2,1.5706208683097895,-2.2496319249733836,-3.8202527932831734,0.17451342981219883,-0.2499591027748204,-0.7498773083244612,1.698167931773271,0.0,2.249631924973383,2.2496319249733836,1,1,0.11359521270890002
IMPULSE_ONLY,2024,89,33,22,0.6666666666666666,24,16,-5.6610114576703765,-1.9878291029144821,3.6731823547558946,-0.17154580174758716,-0.060237245542863097,-0.0903558683142946,0.6711993855615386,0.8140469125968917,9.482021730643114,5.589342826831969,4,2,0.10788241409076918
IMPULSE_ONLY,2025,122,27,10,0.37037037037037035,18,8,4.962343155673568,-1.2629804531651225,-6.225323608838691,0.18379048724716918,-0.04677705382093046,-0.12629804531651226,1.555518398122641,0.766968828485934,4.061983193932155,2.171424798054768,3,1,0.041635043928241876
IMPULSE_ONLY,2026_JAN_JUL,149,22,12,0.5454545454545454,15,8,6.172553540376626,4.053570380011867,-2.118983160364759,0.2805706154716648,0.1842531990914485,0.3377975316676556,1.9289693029183879,2.288844923450874,2.2803130256894093,2.0793327575442833,2,2,0.06644369525858218
IMPULSE_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
PRIMARY_COMBINED,2022,47,33,7,0.21212121212121213,20,5,-2.789905950092312,-0.5512098669374199,2.238696083154892,-0.08454260454825188,-0.016703329301133937,-0.07874426670534573,0.7811072930542744,0.8344839000118647,5.87259804938012,3.3302492444960494,2,1,0.16028586808919645
PRIMARY_COMBINED,2023,80,9,4,0.4444444444444444,6,3,1.5706208683097895,-0.8727097206589758,-2.4433305889687653,0.17451342981219883,-0.0969677467398862,-0.21817743016474395,1.698167931773271,0.6120655512704367,2.249631924973383,2.2496319249733836,1,1,0.09326958052222513
PRIMARY_COMBINED,2024,89,33,20,0.6060606060606061,24,15,-5.6610114576703765,-5.985962306394999,-0.32495084872462243,-0.17154580174758716,-0.1813927971634848,-0.29929811531975004,0.6711993855615386,0.4904360200183389,9.482021730643114,8.116533720423975,4,4,0.1376214596753977
PRIMARY_COMBINED,2025,122,27,15,0.5555555555555556,18,10,4.962343155673568,-0.9637807123075648,-5.926123867981133,0.18379048724716918,-0.035695581937317214,-0.06425204748717102,1.555518398122641,0.8567141006678789,4.061983193932155,3.424517365057287,3,1,0.0413584819507046
PRIMARY_COMBINED,2026_JAN_JUL,149,22,11,0.5,15,7,6.172553540376626,2.5865512476840165,-3.5860022926926094,0.2805706154716648,0.11757051125836439,0.23514102251672878,1.9289693029183879,1.8224017674051856,2.2803130256894093,2.0793327575442833,2,2,0.0689908121343666
PRIMARY_COMBINED,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
