source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h
56,2022-04-26 23:45:00+00:00,2022-04-27 00:00:00+00:00,2022-04-27 00:30:00+00:00,False,0.0,21,-0.057347113947595396,-0.03556625538461222,-0.08129379451411056,0.08325211330099622,0.041863804614600875,1.2833854577552604,0.5868795200370129,0.019970797097551583,0.20676879417715205,0.5391780749927736,0.3738290454113959,0.25,0.27416769582468464,0.0,0.0
58,2022-06-11 19:45:00+00:00,2022-06-11 21:15:00+00:00,2022-06-11 21:30:00+00:00,False,0.0,23,-0.020916115149685166,-0.05737796881878188,-0.04015409765006128,0.1269515638427011,0.1283196907685308,0.772613851566967,0.36567048136074065,0.024286175900358295,0.27320114619782027,0.7131913545581509,0.3763790550453832,1.5,0.10959436692729306,0.0,0.0
59,2022-06-12 07:45:00+00:00,2022-06-12 11:45:00+00:00,,False,0.0,23,-0.044428884099365185,-0.09379966052211475,-0.07609016413576775,0.05843772674423675,0.051332309464388444,1.1221264821335293,0.36716175223575287,0.017622149259799567,0.19021716819245083,0.9357732255018661,0.4346603355227181,4.0,0.17229771337082525,1.0,14.5
60,2022-06-18 11:45:00+00:00,2022-06-18 14:00:00+00:00,2022-06-18 14:15:00+00:00,True,-1.117224740061162,23,-0.07009467962112659,-0.1109650507348946,-0.33098545188938744,0.04622183136423136,0.03402189433603039,0.852096153036543,0.20389655350797273,0.04144153132564054,0.0183072100313507,0.628815047021943,0.3166436610103739,2.25,0.10250783699059561,1.0,160.75
61,2022-08-17 23:45:00+00:00,2022-08-18 00:45:00+00:00,2022-08-18 01:00:00+00:00,False,0.0,24,-0.02304863958923198,-0.038715674008041545,-0.02468447933112483,0.1358349910385437,0.6104061871506521,1.0281440750194284,0.6235154511255976,0.010154798124977927,0.27746371920351504,0.6845258184272709,0.3778771238797572,1.0,0.24325008437394754,0.0,0.0
62,2022-08-26 19:45:00+00:00,2022-08-26 20:00:00+00:00,2022-08-26 20:30:00+00:00,False,0.0,25,-0.03905806827155878,-0.03823302263339645,-0.0292790399246442,0.1494971757184759,0.043756594995706284,1.2604044704440467,0.9903448980485459,0.014652349999781924,0.45089093854342405,0.3792852656286169,0.3284391290633573,0.25,0.3683096961883057,0.0,0.0
63,2022-08-27 07:45:00+00:00,2022-08-27 10:15:00+00:00,2022-08-27 11:00:00+00:00,True,-1.1568488959726293,25,-0.056419907304715244,-0.05406016526511381,-0.04563969250475619,0.14447474747474814,0.05406212438484184,1.4684770582176596,0.993318181818182,0.01762902489856829,0.19032962113156932,0.9856455313671694,0.3875928520826897,2.5,0.17994851418658325,1.0,14.25
64,2022-08-27 15:45:00+00:00,2022-08-27 16:45:00+00:00,,False,0.0,25,-0.034748749683922386,-0.0789772855466162,-0.0581509450664528,0.09650952380952298,0.03745296896136216,1.0167569055225842,0.46560476190476213,0.02212604668484727,0.5290484593457272,0.4012488122709389,0.322973858805032,1.0,0.2817067101036159,2.0,20.75
65,2022-09-06 23:45:00+00:00,2022-09-07 00:45:00+00:00,2022-09-07 01:30:00+00:00,False,0.0,26,-0.06307643247777095,-0.04918290185078322,-0.05646828718907537,0.09975604322761983,0.027980084763198285,1.488655652230371,0.8315665936788574,0.025038569796297278,0.06986333397096403,0.29990010414674423,0.3225893602368502,1.0,0.230355586728731,0.0,0.0
66,2022-09-07 03:45:00+00:00,2022-09-07 05:15:00+00:00,2022-09-07 05:45:00+00:00,True,1.3027211639654743,26,-0.05066443712391011,-0.050945732686849654,-0.0775854400628272,0.13056592715348814,0.03856698330734019,1.4583119941558607,0.7680006871359062,0.01933227887772482,0.1235099337748408,0.6486754966887404,0.4043468713618851,1.5,0.13109823399558135,1.0,4.5
68,2022-10-10 23:45:00+00:00,2022-10-11 00:30:00+00:00,2022-10-11 00:45:00+00:00,False,0.0,27,-0.021775726812208074,-0.026055023348353412,-0.027928894161584394,0.06050531478894966,0.19608304693752632,0.9736613573590961,0.3770450953776753,0.013688677583529442,0.30440261178357836,0.4262094772614427,0.3695652823966094,0.75,0.17560807972813663,0.0,0.0
