period,family,quintile,N,mean_prob,impulse_rate,EV_R,PF,SumR,MaxDD_R,ret15,ret30,ret60,ret120,mfe60,mae60
2025,FLOW_ONLY,Q1,216,0.2939614306450668,0.3101851851851852,-0.00851516208325277,0.986055222882786,-1.8392750099825985,19.663025892451856,-0.04418000826671923,-0.01061904991924276,-0.047487978208392845,-0.045113209564180995,1.0867200348481851,1.018064179812906
2025,FLOW_ONLY,Q2,215,0.30407795944124516,0.33488372093023255,0.23429110628223834,1.4190148261762188,50.37258785068124,11.994706458278195,-0.017204511417076594,-0.011962637859495539,0.0873944488354835,0.17525404483198545,1.1975556871934714,1.065057134636832
2025,FLOW_ONLY,Q3,215,0.31036772468030754,0.2837209302325581,0.13068337987832163,1.2122172001987217,28.09692667383915,13.1012420085118,0.00560133371716144,0.092459010016855,0.15203988916368874,0.3717158944508964,1.308483135198461,1.1049084625209287
2025,FLOW_ONLY,Q4,215,0.3162868906119964,0.2558139534883721,-0.05501705959430835,0.9129058724519138,-11.828667812776295,25.933416980941605,-0.09236191042092182,-0.11070712614802478,-0.13621264102120179,-0.10390954890230715,1.1020191069819039,1.2197108013792095
2025,FLOW_ONLY,Q5,216,0.3315841324734129,0.3194444444444444,0.21802126077292197,1.3670422709687353,47.09259232695115,18.90396648952357,-0.05030952862357609,0.009628805292854913,0.078450720762983,0.3522870303103934,1.4590709811696427,1.4188027459521995
2026,FLOW_ONLY,Q1,109,0.2894203180564768,0.25688073394495414,-0.09883227955828841,0.8474670135901439,-10.772718471853437,24.21637230532089,-0.12796968052868213,-0.14670719052158335,-0.2099981206749718,-0.22216148316557344,1.0568778810694048,1.223185967264654
2026,FLOW_ONLY,Q2,109,0.2992634772420595,0.3302752293577982,0.2773019983465783,1.4953234101753687,30.225917819777035,5.058753452976655,-0.033608521212828375,0.10663166674596247,0.11263871820333791,0.16272693547298775,1.3114604581288976,1.0587716569293986
2026,FLOW_ONLY,Q3,108,0.3051299116615334,0.35185185185185186,0.2793668869890422,1.5086076580128134,30.171623794816558,8.337655797514007,0.07896779921152677,0.18491107309818466,0.24274413238510859,0.40888241347087345,1.4833199294239905,1.0836595291565092
2026,FLOW_ONLY,Q4,109,0.31250813859323223,0.28440366972477066,-0.18203023698804444,0.7432446992156694,-19.841295831696844,30.3205177151733,-0.10110506002622911,-0.24853017806999655,-0.3534164390056948,-0.6045702500222585,1.0588887284123873,1.4131889476138646
2026,FLOW_ONLY,Q5,109,0.3369245222922072,0.29357798165137616,0.05242489422497087,1.0837204985226718,5.714313470521825,14.17632210915923,0.05008614563502966,0.007320948879318985,0.2899484994294241,0.3763620989562668,1.5816725688122388,1.2599215130506158
2024,FULL,Q1,215,0.256419326744595,0.3209302325581395,0.27370126866801375,1.5206497457958992,58.84577276362296,8.486158297279367,0.07462190295624826,0.11997545834621229,0.10451483170181164,0.2724554264387559,1.206882891978558,1.0242737933826558
2024,FULL,Q2,215,0.28650124397079757,0.24186046511627907,0.052645509226101894,1.0891183853000392,11.318784483611907,14.825392845443993,0.0050857587785656366,-0.016944398898119675,0.06349144995562482,0.1692612400407454,1.1153216388264318,1.1386564356534916
2024,FULL,Q3,215,0.30871229600569555,0.3116279069767442,0.009341181628313117,1.014824385801221,2.0083540500873203,17.201187517640143,-0.08336069199217379,-0.12599590931094443,-0.07484364765200727,0.009257172937854248,1.2535874514504792,1.416248155904654
2024,FULL,Q4,215,0.3321511042435811,0.2930232558139535,0.002062506251657928,1.0033971998108642,0.4434388441064545,27.21443009427319,-0.08803919311880214,-0.07222227467247713,-0.14167856671751256,-0.0880670528966575,1.2082820563797612,1.3042458495338505
2024,FULL,Q5,215,0.3719313264376795,0.3302325581395349,0.10910955322342424,1.1777328222746624,23.45855394303621,22.834231798741534,0.047764036541715814,0.044868012318733407,0.22530696841732722,0.27066566702711925,1.7087822193263533,1.202548677277676
2025,FULL,Q1,216,0.25958075325358704,0.2777777777777778,0.1281185284288385,1.2242816154141556,27.673602140629114,17.328514106558963,-0.06839973026880661,-0.03243965603623523,0.07250073315516369,0.2657064178753076,1.088128210358963,1.011091829185146
2025,FULL,Q2,215,0.2864067640798614,0.2744186046511628,-0.029226817566372215,0.9540149718798306,-6.283765776770026,24.37519212311132,-0.05277879349971019,-0.11805738443423766,-0.13993000936187552,-0.18643377031195427,1.0838782017484427,1.2094486129482558
2025,FULL,Q3,215,0.30418934068396575,0.32558139534883723,0.1846732596132057,1.3100374624325015,39.70475081683922,13.439937835781802,0.005668520992908703,0.03461782479362037,-4.039965953716055e-05,0.0556731213364463,1.225433170337966,1.1318317290020623
2025,FULL,Q4,215,0.32688299579849794,0.32558139534883723,0.1476647945082672,1.2554415690691823,31.747930819277446,19.25658117599292,-0.04394845642670868,0.04687956351431646,0.19205807322347782,0.4752711659847406,1.2991565899568038,1.0575995713247195
2025,FULL,Q5,216,0.3698693699298873,0.30092592592592593,0.08820206494785589,1.1398369956619454,19.051646028736872,12.83779172045828,-0.03893641414591125,0.037769258905966045,0.00935931054210998,0.1395610268284908,1.4572546712888836,1.4166141907064203
2026,FULL,Q1,109,0.25964681327281564,0.28440366972477066,-0.007730925159976947,0.9878081037466856,-0.8426708424374872,13.175971614242536,-0.03484496189346307,-0.0866354462936867,-0.15375201103552755,-0.26643169769128383,0.9447971884210865,1.050012827454222
2026,FULL,Q2,109,0.2861546108048812,0.28440366972477066,-0.013512217976421131,0.9787724584108559,-1.4728317594299034,17.496710050401344,-0.07104281460189996,0.07005461212257022,-0.021124142147885747,-0.08829857682477303,1.267382795511649,1.1911108296257666
2026,FULL,Q3,108,0.30263813611030016,0.2037037037037037,-0.005848053031441266,0.9910040183000934,-0.6315897273956568,18.239125537642998,-0.16611028701835703,-0.23577909524328444,0.003653213644353273,0.1046308654308073,1.1451592385497933,1.2900766378627775
2026,FULL,Q4,109,0.3216913455911547,0.3577981651376147,0.07692855569156674,1.1296339195975806,8.385212570380775,11.446911114049389,0.04880789608789884,0.022777435779363458,0.1332152880666639,0.2123320855768368,1.4968795593486304,1.20868816200222
2026,FULL,Q5,109,0.3626655160058529,0.3853211009174312,0.2757772526646551,1.4763091109691144,30.0597205404474,8.626247043380332,0.08731242769518963,0.1293492709381029,0.11773094714225375,0.15621573961483645,1.634898392356363,1.3007328920123156
