trades,retention,ev,pf,cumr,cumr_per_baseline_trade,maxdd_r,dd_pct_025,dd_pct_050,win_rate,loss_streak,recovery_factor,variant,period,baseline_period_n
11,0.171875,0.31655662731487716,1.8616944553474324,3.482122900463649,0.054408170319744514,1.7623533093633157,0.4405883273408289,0.8811766546816578,0.5454545454545454,2,1.9758370140443822,STRICT_PRIMARY_PLUS_BEAR,2024,64
10,0.3125,-0.06892973143217473,0.8669742971869697,-0.6892973143217473,-0.021540541072554605,2.563157683797079,0.6407894209492697,1.2815788418985394,0.4,3,-0.2689250523598758,STRICT_PRIMARY_PLUS_BEAR,2025_H1,32
15,0.45454545454545453,0.05123529351810703,1.113835901945297,0.7685294027716054,0.02328876978095774,1.7800116075016217,0.4450029018754054,0.8900058037508108,0.4,2,0.4317552759390673,STRICT_PRIMARY_PLUS_BEAR,2025_H2,33
13,0.37142857142857144,0.27492284057810684,1.7662108468374018,3.573996927515389,0.10211419792901112,2.3265311980644654,0.5816327995161163,1.1632655990322327,0.46153846153846156,3,1.5361912750143822,STRICT_PRIMARY_PLUS_BEAR,2026_JAN_JUL,35
4,0.06451612903225806,0.6987844585914351,3.7222748614703782,2.7951378343657405,0.04508286829622162,1.0267654724828217,0.2566913681207054,0.5133827362414108,0.75,1,2.722274861470378,NEG_CONTROL_REVERSAL_RANGE,2021,62
4,0.08163265306122448,0.4442985394843719,2.5774829078500883,1.7771941579374877,0.036269268529336485,0.6685509640688386,0.16713774101720966,0.3342754820344193,0.5,1,2.6582777580954855,NEG_CONTROL_REVERSAL_RANGE,2022,49
9,0.17307692307692307,-0.22015558075633043,0.47313966367718274,-1.981400226806974,-0.03810385051551873,2.057953007497703,0.5144882518744257,1.0289765037488514,0.2222222222222222,3,-0.9628014923509791,NEG_CONTROL_REVERSAL_RANGE,2023,52
4,0.0625,0.3302889229450682,1.8653337402505574,1.3211556917802727,0.02064305768406676,1.5267585560661625,0.3816896390165406,0.7633792780330813,0.5,2,0.8653337402505574,NEG_CONTROL_REVERSAL_RANGE,2024,64
7,0.21875,-0.2747997936211591,0.4724459629255831,-1.9235985553481134,-0.060112454854628544,2.7775856144044164,0.6943964036011041,1.3887928072022082,0.42857142857142855,2,-0.6925433892559171,NEG_CONTROL_REVERSAL_RANGE,2025_H1,32
3,0.09090909090909091,1.1209286025407978,inf,3.3627858076223935,0.10190260023098162,0.0,0.0,0.0,1.0,0,,NEG_CONTROL_REVERSAL_RANGE,2025_H2,33
5,0.14285714285714285,-0.4833737841859584,0.3717636180770507,-2.416868920929792,-0.0690533977408512,3.8470693364368245,0.9617673341092061,1.9235346682184122,0.2,4,-0.6282363819229493,NEG_CONTROL_REVERSAL_RANGE,2026_JAN_JUL,35
