signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1616022600,1616022660,1616109060,1,-0.5008769008076264,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,406601098.3296017,1.0,1.095824106522744
1616122200,1616123640,1616210040,1,0.4916991477193178,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.9611937130286674,24.0,1.2916584249838543
1616291700,1616292060,1616378460,-1,1.1335934514092503,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,2.8477314934417315,6.0,1.0933477737842674
1616383200,1616383440,1616450460,-1,2.2203701720336992,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,373490975.9427628,4.0,1.657670758980597
1616574000,1616574180,1616660580,-1,1.70713867362878,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,445641078.0689021,3.0,1.6281671932587265
1616749200,1616749260,1616835660,1,0.9083502709940576,CORE_SAME,True,2,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,707716084.036154,1.0,1.0999196831970515
1616837700,1616839140,1616847480,1,-1.0027650181577072,CORE_SAME,True,1,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.843697027507916,24.0,2.0027315218824726
1616847600,1616847660,1616881860,1,2.219677406810897,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,480236419.6206718,1.0,1.7825161606397057
1616969700,1616969820,1617007620,-1,-1.0017907117346434,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,393728847.4683774,2.0,1.8065229303882695
1617186600,1617186840,1617273240,1,0.4058468300205795,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.7486140897223236,4.0,1.1093425811832909
1617400200,1617400800,1617437400,-1,-1.002774672359223,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,5.100558623914871,10.0,1.1212396133687932
1617473400,1617474660,1617489120,1,-1.0022195785140713,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.82395460216585,21.0,1.161937619136516
1617489300,1617489360,1617575760,1,0.4532997508932247,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,570662145.822593,1.0,1.634785616292408
1617581400,1617581460,1617632760,-1,-1.0043230766613358,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,502758544.78988796,1.0,1.13674553343855
1617722700,1617723120,1617809520,-1,0.5979208655132595,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,4.269376146896518,7.0,1.8496891413936878
1617925500,1617926280,1618012680,1,0.013245240992067397,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.7661764690620096,13.0,1.3787627429519245
1618431000,1618431300,1618517700,-1,-0.4805690789038939,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,393170848.2272664,5.0,1.646353648749975
1618554300,1618554360,1618640760,-1,-0.3728459543334323,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.4988752430527668,1.0,1.1692310291417625
1618672200,1618672680,1618716000,-1,2.2202712186298905,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.1290106771807498,8.0,1.5177646409949264
