module,signal_time,entry_time,dir,level_price,raid_price,reclaim_close,entry,sl,tp,qScore,reclaimCP,h1bias,h4bias,d1bias,sweepATR,slATR,entryLag,raidLag,exit_time,exit_reason,R_raw,R_net
NYBUY,2026-01-23 17:35:00,2026-01-23 17:35:00,BUY,4950.16,4942.54,4950.3,4950.67,4941.414337417225,4996.948312913873,100,0.9472913616398716,1,1,1,1.0154019663534932,1.2333619404795264,4,0,2026-01-26 01:05:00,TP,5.0,4.95
LONBUY,2026-01-27 14:00:00,2026-01-27 14:00:00,BUY,5073.23,5067.01,5076.74,5079.29,5066.244741527632,5144.51629236184,78,0.6788874841972175,1,1,1,1.2191959105169874,2.5570298683520623,2,0,2026-01-27 15:05:00,TS12,0.282094832217785,0.232094832217785
NYBUY,2026-01-27 17:35:00,2026-01-27 17:35:00,BUY,5073.23,5066.95,5079.4,5082.16,5065.484215002402,5165.538924987987,93,0.8190789473684189,1,1,1,0.6426590540523532,1.7065038554358043,11,0,2026-01-27 22:45:00,TP,5.0,4.95
NYBUY,2026-01-27 17:50:00,2026-01-27 17:50:00,BUY,5082.89,5078.88,5085.71,5086.900000000001,5077.239928313589,5135.200358432057,93,0.8274853801169202,1,1,1,0.3667522614918161,0.8835045229835995,2,0,2026-01-27 19:45:00,SL,-1.0,-1.05
LONBUY,2026-02-09 13:20:00,2026-02-09 13:20:00,BUY,4997.35,4992.39,4997.93,4998.72,4990.963172743149,5037.504136284258,100,0.923753665689178,1,1,1,0.5214366325196088,0.8154624765824422,6,0,2026-02-09 15:35:00,TS12,0.3944911880429782,0.3444911880429782
NYBUY,2026-02-09 16:25:00,2026-02-09 16:25:00,BUY,5013.91,5009.59,5017.73,5019.3,5008.290976935021,5074.345115324897,93,0.8391752577319145,1,1,1,0.498836408274275,1.2712272047091049,1,0,2026-02-09 18:20:00,TP,5.0,4.95
NYBUY,2026-02-19 17:30:00,2026-02-19 17:30:00,BUY,5010.33,4998.9,5016.04,5016.31,4997.651216488569,5109.603917557158,100,0.9813218390804442,1,1,1,1.3729361288857282,2.2412351709449623,4,0,2026-02-19 18:25:00,SL,-1.0,-1.05
NYBUY,2026-02-19 19:20:00,2026-02-19 19:20:00,BUY,4995.92,4992.55,4998.22,4999.320000000001,4991.4582557872045,5038.628721063981,93,0.8387573964496878,1,1,1,0.4630205446250889,1.0801629338611616,1,0,2026-02-19 19:30:00,SL,-1.0,-1.05
LONBUY,2026-02-23 10:45:00,2026-02-23 10:45:00,BUY,5125.09,5122.52,5130.83,5132.27,5121.589701035951,5185.671494820246,100,0.8582755203171188,1,1,1,0.4143829187148211,1.7220752752801811,4,0,2026-02-23 16:40:00,TP,5.0,4.95
NYBUY,2026-02-23 16:15:00,2026-02-23 16:15:00,BUY,5152.17,5148.72,5156.95,5156.96,5147.904884118363,5202.235579408185,100,1.0,1,1,1,0.6348790542033161,1.6663488135175144,1,0,2026-02-23 17:20:00,TP,5.0,4.95
NYBUY,2026-02-23 18:10:00,2026-02-23 18:10:00,BUY,5186.32,5175.83,5196.94,5197.45,5174.402982062362,5312.68508968819,100,0.9728997289972896,1,1,1,1.1026490687318509,2.4225712932300576,2,0,2026-02-24 03:15:00,SL,-1.0,-1.05
NYBUY,2026-02-26 20:40:00,2026-02-26 20:40:00,BUY,5174.0,5165.63,5175.39,5177.31,5164.596429758658,5240.877851206713,100,0.8871825162433655,0,1,1,1.214721505883614,1.845095243574774,2,0,2026-02-27 17:50:00,TP,5.0,4.95
NYBUY,2026-02-27 19:40:00,2026-02-27 19:40:00,BUY,5226.03,5221.13,5228.35,5230.6,5219.922325963237,5283.988370183816,100,0.7632135306554151,1,1,1,0.6086079336193941,1.3262279859951769,2,0,2026-03-02 01:05:00,TP,5.0,4.95
NYBUY,2026-04-14 16:00:00,2026-04-14 16:00:00,BUY,4766.68,4763.94,4771.16,4771.4800000000005,4762.960047701533,4814.079761492339,100,0.9588313413014112,1,1,0,0.4194081698091566,1.3041378103506271,1,0,2026-04-14 17:30:00,TP,5.0,4.95
NYBUY,2026-04-14 16:15:00,2026-04-14 16:15:00,BUY,4780.19,4773.59,4781.78,4781.89,4772.631990109996,4828.180049450022,100,0.9807321772639008,1,1,0,1.033392254432273,1.449569047240708,2,0,2026-04-14 20:05:00,TP,5.0,4.95
LONBUY,2026-04-16 11:40:00,2026-04-16 11:40:00,BUY,4811.06,4809.39,4811.34,4812.66,4808.654426328701,4832.687868356492,83,0.598159509202525,1,1,0,0.3405505250855982,0.8168264772632698,3,0,2026-04-16 11:50:00,SL,-1.0,-1.05
NYBUY,2026-04-17 18:50:00,2026-04-17 18:50:00,BUY,4862.35,4854.68,4863.66,4864.18,4853.205412598638,4919.0529370068125,100,0.9168026101141584,1,1,0,0.7802182488046101,1.116372016120477,2,0,2026-04-17 22:55:00,SL,-1.0,-1.05
