state,horizon_h,year,metric,comparator,n_a,n_b,effect,positive
RANGE,24,2022,contained_1atr_24h,EXPANSION,5,17,0.0823529411764706,True
RANGE,24,2023,contained_1atr_24h,EXPANSION,13,36,-0.1388888888888889,False
RANGE,24,2024,contained_1atr_24h,EXPANSION,24,43,0.003875968992248041,True
RANGE,24,2025,contained_1atr_24h,EXPANSION,19,47,-0.02239641657334826,False
RANGE,24,2026,contained_1atr_24h,EXPANSION,10,19,0.1473684210526316,True
RANGE,48,2022,contained_1atr_48h,EXPANSION,5,12,0.0,False
RANGE,48,2023,contained_1atr_48h,EXPANSION,11,26,-0.07692307692307693,False
RANGE,48,2024,contained_1atr_48h,EXPANSION,22,35,0.0,False
RANGE,48,2025,contained_1atr_48h,EXPANSION,13,39,0.05128205128205129,True
RANGE,48,2026,contained_1atr_48h,EXPANSION,9,18,-0.05555555555555555,False
