transition_time,destination,origin,lag,event_count,control_change,d1_conflict,stack_break_change,bos_against_control,rev_rank,winner_margin,rev_vs_pullback,rev_vs_expansion,rev_vs_range,atr_ratio,adx14,range24_ratio,ema_spread_atr,relvol20
2022-11-06 08:00:00+00:00,PULLBACK,EXPANSION,-2,2.0,False,False,False,False,3.0,10.0,-30.000000000000004,-20.000000000000004,18.333333333333332,0.9485248869071802,39.56763294996202,1.273262972735269,3.6684342928117957,0.5009356442067163
2022-11-06 08:00:00+00:00,PULLBACK,EXPANSION,-1,1.0,False,False,False,False,3.0,10.0,-31.666666666666668,-21.666666666666668,16.666666666666668,0.9159033787744,39.81594364687582,1.273262972735269,3.8699720650057454,0.37937524041830123
2022-11-06 08:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,3.0,13.333333333333329,-31.666666666666664,-18.333333333333336,15.0,0.8932776458318745,40.23496749085595,1.273262972735269,4.057214486718349,0.54737527050214
2022-11-08 04:00:00+00:00,EXPANSION,PULLBACK,-2,2.0,False,False,False,False,3.0,13.333333333333336,-31.666666666666668,-18.333333333333332,10.0,1.0158054581524263,28.818992380191666,1.145206684256818,3.020330254238548,1.417587390419805
2022-11-08 04:00:00+00:00,EXPANSION,PULLBACK,-1,0.0,False,False,False,False,3.0,3.3333333333333357,-26.666666666666664,-30.0,8.333333333333334,1.1050545376542944,29.26527902007829,1.1984168865435376,2.506998238562697,2.0226926187943755
2022-11-08 04:00:00+00:00,EXPANSION,PULLBACK,0,1.0,False,False,False,False,3.0,25.0,-8.333333333333332,-33.33333333333333,6.666666666666668,1.2847630680796354,31.28456484459262,1.881002638522428,1.842842882774771,3.7653792805595745
2022-11-12 20:00:00+00:00,PULLBACK,EXPANSION,-2,2.0,False,False,False,False,3.0,10.0,-61.66666666666666,-51.66666666666666,11.666666666666668,1.3405958300066878,50.99539645967451,3.607377219037091,3.4090974558636136,0.26031650805233075
2022-11-12 20:00:00+00:00,PULLBACK,EXPANSION,-1,2.0,False,False,False,False,3.0,11.666666666666671,-65.0,-53.33333333333333,11.666666666666668,1.246247853426687,50.54436687321813,2.251433308005801,3.6428007909152242,0.1509631618126939
2022-11-12 20:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,3.0,18.33333333333333,-68.33333333333333,-50.0,11.666666666666668,1.1638753744958803,50.21633870186124,2.1498238585342264,3.893563483579012,0.149652832415093
2022-11-14 00:00:00+00:00,EXPANSION,PULLBACK,-2,1.0,False,False,False,False,4.0,21.66666666666667,-65.0,-43.333333333333336,-3.333333333333333,0.9222090846999466,49.67073414456556,1.911583891690266,4.911082372846277,0.38607774662098004
2022-11-14 00:00:00+00:00,EXPANSION,PULLBACK,-1,0.0,False,False,False,False,4.0,3.3333333333333357,-56.666666666666664,-53.33333333333333,-11.666666666666666,0.9016348478749937,50.112302515090164,1.7268771154244655,5.067669094019868,0.7710972866854622
2022-11-14 00:00:00+00:00,EXPANSION,PULLBACK,0,1.0,False,False,False,False,4.0,13.333333333333336,-45.0,-58.333333333333336,-11.666666666666664,0.9000675021477439,50.89382512020459,1.6094494715756018,5.139348309983682,1.282869077408338
2022-11-14 12:00:00+00:00,PULLBACK,EXPANSION,-2,3.0,False,False,False,False,3.0,5.000000000000007,-38.33333333333333,-43.33333333333334,11.666666666666666,0.9776795531034319,49.683180665722766,1.6747254265386466,4.6490896183453305,2.386288395203756
2022-11-14 12:00:00+00:00,PULLBACK,EXPANSION,-1,1.0,False,False,False,False,3.0,11.666666666666664,-48.33333333333333,-36.66666666666667,16.666666666666668,0.9383711929283878,48.46499564018061,1.6747254265386466,4.773747227735351,1.1282715165755235
2022-11-14 12:00:00+00:00,PULLBACK,EXPANSION,0,3.0,False,False,False,False,3.0,31.666666666666664,-50.0,-18.333333333333336,35.0,0.9680233254764953,46.441178745717195,1.6747254265386466,4.580054910134566,2.4113286847150266
2022-11-21 04:00:00+00:00,RANGE,PULLBACK,-2,0.0,False,False,False,False,4.0,3.3333333333333286,-45.0,-20.000000000000004,-41.66666666666667,0.545089555750957,14.992291812372722,0.564550666574567,8.621709300796784,2.2803067908291683
2022-11-21 04:00:00+00:00,RANGE,PULLBACK,-1,1.0,False,False,False,False,4.0,11.666666666666664,-35.0,-31.666666666666668,-46.66666666666666,0.5930200197580703,17.6518085786658,0.7573392277405546,8.216071566910038,2.5376062010712404
2022-11-21 04:00:00+00:00,RANGE,PULLBACK,0,1.0,False,False,False,False,4.0,5.000000000000007,-36.66666666666667,-55.0,-60.00000000000001,0.6309303413216161,19.95488184566315,0.7573392277405546,7.981249631897196,1.8634695017724328
2022-11-21 20:00:00+00:00,EXPANSION,RANGE,-2,2.0,False,False,False,False,4.0,18.333333333333336,-28.333333333333336,-46.66666666666667,-28.333333333333336,0.650771754558008,23.025146105626572,0.7573392277405546,8.131800188159465,1.640426534270179
2022-11-21 20:00:00+00:00,EXPANSION,RANGE,-1,0.0,False,False,False,False,4.0,24.999999999999993,-31.666666666666668,-56.66666666666666,-15.0,0.7324492304755881,25.217820112298632,0.9873592595150934,7.502637894494428,3.111744681824901
2022-11-21 20:00:00+00:00,EXPANSION,RANGE,0,2.0,False,False,False,False,4.0,24.999999999999993,-28.333333333333336,-53.33333333333333,-3.333333333333332,0.7812520652167215,27.481765600970483,1.064585204116875,7.24398335317406,2.5055874471605204
2022-11-22 16:00:00+00:00,PULLBACK,EXPANSION,-2,1.0,False,False,False,False,3.0,18.333333333333336,-31.666666666666668,-50.0,1.6666666666666679,0.7784617083106163,32.41350987739384,0.9472266353526273,7.790807665499281,0.9789796087196465
2022-11-22 16:00:00+00:00,PULLBACK,EXPANSION,-1,3.0,False,False,False,False,3.0,1.6666666666666714,-41.66666666666667,-40.0,6.666666666666668,0.8711153554864925,31.041759055322608,0.9472266353526273,6.968825507785044,2.5235324431774484
2022-11-22 16:00:00+00:00,PULLBACK,EXPANSION,0,3.0,False,False,False,False,3.0,24.999999999999993,-48.33333333333333,-23.333333333333336,15.0,0.8735077628729887,29.767990434827887,0.9472266353526273,6.975741553905998,0.9801913268682529
2022-11-26 12:00:00+00:00,RANGE,PULLBACK,-2,0.0,False,False,False,False,3.0,5.0,-43.33333333333333,1.6666666666666679,-38.33333333333333,0.8026590482120417,12.863397185414769,0.8290777576853532,6.7335248686182165,0.5741781261196017
2022-11-26 12:00:00+00:00,RANGE,PULLBACK,-1,1.0,False,False,False,False,3.0,16.66666666666667,-36.666666666666664,6.666666666666667,-53.333333333333336,0.7773078939835726,12.951183450772925,0.810126582278481,6.923521260898942,0.5436094692753918
2022-11-26 12:00:00+00:00,RANGE,PULLBACK,0,2.0,False,False,False,False,3.0,25.0,-40.0,1.666666666666666,-65.0,0.7905108500079118,12.377213140264143,0.5497287522603979,6.804112999809698,1.0051343114497817
2022-11-28 20:00:00+00:00,PULLBACK,RANGE,-2,1.0,False,False,False,False,4.0,20.0,-36.666666666666664,-36.666666666666664,-56.666666666666664,0.7503553655142597,17.662868979896086,0.48319343132583037,7.428891203267336,1.8238434411647921
2022-11-28 20:00:00+00:00,PULLBACK,RANGE,-1,2.0,False,False,False,False,4.0,0.0,-38.33333333333333,-30.000000000000004,-38.33333333333333,0.8280489365586635,20.078450471323276,0.5269752358490556,6.759167921582652,2.9303155167597286
2022-11-28 20:00:00+00:00,PULLBACK,RANGE,0,1.0,False,False,False,False,4.0,19.999999999999993,-50.0,-28.333333333333332,-30.000000000000004,0.797849241847888,22.321490427648524,0.5269752358490556,7.043053015986872,0.49954925033519626
2022-11-30 08:00:00+00:00,EXPANSION,PULLBACK,-2,2.0,True,False,False,True,4.0,5.0,-46.666666666666664,-41.666666666666664,-23.333333333333336,0.959188990137341,25.047487141650603,0.8093307783018875,5.317994409376398,2.92642531554049
2022-11-30 08:00:00+00:00,EXPANSION,PULLBACK,-1,1.0,True,False,False,True,4.0,5.0,-21.666666666666668,-28.333333333333332,-23.333333333333332,0.9306981819651025,24.928561227249965,0.8093307783018875,5.270748003203777,0.786781885010233
2022-11-30 08:00:00+00:00,EXPANSION,PULLBACK,0,3.0,True,False,True,True,3.0,0.0,10.0,-20.0,-20.0,0.9019412331652173,24.860452110788515,0.8264158043273756,5.311158559718813,0.5572487194796042
2022-12-01 16:00:00+00:00,PULLBACK,EXPANSION,-2,0.0,False,False,False,False,2.0,1.6666666666666643,5.0,-1.6666666666666643,11.666666666666668,0.9265884968922032,27.085337614394405,1.0626208287803631,4.614685908757525,0.5727023346288473
