decision_time,entry_time,split,impulse_dir,entry,cont_24h,rev_24h,tail_cont_24h,tail_rev_24h,paxg_z24h,paxg_corr30d,BTC_ONLY_side,BTC_ONLY_conf,BTC_ONLY_top20,BTC_ONLY_chosen_ret,BTC_ONLY_tail_hit,BTC_PLUS_PAXG_side,BTC_PLUS_PAXG_conf,BTC_PLUS_PAXG_top20,BTC_PLUS_PAXG_chosen_ret,BTC_PLUS_PAXG_tail_hit
2023-11-22 18:15:00+00:00,2023-11-22 18:30:00+00:00,DEV_2021_2024,1.0,37104.98,0.004070343118363073,-0.004070343118363073,0,0,0.03896679461545762,0.19509678143982287,CONT,0.28394479101217307,False,0.004070343118363073,0,CONT,0.27554288963286494,False,0.004070343118363073,0
2023-11-24 15:15:00+00:00,2023-11-24 15:30:00+00:00,DEV_2021_2024,1.0,38280.01,-0.015875648935305908,0.015875648935305908,0,0,0.3855556533707216,0.18988011831385057,CONT,0.26882678400461635,False,-0.015875648935305908,0,CONT,0.2723166074081632,False,-0.015875648935305908,0
2023-11-28 17:15:00+00:00,2023-11-28 17:30:00+00:00,DEV_2021_2024,1.0,38073.98,-0.009642017987087304,0.009642017987087304,0,0,2.5996718090147737,0.1822998778296704,CONT,0.26008586060886685,False,-0.009642017987087304,0,CONT,0.2323900648791523,False,-0.009642017987087304,0
2023-11-29 15:00:00+00:00,2023-11-29 15:15:00+00:00,DEV_2021_2024,-1.0,37608.25,-0.0020421051232111243,0.0020421051232111243,0,0,0.9643175789795297,0.18800966732549176,REV,0.2211101321875422,False,0.0020421051232111243,0,REV,0.16196795096590746,False,0.0020421051232111243,0
2023-12-01 16:15:00+00:00,2023-12-01 16:30:00+00:00,DEV_2021_2024,1.0,38793.55,-0.0002856144900377222,0.0002856144900377222,0,0,1.2111241077975488,0.1826794874745549,REV,0.22598889339530917,False,0.0002856144900377222,0,CONT,0.15772249106668595,False,-0.0002856144900377222,0
2023-12-02 19:00:00+00:00,2023-12-02 19:15:00+00:00,DEV_2021_2024,1.0,39421.99,0.0025546655559498532,-0.0025546655559498532,0,0,-0.5178433651016253,0.1807649645513887,CONT,0.269409861328535,False,0.0025546655559498532,0,CONT,0.2217761290541729,False,0.0025546655559498532,0
2023-12-04 01:15:00+00:00,2023-12-04 01:30:00+00:00,DEV_2021_2024,1.0,40640.67,0.02621290446245106,-0.02621290446245106,1,0,2.336938902080123,0.15097294398629094,CONT,0.28852690557324767,False,0.02621290446245106,1,CONT,0.3209914095835312,False,0.02621290446245106,1
2023-12-04 05:15:00+00:00,2023-12-04 05:30:00+00:00,DEV_2021_2024,1.0,41263.65,0.015130508328758951,-0.015130508328758951,0,0,1.724429034391642,0.14881518345047723,CONT,0.3048636692103738,False,0.015130508328758951,0,CONT,0.28653550417233886,False,0.015130508328758951,0
2023-12-04 22:00:00+00:00,2023-12-04 22:15:00+00:00,DEV_2021_2024,1.0,42298.1,0.04428875055853587,-0.04428875055853587,1,0,-2.166510388360826,0.15047205563950053,CONT,0.2253326099526215,False,0.04428875055853587,1,CONT,0.26629487034832344,False,0.04428875055853587,1
2023-12-05 17:00:00+00:00,2023-12-05 17:15:00+00:00,DEV_2021_2024,1.0,43172.0,0.021149819327341834,-0.021149819327341834,1,0,-1.2892124436401189,0.14287734141294559,CONT,0.28660854539642694,False,0.021149819327341834,1,CONT,0.3312042310642701,False,0.021149819327341834,1
