method,filled,fill_bar,entry,price_improvement_vs_mkt0,rev_return,mfe,mae,event_row,event_time,split,impulse_dir
MKT_30,True,5375.0,46807.84,,-0.0018563129595383643,0.034529899264738644,0.057705290395796895,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5377.0,47153.56,,-0.009174492869679418,0.026944943287420992,0.06461399733127253,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,5373.0,46302.32,0.009625826295362669,0.009041231627270552,0.045824701656418096,0.0474174944149667,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5373.0,46527.335,0.0048129131476813344,0.004161317212773907,0.0407668954175003,0.05202436374230332,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,23,2021-02-26 00:15:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5395.0,45524.35,,0.0500690289921768,0.06369690066964168,0.031138720267285525,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5396.0,46107.47,,0.036788832698909646,0.05024435302999708,0.043391884221797516,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5397.0,45831.58,,0.043029936999771756,0.056566454833108494,0.03763343965012777,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5399.0,46098.99,,0.036979552046584985,0.05043754754713721,0.04321591427491143,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,False,,,,,,,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,False,,,,,,,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,24,2021-02-26 05:45:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5964.0,49485.9,,-0.0474456360296569,0.025670544538949513,0.06437995469416544,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5965.0,49645.12,,-0.050500633294873754,0.022381051752921547,0.06738064083640048,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5966.0,49319.41,,-0.04423005060279517,0.029132951914874885,0.06122153529411652,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5968.0,49314.03,,-0.0441257792153672,0.029245226966849076,0.06111911762230746,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,5966.0,49249.06,0.004786009752272946,-0.04286477752062667,0.03060302064648555,0.05988053376044127,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5965.0,49367.340000000004,0.0023958339648262974,-0.04515799311852742,0.028133782375149224,0.06213298103564023,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,True,5966.0,49012.5,0.00956636132716595,-0.03824514154552405,0.03557725070135176,0.05534302473858709,26,2021-03-04 04:00:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,10266.0,59271.38,,-0.03730552587100211,0.00786096088871223,0.14071006951415665,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,10267.0,59355.48,,-0.03866955502676417,0.006432935931105173,0.14192758613021073,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,10268.0,59626.05,,-0.043031862751263916,9.22415622023653e-06,0.1458213314482512,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,10270.0,59171.26,,-0.0356766105707399,0.00014956585342273504,0.13925611859541268,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,10266.0,59067.15,0.003445676479946914,-0.033976922875066706,0.011345731087414853,0.13773899705673964,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,10266.0,59169.26,0.0017229225977190906,-0.03564401515246263,0.00960042427436131,0.13922702430282208,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,47,2021-04-18 01:00:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,10640.0,54504.74,,0.06346200348813691,0.07347507758040857,0.01865415741823565,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
MKT_15,True,10641.0,54394.89,,0.061570673274640275,0.07160396868161696,0.02071132049352437,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
MKT_30,True,10642.0,54327.5,,0.06040660807141862,0.07045234917859279,0.021977451566886075,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
MKT_60,True,10644.0,52923.09,,0.035472796467477474,0.04578511950076983,0.049097473333473286,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,False,,,,,,,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,10640.0,54627.27,0.002248061361268742,0.06556267593090404,0.07555329050856828,0.01636929687315523,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,55,2021-04-22 01:00:00+00:00,DEV_2021_2024,1.0
MKT_0,True,10670.0,53399.97,,-0.09573525977636321,0.03972867400487307,0.11048639165902155,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,10671.0,53652.0,,-0.0999830388429136,0.03484455379109825,0.11466487735778721,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,10672.0,53397.23,,-0.0956888587666439,0.039782026146300095,0.11044074758185027,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,10674.0,53940.04,,-0.10478913252567112,0.029318480297752882,0.11939256997213944,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,10670.0,53170.57,0.0042958825632299314,-0.09183388479754873,0.044214496854180864,0.10664865921128924,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,10670.0,53285.265,0.002148034914626389,-0.0937886862343652,0.041966855189704014,0.1085715722723721,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,56,2021-04-22 08:30:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,10763.0,47936.0,,0.0389936582109478,0.07020485647530032,0.009095460614152203,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,10764.0,48156.22,,0.03424230556301966,0.06531077397686104,0.006512346691663103,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,10765.0,48313.79,,0.030869240438392342,0.0618363825317781,0.009752495095085694,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,10767.0,48761.02,,0.021414236207528026,0.05209735153202291,0.01883492182895264,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,10763.0,47599.33500000001,0.007023218457943792,0.04634234911054924,0.07777430083844637,0.002086898903104558,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,10763.0,47770.887500000004,0.00344443633177561,0.042584775089221205,0.07390384991277359,0.005670556152007943,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,59,2021-04-23 07:45:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,10786.0,48724.28,,0.017527401123218267,0.052890673807801734,0.002487260971326869,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,10787.0,49128.47,,0.009155994477336726,0.04422832626377323,0.009593826146020865,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,10788.0,49367.31,,0.004273678270094283,0.039176329437435396,0.014385430358672536,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,10790.0,49732.84,,-0.003107604552645582,0.03153851660190731,0.02162957112443201,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,False,,,,,,,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,10786.0,48603.28,0.0024833614780967518,0.020060580273594697,0.0555118913785242,3.90920118976185e-06,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,60,2021-04-23 13:30:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,10830.0,49815.69,,0.0036996376041362744,0.023773835110986068,0.02325672895427129,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,10831.0,49864.94,,0.0027083157023750637,0.022762686568960026,0.024221426918392016,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,10832.0,49972.52,,0.000549702116283024,0.02056090027078889,0.0263220666078076,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,10834.0,49874.3,,0.0025201356209509918,0.0225707428475186,0.024404553046358614,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,False,,,,,,,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,10830.0,49669.494999999995,0.002934717957334466,0.006653882830900626,0.02678716584495181,0.020381825907430626,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,61,2021-04-24 00:30:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,11593.0,56450.19,,0.02614003602113657,0.03259156435080193,0.007350550990173856,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,11594.0,56622.03,,0.023025843474704155,0.029457792311579065,0.010363104254651393,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,11595.0,56646.84,,0.022577781920403828,0.029006913713103884,0.010796542225479771,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,11597.0,56905.68,,0.017926505754785937,0.02432639413148209,0.015296012630022175,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,11593.0,56187.04000000001,0.004661631785473072,0.030945926320375516,0.037427670153116974,0.0027015126619947968,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,11593.0,56318.615000000005,0.002330815892736536,0.02853736726302647,0.035003968048574925,0.005031462510219849,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,70,2021-05-02 03:45:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,12678.0,48908.64,,0.03893851883838928,0.04190834175720282,0.03902459769889327,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,12679.0,49422.43,,0.0281378313449987,0.03107678032019064,0.049014789438722464,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,12680.0,49721.73,,0.02194895471255709,0.02487021268165843,0.054739245798567406,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,12682.0,50066.61,,0.014909337780209198,0.017810472888018562,0.06125060194808477,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,False,,,,,,,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,False,,,,,,,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,84,2021-05-13 11:00:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,12833.0,50619.18,,0.05055771349911242,0.08202780052936456,0.0006232815308348122,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
MKT_15,True,12834.0,50465.45,,0.047665482027803185,0.07923143457553627,0.0008653445079753679,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
MKT_30,True,12835.0,50299.98,,0.04453262208056552,0.07620241598505612,0.001968589251924092,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
