cohort,geometry,stop_atr,rr,signals,known_signals,filled,fill_rate_pct,tp,sl,timeout,data_gap,ev_r_per_filled_trade,ev_r_per_signal,wr_filled_pct,pf,max_dd_r_per_signal,ci95_day_ev_r_per_signal
COMMON_CLOCK,LIM_025ATR_5M,1.5,2.0,245,245,202,82.44897959183673,55,141,6,0,-0.12892421797271178,-0.10629670216525625,29.207920792079207,0.815952600186276,30.81430079264846,"[-0.30381273377029716, 0.09566792284203181]"
COMMON_CLOCK,LIM_025ATR_5M,1.5,3.0,245,245,202,82.44897959183673,37,145,20,0,-0.06579836427615578,-0.05425007993381007,26.237623762376238,0.9089299541711268,34.29535826003787,"[-0.28135025353498244, 0.18624735228465228]"
COMMON_CLOCK,LIM_050ATR_5M,1.0,1.5,245,245,175,71.42857142857143,47,128,0,0,-0.32857142857142857,-0.23469387755102042,26.857142857142858,0.55078125,57.5,"[-0.4159851357964277, -0.044311311729023674]"
COMMON_CLOCK,LIM_050ATR_5M,1.0,2.0,245,245,175,71.42857142857143,42,133,0,0,-0.28,-0.2,24.0,0.631578947368421,50.0,"[-0.4144252330933553, 0.03254065040650377]"
COMMON_CLOCK,LIM_050ATR_5M,1.0,3.0,245,245,175,71.42857142857143,32,141,2,0,-0.2585707279838524,-0.18469337713132314,18.857142857142858,0.6801294098840134,48.249877397174174,"[-0.4298641906515091, 0.08629613274751628]"
COMMON_CLOCK,LIM_050ATR_5M,1.5,1.5,245,245,175,71.42857142857143,56,115,4,0,-0.17309439417795647,-0.12363885298425462,33.714285714285715,0.7373007020407265,32.86867271196939,"[-0.2779886986249188, 0.03213633258062534]"
COMMON_CLOCK,LIM_050ATR_5M,1.5,2.0,245,245,175,71.42857142857143,44,122,9,0,-0.15683882855172276,-0.112027734679802,29.714285714285715,0.7755941220731545,33.84964017128473,"[-0.28145226789544053, 0.0680973664698771]"
COMMON_CLOCK,LIM_050ATR_5M,1.5,3.0,245,245,175,71.42857142857143,26,126,23,0,-0.14183180953482427,-0.10130843538201736,27.42857142857143,0.8034928445512204,40.2268421689016,"[-0.3007164839097426, 0.11104866681157087]"
COMMON_CLOCK,LIM_050ATR_10M,1.0,1.5,245,245,192,78.36734693877551,50,142,0,0,-0.3489583333333333,-0.27346938775510204,26.041666666666668,0.528169014084507,67.0,"[-0.4651225712272224, -0.07379554639702249]"
COMMON_CLOCK,LIM_050ATR_10M,1.0,2.0,245,245,192,78.36734693877551,45,147,0,0,-0.296875,-0.23265306122448978,23.4375,0.6122448979591837,58.0,"[-0.45492640492441155, 0.00462677739717561]"
