feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
RITHMIC,LATE,-120,15,15,1.0309162068212103,0.24402102184074584,0.7868951849804645
RITHMIC,LATE,-60,5,12,-0.07907900555254176,-0.13301985314141565,0.053940847588873894
RITHMIC,LATE,-60,15,12,-0.40821959146408243,0.30500296342451433,-0.7132225548885968
RITHMIC,LATE,-30,5,9,-0.47787669471390093,-0.1210739877107824,-0.35680270700311856
RITHMIC,LATE,-30,15,9,-0.33359900113496754,0.2959925372141687,-0.6295915383491362
RITHMIC,LATE,-15,5,8,-0.0495461484933801,-0.1330849308116309,0.08353878231825079
RITHMIC,LATE,-15,15,8,1.140856515343191,0.2562952986513112,0.8845612166918799
RITHMIC,LATE,-10,5,8,-0.3117141372139115,-0.12642669617745872,-0.18528744103645278
RITHMIC,LATE,-10,15,8,0.6655459718939865,0.2684438109439426,0.39710216095004386
RITHMIC,LATE,-5,5,9,1.4463002258188111,-0.17622555549675187,1.622525781315563
RITHMIC,LATE,-5,15,9,1.625512104571728,0.23947971685724476,1.3860323877144833
RITHMIC,LATE,-3,5,10,0.8716993175067793,-0.16305148743986764,1.034750804946647
RITHMIC,LATE,-3,15,10,2.0425879492791426,0.2216122222116222,1.8209757270675204
RITHMIC,LATE,-2,5,4,1.6305910509856938,-0.15310497366004244,1.7836960246457363
RITHMIC,LATE,-2,15,4,2.693741418318377,0.2478621921997868,2.44587922611859
RITHMIC,LATE,-1,5,9,1.3913420178519542,-0.1746503202365553,1.5659923380885095
RITHMIC,LATE,-1,15,9,1.7588220712354639,0.23563423704963696,1.523187834185827
RITHMIC,LATE,1,5,18,-0.31724354961412854,-0.120025372132972,-0.19721817748115655
RITHMIC,LATE,1,15,18,0.11519608120749646,0.2880321819764719,-0.17283610076897543
RITHMIC,LATE,2,5,16,-0.022147896239277903,-0.13668975913284148,0.11454186289356358
RITHMIC,LATE,2,15,16,0.7216620386878487,0.2550842228904929,0.46657781579735585
RITHMIC,LATE,3,5,15,0.21621814430222608,-0.14792660570826027,0.36414475001048635
RITHMIC,LATE,3,15,15,0.6986968854917907,0.25917108861146854,0.4395257968803221
RITHMIC,LATE,5,5,12,0.005983732818327175,-0.1363020166798415,0.14228574949816866
RITHMIC,LATE,5,15,12,0.07516957373962672,0.2862305686593217,-0.211060994919695
RITHMIC,LATE,10,5,13,-0.3124739018391436,-0.12340632796678036,-0.18906757387236323
RITHMIC,LATE,10,15,13,0.81545673471748,0.2556699449651905,0.5597867897522895
RITHMIC,LATE,15,5,10,0.7127466571740424,-0.15797312768482813,0.8707197848588706
