episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
85,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786083390000,2026-08-07T06:16:30+00:00,TRAIN,-1,-1,False,4,300.0,0.0,1,2,,False,False,-2.269919703520748,0.291846819024568,-2.0926497838168925
88,R3_RUN3_BEFORE240,1786084650000,2026-08-07T06:37:30+00:00,TRAIN,1,1,False,4,240.0,0.5,3,1,,False,False,1.0414944618945003,1.5969581749052375,-0.2731029922297598
88,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786084710000,2026-08-07T06:38:30+00:00,TRAIN,-1,-1,True,5,300.0,0.2,1,2,,False,False,-0.7850467289717176,0.6298115000792056,-1.113258355773847
89,R1_EARLY_DOMINANCE_3,1786084890000,2026-08-07T06:41:30+00:00,TRAIN,1,1,False,3,120.0,1.0,3,0,,False,False,-0.7764626310451167,0.7646263104496608,-0.8687859316879507
89,R3_RUN3_BEFORE240,1786084890000,2026-08-07T06:41:30+00:00,TRAIN,1,1,False,3,120.0,1.0,3,0,,False,False,-0.7764626310451167,0.7646263104496608,-0.8687859316879507
91,R3_RUN3_BEFORE240,1786085820000,2026-08-07T06:57:00+00:00,TRAIN,-1,-1,False,3,210.0,1.0,3,0,,False,False,0.2904870757869592,0.8468436785657371,-1.6149112009841575
97,R3_RUN3_BEFORE240,1786088220000,2026-08-07T07:37:00+00:00,TRAIN,1,1,False,3,210.0,1.0,3,0,,False,False,-0.4952621604549775,0.3508106969890318,-1.6007580543269675
101,R3_RUN3_BEFORE240,1786089810000,2026-08-07T08:03:30+00:00,TRAIN,-1,-1,True,3,210.0,1.0,3,0,,False,False,-1.2020942408376656,0.4573821989532113,-2.046492146596497
106,R3_RUN3_BEFORE240,1786091730000,2026-08-07T08:35:30+00:00,TRAIN,-1,-1,True,4,180.0,0.5,3,1,,True,True,2.757037574000164,4.543191977769897,-0.0676573637793943
106,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786091790000,2026-08-07T08:36:30+00:00,TRAIN,1,1,False,5,240.0,0.2,1,2,,False,False,1.401430030643675,1.6588355464763145,-0.6864147088865175
108,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786092570000,2026-08-07T08:49:30+00:00,TRAIN,-1,-1,True,4,270.0,0.0,1,3,,False,False,0.9164974316090632,1.075379285629017,-0.0100346434116936
111,R3_RUN3_BEFORE240,1786093620000,2026-08-07T09:07:00+00:00,TRAIN,1,1,False,3,240.0,1.0,3,0,,False,False,0.2103424178892859,1.122641509434002,-0.0366876310271648
115,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786095270000,2026-08-07T09:34:30+00:00,TRAIN,1,1,False,4,210.0,0.0,1,2,,True,False,2.6169665809767184,2.894601542416265,-0.3084832904881253
118,R1_EARLY_DOMINANCE_3,1786096710000,2026-08-07T09:58:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2032432432433533,1.325405405404839,-0.1643243243247648
118,R2_EARLY_QUIET_DOMINANCE_3,1786096710000,2026-08-07T09:58:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2032432432433533,1.325405405404839,-0.1643243243247648
118,R3_RUN3_BEFORE240,1786096710000,2026-08-07T09:58:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.2032432432433533,1.325405405404839,-0.1643243243247648
121,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786097880000,2026-08-07T10:18:00+00:00,TRAIN,1,1,True,4,210.0,0.0,1,2,,True,False,1.237871674491713,2.267605633803364,-0.5449921752733959
122,R3_RUN3_BEFORE240,1786098240000,2026-08-07T10:24:00+00:00,TRAIN,-1,-1,False,3,240.0,1.0,3,0,,False,False,-0.8147013782545622,0.2840735068911753,-0.9888973966312125
122,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786098300000,2026-08-07T10:25:00+00:00,TRAIN,1,1,True,4,300.0,0.5,1,1,,False,False,0.4455937935146904,1.0220807638757776,-0.1893773622439967
125,R1_EARLY_DOMINANCE_3,1786100130000,2026-08-07T10:55:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,0.1469173589854143,0.8141670310454238,-0.7682553563619946
125,R2_EARLY_QUIET_DOMINANCE_3,1786100130000,2026-08-07T10:55:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,0.1469173589854143,0.8141670310454238,-0.7682553563619946
125,R3_RUN3_BEFORE240,1786100130000,2026-08-07T10:55:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,0.1469173589854143,0.8141670310454238,-0.7682553563619946
135,R3_RUN3_BEFORE240,1786104090000,2026-08-07T12:01:30+00:00,TRAIN,1,1,False,3,240.0,1.0,3,0,,False,False,-2.898110770224112,1.161957048280077,-3.30954303245556
140,R1_EARLY_DOMINANCE_3,1786106340000,2026-08-07T12:39:00+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,1.2496080156028826,1.5301541167921078,-0.064247198745688
140,R2_EARLY_QUIET_DOMINANCE_3,1786106340000,2026-08-07T12:39:00+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,1.2496080156028826,1.5301541167921078,-0.064247198745688
140,R3_RUN3_BEFORE240,1786106340000,2026-08-07T12:39:00+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,1.2496080156028826,1.5301541167921078,-0.064247198745688
140,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786106400000,2026-08-07T12:40:00+00:00,TRAIN,-1,-1,True,4,240.0,0.5,1,1,,False,False,-0.2947262897855926,0.3518671010704242,-0.6014822240521256
143,R1_EARLY_DOMINANCE_3,1786107390000,2026-08-07T12:56:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-1.8230803771889943,0.3268971710820646,-1.7916479568928985
143,R2_EARLY_QUIET_DOMINANCE_3,1786107390000,2026-08-07T12:56:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-1.8230803771889943,0.3268971710820646,-1.7916479568928985
143,R3_RUN3_BEFORE240,1786107390000,2026-08-07T12:56:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-1.8230803771889943,0.3268971710820646,-1.7916479568928985
152,R3_RUN3_BEFORE240,1786110840000,2026-08-07T13:54:00+00:00,TRAIN,1,1,True,3,210.0,1.0,3,0,,False,False,-2.934508380853761,0.5757732849490692,-2.985311905996333
