candidate,feed,period,n,ev5,ev15,days15,positive_days15,long_ev15,short_ev15,gate_pass
LOC_FAIL_Q20_REV,RITHMIC,TRAIN,37,0.0436957436529702,-0.2616902164056979,12,5,-1.0712682873779475,0.5052784824101176,False
LOC_FAIL_Q20_REV,RITHMIC,VALID,43,-0.2614996180582217,0.25115513760675484,11,5,0.9805476025566379,-0.10096536271387835,False
LOC_FAIL_Q20_REV,RITHMIC,LATE_CHECK,9,-0.2818907365063953,-0.41097355545793124,4,2,-0.884557721139476,-0.27566379383463285,False
LOC_FAIL_Q20_REV,RITHMIC,POST_CHECK,0,,,0,0,,,False
LOC_FAIL_Q20_REV,RITHMIC,FULL,89,-0.1366826706730471,-0.02900706841619939,27,12,-0.2154199464496787,0.08622998345904244,False
LOC_FAIL_Q20_REV,AMP,TRAIN,31,-0.14108648394174564,-0.4246221981816478,9,4,-1.0158266626273036,0.20599589722705178,False
LOC_FAIL_Q20_REV,AMP,VALID,44,-0.27729823505421797,0.24697707080811268,11,5,0.9635723084609338,-0.12367563832265667,False
LOC_FAIL_Q20_REV,AMP,LATE_CHECK,9,0.6237793899475361,0.12007545420588163,4,2,0.42334421134437444,-0.03155892436336479,False
LOC_FAIL_Q20_REV,AMP,POST_CHECK,8,-0.20050865589978759,-0.8554142014968875,3,1,-0.30715271827896184,-1.184371091427643,False
LOC_FAIL_Q20_REV,AMP,FULL,92,-0.1365745443722846,-0.08759708208909005,27,12,-0.03921804043044894,-0.12014298284126683,False
A_CONT,RITHMIC,TRAIN,1116,0.019027826204031005,0.041501713900759116,15,9,0.29672213788609875,-0.23466964041173521,False
A_CONT,RITHMIC,VALID,976,0.013130710196907936,-0.06971395759172952,14,5,0.03994170411959109,-0.1775866004134352,False
A_CONT,RITHMIC,LATE_CHECK,371,-0.1056117748708877,-0.2369969100129611,6,0,-0.32256749869676626,-0.1527991115219441,False
A_CONT,RITHMIC,POST_CHECK,10,0.4664374974625529,0.4540795377457372,1,1,0.9569065847771263,-0.30016103280134643,False
A_CONT,RITHMIC,FULL,2473,-0.00020059018428403934,-0.042503019868027514,35,14,0.1099040227402529,-0.19928598248556945,False
A_CONT,AMP,TRAIN,823,-0.006232117906997239,-0.041590086118937844,11,5,0.3223666446419563,-0.4154077135260631,False
A_CONT,AMP,VALID,965,0.008762978171116542,-0.12920879314079298,14,5,-0.08248452880355389,-0.1754513640312564,False
A_CONT,AMP,LATE_CHECK,375,-0.08646415672798191,-0.14298528098554425,6,1,-0.3063302704155829,0.00941391018371868,False
A_CONT,AMP,POST_CHECK,191,0.16659145828481986,0.3615091672979868,4,4,0.41468147758787,0.309981361450059,False
A_CONT,AMP,FULL,2354,0.001343992612663507,-0.06095427173849389,34,14,0.0668674035307416,-0.18769454535570546,False
IMPACT_Q80_CONT,RITHMIC,TRAIN,232,0.15262076152434184,0.23201577342577306,15,10,0.34001447206063173,0.11828263061561217,False
IMPACT_Q80_CONT,RITHMIC,VALID,194,0.02255435341450049,0.1453497717842563,14,7,0.25908123075345374,0.029248907419867225,False
IMPACT_Q80_CONT,RITHMIC,LATE_CHECK,73,0.11861693749195176,0.11267280636726053,6,3,0.29810201348516346,-0.0779072120594731,False
IMPACT_Q80_CONT,RITHMIC,POST_CHECK,0,,,0,0,,,False
IMPACT_Q80_CONT,RITHMIC,FULL,499,0.09646020128740261,0.18086298602351722,35,20,0.3026829027086799,0.05456805199073632,False
IMPACT_Q80_CONT,AMP,TRAIN,158,0.18460543594544443,0.24555761998294287,11,7,0.02387173584482406,0.43594667341920956,False
IMPACT_Q80_CONT,AMP,VALID,185,-0.0043687979155025225,0.1148156271213458,14,6,0.2858542877795313,-0.05808214941355919,False
IMPACT_Q80_CONT,AMP,LATE_CHECK,72,0.03056063109363949,0.03199879949458653,6,3,0.12106867896557857,-0.04769530318998537,False
IMPACT_Q80_CONT,AMP,POST_CHECK,25,0.5818008961900377,1.0222549330205688,4,3,-0.07395363064421161,1.638872250082008,False
IMPACT_Q80_CONT,AMP,FULL,440,0.10246570727382714,0.19977109514517818,34,19,0.1520470712401931,0.24294997391635523,False
BREAKOUT_CONT,RITHMIC,TRAIN,268,0.22616511044702578,0.14913130948922115,15,10,0.3388807191009076,-0.07794585283296081,False
BREAKOUT_CONT,RITHMIC,VALID,230,0.018255814593844767,0.08255451077422077,14,6,0.2777097140656557,-0.11260069251721413,False
BREAKOUT_CONT,RITHMIC,LATE_CHECK,83,0.06471023833038339,0.16376694220558394,5,2,0.5607945455596635,-0.20556106091449006,False
BREAKOUT_CONT,RITHMIC,POST_CHECK,2,1.122264793529129,0.4529587058321467,1,1,0.6913580246913115,0.21455938697298194,False
BREAKOUT_CONT,RITHMIC,FULL,583,0.1244053620467711,0.12599194174255549,34,18,0.346146827660135,-0.11061580041797486,False
BREAKOUT_CONT,AMP,TRAIN,195,0.2379482894913042,0.3154425858586761,11,7,0.5319097808177786,0.046724688668065714,False
BREAKOUT_CONT,AMP,VALID,232,0.0875000785916475,0.17541501188497033,14,6,0.3198309817992055,0.020683615548289767,False
BREAKOUT_CONT,AMP,LATE_CHECK,81,0.014003569626374453,0.19360537664610974,5,4,0.3194522575360646,0.0877795904431932,False
BREAKOUT_CONT,AMP,POST_CHECK,33,0.40813687454082953,0.9649240294475582,4,3,0.3033514815549868,1.452398538421032,False
BREAKOUT_CONT,AMP,FULL,541,0.1512320707785118,0.27676915985186556,33,19,0.40104884736497837,0.14442552314897056,False
RANGE_IMPACT_CONT,RITHMIC,TRAIN,559,0.02464456028091902,0.1344871652357906,15,10,0.4321433552015962,-0.1729105000379867,False
RANGE_IMPACT_CONT,RITHMIC,VALID,506,-0.01875119106962317,-0.1167465281846512,14,4,-0.05114111460626185,-0.17229563749190066,False
RANGE_IMPACT_CONT,RITHMIC,LATE_CHECK,187,-0.08664073085774678,-0.25071315290906576,6,0,-0.42062204375236395,-0.10289241787539641,False
RANGE_IMPACT_CONT,RITHMIC,POST_CHECK,6,0.7089836302840674,0.390396149413719,1,1,1.3289744889040005,-0.5481821900765625,False
RANGE_IMPACT_CONT,RITHMIC,FULL,1258,-0.006125219842607298,-0.02260445198103305,35,14,0.12913660057567145,-0.16363984745551605,False
RANGE_IMPACT_CONT,AMP,TRAIN,422,0.007474069723199339,0.07036929586637385,11,5,0.38610261865766166,-0.24238541067216599,False
RANGE_IMPACT_CONT,AMP,VALID,485,-0.017549286776928817,-0.12032321879874006,14,4,-0.05245925219798893,-0.17808529724136407,False
RANGE_IMPACT_CONT,AMP,LATE_CHECK,189,-0.06723454058144582,-0.17377349949235849,6,1,-0.33837331813799465,-0.036340641205710754,False
RANGE_IMPACT_CONT,AMP,POST_CHECK,73,0.370641427292487,0.5869973333430832,4,4,0.5088918369690408,0.6446466282858287,False
RANGE_IMPACT_CONT,AMP,FULL,1169,0.0081162155791001,-0.015956633303498568,34,13,0.10192486957114573,-0.12069787172200319,False
