gc_end_ms,gc_end_utc,period,direction,side,xau_atr,r5,r10,r30,mfe_15m_atr,mae_15m_atr,first025_hit,first025_ms,gc_delta_frac,gc_volume,gc_impact,bias_60s_atr,bias_180s_atr,bias_300s_atr,bias_600s_atr,bias_900s_atr,state
1787315970000,2026-08-21T12:39:30+00:00,VALID,-1,SHORT,3.111428571428405,-0.40817263544552485,-0.5592286501377007,0.2699724517906948,0.6235078053261842,-4.909320477502441,OPP,1505,0.4202247191011236,445.0,-0.7543103448276068,-0.31818181818176505,-1.6134067952252036,-2.8604224058769874,-4.133149678604339,-4.7518365472913,REVERSAL_CONFIRM
1787320800000,2026-08-21T14:00:00+00:00,VALID,-1,SHORT,3.3260714285714648,0.28562224846982304,-0.1999355739291769,0.06313754966149994,0.35326962310726157,-2.9073338344249877,PRED,3619,0.48360655737704916,244.0,-0.3721881390593665,-0.021045849887166644,-1.7347793407066516,-2.3255664125417583,-1.9422312895954528,-2.579619886180558,ALL
1787331420000,2026-08-21T16:57:00+00:00,VALID,1,LONG,1.522857142857317,0.24296435272094807,0.28893058161380986,0.7420262664170943,3.6313320825516096,-0.3939962476537836,PRED,1052,-0.5042735042735043,234.0,-0.0,0.5483114446534665,1.4545028142594383,0.9849906191368479,0.512195121951591,1.56941838649219,ALL
1787331420000,2026-08-21T16:57:00+00:00,VALID,1,LONG,1.522857142857317,0.24296435272094807,0.28893058161380986,0.7420262664170943,3.6313320825516096,-0.3939962476537836,PRED,1052,-0.5042735042735043,234.0,-0.0,0.5483114446534665,1.4545028142594383,0.9849906191368479,0.512195121951591,1.56941838649219,DIVERGE_EARLY
1787538150000,2026-08-24T02:22:30+00:00,VALID,-1,SHORT,3.5,0.08285714285713246,0.11714285714281557,0.09142857142874813,0.8542857142856519,-1.1114285714284051,OPP,52655,0.509090909090909,110.0,-0.16279069767426654,-0.2157142857143169,-0.3628571428572676,0.3714285714286234,-0.6171428571428156,0.12428571428582862,ALL
1787538150000,2026-08-24T02:22:30+00:00,VALID,-1,SHORT,3.5,0.08285714285713246,0.11714285714281557,0.09142857142874813,0.8542857142856519,-1.1114285714284051,OPP,52655,0.509090909090909,110.0,-0.16279069767426654,-0.2157142857143169,-0.3628571428572676,0.3714285714286234,-0.6171428571428156,0.12428571428582862,DIVERGE_EARLY
1787594460000,2026-08-24T18:01:00+00:00,VALID,-1,SHORT,2.2842857142856183,-0.026266416510893394,-0.09193245778653426,-0.34584115071959626,4.6929330831768965,-2.131957473421328,PRED,19505,0.59375,128.0,-0.43613707165107307,-0.36335209505939553,-1.5540963101944143,-1.6788617886183708,1.2914321450902582,1.0331457160724453,ALL
1787594460000,2026-08-24T18:01:00+00:00,VALID,-1,SHORT,2.2842857142856183,-0.026266416510893394,-0.09193245778653426,-0.34584115071959626,4.6929330831768965,-2.131957473421328,PRED,19505,0.59375,128.0,-0.43613707165107307,-0.36335209505939553,-1.5540963101944143,-1.6788617886183708,1.2914321450902582,1.0331457160724453,CROWD_PERSISTS
1787620890000,2026-08-25T01:21:30+00:00,VALID,1,LONG,3.411428571428457,-0.18027638190975642,0.04836683417057863,0.4704773869345612,0.5481574539360682,-3.0822864321610033,PRED,24306,-0.7159763313609467,169.0,-0.11618257261426462,-0.4616834170856559,-1.9214824120604512,-2.046063651591497,-1.2238274706871282,-0.8324958123953805,ALL
1787620890000,2026-08-25T01:21:30+00:00,VALID,1,LONG,3.411428571428457,-0.18027638190975642,0.04836683417057863,0.4704773869345612,0.5481574539360682,-3.0822864321610033,PRED,24306,-0.7159763313609467,169.0,-0.11618257261426462,-0.4616834170856559,-1.9214824120604512,-2.046063651591497,-1.2238274706871282,-0.8324958123953805,REVERSAL_CONFIRM
1787726310000,2026-08-26T06:38:30+00:00,VALID,-1,SHORT,2.0628571428572804,-0.04362880886433356,-0.007271468143761666,-0.43144044321298547,0.04362880886433356,-4.103531855955476,OPP,25509,0.6842105263157895,57.0,-0.04530744336586516,-0.8822714681438444,-1.5415512465374344,-2.2202216066480163,-3.6793628808862517,-2.28808864265881,ALL
1787726310000,2026-08-26T06:38:30+00:00,VALID,-1,SHORT,2.0628571428572804,-0.04362880886433356,-0.007271468143761666,-0.43144044321298547,0.04362880886433356,-4.103531855955476,OPP,25509,0.6842105263157895,57.0,-0.04530744336586516,-0.8822714681438444,-1.5415512465374344,-2.2202216066480163,-3.6793628808862517,-2.28808864265881,CROWD_PERSISTS
1787758050000,2026-08-26T15:27:30+00:00,VALID,-1,SHORT,3.613571428571504,-0.28503656849197206,-0.5368649930817664,-0.6973710219412014,-0.0,-2.9748962245502444,OPP,4056,0.532293986636971,449.0,-0.026515151515247887,-0.8288199248865453,-0.7720893457204719,-1.4431705870725542,-2.0699743032218167,-2.765961652500658,ALL
1787758050000,2026-08-26T15:27:30+00:00,VALID,-1,SHORT,3.613571428571504,-0.28503656849197206,-0.5368649930817664,-0.6973710219412014,-0.0,-2.9748962245502444,OPP,4056,0.532293986636971,449.0,-0.026515151515247887,-0.8288199248865453,-0.7720893457204719,-1.4431705870725542,-2.0699743032218167,-2.765961652500658,CROWD_PERSISTS
1787818890000,2026-08-27T08:21:30+00:00,VALID,-1,SHORT,1.4417857142858728,0.06589051275779796,0.12137726034258163,0.35026009412997194,2.351250928908204,-1.7096854099565408,PRED,22957,0.7333333333333333,45.0,-0.19626168224310464,0.7802823879123607,-0.568739162744348,-1.182561307901727,0.5305920237808343,2.1605152340855893,ALL
1787818890000,2026-08-27T08:21:30+00:00,VALID,-1,SHORT,1.4417857142858728,0.06589051275779796,0.12137726034258163,0.35026009412997194,2.351250928908204,-1.7096854099565408,PRED,22957,0.7333333333333333,45.0,-0.19626168224310464,0.7802823879123607,-0.568739162744348,-1.182561307901727,0.5305920237808343,2.1605152340855893,DIVERGE_EARLY
1787834850000,2026-08-27T12:47:30+00:00,VALID,1,LONG,2.2182142857139815,0.045081307358083564,-0.13749798744137587,-0.16229270648836283,0.7911769441315375,-2.946063435839978,OPP,25953,-0.5211267605633803,71.0,-0.5652173913044302,-0.11270326839438889,-1.3186282402192293,-2.247303171792143,0.11270326839479891,-0.22315247142165262,ALL
1787847840000,2026-08-27T16:24:00+00:00,VALID,-1,SHORT,1.7157142857143168,0.1049125728561211,-0.06411323896786517,0.1923397169025353,0.4196502914234242,-3.689425478767584,PRED,31508,0.504424778761062,113.0,-0.05577689243048099,0.14862614487932818,-0.4721065778520149,-0.6294754371356664,-1.0840965861785044,-1.3288925895091004,ALL
1787885340000,2026-08-28T02:49:00+00:00,VALID,1,LONG,1.7174999999996803,0.30567685589557114,1.1179039301312548,1.4788937409027287,2.212518195051464,-0.37845705967962573,PRED,4207,-0.6491228070175439,57.0,-0.1171548117159047,1.513828238719562,1.871906841339589,1.441048034934978,1.4643377001460236,1.1586608442504525,ALL
1787885340000,2026-08-28T02:49:00+00:00,VALID,1,LONG,1.7174999999996803,0.30567685589557114,1.1179039301312548,1.4788937409027287,2.212518195051464,-0.37845705967962573,PRED,4207,-0.6491228070175439,57.0,-0.1171548117159047,1.513828238719562,1.871906841339589,1.441048034934978,1.4643377001460236,1.1586608442504525,DIVERGE_EARLY
1787909700000,2026-08-28T09:35:00+00:00,VALID,-1,SHORT,1.3610714285713843,0.3306218840204876,0.4040934138016302,0.9257412752560289,1.1314615586460348,-2.0167934925223014,PRED,3307,0.6949152542372882,59.0,-0.06278026905852896,0.4151141432698708,0.11020729467305039,-0.8449225924951682,-1.113093676200081,-1.45106271319895,ALL
1787909700000,2026-08-28T09:35:00+00:00,VALID,-1,SHORT,1.3610714285713843,0.3306218840204876,0.4040934138016302,0.9257412752560289,1.1314615586460348,-2.0167934925223014,PRED,3307,0.6949152542372882,59.0,-0.06278026905852896,0.4151141432698708,0.11020729467305039,-0.8449225924951682,-1.113093676200081,-1.45106271319895,DIVERGE_EARLY
