core_bar_utc,side,confirm_bar_utc,confirm_offset_bars,confirm_open,confirm_close,confirm_delta,entry_eligible_utc
2026-09-06T23:05:00+00:00,SHORT,2026-09-06T23:15:00+00:00,2,4476.1,4475.4,-34.0,2026-09-06T23:20:00+00:00
2026-09-07T00:20:00+00:00,SHORT,2026-09-07T00:25:00+00:00,1,4472.5,4469.3,-17.0,2026-09-07T00:30:00+00:00
2026-09-07T13:25:00+00:00,SHORT,2026-09-07T13:35:00+00:00,2,4451.4,4448.2,-2.0,2026-09-07T13:40:00+00:00
2026-09-07T16:00:00+00:00,SHORT,2026-09-07T16:10:00+00:00,2,4461.4,4461.0,-19.0,2026-09-07T16:15:00+00:00
2026-09-08T00:50:00+00:00,LONG,2026-09-08T00:55:00+00:00,1,4465.8,4471.7,139.0,2026-09-08T01:00:00+00:00
2026-09-08T03:35:00+00:00,LONG,2026-09-08T03:45:00+00:00,2,4478.0,4482.2,65.0,2026-09-08T03:50:00+00:00
2026-09-09T03:35:00+00:00,LONG,2026-09-09T03:40:00+00:00,1,4422.0,4422.8,25.0,2026-09-09T03:45:00+00:00
2026-09-09T20:45:00+00:00,LONG,2026-09-09T20:55:00+00:00,2,4446.0,4447.2,38.0,2026-09-09T21:00:00+00:00
2026-09-09T22:05:00+00:00,SHORT,2026-09-09T22:10:00+00:00,1,4448.1,4446.8,-23.0,2026-09-09T22:15:00+00:00
2026-09-09T23:55:00+00:00,LONG,2026-09-10T00:05:00+00:00,2,4435.7,4437.4,37.0,2026-09-10T00:10:00+00:00
2026-09-10T04:05:00+00:00,LONG,2026-09-10T04:10:00+00:00,1,4455.9,4456.9,8.0,2026-09-10T04:15:00+00:00
2026-09-10T23:25:00+00:00,SHORT,2026-09-10T23:35:00+00:00,2,4358.7,4356.2,-23.0,2026-09-10T23:40:00+00:00
2026-09-11T08:15:00+00:00,LONG,2026-09-11T08:20:00+00:00,1,4388.3,4393.5,11.0,2026-09-11T08:25:00+00:00
2026-09-11T10:10:00+00:00,SHORT,2026-09-11T10:20:00+00:00,2,4391.3,4390.4,-31.0,2026-09-11T10:25:00+00:00
