cohort,key,depth_atr,expiry_min,full_signals,full_filled,full_fill_rate_pct,full_tp,full_sl,full_timeout,full_ev_r_per_signal,full_ev_r_per_filled,full_wr_filled_pct,full_pf,full_max_dd_r,full_median_fill_delay_sec,full_ci_lo,full_ci_hi,early_ev_r_per_signal,early_pf,early_fill_rate_pct,late_ev_r_per_signal,late_pf,late_fill_rate_pct,stable_gate_pass
COMMON_CLOCK,D1.50_E10M,1.5,10,245,109,44.48979591836735,20,74,15,-0.02229644930998252,-0.0501158723022543,28.440366972477065,0.927239988620016,17.58140730768966,181.954,-0.14428678319525054,0.10708273191663285,-0.029860273962130198,0.9014993829687169,44.06779661016949,-0.0026082586713040063,0.9917198736737557,45.588235294117645,False
COMMON_CLOCK,D1.50_E15M,1.5,15,245,133,54.285714285714285,23,87,23,-0.004043226927638623,-0.007448049603544838,31.57894736842105,0.9887531765486609,13.03838760942558,242.854,-0.13435839596565788,0.13128291853388227,-0.01761625468704126,0.9485951138172571,51.9774011299435,0.03128656591668881,1.0775884191510787,60.29411764705882,False
AMP_ALL,D0.50_E3M,0.5,3,279,182,65.23297491039428,29,128,25,-0.05243561462680947,-0.08038206857626287,29.67032967032967,0.8857067462431263,38.93836362069804,38.7805,-0.23600776509452662,0.13600115996904685,0.0113024344857478,1.0262377943419143,63.589743589743584,-0.20039894292381735,0.6174201998727123,69.04761904761905,False
AMP_ALL,D0.50_E5M,0.5,5,279,202,72.40143369175627,30,145,27,-0.10145418461239113,-0.14012731439038184,27.722772277227726,0.8052028941652148,48.08944750595977,45.8305,-0.28985677147726485,0.09373303761113928,-0.03319080154490496,0.9327972948987809,71.28205128205128,-0.25992275244762686,0.554418138661211,75.0,False
AMP_ALL,D0.50_E10M,0.5,10,279,220,78.85304659498208,33,159,28,-0.12014550382654511,-0.15236634348911862,26.81818181818182,0.789870610842791,51.089447505959775,50.106,-0.3157693028219076,0.08392571244009217,-0.04967735570259194,0.9081998261660288,77.43589743589745,-0.2837322762571507,0.5586386813777656,82.14285714285714,False
AMP_ALL,D0.50_E15M,0.5,15,279,226,81.00358422939068,33,163,30,-0.12622580378315565,-0.1558274303340727,26.991150442477874,0.7846365886124663,53.08944750595978,50.931,-0.329709502204997,0.0848055516626789,-0.05324865666615267,0.9043204562787573,80.0,-0.2956370381619126,0.5484816144436244,83.33333333333334,False
AMP_ALL,D0.75_E3M,0.75,3,279,143,51.25448028673835,30,93,20,0.061576406653565924,0.12013858361080344,33.56643356643357,1.183440765155872,11.065373564087235,52.058,-0.03556342978341368,0.16257857364188985,0.08170317864923753,1.250295602280572,51.28205128205128,0.01485354309218543,1.0415899206581192,51.19047619047619,False
AMP_ALL,D0.75_E5M,0.75,5,279,170,60.93189964157706,34,109,27,0.06630204700314994,0.1088133594934049,32.94117647058823,1.1674180674032817,14.065373564087235,71.1805,-0.05269968852036721,0.18550661042707123,0.09467997550517601,1.2536235716669635,58.97435897435898,0.0004247129805894156,1.0009464049575827,65.47619047619048,False
AMP_ALL,D0.75_E10M,0.75,10,279,204,73.11827956989248,39,132,33,0.05019627308729897,0.06865078525174717,32.35294117647059,1.1048733854054784,15.536171460298242,82.6625,-0.10252746014624849,0.19886309310287198,0.08103143690668957,1.1778535775315333,71.28205128205128,-0.021385357207714888,0.95980935371932,77.38095238095238,False
AMP_ALL,D0.75_E15M,0.75,15,279,213,76.34408602150538,39,138,36,0.03395821752611127,0.04448048211166685,32.3943661971831,1.0678971134456448,19.56826076369063,90.454,-0.12580317320237921,0.18662202200607772,0.07013128415331273,1.1489011618465428,73.84615384615385,-0.05001497285846355,0.9119163397379326,82.14285714285714,False
