cohort,candidate,mode,cost_r,original_signals,accepted_signals,accept_rate_pct,fills,fill_rate_original_pct,fill_rate_accepted_pct,ev_r_per_original_signal,ev_r_per_accepted_signal,ev_r_per_fill,pf,max_dd_r,positive_weeks,weeks,positive_week_pct,worst_closed_utc_day_r,early_ev_r_per_original_signal,late_ev_r_per_original_signal,dd_pct_at_025risk,dd_pct_at_050risk,worst_day_pct_at_025risk,worst_day_pct_at_050risk
AMP_ALL,D1.00_E5M,ALL_SIGNALS,0.0,279,279,100.0,147,52.68817204301075,52.68817204301075,0.07960687014139038,0.07960687014139038,0.15109059026835317,1.2452074219898166,9.379038134574955,5,7,71.42857142857143,-4.0,0.09426409511971831,0.045581169298843406,2.344759533643739,4.689519067287478,-1.0,-2.0
AMP_ALL,D1.00_E5M,ALL_SIGNALS,0.025,279,279,100.0,147,52.68817204301075,52.68817204301075,0.06643482713063772,0.06643482713063772,0.12609059026835323,1.1995132854286876,10.179038134574936,5,7,71.42857142857143,-4.1,0.08157178742741063,0.03129545501312917,2.544759533643734,5.089519067287468,-1.025,-2.05
AMP_ALL,D1.00_E5M,ALL_SIGNALS,0.05,279,279,100.0,147,52.68817204301075,52.68817204301075,0.05326278411988503,0.05326278411988503,0.10109059026835322,1.156050409347388,11.500520236744471,3,7,42.857142857142854,-4.2,0.06887947973510296,0.017009740727414836,2.8751300591861177,5.7502601183722355,-1.05,-2.1
AMP_ALL,D1.00_E5M,ALL_SIGNALS,0.1,279,279,100.0,147,52.68817204301075,52.68817204301075,0.026918698098379594,0.026918698098379594,0.05109059026835312,1.075195154482307,14.40052023674442,3,7,42.857142857142854,-4.4,0.04349486435048752,-0.011561687844013775,3.600130059186105,7.20026011837221,-1.1,-2.2
AMP_ALL,D1.00_E5M,ONE_ACTIVE_SETUP,0.0,279,230,82.43727598566308,126,45.16129032258064,54.78260869565217,0.07980303516603057,0.09680455135357623,0.176706720724782,1.2907511684026822,11.2378972520908,6,7,85.71428571428571,-4.0,0.09967296712933171,0.033676407394081516,2.8094743130227,5.6189486260454,-1.0,-2.0
AMP_ALL,D1.00_E5M,ONE_ACTIVE_SETUP,0.025,279,230,82.43727598566308,126,45.16129032258064,54.78260869565217,0.06851271258538545,0.08310889917966323,0.15170672072478203,1.243340512690913,11.737897252090795,5,7,71.42857142857143,-4.1,0.08928835174471636,0.020283550251224407,2.9344743130226987,5.868948626045397,-1.025,-2.05
AMP_ALL,D1.00_E5M,ONE_ACTIVE_SETUP,0.05,279,230,82.43727598566308,126,45.16129032258064,54.78260869565217,0.057222390004740276,0.06941324700575016,0.126706720724782,1.198255419009924,12.237897252090814,5,7,71.42857142857143,-4.2,0.07890373636010097,0.006890693108367202,3.0594743130227036,6.118948626045407,-1.05,-2.1
AMP_ALL,D1.00_E5M,ONE_ACTIVE_SETUP,0.1,279,230,82.43727598566308,126,45.16129032258064,54.78260869565217,0.03464174484344991,0.04202194265792402,0.07670672072478198,1.114409487096638,13.27903813457495,5,7,71.42857142857143,-4.4,0.05813450559087016,-0.019895021177347105,3.3197595336437375,6.639519067287475,-1.1,-2.2
AMP_ALL,D0.75_E3M,ALL_SIGNALS,0.0,279,279,100.0,143,51.25448028673835,51.25448028673835,0.061576406653565924,0.061576406653565924,0.12013858361080344,1.183440765155872,11.065373564087235,4,7,57.14285714285714,-4.5797692893676185,0.08170317864923753,0.01485354309218544,2.7663433910218087,5.532686782043617,-1.1449423223419046,-2.2898846446838093
AMP_ALL,D0.75_E3M,ALL_SIGNALS,0.025,279,279,100.0,143,51.25448028673835,51.25448028673835,0.04876278658188137,0.04876278658188137,0.09513858361080349,1.1416752089730196,11.790373564087215,4,7,57.14285714285714,-4.754769289367618,0.06888266582872471,0.002055924044566422,2.9475933910218037,5.8951867820436075,-1.1886923223419046,-2.377384644683809
AMP_ALL,D0.75_E3M,ALL_SIGNALS,0.05,279,279,100.0,143,51.25448028673835,51.25448028673835,0.035949166510196744,0.035949166510196744,0.07013858361080348,1.1019257087844476,13.217675944343693,2,7,28.57142857142857,-4.929769289367619,0.05606215300821188,-0.01074169500305266,3.304418986085923,6.608837972171846,-1.2324423223419048,-2.4648846446838095
AMP_ALL,D0.75_E3M,ALL_SIGNALS,0.1,279,279,100.0,143,51.25448028673835,51.25448028673835,0.01032192636682753,0.01032192636682753,0.020138583610803378,1.02791786422408,16.617675944343638,2,7,28.57142857142857,-5.27976928936762,0.030421127367186197,-0.036336933098290794,4.1544189860859095,8.308837972171819,-1.319942322341905,-2.63988464468381
AMP_ALL,D0.75_E3M,ONE_ACTIVE_SETUP,0.0,279,242,86.73835125448028,125,44.80286738351255,51.652892561983464,0.07998953908309166,0.09221934464538253,0.17853665123346057,1.2806616917939364,8.160216607438024,5,7,71.42857142857143,-4.0,0.10804812197148206,0.01485354309218543,2.040054151859506,4.080108303719012,-1.0,-2.0
AMP_ALL,D0.75_E3M,ONE_ACTIVE_SETUP,0.025,279,242,86.73835125448028,125,44.80286738351255,51.652892561983464,0.06878882223721357,0.07930612150488671,0.15353665123346066,1.2354395809459644,9.045232482744824,5,7,71.42857142857143,-4.1,0.09702248094584105,0.0032464002350426186,2.261308120686206,4.522616241372412,-1.025,-2.05
AMP_ALL,D0.75_E3M,ONE_ACTIVE_SETUP,0.05,279,242,86.73835125448028,125,44.80286738351255,51.652892561983464,0.05758810539133539,0.0663928983643908,0.12853665123346064,1.1923833850001284,10.020232482744891,5,7,71.42857142857143,-4.2,0.0859968399202,-0.008360742622100287,2.505058120686223,5.010116241372446,-1.05,-2.1
AMP_ALL,D0.75_E3M,ONE_ACTIVE_SETUP,0.1,279,242,86.73835125448028,125,44.80286738351255,51.652892561983464,0.03518667169957908,0.04056645208339902,0.07853665123346056,1.1121747665798447,12.91767594434366,3,7,42.857142857142854,-4.4,0.0639455578689179,-0.03157502833638603,3.229418986085915,6.45883797217183,-1.1,-2.2
AMP_ALL,D0.75_E5M,ALL_SIGNALS,0.0,279,279,100.0,170,60.93189964157706,60.93189964157706,0.06630204700314994,0.06630204700314994,0.1088133594934049,1.1674180674032817,14.065373564087235,3,7,42.857142857142854,-5.5797692893676185,0.09467997550517601,0.00042471298058942617,3.5163433910218087,7.032686782043617,-1.3949423223419046,-2.7898846446838093
AMP_ALL,D0.75_E5M,ALL_SIGNALS,0.025,279,279,100.0,170,60.93189964157706,60.93189964157706,0.051069072092755706,0.051069072092755706,0.08381335949340495,1.1257109957636477,14.865373564087204,3,7,42.857142857142854,-5.779769289367618,0.07993638576158629,-0.015944334638458155,3.716343391021801,7.432686782043602,-1.4449423223419045,-2.889884644683809
AMP_ALL,D0.75_E5M,ALL_SIGNALS,0.05,279,279,100.0,170,60.93189964157706,60.93189964157706,0.03583609718236142,0.03583609718236142,0.058813359493404896,1.0860499458744635,16.196855675028047,2,7,28.57142857142857,-5.979769289367619,0.06519279601799653,-0.03231338225750581,4.049213918757012,8.098427837514024,-1.4949423223419047,-2.9898846446838094
