### SHEET Sheet1 dim=273x15
120	2024.03.15 15:29:03	39	XAUUSD	sell	0.37 / 0.37		0.0			2024.03.15 15:29:03		filled	sl 2162.43		
121	2024.08.09 20:00:00	40	XAUUSD	buy	0.21 / 0.21		0.0	2422.7	2452.58	2024.08.09 20:00:00		filled	CTX BUY E100 C76		
122	2024.08.12 16:40:05	41	XAUUSD	sell	0.21 / 0.21		0.0			2024.08.12 16:40:05		filled	tp 2452.58		
123	2024.08.23 12:00:00	42	XAUUSD	buy	0.2 / 0.2		0.0	2486.48	2518.21	2024.08.23 12:00:00		filled	CTX BUY E75 C76		
124	2024.08.23 18:29:14	43	XAUUSD	sell	0.2 / 0.2		0.0			2024.08.23 18:29:14		filled	tp 2518.21		
125	2024.08.26 12:00:00	44	XAUUSD	buy	0.24 / 0.24		0.0	2514.09	2539.84	2024.08.26 12:00:00		filled	CTX BUY E75 C76		
126	2024.08.26 17:01:05	45	XAUUSD	sell	0.24 / 0.24		0.0			2024.08.26 17:01:05		filled	sl 2514.09		
127	2024.08.26 20:00:00	46	XAUUSD	buy	0.24 / 0.24		0.0	2509.84	2536.09	2024.08.26 20:00:00		filled	CTX BUY E75 C76		
128	2024.08.27 04:13:37	47	XAUUSD	sell	0.24 / 0.24		0.0			2024.08.27 04:13:37		filled	sl 2509.84		
129	2024.09.11 01:05:00	48	XAUUSD	buy	0.29 / 0.29		0.0	2508.32	2529.68	2024.09.11 01:05:00		filled	CTX BUY E75 C76		
130	2024.09.11 15:36:39	49	XAUUSD	sell	0.29 / 0.29		0.0			2024.09.11 15:36:39		filled	sl 2508.32		
131	2024.09.12 08:00:00	50	XAUUSD	buy	0.31 / 0.31		0.0	2509.0	2529.47	2024.09.12 08:00:00		filled	CTX BUY E100 C76		
132	2024.09.12 15:41:38	51	XAUUSD	sell	0.31 / 0.31		0.0			2024.09.12 15:41:38		filled	tp 2529.47		
133	2024.10.29 04:00:00	52	XAUUSD	buy	0.29 / 0.29		0.0	2737.3	2758.97	2024.10.29 04:00:00		filled	CTX BUY E75 C76		
134	2024.10.29 16:37:41	53	XAUUSD	sell	0.29 / 0.29		0.0			2024.10.29 16:37:41		filled	tp 2758.97		
135	2025.02.19 04:00:00	54	XAUUSD	buy	0.23 / 0.23		0.0	2927.88	2955.08	2025.02.19 04:00:00		filled	CTX BUY E75 C76		
136	2025.02.19 04:48:41	55	XAUUSD	sell	0.23 / 0.23		0.0			2025.02.19 04:48:41		filled	sl 2927.88		
137	2025.03.12 12:00:00	56	XAUUSD	buy	0.18 / 0.18		0.0	2908.91	2943.16	2025.03.12 12:00:00		filled	CTX BUY E75 C76		
138	2025.03.12 16:24:30	57	XAUUSD	sell	0.18 / 0.18		0.0			2025.03.12 16:24:30		filled	sl 2908.91		
139	2025.03.26 12:00:00	58	XAUUSD	buy	0.25 / 0.25		0.0	3013.95	3039.5	2025.03.26 12:00:00		filled	CTX BUY E75 C76		
140	2025.03.26 18:01:37	59	XAUUSD	sell	0.25 / 0.25		0.0			2025.03.26 18:01:37		filled	sl 3013.95		
141	2025.03.27 08:00:00	60	XAUUSD	buy	0.19 / 0.19		0.0	3021.6	3053.55	2025.03.27 08:00:00		filled	CTX BUY E75 C76		
142	2025.03.27 13:30:25	61	XAUUSD	sell	0.19 / 0.19		0.0			2025.03.27 13:30:25		filled	tp 3053.55		
143	2025.04.29 20:00:00	62	XAUUSD	buy	0.1 / 0.1		0.0	3304.18	3366.3	2025.04.29 20:00:00		filled	CTX BUY E75 C76		
144	2025.04.30 06:42:04	63	XAUUSD	sell	0.1 / 0.1		0.0			2025.04.30 06:42:04		filled	sl 3304.18		
145	2025.06.04 12:00:00	64	XAUUSD	buy	0.15 / 0.15		0.0	3346.54	3387.86	2025.06.04 12:00:00		filled	CTX BUY E75 C76		
146	2025.06.04 14:27:28	65	XAUUSD	sell	0.15 / 0.15		0.0			2025.06.04 14:27:28		filled	sl 3346.54		
147	2025.07.07 01:05:00	66	XAUUSD	buy	0.21 / 0.21		0.0	3329.59	3359.87	2025.07.07 01:05:00		filled	CTX BUY E75 C76		
148	2025.07.07 02:17:32	67	XAUUSD	sell	0.21 / 0.21		0.0			2025.07.07 02:17:32		filled	sl 3329.59		
149	2025.09.15 12:00:00	68	XAUUSD	buy	0.19 / 0.19		0.0	3632.36	3665.57	2025.09.15 12:00:00		filled	CTX BUY E75 C76		
150	2025.09.15 18:09:14	69	XAUUSD	sell	0.19 / 0.19		0.0			2025.09.15 18:09:14		filled	tp 3665.57		
151	2025.09.17 16:00:00	70	XAUUSD	buy	0.13 / 0.13		0.0	3660.04	3707.19	2025.09.17 16:00:00		filled	CTX BUY E75 C76		
152	2025.09.17 21:01:04	71	XAUUSD	sell	0.13 / 0.13		0.0			2025.09.17 21:01:04		filled	sl 3660.04		
153	2025.11.28 20:00:00	72	XAUUSD	buy	0.1 / 0.1		0.0	4193.17	4253.19	2025.11.28 20:00:00		filled	CTX BUY E75 C76		
154	2025.12.01 03:58:36	73	XAUUSD	sell	0.1 / 0.1		0.0			2025.12.01 03:58:36		filled	tp 4253.19		
155	2025.12.05 08:00:00	74	XAUUSD	buy	0.11 / 0.11		0.0	4198.99	4252.87	2025.12.05 08:00:00		filled	CTX BUY E75 C76		
156	2025.12.05 17:32:41	75	XAUUSD	sell	0.11 / 0.11		0.0			2025.12.05 17:32:41		filled	tp 4252.87		
157	2025.12.10 04:00:00	76	XAUUSD	buy	0.13 / 0.13		0.0	4195.54	4241.45	2025.12.10 04:00:00		filled	CTX BUY E75 C76		
158	2025.12.10 11:03:28	77	XAUUSD	sell	0.13 / 0.13		0.0			2025.12.10 11:03:28		filled	sl 4195.54		
159	2025.12.11 12:00:00	78	XAUUSD	buy	0.13 / 0.13		0.0	4199.37	4248.04	2025.12.11 12:00:00		filled	CTX BUY E75 C76		
160	2025.12.11 17:40:37	79	XAUUSD	sell	0.13 / 0.13		0.0			2025.12.11 17:40:37		filled	tp 4248.04		
