candidate,sl_atr,tp_atr,rr_nominal,cost_r,period,n,ev_r,pf,wr_pct,tp_rate_pct,sl_rate_pct,timeout_rate_pct,cum_r,maxdd_r,maxdd_pct_at_025,max_consec_losses
Q60,0.5,0.75,1.5,0.1,VALID,22,-0.190909090909091,0.7272727272727273,36.36363636363637,36.36363636363637,63.63636363636363,0.0,-4.200000000000002,7.900000000000001,1.9750000000000003,5
Q60,0.5,0.75,1.5,0.1,POST_CHECK,12,-0.2666666666666668,0.6363636363636362,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-3.200000000000001,4.1000000000000005,1.0250000000000001,3
Q60,0.5,0.75,1.5,0.1,FULL,46,-0.3391304347826086,0.5568181818181818,30.434782608695656,30.434782608695656,69.56521739130434,0.0,-15.599999999999998,17.899999999999988,4.474999999999997,6
Q60,0.5,0.75,1.5,0.15,TRAIN,12,-0.7333333333333334,0.23478260869565218,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-8.8,10.15,2.5375,6
Q60,0.5,0.75,1.5,0.15,VALID,22,-0.24090909090909085,0.670807453416149,36.36363636363637,36.36363636363637,63.63636363636363,0.0,-5.299999999999999,8.599999999999998,2.1499999999999995,5
Q60,0.5,0.75,1.5,0.15,POST_CHECK,12,-0.3166666666666666,0.5869565217391305,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-3.799999999999999,4.3999999999999995,1.0999999999999999,3
Q60,0.5,0.75,1.5,0.15,FULL,46,-0.3891304347826085,0.5135869565217392,30.434782608695656,30.434782608695656,69.56521739130434,0.0,-17.89999999999999,19.850000000000005,4.962500000000001,6
Q60,0.5,1.0,2.0,0.0,TRAIN,12,-0.5,0.4,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-6.0,8.0,2.0,6
Q60,0.5,1.0,2.0,0.0,VALID,22,-0.045454545454545456,0.9333333333333333,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-1.0,8.0,2.0,7
Q60,0.5,1.0,2.0,0.0,POST_CHECK,12,-0.1282734646581661,0.8075898030127509,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-1.5392815758979932,3.5392815758979927,0.8848203939744982,3
Q60,0.5,1.0,2.0,0.0,FULL,46,-0.18563655599778245,0.7412338916394549,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-8.539281575897993,12.539281575897993,3.1348203939744983,7
Q60,0.5,1.0,2.0,0.02,TRAIN,12,-0.52,0.38823529411764707,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-6.24,8.22,2.055,6
Q60,0.5,1.0,2.0,0.02,VALID,22,-0.06545454545454547,0.9058823529411767,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-1.4400000000000004,8.280000000000001,2.0700000000000003,7
Q60,0.5,1.0,2.0,0.02,POST_CHECK,12,-0.14827346465816613,0.7819507872674027,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-1.7792815758979934,3.699281575897993,0.9248203939744982,3
Q60,0.5,1.0,2.0,0.02,FULL,46,-0.20563655599778238,0.7189755919222224,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-9.45928157589799,13.359281575897986,3.3398203939744966,7
Q60,0.5,1.0,2.0,0.05,TRAIN,12,-0.5499999999999999,0.37142857142857133,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-6.6,8.549999999999999,2.1374999999999997,6
Q60,0.5,1.0,2.0,0.05,VALID,22,-0.0954545454545455,0.8666666666666663,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-2.100000000000001,8.7,2.175,7
Q60,0.5,1.0,2.0,0.05,POST_CHECK,12,-0.1782734646581661,0.7453236219169056,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-2.1392815758979933,3.9392815758979935,0.9848203939744984,3
Q60,0.5,1.0,2.0,0.05,FULL,46,-0.23563655599778252,0.6871780208976048,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-10.839281575897996,14.589281575897994,3.6473203939744985,7
Q60,0.5,1.0,2.0,0.1,TRAIN,12,-0.6000000000000001,0.34545454545454546,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-7.200000000000001,9.100000000000001,2.2750000000000004,6
Q60,0.5,1.0,2.0,0.1,VALID,22,-0.14545454545454553,0.8060606060606061,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-3.200000000000002,9.400000000000002,2.3500000000000005,7
Q60,0.5,1.0,2.0,0.1,POST_CHECK,12,-0.2282734646581662,0.6887180027388643,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-2.7392815758979943,4.339281575897994,1.0848203939744985,3
Q60,0.5,1.0,2.0,0.1,FULL,46,-0.2856365559977824,0.6380363202231956,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-13.139281575897993,16.639281575897986,4.159820393974496,7
Q60,0.5,1.0,2.0,0.15,TRAIN,12,-0.65,0.32173913043478264,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-7.800000000000001,9.65,2.4125,6
Q60,0.5,1.0,2.0,0.15,VALID,22,-0.19545454545454535,0.7507246376811594,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-4.299999999999998,10.099999999999998,2.5249999999999995,7
Q60,0.5,1.0,2.0,0.15,POST_CHECK,12,-0.278273464658166,0.6370346113154356,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-3.339281575897992,4.7392815758979925,1.1848203939744981,3
Q60,0.5,1.0,2.0,0.15,FULL,46,-0.33563655599778247,0.5931678109117791,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-15.439281575897994,18.689281575898,4.6723203939745,7
Q60,0.5,1.25,2.5,0.0,TRAIN,12,-0.4166666666666667,0.5,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-5.0,7.5,1.875,6
Q60,0.5,1.25,2.5,0.0,VALID,22,0.11363636363636363,1.1666666666666667,31.818181818181817,31.818181818181817,68.18181818181817,0.0,2.5,7.0,1.75,7
Q60,0.5,1.25,2.5,0.0,POST_CHECK,12,-0.0032734646581660995,0.9950898030127509,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-0.03928157589799319,3.0392815758979927,0.7598203939744982,3
Q60,0.5,1.25,2.5,0.0,FULL,46,-0.05520177338908681,0.9230520734576366,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-2.539281575897993,8.539281575897993,2.1348203939744983,7
Q60,0.5,1.25,2.5,0.02,TRAIN,12,-0.4366666666666667,0.4862745098039216,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-5.24,7.720000000000001,1.9300000000000002,6
Q60,0.5,1.25,2.5,0.02,VALID,22,0.09363636363636361,1.1346405228758172,31.818181818181817,31.818181818181817,68.18181818181817,0.0,2.0599999999999996,7.279999999999999,1.8199999999999998,7
Q60,0.5,1.25,2.5,0.02,POST_CHECK,12,-0.023273464658166116,0.9657743166791675,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-0.2792815758979934,3.199281575897993,0.7998203939744982,3
Q60,0.5,1.25,2.5,0.02,FULL,46,-0.07520177338908676,0.8972287113518124,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-3.4592815758979913,9.019281575897992,2.254820393974498,7
Q60,0.5,1.25,2.5,0.05,TRAIN,12,-0.4666666666666666,0.4666666666666666,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-5.6,8.05,2.0125,6
Q60,0.5,1.25,2.5,0.05,VALID,22,0.0636363636363637,1.0888888888888884,31.818181818181817,31.818181818181817,68.18181818181817,0.0,1.4000000000000015,7.699999999999999,1.9249999999999998,7
Q60,0.5,1.25,2.5,0.05,POST_CHECK,12,-0.053273464658166014,0.9238950504883342,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-0.6392815758979922,3.4392815758979935,0.8598203939744984,3
Q60,0.5,1.25,2.5,0.05,FULL,46,-0.10520177338908675,0.860338194057778,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-4.83928157589799,10.08928157589799,2.5223203939744976,7
Q60,0.5,1.25,2.5,0.1,TRAIN,12,-0.5166666666666667,0.43636363636363634,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-6.200000000000001,8.600000000000001,2.1500000000000004,6
Q60,0.5,1.25,2.5,0.1,VALID,22,0.013636363636363547,1.0181818181818183,31.818181818181817,31.818181818181817,68.18181818181817,0.0,0.29999999999999805,8.4,2.1,7
Q60,0.5,1.25,2.5,0.1,POST_CHECK,12,-0.10327346465816616,0.8591725481934097,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-1.2392815758979938,3.8392815758979935,0.9598203939744984,3
Q60,0.5,1.25,2.5,0.1,FULL,46,-0.15520177338908675,0.8033255764215427,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-7.139281575897991,12.139281575897991,3.0348203939744978,7
Q60,0.5,1.25,2.5,0.15,TRAIN,12,-0.5666666666666665,0.40869565217391307,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-6.799999999999999,9.149999999999999,2.2874999999999996,6
Q60,0.5,1.25,2.5,0.15,VALID,22,-0.03636363636363627,0.9536231884057971,31.818181818181817,31.818181818181817,68.18181818181817,0.0,-0.799999999999998,9.1,2.275,7
Q60,0.5,1.25,2.5,0.15,POST_CHECK,12,-0.15327346465816602,0.8000780895763052,33.33333333333333,25.0,66.66666666666666,8.333333333333332,-1.8392815758979921,4.2392815758979925,1.0598203939744981,3
Q60,0.5,1.25,2.5,0.15,FULL,46,-0.20520177338908685,0.751270577710198,28.26086956521739,26.08695652173913,71.73913043478261,2.1739130434782608,-9.439281575897995,14.189281575897997,3.5473203939744993,7
Q60,0.5,1.5,3.0,0.0,TRAIN,12,-0.3333333333333333,0.6,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-4.0,7.0,1.75,6
Q60,0.5,1.5,3.0,0.0,VALID,22,0.15778610742076304,1.2314196242171191,31.818181818181817,27.27272727272727,68.18181818181817,4.545454545454546,3.4712943632567868,7.528705636743213,1.8821764091858033,7
Q60,0.5,1.5,3.0,0.0,POST_CHECK,12,-0.07100906675240089,0.8934863998713988,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-0.8521088010288107,4.852108801028811,1.2130272002572027,3
Q60,0.5,1.5,3.0,0.0,FULL,46,-0.03001770516895704,0.9581571382493327,28.26086956521739,21.73913043478261,71.73913043478261,6.521739130434782,-1.380814437772024,9.380814437772024,2.345203609443006,7
Q60,0.5,1.5,3.0,0.02,TRAIN,12,-0.35333333333333333,0.5843137254901961,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-4.24,7.220000000000001,1.8050000000000002,6
Q60,0.5,1.5,3.0,0.02,VALID,22,0.13778610742076303,1.198123814591947,31.818181818181817,27.27272727272727,68.18181818181817,4.545454545454546,3.031294363256787,7.708705636743213,1.9271764091858032,7
Q60,0.5,1.5,3.0,0.02,POST_CHECK,12,-0.0910090667524009,0.8661631371288222,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-1.092108801028811,5.012108801028809,1.2530272002572023,3
Q60,0.5,1.5,3.0,0.02,FULL,46,-0.05001770516895704,0.9316454415397496,28.26086956521739,21.73913043478261,71.73913043478261,6.521739130434782,-2.300814437772024,9.900814437772024,2.475203609443006,7
Q60,0.5,1.5,3.0,0.05,TRAIN,12,-0.3833333333333333,0.5619047619047618,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-4.6,7.55,1.8875,6
Q60,0.5,1.5,3.0,0.05,VALID,22,0.10778610742076306,1.150558372270272,31.818181818181817,27.27272727272727,68.18181818181817,4.545454545454546,2.371294363256787,7.978705636743213,1.9946764091858034,7
Q60,0.5,1.5,3.0,0.05,POST_CHECK,12,-0.1210090667524008,0.8271299046394274,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-1.4521088010288097,5.25210880102881,1.3130272002572025,3
Q60,0.5,1.5,3.0,0.05,FULL,46,-0.080017705168957,0.8937715890974886,28.26086956521739,21.73913043478261,71.73913043478261,6.521739130434782,-3.680814437772022,10.680814437772021,2.6702036094430053,7
Q60,0.5,1.5,3.0,0.1,TRAIN,12,-0.4333333333333334,0.5272727272727272,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-5.200000000000001,8.100000000000001,2.0250000000000004,6
Q60,0.5,1.5,3.0,0.1,VALID,22,0.05778610742076295,1.077048143227684,31.818181818181817,27.27272727272727,68.18181818181817,4.545454545454546,1.2712943632567848,8.428705636743214,2.1071764091858034,7
Q60,0.5,1.5,3.0,0.1,POST_CHECK,12,-0.1710090667524009,0.7668058180649079,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-2.052108801028811,5.65210880102881,1.4130272002572024,3
Q60,0.5,1.5,3.0,0.1,FULL,46,-0.13001770516895703,0.8352392716867207,28.26086956521739,21.73913043478261,71.73913043478261,6.521739130434782,-5.980814437772024,12.480814437772025,3.1202036094430063,7
Q60,0.5,1.5,3.0,0.15,TRAIN,12,-0.4833333333333332,0.4956521739130435,16.666666666666664,16.666666666666664,83.33333333333334,0.0,-5.799999999999999,8.649999999999999,2.1624999999999996,6
Q60,0.5,1.5,3.0,0.15,VALID,22,0.007786107420763103,1.0099301080148861,31.818181818181817,27.27272727272727,68.18181818181817,4.545454545454546,0.17129436325678826,8.928705636743214,2.2321764091858034,7
Q60,0.5,1.5,3.0,0.15,POST_CHECK,12,-0.2210090667524008,0.711727304235999,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-2.6521088010288096,6.05210880102881,1.5130272002572025,3
Q60,0.5,1.5,3.0,0.15,FULL,46,-0.18001770516895704,0.781796721007325,28.26086956521739,21.73913043478261,71.73913043478261,6.521739130434782,-8.280814437772024,14.530814437772026,3.6327036094430065,7
Q60,0.5,1.75,3.5,0.0,TRAIN,12,-0.46031317610264,0.447624188676832,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.52375811323168,6.895186684660251,1.7237966711650627,6
Q60,0.5,1.75,3.5,0.0,VALID,22,0.04727396025602893,1.0650016953520398,27.27272727272727,18.181818181818183,72.72727272727273,9.090909090909092,1.0400271256326366,10.959972874367363,2.7399932185918408,7
Q60,0.5,1.75,3.5,0.0,POST_CHECK,12,0.012324266580932441,1.0184863998713989,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,0.1478911989711893,4.852108801028811,1.2130272002572027,3
Q60,0.5,1.75,3.5,0.0,FULL,46,-0.09425738670930119,0.872475300334475,26.08695652173913,13.043478260869565,73.91304347826086,13.043478260869565,-4.335839788627855,13.312081675396175,3.328020418849044,7
Q60,0.5,1.75,3.5,0.02,TRAIN,12,-0.48031317610263996,0.4349256751733647,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.763758113231679,7.115186684660251,1.7787966711650627,6
Q60,0.5,1.75,3.5,0.02,VALID,22,0.027273960256028917,1.036766367992196,27.27272727272727,18.181818181818183,72.72727272727273,9.090909090909092,0.6000271256326362,11.27997287436736,2.81999321859184,7
Q60,0.5,1.75,3.5,0.02,POST_CHECK,12,-0.007675733419067576,0.9887121567366653,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-0.09210880102881092,5.012108801028809,1.2530272002572023,3
Q60,0.5,1.75,3.5,0.02,FULL,46,-0.11425738670930106,0.8484475262794735,26.08695652173913,13.043478260869565,73.91304347826086,13.043478260869565,-5.255839788627849,13.83208167539617,3.4580204188490424,7
Q60,0.5,1.75,3.5,0.05,TRAIN,12,-0.5103131761026399,0.4167849415969828,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.12375811323168,7.445186684660251,1.8612966711650627,6
Q60,0.5,1.75,3.5,0.05,VALID,22,-0.0027260397439709994,0.9964301860495617,27.27272727272727,18.181818181818183,72.72727272727273,9.090909090909092,-0.059972874367361984,11.759972874367364,2.939993218591841,7
Q60,0.5,1.75,3.5,0.05,POST_CHECK,12,-0.03767573341906747,0.9461775236870464,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-0.4521088010288097,5.25210880102881,1.3130272002572025,3
Q60,0.5,1.75,3.5,0.05,FULL,46,-0.14425738670930113,0.8141221347723292,26.08695652173913,13.043478260869565,73.91304347826086,13.043478260869565,-6.635839788627852,14.612081675396173,3.653020418849043,7
Q60,0.5,1.75,3.5,0.1,TRAIN,12,-0.56031317610264,0.3887492624334836,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.72375811323168,7.9951866846602515,1.9987966711650629,6
Q60,0.5,1.75,3.5,0.1,VALID,22,-0.05272603974397114,0.9340924503200361,27.27272727272727,18.181818181818183,72.72727272727273,9.090909090909092,-1.159972874367365,12.559972874367363,3.1399932185918407,7
Q60,0.5,1.75,3.5,0.1,POST_CHECK,12,-0.08767573341906758,0.8804421817012714,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-1.0521088010288109,5.65210880102881,1.4130272002572024,3
Q60,0.5,1.75,3.5,0.1,FULL,46,-0.19425738670930115,0.7610738024431053,26.08695652173913,13.043478260869565,73.91304347826086,13.043478260869565,-8.935839788627852,15.91208167539617,3.9780204188490424,7
Q60,0.5,1.75,3.5,0.15,TRAIN,12,-0.61031317610264,0.3631514684146365,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-7.32375811323168,8.545186684660251,2.136296671165063,6
Q60,0.5,1.75,3.5,0.15,VALID,22,-0.10272603974397096,0.8771753872626434,27.27272727272727,18.181818181818183,72.72727272727273,9.090909090909092,-2.259972874367361,13.359972874367363,3.339993218591841,7
Q60,0.5,1.75,3.5,0.15,POST_CHECK,12,-0.13767573341906747,0.820422956409912,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-1.6521088010288096,6.05210880102881,1.5130272002572025,3
Q60,0.5,1.75,3.5,0.15,FULL,46,-0.2442573867093012,0.712638368577293,26.08695652173913,13.043478260869565,73.91304347826086,13.043478260869565,-11.235839788627855,17.212081675396178,4.303020418849044,7
Q60,0.5,2.0,4.0,0.0,TRAIN,12,-0.46031317610264,0.447624188676832,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.52375811323168,6.895186684660251,1.7237966711650627,6
Q60,0.5,2.0,4.0,0.0,VALID,22,-0.01935416519564699,0.9733880228559855,27.27272727272727,13.636363636363635,72.72727272727273,13.636363636363635,-0.42579163430423383,10.959972874367363,2.7399932185918408,7
Q60,0.5,2.0,4.0,0.0,POST_CHECK,12,0.09565759991426577,1.1434863998713989,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,1.1478911989711893,4.852108801028811,1.2130272002572027,3
Q60,0.5,2.0,4.0,0.0,FULL,46,-0.10438388149053748,0.8587747485716258,26.08695652173913,10.869565217391305,73.91304347826086,15.217391304347828,-4.801658548564724,12.812081675396174,3.2030204188490434,7
Q60,0.5,2.0,4.0,0.02,TRAIN,12,-0.48031317610263996,0.4349256751733647,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.763758113231679,7.115186684660251,1.7787966711650627,6
Q60,0.5,2.0,4.0,0.02,VALID,22,-0.03935416519564701,0.9469490420156721,27.27272727272727,13.636363636363635,72.72727272727273,13.636363636363635,-0.8657916343042342,11.279972874367363,2.819993218591841,7
Q60,0.5,2.0,4.0,0.02,POST_CHECK,12,0.07565759991426575,1.1112611763445084,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,0.9078911989711891,5.012108801028809,1.2530272002572023,3
Q60,0.5,2.0,4.0,0.02,FULL,46,-0.1243838814905374,0.8350156127864841,26.08695652173913,10.869565217391305,73.91304347826086,15.217391304347828,-5.7216585485647204,13.332081675396168,3.333020418849042,7
Q60,0.5,2.0,4.0,0.05,TRAIN,12,-0.5103131761026399,0.4167849415969828,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.12375811323168,7.445186684660251,1.8612966711650627,6
Q60,0.5,2.0,4.0,0.05,VALID,22,-0.06935416519564697,0.9091790693866527,27.27272727272727,13.636363636363635,72.72727272727273,13.636363636363635,-1.5257916343042333,11.759972874367364,2.939993218591841,7
Q60,0.5,2.0,4.0,0.05,POST_CHECK,12,0.04565759991426586,1.0652251427346655,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,0.5478911989711903,5.25210880102881,1.3130272002572025,3
Q60,0.5,2.0,4.0,0.05,FULL,46,-0.15438388149053744,0.8010739902362823,26.08695652173913,10.869565217391305,73.91304347826086,15.217391304347828,-7.101658548564723,14.223087119993297,3.555771779998324,7
Q60,0.5,2.0,4.0,0.1,TRAIN,12,-0.56031317610264,0.3887492624334836,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.72375811323168,7.9951866846602515,1.9987966711650629,6
Q60,0.5,2.0,4.0,0.1,VALID,22,-0.11935416519564702,0.8508072935054413,27.27272727272727,13.636363636363635,72.72727272727273,13.636363636363635,-2.6257916343042345,12.559972874367364,3.139993218591841,7
Q60,0.5,2.0,4.0,0.1,POST_CHECK,12,-0.00434240008573424,0.9940785453376351,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-0.05210880102881088,5.65210880102881,1.4130272002572024,3
Q60,0.5,2.0,4.0,0.1,FULL,46,-0.20438388149053746,0.7486187553859697,26.08695652173913,10.869565217391305,73.91304347826086,15.217391304347828,-9.401658548564724,16.27308711999329,4.068271779998322,7
Q60,0.5,2.0,4.0,0.15,TRAIN,12,-0.61031317610264,0.3631514684146365,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-7.32375811323168,8.545186684660251,2.136296671165063,6
Q60,0.5,2.0,4.0,0.15,VALID,22,-0.16935416519564692,0.797511324222596,27.27272727272727,13.636363636363635,72.72727272727273,13.636363636363635,-3.7257916343042323,13.359972874367362,3.3399932185918404,7
Q60,0.5,2.0,4.0,0.15,POST_CHECK,12,-0.054342400085734134,0.929118608583825,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,-0.6521088010288096,6.05210880102881,1.5130272002572025,3
Q60,0.5,2.0,4.0,0.15,FULL,46,-0.2543838814905374,0.7007248453052501,26.08695652173913,10.869565217391305,73.91304347826086,15.217391304347828,-11.701658548564723,18.3230871199933,4.580771779998325,7
Q60,0.5,2.25,4.5,0.0,TRAIN,12,-0.46031317610264,0.447624188676832,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.52375811323168,6.895186684660251,1.7237966711650627,6
Q60,0.5,2.25,4.5,0.0,VALID,22,-0.025356447432245147,0.965134884780663,27.27272727272727,9.090909090909092,72.72727272727273,18.181818181818183,-0.5578418435093933,10.959972874367363,2.7399932185918408,7
Q60,0.5,2.25,4.5,0.0,POST_CHECK,12,0.1789909332475991,1.2684863998713989,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,2.1478911989711893,4.852108801028811,1.2130272002572027,3
Q60,0.5,2.25,4.5,0.0,FULL,46,-0.08551540777760616,0.8843026835950035,26.08695652173913,8.695652173913043,73.91304347826086,17.391304347826086,-3.9337087577698835,13.944131884601333,3.4860329711503333,7
Q60,0.5,2.25,4.5,0.02,TRAIN,12,-0.48031317610263996,0.4349256751733647,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-5.763758113231679,7.115186684660251,1.7787966711650627,6
Q60,0.5,2.25,4.5,0.02,VALID,22,-0.04535644743224512,0.9388577301771206,27.27272727272727,9.090909090909092,72.72727272727273,18.181818181818183,-0.9978418435093928,11.279972874367363,2.819993218591841,7
Q60,0.5,2.25,4.5,0.02,POST_CHECK,12,0.15899093324759916,1.2338101959523518,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,1.90789119897119,5.012108801028809,1.2530272002572023,3
Q60,0.5,2.25,4.5,0.02,FULL,46,-0.10551540777760608,0.8600430000643053,26.08695652173913,8.695652173913043,73.91304347826086,17.391304347826086,-4.85370875776988,14.464131884601327,3.616032971150332,7
Q60,0.5,2.25,4.5,0.05,TRAIN,12,-0.5103131761026399,0.4167849415969828,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.12375811323168,7.445186684660251,1.8612966711650627,6
Q60,0.5,2.25,4.5,0.05,VALID,22,-0.07535644743224512,0.9013189378863458,27.27272727272727,9.090909090909092,72.72727272727273,18.181818181818183,-1.6578418435093927,11.759972874367364,2.939993218591841,7
Q60,0.5,2.25,4.5,0.05,POST_CHECK,12,0.1289909332475992,1.1842727617822846,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,1.5478911989711903,5.25210880102881,1.3130272002572025,3
Q60,0.5,2.25,4.5,0.05,FULL,46,-0.1355154077776061,0.8253863093061659,26.08695652173913,8.695652173913043,73.91304347826086,17.391304347826086,-6.233708757769881,15.244131884601336,3.811032971150334,7
Q60,0.5,2.25,4.5,0.1,TRAIN,12,-0.56031317610264,0.3887492624334836,16.666666666666664,0.0,83.33333333333334,16.666666666666664,-6.72375811323168,7.9951866846602515,1.9987966711650629,6
Q60,0.5,2.25,4.5,0.1,VALID,22,-0.12535644743224517,0.8433044407096936,27.27272727272727,9.090909090909092,72.72727272727273,18.181818181818183,-2.757841843509394,12.559972874367364,3.139993218591841,7
Q60,0.5,2.25,4.5,0.1,POST_CHECK,12,0.07899093324759916,1.1077149089739988,33.33333333333333,16.666666666666664,66.66666666666666,16.666666666666664,0.94789119897119,5.65210880102881,1.4130272002572024,3
