seed_time,gc_entry_time,broker_entry_target_msc,broker_exit_target_msc,entry_lag_ms,exit_lag_ms,executable,reject_reason,entry_tick_msc,exit_tick_msc,entry_bid,entry_ask,entry_spread,exit_ask,xau_atr14_m1,ret_30m_price,ret_30m_atr,ret_30m_bps
2026-08-26T18:06:00+00:00,2026-08-26T18:08:00+00:00,1787778480000,1787780280000,2,7,True,,1787778480002,1787780280007,4601.04,4601.49,0.4499999999998181,4595.63,1.7174999999998752,5.4099999999998545,3.1499272197963597,11.75821118703566
2026-08-31T15:01:00+00:00,2026-08-31T15:03:00+00:00,1788199380000,1788201180000,161,7,True,,1788199380161,1788201180007,4429.3,4429.74,0.4399999999995998,4433.48,3.2621428571426674,-4.1799999999993815,-1.2813663236258976,-9.43715711286068
2026-09-01T07:50:00+00:00,2026-09-01T07:52:00+00:00,1788259920000,1788261720000,305,7,True,,1788259920305,1788261720007,4420.53,4420.95,0.42000000000007276,4397.36,2.7021428571425923,23.170000000000073,8.574676182924472,52.41452947949697
2026-09-02T06:02:00+00:00,2026-09-02T06:04:00+00:00,1788339840000,1788341640000,155,2,True,,1788339840155,1788341640002,4318.65,4319.1,0.4500000000007276,4319.43,1.9528571428569583,-0.7800000000006548,-0.39941477688405996,-1.8061199680470863
2026-09-02T20:06:00+00:00,2026-09-02T20:08:00+00:00,1788390480000,1788392280000,1208,1651,True,,1788390481208,1788392281651,4388.7,4389.1,0.4000000000005457,4387.25,1.482499999999813,1.449999999999818,0.978077571669478,3.3039396632255977
2026-09-04T19:45:00+00:00,2026-09-04T19:47:00+00:00,1788562020000,1788563820000,156,307,True,,1788562020156,1788563820307,4434.54,4434.91,0.36999999999989086,4430.72,1.4975000000000105,3.819999999999709,2.5509181969947794,8.614196737428705
2026-09-07T16:12:00+00:00,2026-09-07T16:15:00+00:00,1788808500000,1788810300000,605,906,True,,1788808500605,1788810300906,4415.18,4415.63,0.4499999999998181,4414.43,0.7800000000000052,0.75,0.9615384615384551,1.6986849913253819
2026-09-10T02:35:00+00:00,2026-09-10T02:37:00+00:00,1789018620000,1789020420000,4,1209,True,,1789018620004,1789020421209,4414.59,4415.07,0.47999999999956344,4415.62,2.0967857142856183,-1.0299999999997453,-0.49122807017533965,-2.333172502995171
2026-09-11T06:30:00+00:00,2026-09-11T06:33:00+00:00,1789119180000,1789120980000,156,155,True,,1789119180156,1789120980155,4350.44,4350.89,0.4500000000007276,4353.59,1.8132142857142364,-3.1500000000005457,-1.737246405357843,-7.240646923071106
2026-09-11T10:27:00+00:00,2026-09-11T10:29:00+00:00,1789133340000,1789135140000,153,158,True,,1789133340153,1789135140158,4347.33,4347.76,0.43000000000029104,4337.74,1.738214285714483,9.590000000000146,5.51715635915294,22.059516990888994
2026-09-13T22:21:00+00:00,2026-09-13T22:23:00+00:00,1789348980000,1789350780000,5,159,True,,1789348980005,1789350780159,4330.94,4331.46,0.5200000000004366,4336.32,2.4421428571427635,-5.380000000000109,-2.202983328458743,-12.42224551713972
2026-09-14T12:16:00+00:00,2026-09-14T12:19:00+00:00,1789399140000,1789400940000,158,6,True,,1789399140158,1789400940006,4291.42,4291.87,0.4499999999998181,4277.68,2.5796428571431016,13.739999999999782,5.326318704138965,32.017374202477924
2026-09-14T16:19:00+00:00,2026-09-14T16:21:00+00:00,1789413660000,1789415460000,158,13,True,,1789413660158,1789415460013,4298.46,4298.85,0.3900000000003274,4313.92,2.1650000000000937,-15.460000000000036,-7.140877598152133,-35.96636935088389
