flow_id,signal_time,side,horizon,state,signal_close,atr14,passage_time,delay_h,total12_atr,residual12_atr,mae12_atr,mfe12_atr,stop15_touch,frozen_signed12_atr
666,2022-02-15 13:30:00+00:00,1,2H,ACCEPT_FIRST,44177.9,191.66428571428645,2022-02-15 13:45:00+00:00,0.25,-1.029404091976309,-1.5294040919763103,1.710803860917528,3.1257779599746387,True,-1.029404091976309
667,2022-02-16 01:30:00+00:00,-1,2H,ADVERSE_FIRST,43980.6,210.93571428571522,2022-02-16 03:00:00+00:00,1.5,0.6551759168331417,1.1551759168331504,1.5763096407165282,1.565405844705543,True,0.6551759168331417
668,2022-02-16 14:00:00+00:00,-1,2H,ACCEPT_FIRST,43670.2,164.95000000000124,2022-02-16 14:15:00+00:00,0.25,-2.323734464989391,-2.8237344649893785,4.284934828735966,2.3789026977871552,True,-2.323734464989391
669,2022-02-17 04:15:00+00:00,-1,2H,ADVERSE_FIRST,43541.7,172.58571428571355,2022-02-17 04:30:00+00:00,0.25,9.294512043705023,9.794512043705021,2.771376541677042,11.424468173164504,True,9.294512043705025
670,2022-02-17 16:15:00+00:00,-1,2H,ACCEPT_FIRST,41937.6,335.12857142857166,2022-02-17 17:00:00+00:00,0.75,3.717379257427837,3.2173792574278295,0.4541540560126305,5.721684641289054,False,3.717379257427837
671,2022-02-18 04:15:00+00:00,-1,2H,ACCEPT_FIRST,40691.8,169.48571428571398,2022-02-18 04:45:00+00:00,0.5,3.2079399865138547,2.7079399865138747,1.4526298044504238,7.492076871207043,False,3.2079399865138547
672,2022-02-18 16:15:00+00:00,1,2H,ACCEPT_FIRST,40148.1,403.0428571428565,2022-02-18 16:30:00+00:00,0.25,0.1034629426151175,-0.3965370573848735,1.0802821394392708,0.6249955694183578,False,0.1034629426151175
673,2022-02-19 14:00:00+00:00,1,2H,ADVERSE_FIRST,39888.1,171.8428571428563,2022-02-19 14:30:00+00:00,0.5,0.4934741042480865,0.9934741042480745,0.7844376091112928,2.6384570620999463,False,0.4934741042480865
674,2022-02-20 05:45:00+00:00,1,2H,AMBIGUOUS_SAME_BAR,39340.9,163.19999999999916,,,-6.633578431372574,,8.798406862745152,0.5251225490195927,True,-6.633578431372574
675,2022-02-20 22:45:00+00:00,-1,2H,AMBIGUOUS_SAME_BAR,38795.6,141.21428571428518,,,3.6356095093576366,,5.058978249873575,4.3805766312594905,True,3.6356095093576366
676,2022-02-21 11:45:00+00:00,1,2H,ACCEPT_FIRST,37549.9,255.5714285714296,2022-02-21 12:00:00+00:00,0.25,-2.20486305198434,-2.70486305198435,3.0828954723309043,6.847792062604774,True,-2.20486305198434
677,2022-02-22 00:30:00+00:00,-1,2H,ACCEPT_FIRST,37232.8,440.94285714285695,2022-02-22 01:15:00+00:00,0.75,-0.8211948422212113,-1.3211948422212125,1.4405494719108345,2.092561394414577,False,-0.8211948422212113
678,2022-02-22 12:30:00+00:00,1,2H,ADVERSE_FIRST,37594.9,246.4714285714295,2022-02-22 13:00:00+00:00,0.5,2.252188025270953,2.752188025270952,1.160377905291829,3.469367646206438,False,2.252188025270953
679,2022-02-23 14:00:00+00:00,1,2H,ACCEPT_FIRST,38785.4,175.64285714285765,2022-02-23 14:15:00+00:00,0.25,-10.733712891419263,-11.233712891419254,12.44229361529074,1.071492476616491,True,-10.733712891419264
680,2022-02-24 02:00:00+00:00,-1,2H,ACCEPT_FIRST,36900.1,265.2000000000002,2022-02-24 02:45:00+00:00,0.75,5.417420814479622,4.9174208144796285,0.35784313725490713,9.790346907993964,False,5.417420814479622
681,2022-02-24 18:30:00+00:00,1,2H,ACCEPT_FIRST,36018.1,320.50714285714224,2022-02-24 18:45:00+00:00,0.25,8.162376590671046,7.662376590671051,0.21247576385638417,13.597200864701058,False,8.162376590671046
682,2022-02-25 06:30:00+00:00,1,2H,ACCEPT_FIRST,38634.2,223.32142857143012,2022-02-25 06:45:00+00:00,0.25,0.8404925635695004,0.34049256356948987,2.843435151127439,4.996385734847252,True,0.8404925635695004
683,2022-02-26 01:00:00+00:00,-1,2H,ACCEPT_FIRST,39698.9,309.87857142857166,2022-02-26 02:30:00+00:00,1.5,1.6293479012516459,1.1293479012516374,0.2607472973284323,3.6698245856672083,False,1.629347901251646
684,2022-02-27 12:15:00+00:00,1,2H,ACCEPT_FIRST,39434.4,198.83571428571355,2022-02-27 12:30:00+00:00,0.25,-9.44900671767796,-9.949006717677959,12.572188094981561,2.1837123253224062,True,-9.44900671767796
685,2022-02-28 00:15:00+00:00,-1,2H,ADVERSE_FIRST,37555.6,322.0000000000005,2022-02-28 01:00:00+00:00,0.75,-2.824534161490679,-2.3245341614906794,3.4503105590062058,0.4385093167701766,True,-2.824534161490679
686,2022-02-28 12:30:00+00:00,1,2H,ADVERSE_FIRST,38387.7,223.6928571428585,2022-02-28 12:45:00+00:00,0.25,22.94083085863896,23.440830858638957,2.2204553437429886,26.613724175367864,True,22.94083085863896
687,2022-03-01 00:30:00+00:00,-1,2H,ADVERSE_FIRST,43519.4,498.57142857142907,2022-03-01 00:45:00+00:00,0.25,-1.5861318051575828,-1.086131805157577,2.023782234957018,1.5123209169054426,True,-1.5861318051575828
688,2022-03-01 15:00:00+00:00,1,2H,ACCEPT_FIRST,43711.4,418.2500000000005,2022-03-01 15:15:00+00:00,0.25,1.29372384937238,0.7937238493723805,1.217692767483568,2.4688583383143987,False,1.29372384937238
689,2022-03-02 17:45:00+00:00,-1,2H,ACCEPT_FIRST,43734.5,485.77142857142877,2022-03-02 19:15:00+00:00,1.5,0.8532819668274317,0.3532819668274285,1.2567639101282198,1.1721562169156594,False,0.8532819668274317
690,2022-03-03 15:45:00+00:00,-1,2H,ACCEPT_FIRST,42549.5,296.22857142857174,2022-03-03 16:00:00+00:00,0.25,3.741705246913581,3.2417052469135874,0.7153260030864239,5.061969521604933,False,3.741705246913581
691,2022-03-04 03:45:00+00:00,-1,2H,ACCEPT_FIRST,41441.1,248.31428571428583,2022-03-04 04:00:00+00:00,0.25,3.006270854907374,2.5062708549073833,1.7977217811529218,3.628868944885506,True,3.006270854907374
692,2022-03-04 15:45:00+00:00,-1,2H,ACCEPT_FIRST,40694.6,361.9500000000002,2022-03-04 16:00:00+00:00,0.25,4.601464290647876,4.101464290647881,0.7183312612239255,6.005249343832014,False,4.601464290647876
693,2022-03-05 03:45:00+00:00,-1,2H,ACCEPT_FIRST,39029.1,192.29285714285703,2022-03-05 04:00:00+00:00,0.25,-0.5444820028973893,-1.044482002897407,1.6688087366739806,1.7000111437168095,True,-0.5444820028973893
694,2022-03-05 15:45:00+00:00,1,2H,ACCEPT_FIRST,39133.8,132.0,2022-03-05 16:15:00+00:00,0.5,1.121969696969686,0.621969696969686,0.22500000000003306,4.213636363636342,False,1.121969696969686
695,2022-03-06 04:00:00+00:00,1,2H,ACCEPT_FIRST,38901.0,142.81428571428685,2022-03-06 04:30:00+00:00,0.5,1.989296789036685,1.489296789036705,5.9167750325097055,5.215864759427797,True,1.989296789036685
696,2022-03-06 16:00:00+00:00,1,2H,ACCEPT_FIRST,39185.1,230.22142857142848,2022-03-06 16:30:00+00:00,0.5,-5.963823648040709,-6.46382364804071,7.189600074462464,0.6728305047935284,True,-5.963823648040709
697,2022-03-07 04:00:00+00:00,1,2H,ACCEPT_FIRST,37812.1,242.5857142857141,2022-03-07 04:30:00+00:00,0.5,6.2835522054060595,5.783552205406061,0.7481891525822985,7.1640657205111715,False,6.28355220540606
698,2022-03-07 16:00:00+00:00,1,2H,ADVERSE_FIRST,39336.4,280.6142857142856,2022-03-07 16:30:00+00:00,0.5,-2.221911113373722,-1.7219111133737246,7.848495647304392,0.4108842844779157,True,-2.221911113373722
699,2022-03-08 04:45:00+00:00,1,2H,ADVERSE_FIRST,38526.7,216.74285714285674,2022-03-08 05:00:00+00:00,0.25,-1.1202214605852707,-0.6202214605852611,2.430068547324009,3.1064460848932436,True,-1.1202214605852707
700,2022-03-08 17:15:00+00:00,1,2H,ACCEPT_FIRST,38907.7,353.778571428571,2022-03-08 17:45:00+00:00,0.5,7.351773708332505,6.851773708332505,1.5518181267540248,8.43974237315514,True,7.351773708332505
701,2022-03-09 05:15:00+00:00,1,2H,ADVERSE_FIRST,41508.6,367.97857142857174,2022-03-09 05:45:00+00:00,0.5,1.8726633926664928,2.372663392666488,0.5087252751518833,3.0950171787953504,False,1.8726633926664928
702,2022-03-09 17:15:00+00:00,1,2H,ACCEPT_FIRST,42197.7,233.14285714285663,2022-03-09 17:45:00+00:00,0.5,-12.551531862745106,-13.051531862745104,13.32959558823531,0.6532475490196218,True,-12.551531862745106
703,2022-03-10 05:15:00+00:00,-1,2H,ACCEPT_FIRST,39271.4,328.50714285714275,2022-03-10 05:45:00+00:00,0.5,0.23987301863408952,-0.26012698136590495,3.096736317975244,2.311669674501538,True,0.2398730186340895
704,2022-03-10 17:30:00+00:00,-1,2H,ACCEPT_FIRST,39187.8,265.8142857142858,2022-03-10 17:45:00+00:00,0.25,1.9205137851346261,1.4205137851346348,1.7858332885473094,3.7157521362928083,True,1.920513785134626
705,2022-03-11 05:30:00+00:00,-1,2H,ACCEPT_FIRST,38677.3,201.80714285714203,2022-03-11 05:45:00+00:00,0.25,-0.4712419920008442,-0.9712419920008442,7.75344211234207,0.6308002689979996,True,-0.4712419920008442
706,2022-03-11 17:30:00+00:00,-1,2H,ACCEPT_FIRST,38772.4,274.2500000000005,2022-03-11 18:30:00+00:00,1.0,-1.2605287146763773,-1.7605287146763762,1.885870556061973,1.7699179580674587,True,-1.2605287146763773
707,2022-03-12 06:00:00+00:00,1,2H,ACCEPT_FIRST,39174.9,115.6785714285709,2022-03-12 06:15:00+00:00,0.25,-0.6872491509725255,-1.1872491509725007,4.64217351034272,3.488113615313384,True,-0.6872491509725255
708,2022-03-13 00:15:00+00:00,-1,2H,ACCEPT_FIRST,38901.5,108.54285714285548,2022-03-13 00:30:00+00:00,0.25,4.061989997367804,3.561989997367833,3.6713608844433305,5.237562516451778,True,4.061989997367804
709,2022-03-13 12:15:00+00:00,-1,2H,ACCEPT_FIRST,38460.6,154.0928571428563,2022-03-13 12:30:00+00:00,0.25,4.588791544986805,4.088791544986818,3.8463820516386718,6.233903490474228,True,4.588791544986805
710,2022-03-14 00:15:00+00:00,-1,2H,ADVERSE_FIRST,37753.5,242.59285714285892,2022-03-14 01:00:00+00:00,0.75,-4.276300680151905,-3.7763006801519188,6.3229396696404505,0.2741218384712756,True,-4.276300680151905
711,2022-03-14 12:15:00+00:00,1,2H,ADVERSE_FIRST,38790.9,160.3857142857149,2022-03-14 12:45:00+00:00,0.5,4.30399928743204,4.803999287432043,2.4372494878418096,7.47011668299631,True,4.30399928743204
712,2022-03-15 00:15:00+00:00,1,2H,ADVERSE_FIRST,39481.2,277.45714285714195,2022-03-15 01:00:00+00:00,0.75,-2.828905365049932,-2.328905365049942,5.072495108639683,0.40654927401916535,True,-2.828905365049932
713,2022-03-15 12:15:00+00:00,1,2H,ACCEPT_FIRST,38696.3,143.01428571428602,2022-03-15 12:30:00+00:00,0.25,4.076515832584149,3.5765158325841253,1.813105583857773,8.42922784936568,True,4.076515832584149
714,2022-03-16 00:30:00+00:00,1,2H,ADVERSE_FIRST,39215.1,188.12142857142837,2022-03-16 00:45:00+00:00,0.25,6.277860044803895,6.777860044803881,2.738125071192614,13.76185594410907,True,6.277860044803895
715,2022-03-16 12:30:00+00:00,1,2H,ADVERSE_FIRST,40396.1,233.82142857142858,2022-03-16 13:00:00+00:00,0.5,2.222636321979551,2.7226363219795644,4.816068428287759,4.608217504200397,True,2.222636321979551
716,2022-03-17 10:45:00+00:00,-1,2H,ADVERSE_FIRST,40719.9,177.5999999999996,2022-03-17 11:00:00+00:00,0.25,-1.3806306306306173,-0.8806306306305999,2.984797297297296,1.0692567567567675,True,-1.3806306306306173
717,2022-03-18 03:00:00+00:00,-1,2H,ADVERSE_FIRST,40491.5,161.96428571428623,2022-03-18 04:30:00+00:00,1.5,-0.6044542447629618,-0.10445424476295061,2.5221609702315244,2.5147519294377165,True,-0.6044542447629618
718,2022-03-18 15:00:00+00:00,1,2H,ACCEPT_FIRST,40589.4,177.59285714285787,2022-03-18 15:15:00+00:00,0.25,6.185496520934697,5.685496520934713,0.22185576961751122,9.760527691750763,False,6.185496520934697
719,2022-03-19 20:30:00+00:00,1,2H,AMBIGUOUS_SAME_BAR,42234.9,127.25714285714172,,,-2.7228334081724537,,4.18129770992369,0.9036820835204392,True,-2.7228334081724537
720,2022-03-20 19:15:00+00:00,-1,2H,ADVERSE_FIRST,41268.8,178.43571428571522,2022-03-20 19:30:00+00:00,0.25,1.887514511028388,2.387514511028398,2.2260117689443697,4.700852648012481,True,1.887514511028388
721,2022-03-21 09:15:00+00:00,1,2H,ACCEPT_FIRST,41185.4,153.8357142857141,2022-03-21 09:30:00+00:00,0.25,-0.0078005293216609276,-0.5078005293216575,2.97525189209271,2.3336583553884043,True,-0.0078005293216609
722,2022-03-21 21:45:00+00:00,1,2H,ACCEPT_FIRST,41278.0,135.24285714285776,2022-03-21 22:00:00+00:00,0.25,8.65110383437199,8.151103834371979,3.1498890884123654,16.560578852857198,True,8.65110383437199
723,2022-03-22 10:45:00+00:00,1,2H,ACCEPT_FIRST,42802.7,162.89999999999938,2022-03-22 11:00:00+00:00,0.25,-1.7163904235727416,-2.216390423572726,3.699815837937381,2.3652547575199776,True,-1.7163904235727416
724,2022-03-22 23:30:00+00:00,-1,2H,ADVERSE_FIRST,42284.0,176.8499999999996,2022-03-22 23:45:00+00:00,0.25,2.2340966921119563,2.7340966921119736,1.3231552162849902,3.1252473847893603,False,2.2340966921119563
725,2022-03-23 11:30:00+00:00,-1,2H,ADVERSE_FIRST,41888.9,147.46428571428675,2022-03-23 11:45:00+00:00,0.25,-5.675272463066088,-5.175272463066078,6.255073867764558,0.1898764834100253,True,-5.675272463066088
726,2022-03-23 23:30:00+00:00,1,2H,ACCEPT_FIRST,42725.8,129.77142857142877,2022-03-23 23:45:00+00:00,0.25,1.3631660061646382,0.8631660061646261,0.7983267283135619,5.965874064288828,False,1.3631660061646382
727,2022-03-24 15:00:00+00:00,1,2H,ACCEPT_FIRST,43613.8,226.9714285714295,2022-03-24 15:15:00+00:00,0.25,1.3213116817723758,0.8213116817723769,0.14891742195368796,3.6577291037260546,False,1.3213116817723758
728,2022-03-25 14:15:00+00:00,1,2H,ACCEPT_FIRST,44851.7,238.57142857142858,2022-03-25 14:30:00+00:00,0.25,-2.1373053892215323,-2.6373053892215452,3.5699999999999874,0.5092814371257485,True,-2.1373053892215323
729,2022-03-27 20:30:00+00:00,-1,2H,ACCEPT_FIRST,46174.9,223.5071428571438,2022-03-27 20:45:00+00:00,0.25,-3.46431881371637,-3.964318813716359,6.963088427982438,1.5305998529928604,True,-3.46431881371637
730,2022-03-28 23:45:00+00:00,1,2H,ACCEPT_FIRST,47121.9,212.17142857142866,2022-03-29 00:00:00+00:00,0.25,3.5414758955022947,3.0414758955023005,0.37422569350929835,4.0076084029086765,False,3.5414758955022947
731,2022-03-29 16:15:00+00:00,-1,2H,AMBIGUOUS_SAME_BAR,47361.0,215.4142857142849,,,0.21122090324292142,,2.4093109622654114,3.83447178194842,True,0.2112209032429214
