SL,TP,hold,RR,N,pos_years,EV,PF,MaxDD_R,SumR,R_DD,Y2021,Y2022,Y2023,Y2024,Y2025
2.5,4.0,12,1.6,2329,3,0.012347383132080631,1.0229323637359995,52.58246321591417,28.75705531461579,0.5468944122403232,18.90963763593523,25.023378575098718,15.64392816587077,-14.056802393503029,-16.76308666878581
2.5,4.0,18,1.6,2254,3,0.014951670165996946,1.0262560797697682,60.938859149808245,33.701064554157114,0.5530307758356379,21.788776099965556,21.044252958836907,26.153286585686885,-24.133451909579705,-11.151799180752395
2.5,4.0,24,1.6,2197,3,0.018788522313991154,1.0321534312280658,63.46535628341093,41.27838352383856,0.6504081272230757,32.34262152308085,20.233038593931624,21.996789441007508,-27.249160418152776,-6.044905616028661
2.5,6.0,6,2.4,2373,2,0.009863233372496514,1.0204043052667533,55.31704931315315,23.405452792934227,0.42311462891729,41.975638852444504,-3.1397103972448797,-4.662843849929795,-21.892132431241755,11.124500618906074
2.5,6.0,12,2.4,2236,4,0.024728620697045536,1.0431348685281026,51.98321271683639,55.29319587859382,1.0636740783950314,27.98254945182762,9.743849939970156,20.599573202287193,-22.140182589692934,19.10740587420192
2.5,6.0,18,2.4,2112,4,0.04674907830749907,1.0760323997364774,50.11214930261138,98.73405338543803,1.9702617979766621,33.099896081565184,21.727496404867537,24.339134825137254,-13.655250405096773,33.2227764789651
2.5,6.0,24,2.4,2024,4,0.06784208443391823,1.1071666591965186,51.30942167594857,137.31237889425051,2.676163059514975,56.579078183935124,20.96462271013722,16.714908427309975,-5.973701350244924,49.02747092311326
2.5,8.0,6,3.2,2340,2,0.005869427039162743,1.0119523001886792,70.95213776796098,13.73445927164082,0.19357357936920017,56.40203493791512,-19.795993002081676,-2.860753490971913,-28.735872267273063,8.725043094052287
2.5,8.0,12,3.2,2179,3,0.031152052356086177,1.0531167052302164,57.30669534352579,67.88032208391178,1.184509448276545,44.48990932081491,-1.0473335863707394,22.983234619502266,-29.077077339911757,30.53158906987719
2.5,8.0,18,3.2,2027,5,0.06980352450082913,1.1103243783879662,53.959948980215856,141.49174416318064,2.622162304398358,56.26751003260019,26.161492017763315,13.941240269422304,0.5032246927989303,44.618277150596256
2.5,8.0,24,3.2,1909,4,0.07583072208844872,1.1146840967188856,55.76063701961354,144.7608484668486,2.596111812996858,71.69564462402893,7.417611917356721,-2.5723815911106707,16.93432608011197,51.28564743646194
3.0,1.5,6,0.5,2497,1,-0.025649377328743693,0.9184499953515547,90.67506693815093,-64.046495189873,-0.7063297260487145,18.194404986344583,-12.29321226371503,-22.317595409960514,-12.382007998102411,-35.24808450443964
3.0,1.5,12,0.5,2456,1,-0.02323492805678841,0.9304069341333618,89.36080165674679,-57.06498330747233,-0.6385907718987422,21.25450600531701,-14.626435779577603,-21.99167972159187,-5.249650851389455,-36.451722960230455
3.0,1.5,18,0.5,2430,1,-0.021645135884696312,0.9361946308697662,87.16482389547718,-52.59768019981204,-0.6034278261478967,21.474387033966725,-12.92666325806769,-21.728415576874607,-9.805255592481485,-29.61173280635499
3.0,1.5,24,0.5,2409,1,-0.022884557300784134,0.9336234600888696,90.18028307924186,-55.12889853758898,-0.6113187567746593,22.65592140956998,-16.312614908076696,-20.881062954834395,-9.632623944705232,-30.958518139542658
3.0,2.0,6,0.6666666666666666,2476,1,-0.022592929404006267,0.9366661979083031,89.63294848687329,-55.94009320431952,-0.6241018972226705,23.675566088966505,-15.646465751581502,-18.654098636283457,-12.624490980533679,-32.6906039248874
3.0,2.0,12,0.6666666666666666,2426,1,-0.016998734766206225,0.9559101196210009,73.00309588687954,-41.238930542816306,-0.5648928999766976,25.075071466855373,-7.6630700232328435,-19.184634218647798,-3.9108956164812962,-35.55540215130977
3.0,2.0,18,0.6666666666666666,2393,1,-0.018366427892057204,0.953743614782063,80.21202959019233,-43.950861945692886,-0.5479335477513816,25.63485632400021,-8.72426960383648,-17.615671650569116,-11.169330946842623,-32.07644606844489
3.0,2.0,24,0.6666666666666666,2359,1,-0.021820330232908292,0.9463755354870903,90.39414109155223,-51.47415901943066,-0.5694413199556488,29.011828642336663,-13.426621044853615,-20.31453832158477,-13.091592613935559,-33.6532356813934
3.0,3.0,6,1.0,2433,1,-0.01984399553073858,0.9501482241880547,81.51497024838868,-48.280441126286966,-0.592289256552128,22.38886625309794,-16.563061665535137,-14.897862660034074,-12.680218807322353,-26.52816424649334
3.0,3.0,12,1.0,2344,3,0.0028297751844184728,1.0063488936812595,54.62667047190317,6.6329930322769,0.12142407682870827,30.755766747524213,10.897202524452888,-9.790572538202719,1.241690057309753,-26.471093758807257
3.0,3.0,18,1.0,2276,2,0.010481261770758206,1.02255904303647,45.57435895523934,23.855351790245678,0.5234380106953366,35.91868988987539,15.048065919284067,-1.9319533562717508,-2.5721636187757504,-22.607287043866485
3.0,3.0,24,1.0,2232,2,0.01305257742773061,1.0272812128498714,45.325729144032465,29.13335281869472,0.6427553040816418,38.23215986987049,15.704328808995431,-2.2377578541077026,-4.258175264137913,-18.307202741925682
3.0,4.0,6,1.3333333333333333,2392,1,-0.006953548424714181,0.9832101724587697,61.153209776925266,-16.63288783191632,-0.2719871596697832,31.144203939244964,-3.272214280741463,-11.487793404138554,-13.569942185729644,-19.447141900551625
3.0,4.0,12,1.3333333333333333,2274,4,0.01045854992005778,1.0217324665243388,44.71357582888275,23.78274251821139,0.531890864851138,16.34066148901946,25.180696448465252,2.4944458556974323,9.273969961276403,-29.507031236247162
3.0,4.0,18,1.3333333333333333,2180,3,0.013098981843158063,1.025565349696429,41.6889059192162,28.555780418084577,0.6849731310631972,20.92118930406113,22.57330833796107,7.674882478889263,-1.6543004545534028,-20.959299248273478
3.0,4.0,24,1.3333333333333333,2104,3,0.010537213522625042,1.0197139864643412,50.58654021232,22.17029725160309,0.438264747076015,30.353147117848913,17.275510293180684,2.912045628983844,-11.701736805625947,-16.668668982784432
3.0,6.0,6,2.0,2339,2,0.009481302277117003,1.0223231407426807,48.62057614882177,22.176766026176672,0.45611894763024285,43.45202535127785,-2.189847518250635,-6.980664188694126,-12.720764904123353,0.6160172859670068
3.0,6.0,12,2.0,2170,3,0.02151259985613904,1.0420113360665006,41.46631709209373,46.68234168782171,1.1257894349320572,28.70283626303706,14.573216300677815,18.05185730977023,-9.037250231061648,-5.608317954601812
3.0,6.0,18,2.0,2035,4,0.042056027742241923,1.0756521778209707,38.63378346017352,85.58401645546232,2.215263657614287,31.702508390830037,27.302571378455667,18.04162010560643,-4.270871286108884,12.808187866678995
3.0,6.0,24,2.0,1938,4,0.05087775917119783,1.087191652956283,47.982909763964294,98.60109727378139,2.0549211742017346,51.609550816212966,16.354925239046956,8.10234382337772,-6.800348904950079,29.334626300093866
3.0,8.0,6,2.6666666666666665,2306,1,0.006456423359011287,1.014951692569219,56.65996897701953,14.888512265880028,0.26276950966772666,51.981142144193164,-15.440473554537746,-5.1996750963949125,-16.03368799235632,-0.41879323502408883
3.0,8.0,12,2.6666666666666665,2116,4,0.02683412042553146,1.0510206100272583,45.63552606277348,56.78099882042457,1.244227989008389,41.910684147344334,4.744500783752003,18.286693775340865,-10.956498574104533,2.795618688091926
3.0,8.0,18,2.6666666666666665,1951,5,0.05953565038305324,1.103546902184217,36.919205721900155,116.15405389733687,3.1461688198897324,43.822958180328186,28.60758426049616,10.14110357221852,9.401029766163488,24.18137811813034
3.0,8.0,24,2.6666666666666665,1825,4,0.05578808833056652,1.0910931940848159,48.022541577314485,101.8132612032839,2.120113968548882,58.81423036538971,6.060771118745536,-8.427501101477917,10.549478898154105,34.8162819224726
4.0,1.5,6,0.375,2471,1,-0.022757929753180983,0.9087519984793438,82.15485131799507,-56.23484442011021,-0.6844981582699623,14.469155384480457,-10.058873469341343,-19.974356909366147,-13.943268957240969,-26.727500468642166
4.0,1.5,12,0.375,2404,1,-0.021410798630180396,0.9209711781167442,78.9646438090424,-51.47155990695367,-0.6518304575833413,12.898003106053265,-8.32762132691516,-14.479281025301312,-7.574874848151023,-33.98778581263949
4.0,1.5,18,0.375,2356,1,-0.016004396952613274,0.9415249324539943,69.6151365310374,-37.70635922035687,-0.5416402394549032,22.699907790921607,-6.86740277863319,-21.039140446599205,-8.919293310520802,-23.580430475525255
4.0,1.5,24,0.375,2326,1,-0.013520223689765187,0.951103078022867,63.1397853906131,-31.448040302393824,-0.49807011708768273,25.133992161284034,-7.458372349982437,-19.291757250977284,-5.130861608804021,-24.701041253914116
4.0,2.0,6,0.5,2449,1,-0.016252602929989066,0.94226968029748,68.40924426531588,-39.80262457554323,-0.5818310815008305,19.178831969803337,-12.056615699931521,-12.116237935762891,-10.456096528808128,-24.35250638084407
