transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-01-16 08:00:00+00:00,PULLBACK,2,2,30.0,2.0,3.0,False
2020-01-16 08:00:00+00:00,PULLBACK,2,3,40.0,3.0,2.0,True
2020-01-16 08:00:00+00:00,PULLBACK,3,1,0.0,0.0,4.0,False
2020-01-16 08:00:00+00:00,PULLBACK,3,2,30.0,2.0,1.0,True
2020-01-16 08:00:00+00:00,PULLBACK,3,3,60.0,3.0,1.0,True
2020-01-17 08:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-01-17 08:00:00+00:00,EXPANSION,1,2,30.0,1.0,2.0,True
2020-01-17 08:00:00+00:00,EXPANSION,1,3,40.0,2.0,2.0,True
2020-01-17 08:00:00+00:00,EXPANSION,2,1,30.0,1.0,1.0,True
2020-01-17 08:00:00+00:00,EXPANSION,2,2,40.0,2.0,1.0,True
2020-01-17 08:00:00+00:00,EXPANSION,2,3,50.0,3.0,1.0,True
2020-01-17 08:00:00+00:00,EXPANSION,3,1,10.0,1.0,3.0,False
2020-01-17 08:00:00+00:00,EXPANSION,3,2,20.0,2.0,2.0,True
2020-01-17 08:00:00+00:00,EXPANSION,3,3,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,1,1,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,1,2,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,1,3,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,2,1,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,2,2,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,2,3,40.0,3.0,1.0,True
2020-01-18 04:00:00+00:00,PULLBACK,3,1,20.0,2.0,2.0,True
2020-01-18 04:00:00+00:00,PULLBACK,3,2,40.0,3.0,1.0,True
2020-01-18 04:00:00+00:00,PULLBACK,3,3,40.0,3.0,1.0,True
2020-01-19 00:00:00+00:00,RANGE,1,1,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,1,2,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,1,3,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,2,1,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,2,2,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,2,3,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,3,1,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,3,2,20.0,2.0,3.0,False
2020-01-19 00:00:00+00:00,RANGE,3,3,55.0,4.0,1.0,True
2020-01-19 12:00:00+00:00,EXPANSION,1,1,90.0,5.0,1.0,True
2020-01-19 12:00:00+00:00,EXPANSION,1,2,90.0,5.0,1.0,True
2020-01-19 12:00:00+00:00,EXPANSION,1,3,90.0,5.0,1.0,True
2020-01-19 12:00:00+00:00,EXPANSION,2,1,20.0,1.0,3.0,False
2020-01-19 12:00:00+00:00,EXPANSION,2,2,35.0,2.0,2.0,True
2020-01-19 12:00:00+00:00,EXPANSION,2,3,55.0,4.0,1.0,True
2020-01-19 12:00:00+00:00,EXPANSION,3,1,15.0,1.0,3.0,False
2020-01-19 12:00:00+00:00,EXPANSION,3,2,35.0,3.0,3.0,False
2020-01-19 12:00:00+00:00,EXPANSION,3,3,35.0,3.0,3.0,False
