R,signal_ts,entry_ts,exit_ts,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,response_ratio,signal_z,signal_abs_z,signal_atr,signal_px,atr_pct,h1_state,h4_state,trend_relation,vol_regime,mins_since_prior_same_extreme,episode_role,z_bucket,confirm_speed,adverse_bucket,response_bucket,prior_extreme_gap,z_persistence,z_persistence_bucket,is_rapid30,is_highvol,is_z100_125,is_z125_200,is_z200_plus,toxic_any,risk_mult
0.08785904056162297,1774915200,1774915229,1774916719,-1,PROTECTED_STOP,0.48333333333333334,1.1871705737185592,0.15288611544461606,2.4892856980036497,1.1871705737185592,1.1871705737185592,183.1428571428592,66764.4,0.0027431214411102207,-1,-1,ALIGNED_WITH,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.15-0.30,2.00+,<=30m,0.9999999999991576,0.75-1.00,True,False,True,False,False,True,1.0
0.07096713484017819,1775261100,1775261309,1775262596,1,PROTECTED_STOP,3.4833333333333334,-1.1890333927676413,0.29429820481823066,1.0619468990461893,-1.1890333927676413,1.1890333927676413,76.79285714285756,66861.5,0.0011485362599232376,-1,-1,ALIGNED_COUNTER,LOW_VOL,285.0,FIRST_OR_RESET,1.00-1.25,<=5m,0.15-0.30,1.00-2.00,>180m,0.9999999999991589,0.75-1.00,False,False,True,False,False,False,1.0
-1.0142402885930455,1775866500,1775867990,1775870157,1,SL,24.833333333333332,-1.0602040421943604,0.31650339110776693,1.1092592557544203,-1.0233099667547534,1.0233099667547534,170.614285714283,72828.0,0.0023427017865969547,1,1,ALIGNED_WITH,LOW_VOL,15.0,REPEAT_WITHIN_3H,1.00-1.25,15-30m,0.30-0.50,1.00-2.00,<=30m,1.036053665689951,1.00-1.50,True,False,True,False,False,True,1.0
0.9156777904348901,1775870400,1775870912,1775878800,1,EXIT_Z,8.533333333333333,-1.221489284264928,0.19820992676967145,1.7586206807835796,-1.1899946355525026,1.1899946355525026,131.67857142856727,72699.9,0.0018112620709047368,1,1,ALIGNED_WITH,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,5-15m,0.15-0.30,1.00-2.00,<=30m,1.0264662106621818,1.00-1.50,True,False,True,False,False,True,1.0
0.07716228070179496,1775879100,1775879461,1775880329,-1,PROTECTED_STOP,6.016666666666667,0.822606902417235,0.10902255639089602,3.086206868246332,1.0042579693468752,1.0042579693468752,106.39999999999938,72932.1,0.0014588912152536315,1,1,ALIGNED_COUNTER,LOW_VOL,995.0,FIRST_OR_RESET,1.00-1.25,5-15m,<=0.15,2.00+,>180m,0.8191191183191734,0.75-1.00,False,False,True,False,False,False,1.0
0.08385999561116393,1776237600,1776238440,1776239133,-1,PROTECTED_STOP,14.0,1.28009016630135,0.6089532587228507,0.5913513503802251,1.0228806425756052,1.0228806425756052,151.89999999999833,73604.7,0.0020637269087435766,1,1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,5-15m,0.50-0.75,<0.75,<=30m,1.251456047771949,1.00-1.50,True,False,True,False,False,True,1.0
0.08031498453755061,1776411900,1776412482,1776413396,1,PROTECTED_STOP,9.7,-1.179221812528458,0.5557492268766226,0.6260623218195633,-1.0770407743531831,1.0770407743531831,127.03571428571533,74979.0,0.0016942839233080639,1,1,ALIGNED_WITH,LOW_VOL,310.0,FIRST_OR_RESET,1.00-1.25,5-15m,0.50-0.75,<0.75,>180m,1.094872023982142,1.00-1.50,False,False,True,False,False,False,1.0
0.08506470889582078,1776470700,1776470945,1776473249,-1,PROTECTED_STOP,4.083333333333333,1.2044526368676245,0.1657320872274163,2.856140333643511,1.2044526368676245,1.2044526368676245,171.96428571428365,77131.4,0.0022294977883752097,1,1,ALIGNED_COUNTER,LOW_VOL,70.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.15-0.30,2.00+,30-90m,0.9999999999991697,0.75-1.00,False,False,True,False,False,False,1.0
0.08188813872910823,1776484500,1776484686,1776486810,-1,PROTECTED_STOP,3.1,1.1220228276533275,0.4076092441214875,0.9844020773077405,1.1220228276533275,1.1220228276533275,141.55714285714203,76960.0,0.0018393599643599535,1,1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.30-0.50,0.75-1.00,<=30m,0.9999999999991087,0.75-1.00,True,False,True,False,False,True,1.0
1.445383346605426,1776560700,1776560885,1776565529,-1,PROTECTED_STOP,3.0833333333333335,1.2126060151213698,0.17151607963246707,1.9099999888646,1.2126060151213698,1.2126060151213698,116.60714285714182,75706.1,0.0015402608621648958,-1,1,MIXED,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.15-0.30,1.00-2.00,<=30m,0.9999999999991752,0.75-1.00,True,False,True,False,False,True,1.0
0.08660479109898928,1776729600,1776729730,1776731784,1,PROTECTED_STOP,2.1666666666666665,-1.141903087183408,0.07735392067820152,3.9383561134685268,-1.141903087183408,1.141903087183408,188.7428571428588,75790.1,0.002490336562992512,1,1,ALIGNED_WITH,MID_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999991241,0.75-1.00,True,False,True,False,False,True,1.0
1.4153146424642404,1776818100,1776818289,1776824015,1,PROTECTED_STOP,3.15,-1.1319662713030012,0.188976897689743,1.9168704055049968,-1.1319662713030012,1.1319662713030012,216.4285714285704,76210.9,0.002839863739026444,1,1,ALIGNED_WITH,MID_VOL,710.0,FIRST_OR_RESET,1.00-1.25,<=5m,0.15-0.30,1.00-2.00,>180m,0.9999999999991165,0.75-1.00,False,False,True,False,False,False,1.0
0.8365152994919753,1776989400,1776989618,1776993900,-1,EXIT_Z,3.6333333333333333,1.0338130098328502,0.0308746504942624,11.14285678193819,1.0338130098328502,1.0338130098328502,181.3785714285737,78280.9,0.0023170220504436425,1,1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,<=30m,0.9999999999990327,0.75-1.00,True,False,True,False,False,True,1.0
