N,WR,EV_R,PF,SumR,MaxDD_R,InitialStopRate,RightTail2R,period,cost_model,max_delay_min,retained
5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821,historical,GETLEVERAGED,45,1.0
5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821,historical,GETLEVERAGED,60,1.0
5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821,historical,GETLEVERAGED,90,1.0
5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821,historical,GETLEVERAGED,120,1.0
5297,0.36662261657542006,0.06291084085768345,1.103332887459265,333.23872402314925,56.26122934057247,0.5899565791957712,0.1699074948083821,historical,GETLEVERAGED,180,1.0
234,0.32905982905982906,-0.032611971698647955,0.9499540235096141,-7.631201377483622,26.139782412078944,0.6452991452991453,0.1794871794871795,forward_2026,GROSS,5,0.43014705882352944
371,0.3477088948787062,0.026511374271535448,1.041808665439882,9.83571985473965,30.658924695590656,0.628032345013477,0.18867924528301888,forward_2026,GROSS,10,0.6819852941176471
425,0.36470588235294116,0.0762723423754202,1.1236011209409396,32.41574550955359,23.405701877537798,0.611764705882353,0.2,forward_2026,GROSS,15,0.78125
511,0.37181996086105673,0.0952857555229204,1.1571157370704512,48.69102107221232,24.34723078163141,0.6007827788649707,0.19569471624266144,forward_2026,GROSS,30,0.9393382352941176
544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528,forward_2026,GROSS,45,1.0
544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528,forward_2026,GROSS,60,1.0
544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528,forward_2026,GROSS,90,1.0
544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528,forward_2026,GROSS,120,1.0
544,0.3694852941176471,0.0815898103512671,1.1341270495537077,44.3848568310893,25.72251807079045,0.6029411764705882,0.19117647058823528,forward_2026,GROSS,180,1.0
236,0.3305084745762712,-0.03858285567539047,0.9420354653218082,-9.105553939392152,26.726778087208395,0.6440677966101694,0.17372881355932204,forward_2026,IC,5,0.4338235294117647
371,0.3504043126684636,0.01848874321906547,1.0286258351814548,6.859323734273289,34.35419708956492,0.6253369272237197,0.18328840970350405,forward_2026,IC,10,0.6819852941176471
427,0.36768149882903983,0.06990115502809878,1.1115200424250968,29.84779319699818,23.991394004624546,0.6065573770491803,0.19672131147540983,forward_2026,IC,15,0.7849264705882353
512,0.37109375,0.07475615728280748,1.1202989351461912,38.27515252879743,28.323232609875706,0.6015625,0.19140625,forward_2026,IC,30,0.9411764705882353
544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875,forward_2026,IC,45,1.0
544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875,forward_2026,IC,60,1.0
544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875,forward_2026,IC,90,1.0
544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875,forward_2026,IC,120,1.0
544,0.36580882352941174,0.058042554972556046,1.0926844895020698,31.57514990507049,28.868538961929502,0.6066176470588235,0.1875,forward_2026,IC,180,1.0
239,0.301255230125523,-0.09991697259095486,0.8550199115803481,-23.88015644923821,39.03995167785025,0.6778242677824268,0.1506276150627615,forward_2026,GETLEVERAGED,5,0.43933823529411764
375,0.3253333333333333,-0.03120620418215028,0.9530792432364071,-11.702326568306354,40.64438820045041,0.6533333333333333,0.15733333333333333,forward_2026,GETLEVERAGED,10,0.6893382352941176
429,0.34032634032634035,0.011175196348759306,1.0171936381644648,4.7941592336177425,35.232543392808886,0.6386946386946387,0.17249417249417248,forward_2026,GETLEVERAGED,15,0.7886029411764706
515,0.33980582524271846,0.003060646869317148,1.004719740094548,1.5762331376983312,43.021021004736696,0.6368932038834951,0.1650485436893204,forward_2026,GETLEVERAGED,30,0.9466911764705882
544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706,forward_2026,GETLEVERAGED,45,1.0
544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706,forward_2026,GETLEVERAGED,60,1.0
544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706,forward_2026,GETLEVERAGED,90,1.0
544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706,forward_2026,GETLEVERAGED,120,1.0
544,0.33639705882352944,-0.006775397885280672,0.9895933443319518,-3.6858164495926857,46.27538275912326,0.6397058823529411,0.1636029411764706,forward_2026,GETLEVERAGED,180,1.0
