flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
1023,2022-09-21 01:45:00+00:00,-1,-4.92533211177274,18879.6,77.96428571428649,18690.1,2.4306000916170167,>2,0.001946403343852765,True,,,NO_TOUCH,,,,
1024,2022-09-21 13:45:00+00:00,1,-9.827456035355878,19263.6,77.57857142857107,19333.0,0.8945769266181981,0.5-1,0.02434844955303994,True,2022-09-21 14:15:00+00:00,2022-09-21 14:15:00+00:00,ACCEPT,19453.1,-12.270140871006381,False,0.012072042377548442
1025,2022-09-22 01:45:00+00:00,-1,-3.605071273730524,18501.2,108.73571428571475,18084.3,3.834066872495563,>2,0.025336289497754905,True,,,NO_TOUCH,,,,
1026,2022-09-22 13:45:00+00:00,1,3.8932728832250834,18893.2,116.58571428571408,19310.0,3.575052076951354,>2,0.02560381770496889,True,2022-09-22 19:30:00+00:00,2022-09-22 19:30:00+00:00,ACCEPT,19389.4,-0.3628231834334284,True,-0.0021657508144663495
1027,2022-09-23 01:45:00+00:00,1,-8.477496424665587,19347.1,84.90714285714292,19504.8,1.8573231261041547,1-2,0.015702082829090358,True,,,NO_TOUCH,,,,
1028,2022-09-23 13:45:00+00:00,-1,-4.253744493392055,18627.3,113.50000000000026,18817.5,0.0,<=0.5,-0.02887004952838801,False,2022-09-23 13:45:00+00:00,2022-09-23 13:45:00+00:00,ACCEPT,18627.3,-4.2537444933920545,False,0.0024316771862569198
1029,2022-09-24 01:45:00+00:00,1,-0.0142982200174855,19110.1,97.9142857142867,19398.0,2.940326816457528,>2,0.002150870667488647,True,,,NO_TOUCH,,,,
1030,2022-09-24 15:15:00+00:00,1,-0.5022556390977115,19042.3,66.5,19217.0,2.627067669172943,>2,-0.008181340079275401,False,,,NO_TOUCH,,,,
1031,2022-09-25 06:15:00+00:00,1,-1.0292716133423494,19017.1,41.971428571428206,19140.8,2.9472430224643045,>2,-0.0025176419357144653,False,2022-09-25 11:45:00+00:00,2022-09-25 12:30:00+00:00,REJECT,19100.3,-3.0115724982981362,True,-0.0018605655050283332
1032,2022-09-25 18:15:00+00:00,1,-3.3260307946678,18973.9,69.12142857142837,19196.0,3.2131859047225264,>2,-0.006967584499319557,False,,,NO_TOUCH,,,,
