flow_id,signal_time,side,origin,entry,atr14,extension_parent_reaccept_time,extension_time,residual_atr,failure_time,origin_reclaim_time,full_reaccept_time,extra_bad_closes_before_reaccept,accept_time,recon_failure_time,recon_reaccept_time,cycle_count,bad_closes,signal_to_accept_h,accept_to_failure_h,failure_to_origin_reclaim_h,failure_to_full_reaccept_h,reaccept_to_extension_h,signal_to_extension_h,accept_to_extension_h,cycle_count_accept_to_extension,origin_bad_close_count_accept_to_extension,clock_order_valid,failure_parity,reaccept_parity
116,2021-03-01 18:30:00+00:00,1,48459.99,48669.80107142857,419.6221428571423,2021-03-01 21:30:00+00:00,2021-03-01 21:45:00+00:00,-0.0373958884779022,2021-03-01 19:30:00+00:00,2021-03-01 20:00:00+00:00,2021-03-01 21:30:00+00:00,3,2021-03-01 19:00:00+00:00,2021-03-01 19:30:00+00:00,2021-03-01 21:30:00+00:00,1.0,5.0,0.5,0.5,0.5,2.0,0.25,3.25,2.75,1.0,5.0,True,True,True
120,2021-03-03 22:15:00+00:00,-1,51052.01,50833.39142857143,437.2371428571428,2021-03-04 02:45:00+00:00,2021-03-04 03:15:00+00:00,3.63592819849312,2021-03-04 01:15:00+00:00,2021-03-04 02:45:00+00:00,2021-03-04 02:45:00+00:00,5,2021-03-03 22:30:00+00:00,2021-03-04 01:15:00+00:00,2021-03-04 02:45:00+00:00,1.0,7.0,0.25,2.75,1.5,1.5,0.5,5.0,4.75,1.0,7.0,True,True,True
123,2021-03-05 11:45:00+00:00,1,47492.7,47637.43535714285,289.470714285713,2021-03-05 12:30:00+00:00,2021-03-05 13:00:00+00:00,3.414505291677715,2021-03-05 12:15:00+00:00,2021-03-05 12:30:00+00:00,2021-03-05 12:30:00+00:00,0,2021-03-05 12:00:00+00:00,,,0.0,1.0,0.25,0.25,0.25,0.25,0.5,1.25,1.0,0.0,1.0,True,False,False
124,2021-03-05 23:45:00+00:00,1,48770.57,48926.19571428571,311.25142857142885,2021-03-06 06:45:00+00:00,2021-03-06 07:15:00+00:00,-2.881180120802643,2021-03-06 01:15:00+00:00,2021-03-06 06:15:00+00:00,2021-03-06 06:45:00+00:00,19,2021-03-06 00:00:00+00:00,2021-03-06 01:15:00+00:00,2021-03-06 06:45:00+00:00,1.0,21.0,0.25,1.25,5.0,5.5,0.5,7.5,7.25,1.0,21.0,True,True,True
127,2021-03-07 16:15:00+00:00,1,50794.91,50944.5825,299.34499999999906,2021-03-07 23:15:00+00:00,2021-03-07 23:30:00+00:00,-2.124855935459076,2021-03-07 18:30:00+00:00,2021-03-07 23:00:00+00:00,2021-03-07 23:15:00+00:00,17,2021-03-07 16:30:00+00:00,2021-03-07 18:30:00+00:00,2021-03-07 23:15:00+00:00,1.0,19.0,0.25,2.0,4.5,4.75,0.25,7.25,7.0,1.0,19.0,True,True,True
131,2021-03-09 16:30:00+00:00,-1,54295.6,54126.57928571429,338.0414285714272,2021-03-09 21:15:00+00:00,2021-03-09 21:30:00+00:00,0.8601270343026542,2021-03-09 20:30:00+00:00,2021-03-09 21:00:00+00:00,2021-03-09 21:15:00+00:00,1,2021-03-09 16:45:00+00:00,2021-03-09 20:30:00+00:00,2021-03-09 21:15:00+00:00,1.0,3.0,0.25,3.75,0.5,0.75,0.25,5.0,4.75,1.0,3.0,True,True,True
139,2021-03-14 10:45:00+00:00,-1,60413.43,60274.51392857143,277.83214285714195,2021-03-14 13:15:00+00:00,2021-03-14 13:30:00+00:00,-0.4993019937526268,2021-03-14 12:30:00+00:00,2021-03-14 13:00:00+00:00,2021-03-14 13:15:00+00:00,1,2021-03-14 11:00:00+00:00,2021-03-14 12:30:00+00:00,2021-03-14 13:15:00+00:00,1.0,4.0,0.25,1.5,0.5,0.75,0.25,2.75,2.5,1.0,4.0,True,True,True
145,2021-03-17 12:45:00+00:00,1,55185.76,55431.70892857143,491.8978571428576,2021-03-17 16:15:00+00:00,2021-03-17 17:30:00+00:00,6.696008317638525,2021-03-17 13:45:00+00:00,2021-03-17 16:00:00+00:00,2021-03-17 16:15:00+00:00,8,2021-03-17 13:15:00+00:00,2021-03-17 13:45:00+00:00,2021-03-17 16:15:00+00:00,1.0,10.0,0.5,0.5,2.25,2.5,1.25,4.75,4.25,1.0,10.0,True,True,True
151,2021-03-20 16:30:00+00:00,-1,59308.89,59111.93464285714,393.9107142857143,2021-03-20 20:00:00+00:00,2021-03-20 20:15:00+00:00,4.485811686839827,2021-03-20 19:15:00+00:00,2021-03-20 20:00:00+00:00,2021-03-20 20:00:00+00:00,2,2021-03-20 16:45:00+00:00,2021-03-20 19:15:00+00:00,2021-03-20 20:00:00+00:00,1.0,5.0,0.25,2.5,0.75,0.75,0.25,3.75,3.5,1.0,5.0,True,True,True
152,2021-03-21 05:00:00+00:00,-1,57148.01,56997.63321428571,300.7535714285711,2021-03-21 09:30:00+00:00,2021-03-21 09:45:00+00:00,-0.9403498355321864,2021-03-21 05:30:00+00:00,2021-03-21 06:00:00+00:00,2021-03-21 09:30:00+00:00,11,2021-03-21 05:15:00+00:00,2021-03-21 05:45:00+00:00,2021-03-21 09:30:00+00:00,1.0,12.0,0.25,0.25,0.5,4.0,0.25,4.75,4.5,1.0,12.0,True,False,True
