flow_id,signal_time,touch_time,class_time,side,state,activation_state,high_volume,atr14,residual_atr,fut_netdelta_norm_15,fut_disp_atr_15,fut_response_eff_15,fut_absorption_gap_15,fut_netdelta_norm_30,fut_disp_atr_30,fut_response_eff_30,fut_absorption_gap_30,fut_netdelta_norm_60,fut_disp_atr_60,fut_response_eff_60,fut_absorption_gap_60,spot_netdelta_norm_15,spot_disp_atr_15,spot_response_eff_15,spot_absorption_gap_15,spot_netdelta_norm_30,spot_disp_atr_30,spot_response_eff_30,spot_absorption_gap_30,spot_netdelta_norm_60,spot_disp_atr_60,spot_response_eff_60,spot_absorption_gap_60,fut_minus_spot_netdelta_60,fut_minus_spot_absorption_gap_60,mechanism_cell
302,2021-06-14 08:45:00+00:00,2021-06-14 13:00:00+00:00,2021-06-14 13:00:00+00:00,1,ACCEPT,IGNITION,True,268.2992857142864,-2.578538359348162,-0.37269633700001764,0.41744427198837014,1.1200654005578552,-0.7901406089883878,4.337741163981099,1.2001150101565576,0.27666819314205326,3.1376261538245416,2.7204497263644325,1.5479355410668665,0.5689998701558451,1.172514185297566,1.4136096726891585,0.38408600203931037,0.2717058389312308,1.029523670649848,2.6431777680605584,1.1871071484669276,0.44912119147323637,1.4560706195936308,-0.3241195044472374,1.5823374216959198,4.881956809092631,-1.9064569261431572,3.04456923081167,3.0789711114407234,WEAK
305,2021-06-16 09:15:00+00:00,2021-06-16 11:00:00+00:00,2021-06-16 11:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,171.3764285714283,3.30687250705424,-1.0074747678195237,-0.25872869664525205,-0.2568091081876107,-0.7487460711742717,3.643584817467054,1.121624494116969,0.3078354286525707,2.5219603233500854,2.7711257700395873,1.1168980564921627,0.40304848973931884,1.6542277135474246,-0.05232331708470209,-0.20667953169087944,-0.8267181267635177,0.15435621460617735,2.4646985779815958,1.1288600282585919,0.4580113926884496,1.3358385497230039,2.505242276418387,1.1452566822408314,0.4571440826386439,1.3599855941775554,0.26588349362120045,0.2942421193698692,WEAK
306,2021-06-16 22:45:00+00:00,2021-06-16 23:15:00+00:00,2021-06-16 23:15:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,219.4121428571421,-4.795769214491987,2.8669828519605574,0.6031571374158734,0.2103804482134975,2.263825714544684,1.3569895985619378,0.49842273347288807,0.36730033450594524,0.8585668650890497,1.2712061451228216,1.4573031183975413,1.146394016414025,-0.18609697327471975,2.632708068358509,0.552567412273698,0.2098855619104868,2.080140656084811,2.1391836801471737,0.4565836634904335,0.21343826980721028,1.6826000166567403,1.1395755513905648,1.4966810666163182,1.3133671258478616,-0.3571055152257534,0.13163059373225683,0.17100854195103365,WEAK
307,2021-06-17 14:30:00+00:00,2021-06-17 16:45:00+00:00,2021-06-17 17:00:00+00:00,-1,ACCEPT,IGNITION,True,230.51,2.953494425404528,1.304072289773392,0.47802698364493973,0.3665647889259316,0.8260453061284523,3.802199289476429,1.363454947724583,0.3585963922244417,2.438744341751846,3.693431451023597,1.7129408702442348,0.4637803335349599,1.9804905807793622,2.486020490497055,0.487223981605994,0.19598550513498722,1.9987965088910609,1.8220727624650004,1.4684395470912237,0.8059170727653256,0.3536332153737767,2.3174881297368954,1.8219166196694339,0.7861600654137012,0.4955715100674616,1.3759433212867016,1.4849190707119007,ABSORPTION
309,2021-06-18 14:30:00+00:00,2021-06-18 14:45:00+00:00,2021-06-18 15:15:00+00:00,-1,ACCEPT,IGNITION,True,303.9442857142858,2.878520969538601,-0.4526806003789677,0.4001391232415561,0.8839325628413813,-0.8528197236205237,0.3580847795098165,0.14624390748303473,0.40840581854171104,0.21184087202678176,7.023312170087132,1.570156184639095,0.22356349064569853,5.453155985448037,-7.0827283025352,0.41524057510539697,0.058627206546489334,-7.497968877640597,-3.509940439097391,0.1621678785115482,0.046202458795355214,-3.6721083176089393,4.740970530296944,1.6302000836619421,0.3438536631358974,3.110770446635002,2.2823416397901877,2.342385538813035,ABSORPTION
311,2021-06-19 23:15:00+00:00,2021-06-20 00:00:00+00:00,2021-06-20 00:15:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,192.06285714285747,6.549991074350621,1.7304796866934469,0.22742554520841504,0.13142341222333187,1.5030541414850318,1.412738583839673,0.7766728154473134,0.5497640004539264,0.6360657683923597,-0.6781415576490071,0.3643078158936117,0.5372149985271517,-1.0424493735426188,0.9021117030810771,0.28001249590907085,0.31039670026751087,0.6220992071720063,1.3125384952175356,0.8387878968194846,0.6390577494494489,0.473750598398051,0.5489122756779405,0.38159382345065995,0.6951817992763379,0.1673184522272806,-1.2270538333269476,-1.2097678257698994,WEAK
312,2021-06-20 11:15:00+00:00,2021-06-20 20:15:00+00:00,2021-06-20 21:00:00+00:00,1,REJECT,ABSORPTION,True,344.77428571428544,-0.0572548499639457,4.859015469998878,0.8851298157801131,0.18216237862282778,3.9738856542187655,2.41013360013871,0.9036056716195308,0.3749193287739425,1.506527928519179,4.927447605826346,2.6061978437238547,0.528914369508915,2.3212497621024917,4.132102815596765,0.9127420838478251,0.22089045809863406,3.2193607317489397,2.1719610613582674,0.9281434644612218,0.42732969801990545,1.2438175968970455,1.9838425150563161,2.641235259507271,1.3313734530143855,-0.6573927444509546,2.9436050907700304,2.978642506553446,EFFICIENT_IGNITION
316,2021-06-22 18:30:00+00:00,2021-06-22 18:30:00+00:00,2021-06-22 18:30:00+00:00,1,ACCEPT,IGNITION,True,620.9649999999996,1.3238910405578483,1.6425608430366447,0.48025251020588555,0.2923803475784984,1.1623083328307593,0.09189295149710287,-0.03769938724405322,-0.1507975489762129,0.1295923387411561,2.9302031454897093,0.5719646034800648,0.1951962287531008,2.3582385420096443,1.4366031733668525,0.47930237614036414,0.3336358884806452,0.9573007972264884,2.0329468691980614,-0.03339962799835414,-0.01642916915557627,2.0663464971964154,3.1456119295847484,0.5845740098073164,0.1858379300731117,2.561037919777432,-0.21540878409503916,-0.20279937776778745,WEAK
317,2021-06-23 08:15:00+00:00,2021-06-23 11:00:00+00:00,2021-06-23 11:45:00+00:00,1,REJECT,LOWVOL_REJECT,False,290.134285714285,-2.433528316936976,4.074283007023259,0.3852354082346005,0.09455293301190192,3.689047598788658,6.962963204152844,0.7643357263139074,0.10977161646611072,6.1986274778389365,4.459698288982331,0.9538341851556376,0.2138786355821607,3.5058641038266933,-0.3803113646285734,0.4101549036406797,1.0784713310927552,-0.7904662682692531,0.7191642148478127,0.7798457856953027,1.0843779064567767,-0.06068157084749004,0.6803018779531794,1.0254217259003315,1.5073039765603946,-0.3451198479471521,3.7793964110291514,3.8509839517738453,ABSORPTION
319,2021-06-24 08:45:00+00:00,2021-06-24 11:45:00+00:00,2021-06-24 12:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,252.98357142857017,2.9843835144574755,3.9412434512444907,0.7656623665568556,0.19426923914458757,3.175581084687635,4.53474197141426,1.059436383503185,0.23362660768387145,3.4753055879110746,4.374677507201553,1.9248680744373636,0.4400022793151413,2.449809432764189,1.5078583086632056,0.8063764727805629,0.5347826570624248,0.7014818358826427,1.4251040202926621,1.0688836372773969,0.7500390301740142,0.35622038301526526,1.3506477605082583,1.9999322372711934,1.480720803563621,-0.6492844767629351,3.0240297466932944,3.099093909527124,EFFICIENT_IGNITION
320,2021-06-25 13:45:00+00:00,2021-06-25 14:45:00+00:00,2021-06-25 15:00:00+00:00,-1,ACCEPT,IGNITION,True,298.6807142857147,2.165857951515344,6.832071118936441,1.9855985727712,0.29062908424177836,4.846472546165241,6.373043740363157,2.543786604424689,0.39914783391706893,3.8292571359384677,-1.2639808250133227,0.9515512264649499,0.7528209349654654,-2.215532051478273,2.4349555088274655,1.9777976003998372,0.8122520486430698,0.45715790842762827,1.3297816630876398,2.525070966847067,1.8988613220790453,-1.1952893037594274,-1.1433094894103968,0.9328021083192043,0.8158789172652184,-2.076111597729601,-0.12067133560292587,-0.13942045374867185,WEAK
321,2021-06-26 05:00:00+00:00,2021-06-26 07:15:00+00:00,2021-06-26 07:15:00+00:00,-1,ACCEPT,IGNITION,True,246.09785714285707,-0.3128023985812828,7.28032368833676,1.7018433433854852,0.23375929645983679,5.578480344951275,4.66158707912754,2.0233008356141737,0.43403690658779964,2.6382862435133663,6.079321587300706,4.055581838815585,0.6671109235753251,2.023739748485121,-6.7581450448432,1.736423083732669,0.256937824241823,-8.49456812857587,-3.192777229884139,2.0227725904619946,0.6335464220707306,-5.2155498203461335,-0.7215391482681812,4.111210116765408,5.697833758061532,-4.8327492650335895,6.800860735568888,6.85648901351871,EFFICIENT_IGNITION
323,2021-06-27 05:00:00+00:00,2021-06-27 07:30:00+00:00,2021-06-27 07:30:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,272.08571428571514,-1.491699044418754,-0.23923646491844372,-0.18468444817809457,-0.7387377927123783,-0.05455201674034915,0.12131693365618695,0.16189751128846971,0.6475900451538789,-0.04058057763228276,-0.7074588755352436,0.37455108684239324,0.5294316034398726,-1.082009962377637,-0.9064728332075117,-0.19688648535125317,-0.21720064643810622,-0.7095863478562585,-2.64568179977691,0.17465084532184005,0.06601354907327367,-2.82033264509875,-2.0425976867011397,0.40630578599179196,0.19891620784511352,-2.4489034726929315,1.3351388111658962,1.3668935103152946,WEAK
