cell,window,selected_rev,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975
P970_T25,POOLED_RECENT,69,43,29,2.230769230769231,0.29179176641823557,8.461961226128835,1.592826211280101,4.363057729544698,4,21,5,4,-2.4473694386830873,0.3775390153341997,1.0042647638113342,-0.1380240744029346,0.33658088947362647
P970_T25,AUG2026_REUSED_AUDIT,1,0,0,0.0,,0.0,,0.0,0,1,0,0,0.0,,0.0,0.0,0.0
P970_T30,2025_H2,39,25,15,2.5,0.23204902726863094,3.4807354090294647,1.4507739084064504,4.111790984608206,2,10,2,2,-2.1038206231539545,0.6202289437251872,-1.2080946260994576,-0.2575509904558337,0.2668445493157428
P970_T30,2026_JAN_JUL,49,37,24,3.4285714285714284,0.1620498524864545,3.889196459674909,1.2957280805711011,4.449711885951221,4,10,3,2,-2.4473694386830873,0.5037240404165175,0.8099290528036303,-0.1527689973034053,0.31504996562328286
P970_T30,POOLED_RECENT,88,62,39,3.0,0.18897261201806084,7.369931868704372,1.3530853630185913,4.449711885951221,4,20,5,4,-2.4473694386830873,0.3039239406101951,2.6811018335754495,-0.09839647743189404,0.22796022160061322
P970_T30,AUG2026_REUSED_AUDIT,2,0,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0
P970_T40,2025_H2,58,44,28,4.666666666666667,0.04781552293653462,1.3388346422229693,1.079579802910518,7.431326169791015,4,7,2,3,-2.2448372115835897,0.535966071325584,-1.8216143895313888,-0.13203544391798835,0.1461184631996177
P970_T40,2026_JAN_JUL,71,54,32,4.571428571428571,0.15856786482733254,5.074171674474641,1.287509504946331,6.178223676019314,5,11,3,2,-1.2190864965986394,0.43972966469915936,-0.8441852894606843,-0.07498642651542371,0.31234604527783816
P970_T40,POOLED_RECENT,129,98,60,4.615384615384615,0.10688343861162683,6.41300631669761,1.1860324807786748,7.431326169791015,5,18,5,5,-2.2448372115835897,0.24438789196792055,0.49464935276228417,-0.058966593356603945,0.17162620041105087
P970_T40,AUG2026_REUSED_AUDIT,5,0,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0
P960_T20,2025_H2,30,24,14,2.3333333333333335,-0.07085349449388333,-0.9919489229143674,0.8910863399342115,3.548245915817151,2,5,2,2,-2.074892952939783,0.350173223065565,-2.1134650836594444,-0.1980921336981046,0.1564882848710866
P960_T20,2026_JAN_JUL,41,27,15,2.142857142857143,0.23383103670535715,3.507465550580357,1.4613551159698213,3.1451187852441223,3,12,3,1,-1.7425671682107393,0.6320220894988525,0.9431137170893975,-0.07576378992220606,0.25778455486657914
P960_T20,POOLED_RECENT,71,51,29,2.230769230769231,0.08674195267813758,2.5155166276659897,1.1505378660211798,3.548245915817151,3,17,5,3,-2.074892952939783,0.36522772777235696,-0.04883520582496992,-0.08624221576992888,0.16371272781374346
P960_T20,AUG2026_REUSED_AUDIT,1,0,0,0.0,,0.0,,0.0,0,1,0,0,0.0,,0.0,0.0,0.0
P960_T25,2025_H2,47,37,22,3.6666666666666665,-0.3301981151406283,-7.264358533093821,0.5674051767237107,9.569092505759144,2,8,2,4,-3.1853271498260005,0.446503218171323,-8.385874693838899,-0.3806942208428539,0.0271852565831008
P960_T25,2026_JAN_JUL,46,32,19,2.7142857142857144,0.3370054247712739,6.403103070654204,1.725842474897463,3.1451187852441223,3,12,4,2,-1.2190864965986394,0.46120799559756265,3.779596779040626,-0.014041349699578603,0.3661851140718217
P960_T25,POOLED_RECENT,93,69,41,3.1538461538461537,-0.021006230791210175,-0.8612554624396171,0.9663757784149309,9.569092505759144,3,20,6,6,-3.1853271498260005,0.2836745068322924,-3.484761754053195,-0.16037591824162598,0.13749717193859393
P960_T25,AUG2026_REUSED_AUDIT,3,0,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0
P960_T30,2025_H2,53,43,24,4.0,-0.18995917488656947,-4.5590201972776665,0.7285089209777176,7.086045671395057,2,8,2,4,-3.1853271498260005,0.45386383431141764,-6.871861134701865,-0.31575705852846475,0.09265585719432066
P960_T30,2026_JAN_JUL,65,50,29,4.142857142857143,0.1964342208809753,5.696592405548283,1.3735937241251817,4.213120711930627,3,12,4,2,-1.2190864965986394,0.3352526524656643,3.0730861139347048,-0.02900857853262977,0.2547903754956112
P960_T30,POOLED_RECENT,118,93,53,4.076923076923077,0.021463626571143705,1.1375722082706154,1.0355040662867492,7.086045671395057,3,20,6,6,-3.1853271498260005,0.21163788301189823,-1.4859340833429626,-0.11209874035897949,0.12222701970942802
P960_T30,AUG2026_REUSED_AUDIT,4,1,1,1.0,-1.2426852780309947,-1.2426852780309947,0.0,1.2426852780309947,1,2,0,1,-1.2426852780309947,,-1.2426852780309947,-0.6213426390154974,0.0
P960_T40,2025_H2,79,64,39,6.5,-0.03451295748682136,-1.3460053419860354,0.9454607082159935,7.110638421035832,3,8,2,4,-3.168974103025053,0.3004271988779547,-3.836545748576054,-0.1513379684812733,0.0910632830140209
P960_T40,2026_JAN_JUL,91,74,40,5.714285714285714,0.277541351576615,11.1016540630646,1.5638688965493694,6.57728650668234,5,11,6,2,-3.730065806851586,0.2737900564102226,6.240412189942992,-0.03397347501577184,0.32956910887171065
P960_T40,POOLED_RECENT,170,138,79,6.076923076923077,0.12348922431745023,9.755648721078565,1.21988071943267,7.110638421035832,5,19,8,6,-3.730065806851586,0.15575471142027317,4.894406847956956,-0.04209818147935873,0.17552504170291483
P960_T40,AUG2026_REUSED_AUDIT,6,1,1,1.0,-1.2426852780309947,-1.2426852780309947,0.0,1.2426852780309947,1,2,0,1,-1.2426852780309947,,-1.2426852780309947,-0.6213426390154974,0.0
P950_T20,2025_H2,45,33,23,3.8333333333333335,-0.07098966685361219,-1.632762337633081,0.8894967213008539,6.00215374650533,3,8,3,2,-4.198476874321321,0.311453788124978,-3.862935185503466,-0.19134675201555715,0.21334984370334134
P950_T20,2026_JAN_JUL,49,35,21,3.0,-0.15175019981452767,-3.186754196105081,0.7751345842348645,7.7606183435630465,3,12,2,3,-3.8814214357324603,0.6259336700393453,-4.5714218897000904,-0.20428533872276108,0.1959904264385484
P950_T20,POOLED_RECENT,94,68,44,3.3846153846153846,-0.1095344666758673,-4.819516533738161,0.8335084837759085,10.78111798453764,3,20,5,5,-4.198476874321321,0.2849770833727238,-7.049689381608546,-0.16278942591755302,0.10677885611473004
P950_T20,AUG2026_REUSED_AUDIT,3,1,1,1.0,1.266472132352941,1.266472132352941,inf,0.0,0,3,1,0,0.0,1.0,0.0,0.0,1.266472132352941
P950_T25,2025_H2,63,50,32,5.333333333333333,-0.1300736383792716,-4.162356428136693,0.8063484727793964,9.078203339513815,3,8,2,3,-3.9092602430515493,0.399532989631255,-6.392529276007078,-0.18213275091547013,0.10666310346541906
P950_T25,2026_JAN_JUL,58,45,26,3.7142857142857144,-0.0528613163909772,-1.374394226165407,0.9166987144816305,6.50845065668996,3,12,2,5,-1.2190864965986394,0.4546163881287295,-3.997900517778985,-0.15699558899300908,0.18046212430937597
P950_T25,POOLED_RECENT,121,95,58,4.461538461538462,-0.0954612181776224,-5.536750654302098,0.8542696891280387,10.160739711601249,3,20,4,8,-3.9092602430515493,0.2133505081635015,-8.160256945915677,-0.131272787943466,0.06865400818237158
P950_T25,AUG2026_REUSED_AUDIT,5,2,1,1.0,1.266472132352941,1.266472132352941,inf,0.0,0,3,1,0,0.0,1.0,0.0,0.0,1.266472132352941
P950_T30,2025_H2,74,62,38,6.333333333333333,-0.08520021720230524,-3.2376082536875974,0.8694704566634005,8.482596286049588,3,7,2,3,-2.5081020147068918,0.3879268973998791,-5.467781101557982,-0.13174362709016577,0.10674680408819881
P950_T30,2026_JAN_JUL,77,65,37,5.285714285714286,-0.1591727295717931,-5.8893909941563445,0.7673890350454624,12.430041957330811,3,10,3,5,-4.128906406589474,0.3538959019340455,-7.295985526806259,-0.18561019688169608,0.08766086057252344
P950_T30,POOLED_RECENT,151,127,75,5.769230769230769,-0.12169332330458592,-9.12699924784394,0.8179053225650932,15.136515674616277,3,17,5,8,-4.128906406589474,0.2040734024458379,-11.357172095714326,-0.13137281393230352,0.0353418591107421
P950_T30,AUG2026_REUSED_AUDIT,6,3,2,2.0,0.011893427160973191,0.023786854321946382,1.0191414952301006,1.2426852780309947,1,3,1,1,-1.2426852780309947,1.0,-1.2426852780309947,-0.4142284260103316,1.266472132352941
P950_T40,2025_H2,100,91,58,9.666666666666666,-0.10687957623886685,-6.199015421854279,0.8404584889186208,9.423841216101454,2,5,0,4,-2.8143347741036657,0.40367358809775516,-6.199015421854279,-0.17499818827733363,-0.017505100801855487
P950_T40,2026_JAN_JUL,109,97,53,7.571428571428571,-0.06231467784314674,-3.302677925686776,0.9028455402442779,8.602587434765063,4,8,3,3,-3.1727762836937696,0.49253834088533033,-4.6873456192817855,-0.0955454527708032,0.060864172655349144
P950_T40,POOLED_RECENT,209,188,111,8.538461538461538,-0.08560084096883835,-9.501693347541055,0.8695705303335538,15.776719956143594,4,13,3,7,-3.1727762836937696,0.23863101473008963,-10.886361041136064,-0.09386191739706996,-0.000964843733995599
P950_T40,AUG2026_REUSED_AUDIT,11,6,4,4.0,0.028514591660008026,0.1140583666400321,1.046994422655105,2.427061770225671,1,2,1,0,0.0,1.0,0.0,0.0,0.019009727773338685
