trade_index,entry_ts,year,quality,raw_R,risk_mult,weighted_R,equity_R,drawdown_R,exit_reason
19,1611134340,2021,1,0.5385062753252261,1.5,0.8077594129878392,-0.4524969142807229,1.3329507538908643,-3
20,1611327540,2021,1,0.08594431330627979,1.5,0.1289164699594197,-0.32358044432130323,1.2040342839314446,-3
21,1611390420,2021,0,0.860512515073194,1.0,0.860512515073194,0.5369320707518908,0.3435217688582507,-3
22,1611427440,2021,1,-0.3054737080269144,1.5,-0.45821056204037164,0.07872150871151912,0.8017323308986224,-3
23,1611810420,2021,0,0.14880837955446313,1.0,0.14880837955446313,0.22752988826598225,0.6529239513441591,-2
24,1611843780,2021,0,0.8175739161808624,1.0,0.8175739161808624,1.0451038044468446,0.0,-4
25,1611909120,2021,0,-1.0011995719762563,1.0,-1.0011995719762563,0.04390423247058828,1.0011995719762563,-1
26,1611911940,2021,0,-1.0010069317097217,1.0,-1.0010069317097217,-0.9571026992391334,2.002206503685978,-1
27,1611955440,2021,0,0.36869608546376376,1.0,0.36869608546376376,-0.5884066137753696,1.6335104182222142,-4
28,1612354140,2021,0,-0.5512784614971622,1.0,-0.5512784614971622,-1.1396850752725318,2.1847888797193766,-3
29,1612401600,2021,-1,-0.06985687862827074,0.75,-0.05239265897120306,-1.192077734243735,2.23718153869058,-4
30,1612522860,2021,-1,-0.3250530743645464,0.75,-0.2437898057734098,-1.4358675400171448,2.480971344463989,-4
31,1612564860,2021,-1,0.9754878827415867,0.75,0.73161591205619,-0.7042516279609548,1.7493554324077993,-3
32,1612688100,2021,0,0.33284548834830796,1.0,0.33284548834830796,-0.3714061396126468,1.4165099440594915,-3
33,1612790160,2021,-1,-1.0015965795317443,0.75,-0.7511974346488082,-1.122603574261455,2.1677073787082994,-1
34,1612791960,2021,0,0.3355406509507842,1.0,0.3355406509507842,-0.7870629233106708,1.8321667277575155,-3
35,1612828380,2021,0,-0.2430931399647942,1.0,-0.2430931399647942,-1.0301560632754652,2.07525986772231,-3
36,1613019780,2021,0,-0.06898003081642125,1.0,-0.06898003081642125,-1.0991360940918864,2.144239898538731,-3
37,1613237520,2021,0,0.0076981547965138414,1.0,0.0076981547965138414,-1.0914379392953726,2.1365417437422174,-4
38,1613270580,2021,0,-0.2936675375415079,1.0,-0.2936675375415079,-1.3851054768368805,2.430209281283725,-3
39,1613286420,2021,1,0.14835890256664577,1.5,0.22253835384996867,-1.162567122986912,2.2076709274337567,-2
40,1613360580,2021,0,0.21493921024212534,1.0,0.21493921024212534,-0.9476279127447865,1.992731717191631,-4
41,1613524980,2021,1,0.14783518866578435,1.5,0.2217527829986765,-0.72587512974611,1.7709789341929545,-2
42,1613622840,2021,0,0.14742989897517184,1.0,0.14742989897517184,-0.5784452307709382,1.6235490352177828,-2
43,1613730300,2021,1,0.2836263053845308,1.5,0.42543945807679623,-0.153005772694142,1.1981095771409866,-3
44,1613955780,2021,0,0.14836042448141565,1.0,0.14836042448141565,-0.004645348212726358,1.049749152659571,-2
45,1614050940,2021,0,-1.0008821123434832,1.0,-1.0008821123434832,-1.0055274605562097,2.0506312650030543,-1
46,1614073020,2021,0,0.24876647902709806,1.0,0.24876647902709806,-0.7567609815291116,1.8018647859759562,-3
47,1614134280,2021,1,0.13412856687197608,1.5,0.20119285030796413,-0.5555681312211476,1.6006719356679922,-3
48,1614245760,2021,1,-1.0015994759857973,1.5,-1.5023992139786961,-2.0579673451998435,3.103071149646688,-1
49,1614279900,2021,0,0.9856999673028972,1.0,0.9856999673028972,-1.0722673778969463,2.117371182343791,-3
50,1614396420,2021,0,-0.06688518381270472,1.0,-0.06688518381270472,-1.139152561709651,2.1842563661564958,-3
51,1614548160,2021,1,-0.6246821901672325,1.5,-0.9370232852508487,-2.0761758469604996,3.1212796514073444,-4
52,1614610260,2021,0,0.5839073973987822,1.0,0.5839073973987822,-1.4922684495617173,2.537372254008562,-3
53,1614771240,2021,1,0.14849437845918767,1.5,0.2227415676887815,-1.269526881872936,2.3146306863197808,-2
54,1615028460,2021,0,0.5776762238646347,1.0,0.5776762238646347,-0.6918506580083013,1.7369544624551458,-3
55,1615095360,2021,0,1.6177212763500681,1.0,1.6177212763500681,0.9258706183417669,0.11923318610507772,-3
56,1615158300,2021,0,-1.0021774852727028,1.0,-1.0021774852727028,-0.07630686693093591,1.1214106713777805,-1
57,1615241040,2021,-1,0.1475460434917094,0.75,0.11065953261878206,0.034352665687846146,1.0107511387589985,-2
58,1615256880,2021,0,-0.12447976136907722,1.0,-0.12447976136907722,-0.09012709568123108,1.1352309001280756,-3
59,1615338300,2021,0,1.321932385294957,1.0,1.321932385294957,1.231805289613726,0.0,-4
60,1615410240,2021,1,0.43783567126485273,1.5,0.6567535068972791,1.888558796511005,0.0,-3
61,1615626720,2021,1,1.5380807354112953,1.5,2.307121103116943,4.195679899627947,0.0,-3
62,1615712580,2021,1,0.32656851245699225,1.5,0.4898527686854884,4.685532668313436,0.0,-3
63,1615790880,2021,0,2.081759997435025,1.0,2.081759997435025,6.767292665748461,0.0,-2
64,1616319960,2021,0,0.09564303787790665,1.0,0.09564303787790665,6.862935703626368,0.0,-3
65,1616420880,2021,0,0.7945200348322989,1.0,0.7945200348322989,7.657455738458667,0.0,-3
66,1616447940,2021,0,0.09766573221977852,1.0,0.09766573221977852,7.7551214706784455,0.0,-3
67,1616571720,2021,1,-0.6015966849121963,1.5,-0.9023950273682945,6.852726443310151,0.9023950273682946,-3
68,1616583120,2021,0,-0.1910775093685429,1.0,-0.1910775093685429,6.661648933941608,1.0934725367368374,-4
69,1616677860,2021,-1,0.14854723814419754,0.75,0.11141042860814815,6.773059362549756,0.9820621081286891,-2
70,1616807760,2021,0,0.1839279180136379,1.0,0.1839279180136379,6.9569872805633945,0.7981341901150509,-4
71,1616962740,2021,0,-0.19978796129648127,1.0,-0.19978796129648127,6.757199319266913,0.9979221514115322,-4
72,1617004740,2021,0,1.9119378886916831,1.0,1.9119378886916831,8.669137207958597,0.0,-4
73,1617082500,2021,0,-1.002842543453854,1.0,-1.002842543453854,7.666294664504743,1.0028425434538537,-1
74,1617207600,2021,-1,-0.10229718852993283,0.75,-0.07672289139744962,7.589571773107294,1.079565434851303,-3
75,1617334860,2021,1,-0.14098798187717648,1.5,-0.21148197281576472,7.378089800291529,1.291047407667068,-3
76,1617374580,2021,0,0.5454783893419995,1.0,0.5454783893419995,7.923568189633529,0.7455690183250683,-4
77,1617583680,2021,0,1.2631301121760459,1.0,1.2631301121760459,9.186698301809574,0.0,-4
78,1617639540,2021,0,-0.14187756828554265,1.0,-0.14187756828554265,9.044820733524032,0.1418775682855422,-3
79,1617964980,2021,1,0.14657321106767884,1.5,0.21985981660151827,9.26468055012555,0.0,-2
80,1618015680,2021,-1,-0.5348273319739202,0.75,-0.4011204989804401,8.863560051145111,0.4011204989804398,-3
81,1618031040,2021,1,-0.12175765117273377,1.5,-0.18263647675910066,8.68092357438601,0.58375697573954,-3
82,1618380600,2021,-1,0.14700981611467837,0.75,0.11025736208600878,8.791180936472019,0.4734996136535319,-2
83,1618549320,2021,0,0.14755440485884402,1.0,0.14755440485884402,8.938735341330863,0.32594520879468725,-2
84,1618706040,2021,-1,0.1470259798475777,0.75,0.11026948488568328,9.049004826216546,0.2156757239090048,-2
85,1618718520,2021,-1,0.149349543112787,0.75,0.11201215733459025,9.161016983551136,0.103663566574415,-2
86,1618937460,2021,-1,-1.0017564914900634,0.75,-0.7513173686175476,8.409699614933588,0.8549809351919624,-1
87,1619119680,2021,1,0.259591308505056,1.5,0.389386962757584,8.799086577691172,0.4655939724343785,-3
88,1619127060,2021,0,0.019727909940876625,1.0,0.019727909940876625,8.818814487632048,0.44586606249350247,-3
89,1619264520,2021,0,0.5779753933222844,1.0,0.5779753933222844,9.396789880954334,0.0,-4
90,1619349480,2021,-1,-0.6214603363825288,0.75,-0.46609525228689663,8.930694628667437,0.4660952522868964,-3
91,1619385600,2021,-1,-1.002192966713398,0.75,-0.7516447250350484,8.17904990363239,1.2177399773219442,-1
92,1619538540,2021,1,-0.2345103295443262,1.5,-0.3517654943164893,7.8272844093159,1.5695054716384336,-3
93,1619589840,2021,1,0.3203812863877079,1.5,0.48057192958156186,8.307856338897462,1.0889335420568713,-3
94,1619709600,2021,0,0.5290622929479294,1.0,0.5290622929479294,8.836918631845391,0.5598712491089426,-3
95,1619718000,2021,0,0.2122572305849872,1.0,0.2122572305849872,9.049175862430378,0.3476140185239558,-3
96,1619742540,2021,1,-0.507128306803293,1.5,-0.7606924602049395,8.288483402225438,1.1083064787288954,-4
97,1619827740,2021,0,-0.16523278449352163,1.0,-0.16523278449352163,8.123250617731916,1.2735392632224176,-4
98,1620143700,2021,0,-0.03782122351981078,1.0,-0.03782122351981078,8.085429394212104,1.3113604867422293,-3
99,1620281820,2021,-1,-0.4893175646132071,0.75,-0.3669881734599053,7.718441220752199,1.6783486602021345,-4
100,1620466320,2021,-1,-0.22686971613146012,0.75,-0.1701522870985951,7.548288933653604,1.84850094730073,-3
101,1620672420,2021,0,0.6822266496364661,1.0,0.6822266496364661,8.23051558329007,1.1662742976642644,-3
102,1620679620,2021,0,0.14878019944190157,1.0,0.14878019944190157,8.37929578273197,1.0174940982223628,-2
103,1620720960,2021,0,-0.15024772150549737,1.0,-0.15024772150549737,8.229048061226473,1.1677418197278602,-3
104,1620901320,2021,0,0.48749923709449927,1.0,0.48749923709449927,8.716547298320972,0.6802425826333618,-3
105,1620929940,2021,-1,0.1489710796590991,0.75,0.11172830974432432,8.828275608065296,0.568514272889038,-2
106,1620952560,2021,1,0.14895387559006407,1.5,0.2234308133850961,9.051706421450392,0.34508345950394137,-2
107,1621027920,2021,-1,0.40998988903134154,0.75,0.30749241677350614,9.359198838223898,0.03759104273043512,-3
108,1621101780,2021,1,0.4517097560170766,1.5,0.6775646340256148,10.036763472249513,0.0,-3
109,1621353900,2021,1,0.24073986886299145,1.5,0.36110980329448716,10.397873275544,0.0,-4
110,1621392660,2021,0,-0.061504480091477826,1.0,-0.061504480091477826,10.336368795452524,0.06150448009147702,-4
111,1621425660,2021,-1,-1.000763750039451,0.75,-0.7505728125295883,9.585795982922935,0.8120772926210655,-1
112,1621431960,2021,-1,1.0341872597612212,0.75,0.7756404448209159,10.36143642774385,0.03643684780015022,-3
113,1621552620,2021,0,0.5390982988919862,1.0,0.5390982988919862,10.900534726635836,0.0,-3
114,1621573860,2021,0,0.14885233425152392,1.0,0.14885233425152392,11.04938706088736,0.0,-2
115,1621665300,2021,-1,-1.0007572635336026,0.75,-0.750567947650202,10.298819113237158,0.7505679476502021,-1
116,1621724460,2021,1,0.14890317581420562,1.5,0.2233547637213084,10.522173876958467,0.5272131839288932,-2
117,1621807200,2021,1,-0.40679190920336517,1.5,-0.6101878638050477,9.91198601315342,1.13740104773394,-3
118,1621833720,2021,0,0.9436595840944246,1.0,0.9436595840944246,10.855645597247845,0.1937414636395154,-4
119,1621941480,2021,0,0.6523854927371091,1.0,0.6523854927371091,11.508031089984954,0.0,-3
120,1621988280,2021,0,-0.7269672042923937,1.0,-0.7269672042923937,10.78106388569256,0.7269672042923929,-3
121,1622185440,2021,0,0.28640813149206146,1.0,0.28640813149206146,11.067472017184622,0.44055907280033146,-4
122,1622669700,2021,1,-0.12536649203206182,1.5,-0.18804973804809272,10.879422279136529,0.6286088108484247,-3
123,1622682180,2021,0,-1.0020937665648035,1.0,-1.0020937665648035,9.877328512571726,1.6307025774132278,-1
124,1623012600,2021,1,0.14702278022255202,1.5,0.22053417033382805,10.097862682905554,1.4101684070794,-2
125,1623188760,2021,1,0.3509983683125815,1.5,0.5264975524688723,10.624360235374425,0.8836708546105285,-3
126,1623199620,2021,0,0.6144809995812721,1.0,0.6144809995812721,11.238841234955697,0.2691898550292571,-3
127,1623304980,2021,1,1.2943825062498593,1.5,1.9415737593747888,13.180414994330485,0.0,-3
128,1623562080,2021,1,-0.5321119141124562,1.5,-0.7981678711686843,12.3822471231618,0.798167871168685,-3
129,1623616920,2021,0,-0.07357244382270463,1.0,-0.07357244382270463,12.308674679339095,0.8717403149913903,-4
130,1623679860,2021,0,0.5895417043286637,1.0,0.5895417043286637,12.898216383667759,0.2821986106627268,-3
131,1623749700,2021,1,0.20354891264753852,1.5,0.3053233689713078,13.203539752639067,0.0,-3
132,1623823500,2021,1,-0.2171583646208474,1.5,-0.3257375469312711,12.877802205707795,0.325737546931272,-3
133,1623840840,2021,0,1.435614479941572,1.0,1.435614479941572,14.313416685649367,0.0,-3
134,1623973740,2021,0,0.8624885634417104,1.0,0.8624885634417104,15.175905249091077,0.0,-3
135,1624015320,2021,0,-0.5710721525119965,1.0,-0.5710721525119965,14.60483309657908,0.5710721525119968,-3
136,1624147440,2021,1,0.14791112344428092,1.5,0.22186668516642138,14.826699781745502,0.3492054673455751,-2
137,1624343940,2021,0,-1.0013083831216554,1.0,-1.0013083831216554,13.825391398623847,1.3505138504672303,-1
138,1624526040,2021,0,0.7804918537130654,1.0,0.7804918537130654,14.605883252336913,0.5700219967541642,-3
139,1624656720,2021,-1,-0.11439792508361656,0.75,-0.08579844381271241,14.5200848085242,0.6558204405668775,-4
140,1624866600,2021,1,-1.0024257594443582,1.5,-1.5036386391665373,13.016446169357662,2.1594590797334146,-1
141,1624879020,2021,1,0.2456599343050219,1.5,0.36848990145753285,13.384936070815195,1.7909691782758816,-3
142,1624912080,2021,0,-0.32868269154351876,1.0,-0.32868269154351876,13.056253379271677,2.1196518698194,-3
143,1625036280,2021,0,0.14841654130846876,1.0,0.14841654130846876,13.204669920580146,1.9712353285109305,-2
144,1625125740,2021,0,0.2910889392774454,1.0,0.2910889392774454,13.495758859857592,1.6801463892334851,-3
145,1625216700,2021,0,-0.35919874767721827,1.0,-0.35919874767721827,13.136560112180373,2.039345136910704,-3
146,1625353260,2021,1,0.35216788186466386,1.5,0.5282518227969958,13.664811934977369,1.5110933141137082,-4
147,1625387820,2021,0,0.28850296528305996,1.0,0.28850296528305996,13.953314900260429,1.2225903488306482,-3
148,1625448120,2021,0,-0.7177115088591369,1.0,-0.7177115088591369,13.235603391401291,1.9403018576897857,-3
149,1625836920,2021,0,0.446713543492284,1.0,0.446713543492284,13.682316934893574,1.4935883141975026,-4
150,1625868060,2021,0,-0.037966599711312825,1.0,-0.037966599711312825,13.644350335182262,1.5315549139088152,-3
151,1626092400,2021,0,0.7074835831292999,1.0,0.7074835831292999,14.351833918311561,0.8240713307795158,-4
152,1626186900,2021,1,-0.24655833414200784,1.5,-0.36983750121301173,13.98199641709855,1.1939088319925268,-3
153,1626311940,2021,0,-0.3632211009797443,1.0,-0.3632211009797443,13.618775316118805,1.5571299329722716,-3
154,1626349500,2021,1,0.14783760715771901,1.5,0.22175641073657854,13.840531726855383,1.3353735222356935,-2
155,1626419760,2021,-1,-1.0032985334012436,0.75,-0.7524739000509327,13.08805782680445,2.087847422286627,-1
156,1626486480,2021,-1,-0.21210960005455123,0.75,-0.15908220004091342,12.928975626763537,2.2469296223275403,-4
157,1626603720,2021,1,0.6048223280685759,1.5,0.907233492102864,13.8362091188664,1.3396961302246773,-4
158,1626951540,2021,1,0.9029918934707422,1.5,1.3544878402061133,15.190696959072513,0.0,-3
159,1627086120,2021,-1,-0.04786335737631722,0.75,-0.03589751803223792,15.154799441040275,0.03589751803223784,-3
160,1627147980,2021,0,0.2701500084616481,1.0,0.2701500084616481,15.424949449501923,0.0,-3
161,1627158060,2021,1,0.14776351978744626,1.5,0.22164527968116937,15.646594729183093,0.0,-2
162,1627392180,2021,0,0.148195475363696,1.0,0.148195475363696,15.79479020454679,0.0,-2
163,1627605960,2021,1,-0.21650323302195626,1.5,-0.3247548495329344,15.470035355013854,0.3247548495329351,-3
164,1627725720,2021,-1,0.14781598681982253,0.75,0.11086199011486689,15.58089734512872,0.21389285941806868,-2
165,1627860840,2021,0,0.07843783229705206,1.0,0.07843783229705206,15.659335177425772,0.13545502712101687,-3
166,1627938060,2021,0,0.043534718904287104,1.0,0.043534718904287104,15.702869896330059,0.09192030821673036,-4
167,1628007360,2021,1,0.09313268596561286,1.5,0.1396990289484193,15.842568925278478,0.0,-3
168,1628120400,2021,0,-0.5046857121502069,1.0,-0.5046857121502069,15.33788321312827,0.5046857121502075,-4
169,1628312820,2021,0,-0.00769118720938187,1.0,-0.00769118720938187,15.330192025918889,0.5123768993595892,-4
170,1628554380,2021,1,-0.021373408666017255,1.5,-0.032060112999025885,15.298131912919862,0.5444370123586157,-3
171,1628784120,2021,0,0.059215688668637266,1.0,0.059215688668637266,15.357347601588499,0.48522132368997895,-3
172,1628887740,2021,-1,-0.05439113915194166,0.75,-0.040793354363956244,15.316554247224543,0.5260146780539348,-3
173,1628936160,2021,-1,0.14658708672873644,0.75,0.10994031504655233,15.426494562271095,0.41607436300738243,-2
174,1629125340,2021,0,0.4772223549153462,1.0,0.4772223549153462,15.903716917186442,0.0,-4
175,1629201240,2021,0,-1.0021624941388232,1.0,-1.0021624941388232,14.90155442304762,1.0021624941388225,-1
176,1629275100,2021,0,0.14733798932263387,1.0,0.14733798932263387,15.048892412370254,0.8548245048161878,-2
177,1629448500,2021,1,0.1466686498585487,1.5,0.22000297478782305,15.268895387158077,0.6348215300283648,-2
178,1629631980,2021,1,-0.0524879072124082,1.5,-0.0787318608186123,15.190163526339465,0.7135533908469771,-3
179,1629638880,2021,0,0.14664109117679655,1.0,0.14664109117679655,15.336804617516261,0.5669122996701805,-2
180,1629678660,2021,1,0.8603142525836777,1.5,1.2904713788755164,16.627275996391777,0.0,-4
181,1629733560,2021,-1,0.14664262577489373,0.75,0.1099819693311703,16.737257965722947,0.0,-2
182,1629885660,2021,0,-0.00048750219246287735,1.0,-0.00048750219246287735,16.736770463530483,0.00048750219246329607,-3
183,1629907920,2021,0,0.3436062239977724,1.0,0.3436062239977724,17.080376687528254,0.0,-4
184,1630211640,2021,0,-0.2313715822381793,1.0,-0.2313715822381793,16.849005105290075,0.23137158223817877,-3
185,1630276920,2021,1,-1.00315655086036,1.5,-1.50473482629054,15.344270278999534,1.7361064085287197,-1
186,1630398900,2021,0,-0.3836724475443918,1.0,-0.3836724475443918,14.960597831455143,2.1197788560731112,-4
187,1630449900,2021,1,0.14729159535001216,1.5,0.22093739302501825,15.181535224480161,1.8988414630480932,-2
188,1630521000,2021,0,0.1308368239851335,1.0,0.1308368239851335,15.312372048465294,1.7680046390629602,-4
189,1630549320,2021,1,0.14790880612319282,1.5,0.22186320918478925,15.534235257650083,1.5461414298781708,-2
190,1630591320,2021,1,-0.47942816288688395,1.5,-0.7191422443303259,14.815093013319757,2.265283674208497,-3
191,1630632840,2021,0,-1.0025555087009717,1.0,-1.0025555087009717,13.812537504618785,3.2678391829094693,-1
192,1630714680,2021,0,-0.35587159600617835,1.0,-0.35587159600617835,13.456665908612607,3.6237107789156475,-4
193,1630857120,2021,-1,1.7245774124611937,0.75,1.2934330593458951,14.750098967958502,2.330277719569752,-4
194,1630919280,2021,0,-0.26804867852051667,1.0,-0.26804867852051667,14.482050289437986,2.5983263980902684,-3
195,1630935780,2021,-1,-0.640195039294348,0.75,-0.48014627947076094,14.001904009967225,3.078472677561029,-3
196,1631002560,2021,0,2.520288833434855,1.0,2.520288833434855,16.52219284340208,0.5581838441261731,-4
197,1631152860,2021,-1,0.14805676834452539,0.75,0.11104257625839403,16.633235419660476,0.44714126786777797,-2
198,1631315160,2021,1,-0.6158179999085296,1.5,-0.9237269998627944,15.709508419797682,1.3708682677305717,-3
199,1631386620,2021,1,0.9990017112460343,1.5,1.4985025668690515,17.208010986666736,0.0,-4
200,1631482380,2021,0,-1.0028181302779162,1.0,-1.0028181302779162,16.20519285638882,1.002818130277916,-1
201,1631683980,2021,1,0.7224685978871591,1.5,1.0837028968307387,17.28889575321956,0.0,-3
202,1631754240,2021,0,0.12490462410404976,1.0,0.12490462410404976,17.41380037732361,0.0,-3
203,1632059280,2021,0,0.031995395571330555,1.0,0.031995395571330555,17.44579577289494,0.0,-3
204,1632143160,2021,0,0.24595329970281718,1.0,0.24595329970281718,17.691749072597755,0.0,-3
205,1632185520,2021,0,0.5478116957610719,1.0,0.5478116957610719,18.239560768358828,0.0,-4
206,1632368460,2021,0,-0.025887296587925844,1.0,-0.025887296587925844,18.213673471770903,0.02588729658792488,-4
207,1632422160,2021,0,0.06703016175277957,1.0,0.06703016175277957,18.280703633523682,0.0,-4
208,1632472800,2021,0,-1.0021792479020897,1.0,-1.0021792479020897,17.278524385621594,1.0021792479020881,-1
209,1632524940,2021,0,-0.149985547014061,1.0,-0.149985547014061,17.128538838607533,1.1521647949161498,-4
210,1632561060,2021,0,-0.10262285798207081,1.0,-0.10262285798207081,17.025915980625463,1.2547876528982194,-3
211,1632783720,2021,1,0.61933968984566,1.5,0.92900953476849,17.954925515393953,0.3257781181297297,-4
212,1632818580,2021,1,0.25769875363792816,1.5,0.38654813045689224,18.341473645850844,0.0,-4
213,1632874740,2021,-1,-1.0022278327201655,0.75,-0.7516708745401242,17.58980277131072,0.7516708745401246,-1
214,1633254120,2021,1,0.7509241259964544,1.5,1.1263861889946816,18.716188960305402,0.0,-3
215,1633285260,2021,-1,1.4712312552930649,0.75,1.1034234414697988,19.819612401775203,0.0,-4
216,1633339200,2021,0,-1.0034763089543726,1.0,-1.0034763089543726,18.81613609282083,1.0034763089543723,-1
217,1633424040,2021,1,0.14641015579023214,1.5,0.21961523368534822,19.03575132650618,0.7838610752690229,-2
218,1633518120,2021,0,-1.0017673739193054,1.0,-1.0017673739193054,18.033983952586873,1.78562844918833,-1
219,1633569240,2021,1,0.0876428500805906,1.5,0.1314642751208859,18.16544822770776,1.6541641740674429,-3
220,1633686960,2021,1,-0.5691943613043455,1.5,-0.8537915419565183,17.31165668575124,2.507955716023961,-3
221,1633835700,2021,0,-0.363964689975063,1.0,-0.363964689975063,16.94769199577618,2.871920405999024,-3
222,1633999560,2021,0,-0.5636903878187955,1.0,-0.5636903878187955,16.384001607957384,3.435610793817819,-3
223,1634106720,2021,0,-1.0042089534347607,1.0,-1.0042089534347607,15.379792654522623,4.43981974725258,-1
224,1634118600,2021,0,-0.45688894828762644,1.0,-0.45688894828762644,14.922903706234996,4.896708695540207,-3
225,1634203020,2021,0,0.14725058998973056,1.0,0.14725058998973056,15.070154296224727,4.749458105550476,-2
226,1634264340,2021,0,-1.002824838917925,1.0,-1.002824838917925,14.067329457306801,5.752282944468401,-1
227,1634267640,2021,1,0.14807773966773066,1.5,0.222116609501596,14.289446066808397,5.530166334966806,-2
228,1634379060,2021,0,0.6757003688602844,1.0,0.6757003688602844,14.96514643566868,4.854465966106522,-4
229,1634452560,2021,-1,-0.4653573764366325,0.75,-0.34901803232747436,14.616128403341206,5.203483998433997,-3
230,1634501760,2021,0,0.14630797658094355,1.0,0.14630797658094355,14.76243637992215,5.057176021853053,-2
231,1634618400,2021,1,-0.409290975393978,1.5,-0.613936463090967,14.148499916831183,5.67111248494402,-3
232,1634731380,2021,0,-1.0039360972745253,1.0,-1.0039360972745253,13.144563819556657,6.675048582218546,-1
233,1634740200,2021,-1,-0.21345957988262718,0.75,-0.16009468491197038,12.984469134644687,6.8351432671305155,-3
234,1634783460,2021,-1,-0.7248847022917387,0.75,-0.543663526718804,12.440805607925883,7.37880679384932,-4
235,1634891340,2021,0,-0.9191235018424423,1.0,-0.9191235018424423,11.521682106083441,8.297930295691762,-3
236,1634916780,2021,0,0.19120761692240798,1.0,0.19120761692240798,11.71288972300585,8.106722678769353,-4
237,1634994060,2021,0,-0.21278222289513493,1.0,-0.21278222289513493,11.500107500110715,8.319504901664487,-3
238,1635042840,2021,-1,0.4355422813737473,0.75,0.32665671103031046,11.826764211141025,7.992848190634177,-4
239,1635078120,2021,-1,0.14726864240260604,0.75,0.11045148180195452,11.93721569294298,7.882396708832223,-2
240,1635149820,2021,1,0.1466178655585668,1.5,0.21992679833785017,12.15714249128083,7.662469910494373,-2
241,1635281400,2021,0,2.0290717942488548,1.0,2.0290717942488548,14.186214285529685,5.633398116245518,-2
242,1635578340,2021,0,0.1464963864159946,1.0,0.1464963864159946,14.33271067194568,5.486901729829523,-2
243,1635647760,2021,1,-0.6182597084453604,1.5,-0.9273895626680406,13.40532110927764,6.414291292497563,-3
244,1635661320,2021,0,0.6843916871462384,1.0,0.6843916871462384,14.089712796423878,5.729899605351324,-4
245,1635793260,2021,0,-0.16328678322268583,1.0,-0.16328678322268583,13.926426013201192,5.89318638857401,-4
246,1635951060,2021,0,0.1476034681919365,1.0,0.1476034681919365,14.07402948139313,5.745582920382073,-2
247,1636042260,2021,0,0.10693480851652301,1.0,0.10693480851652301,14.180964289909653,5.63864811186555,-4
248,1636334760,2021,1,0.5883241605868406,1.5,0.8824862408802608,15.063450530789915,4.756161870985288,-4
249,1636459680,2021,1,0.26269043405301934,1.5,0.394035651079529,15.457486181869443,4.362126219905759,-3
250,1636479180,2021,0,-0.30388422055604625,1.0,-0.30388422055604625,15.153601961313397,4.666010440461806,-4
251,1636554060,2021,1,-1.0020390872784537,1.5,-1.5030586309176805,13.650543330395717,6.169069071379486,-1
252,1636580100,2021,0,0.2231822664735037,1.0,0.2231822664735037,13.873725596869221,5.945886804905982,-4
253,1636917720,2021,0,-0.2728784955696643,1.0,-0.2728784955696643,13.600847101299557,6.218765300475646,-3
254,1636970580,2021,1,-0.37436785145990614,1.5,-0.5615517771898593,13.039295324109698,6.780317077665504,-3
255,1636993680,2021,0,0.14736466650986127,1.0,0.14736466650986127,13.18665999061956,6.632952411155642,-2
256,1637040600,2021,1,0.9161459225510652,1.5,1.3742188838265978,14.560878874446159,5.258733527329044,-3
