split,model,n_total,n_top,top_tail_hit,top_mean_chosen_ret,top_ci_lo,top_ci_hi,all_tail_hit,all_mean_chosen_ret,top_cont_share
OOS_2026,CORE,174,24,0.375,0.009664934633925185,-0.006524547814357043,0.027538808147025053,0.16091954022988506,-0.0024442976092293968,0.125
OOS_2026,DROP__impulse_dir,174,24,0.375,0.009664934633925185,-0.00742042015430642,0.02796535337864163,0.16091954022988506,-0.0024442976092293968,0.125
OOS_2026,DROP__btc_z15,174,25,0.4,0.011497644255225939,-0.004075719461184633,0.02717108476411748,0.1724137931034483,-0.0021675001464898456,0.12
OOS_2026,DROP__btc_z60,174,23,0.391304347826087,0.01000276795361383,-0.007892055884321071,0.028343096349469705,0.1724137931034483,-0.0018292624801789057,0.08695652173913043
OOS_2026,DROP__btc_z4h,174,23,0.43478260869565216,0.004798099905236236,-0.01522199317174054,0.024923091107171096,0.15517241379310345,-0.0029026573472202073,0.13043478260869565
OOS_2026,DROP__btc_z24h,174,21,0.38095238095238093,0.006784438327174426,-0.006316768282897868,0.019276594345702048,0.16091954022988506,-0.0024442976092293968,0.14285714285714285
OOS_2026,DROP__btc_vol_z,174,28,0.25,0.006277371079754699,-0.006551850439102408,0.020095973568444152,0.1781609195402299,-0.0005082361188811645,0.10714285714285714
OOS_2026,DROP__btc_range_z,174,28,0.32142857142857145,0.007328886357766482,-0.006728613527110257,0.02272928805233882,0.15517241379310345,-0.003045925422359023,0.14285714285714285
OOS_2026,DROP__btc_corr7d_lag,174,32,0.28125,0.0001970513978750664,-0.014401408157298862,0.015061882751031439,0.1724137931034483,-0.0007099145938432854,0.09375
OOS_2026,DROP__hour_sin,174,22,0.2727272727272727,0.009895756955066221,-0.005967553577502581,0.02659350851127248,0.15517241379310345,-0.0026522073098912903,0.22727272727272727
OOS_2026,DROP__hour_cos,174,25,0.32,0.006387092157106227,-0.010325222424861847,0.022988735256947678,0.16666666666666666,-0.002198034480524351,0.16
OOS_2026,CORE_PLUS__IMPULSE_PATH,174,24,0.2916666666666667,0.008475148710749758,-0.0069365586491363165,0.02441288046327338,0.15517241379310345,-0.0026345440823945777,0.25
OOS_2026,CORE_PLUS__PRE_STATE,174,50,0.24,-0.0021927462021422085,-0.012996668186503416,0.008116713283077795,0.15517241379310345,-0.001610620865016462,0.04
OOS_2026,CORE_PLUS__VOL_REGIME,174,31,0.25806451612903225,-0.003449735048294976,-0.01968623509886636,0.012962611886154506,0.16091954022988506,-0.0020935455776291577,0.0967741935483871
OOS_2026,CORE_PLUS__BREAK_ACCEPTANCE,174,26,0.34615384615384615,0.00732706694431664,-0.009185485095547117,0.02544993754788617,0.15517241379310345,-0.002645702419924237,0.15384615384615385
OOS_2026,CORE_PLUS__TREND_REGIME,174,30,0.26666666666666666,-0.0008504402801557176,-0.012242130437990365,0.0103317296227037,0.16091954022988506,-0.0025195777620080928,0.1
OOS_2026,CORE_PLUS__CALENDAR,174,29,0.3448275862068966,0.012415028115044599,-0.0003876653864677238,0.025531595302519885,0.1781609195402299,-0.0016600372486758736,0.2413793103448276
