split,model,side,n,auc,brier,logloss
BRIDGE_2025,DROP__btc_range_z,REV,301,0.527524204702628,0.16432659143480646,0.5118035617685232
BRIDGE_2025,DROP__btc_corr7d_lag,CONT,301,0.47878198898607066,0.1470602539052091,0.4733210777624102
BRIDGE_2025,DROP__btc_corr7d_lag,REV,301,0.5168741355463347,0.16498408041424006,0.5136406118120341
BRIDGE_2025,DROP__hour_sin,CONT,301,0.49060576611597023,0.14717860552859735,0.4738569749798496
BRIDGE_2025,DROP__hour_sin,REV,301,0.5229598893499309,0.16440740876222287,0.5118237712985698
BRIDGE_2025,DROP__hour_cos,CONT,301,0.488581146744412,0.14752861040455537,0.47454249410889987
BRIDGE_2025,DROP__hour_cos,REV,301,0.5233056708160443,0.1644587054352289,0.51230275217276
BRIDGE_2025,CORE_PLUS__IMPULSE_PATH,CONT,301,0.48517978620019436,0.14921463786937347,0.478313369782232
BRIDGE_2025,CORE_PLUS__IMPULSE_PATH,REV,301,0.5335408022130014,0.1641038402735176,0.5114636548558276
BRIDGE_2025,CORE_PLUS__PRE_STATE,CONT,301,0.4867184969225785,0.14868419916777526,0.47636631176786703
BRIDGE_2025,CORE_PLUS__PRE_STATE,REV,301,0.509197786998617,0.16626355245860855,0.517150318869739
BRIDGE_2025,CORE_PLUS__VOL_REGIME,CONT,301,0.49489795918367346,0.1475734950345813,0.4742052916588683
BRIDGE_2025,CORE_PLUS__VOL_REGIME,REV,301,0.5228907330567081,0.16444017594263452,0.5117716386629959
BRIDGE_2025,CORE_PLUS__BREAK_ACCEPTANCE,CONT,301,0.4944120505344995,0.14767441797309167,0.47485827737837133
BRIDGE_2025,CORE_PLUS__BREAK_ACCEPTANCE,REV,301,0.5374135546334717,0.16325571123491142,0.5097214813210038
BRIDGE_2025,CORE_PLUS__TREND_REGIME,CONT,301,0.47975380628441855,0.14905594154451782,0.47763088811153487
BRIDGE_2025,CORE_PLUS__TREND_REGIME,REV,301,0.48395573997233754,0.16653983819849905,0.5177216794367893
BRIDGE_2025,CORE_PLUS__CALENDAR,CONT,301,0.4936831875607386,0.14844609680825507,0.4768185599282457
BRIDGE_2025,CORE_PLUS__CALENDAR,REV,301,0.570331950207469,0.16209275406063275,0.5053949494708907
OOS_2026,CORE,CONT,174,0.3489840205168673,0.1785252037219983,0.5507403407542846
OOS_2026,CORE,REV,174,0.6453703703703704,0.1461804642688188,0.4703682119043366
OOS_2026,DROP__impulse_dir,CONT,174,0.3483921878082462,0.17865634481888104,0.5512771340104018
OOS_2026,DROP__impulse_dir,REV,174,0.6451388888888889,0.1463413304184503,0.47077261231851375
OOS_2026,DROP__btc_z15,CONT,174,0.3805484316433221,0.17627397929966446,0.5442025133835593
OOS_2026,DROP__btc_z15,REV,174,0.6659722222222223,0.14495287420876468,0.46729486860021924
OOS_2026,DROP__btc_z60,CONT,174,0.3543105148944565,0.17739637904814418,0.547463775723765
OOS_2026,DROP__btc_z60,REV,174,0.6446759259259258,0.14629333649636814,0.47065439428140676
OOS_2026,DROP__btc_z4h,CONT,174,0.35194318405997244,0.17832701782507476,0.5500330265357836
OOS_2026,DROP__btc_z4h,REV,174,0.6407407407407408,0.14656664211655143,0.4714366135194537
OOS_2026,DROP__btc_z24h,CONT,174,0.3219569934898402,0.18000308730496564,0.5551410127550751
OOS_2026,DROP__btc_z24h,REV,174,0.6428240740740742,0.1466920357374055,0.4715497638638203
OOS_2026,DROP__btc_vol_z,CONT,174,0.36062339711974745,0.17601943910084694,0.5420592217750567
OOS_2026,DROP__btc_vol_z,REV,174,0.6435185185185185,0.1459781664263957,0.4685892003619318
OOS_2026,DROP__btc_range_z,CONT,174,0.3483921878082462,0.17871033897682695,0.5508306146600981
OOS_2026,DROP__btc_range_z,REV,174,0.6439814814814815,0.14592638905323715,0.46925148741373207
OOS_2026,DROP__btc_corr7d_lag,CONT,174,0.40481357269678436,0.1741908007896192,0.5361991796532695
OOS_2026,DROP__btc_corr7d_lag,REV,174,0.6421296296296296,0.14694975834936852,0.4724249933489633
OOS_2026,DROP__hour_sin,CONT,174,0.3424738607220359,0.17886757732353048,0.551555144664678
OOS_2026,DROP__hour_sin,REV,174,0.6337962962962963,0.14660513740276532,0.4715987127328072
OOS_2026,DROP__hour_cos,CONT,174,0.3578615111461827,0.1780879668143726,0.5493892296205226
OOS_2026,DROP__hour_cos,REV,174,0.65,0.14604419907305796,0.47006396453645677
OOS_2026,CORE_PLUS__IMPULSE_PATH,CONT,174,0.34444663641743933,0.18113268118056614,0.5594992017118329
OOS_2026,CORE_PLUS__IMPULSE_PATH,REV,174,0.6270833333333333,0.14757455515451828,0.47367755204538997
OOS_2026,CORE_PLUS__PRE_STATE,CONT,174,0.3527322943381337,0.17962717397406686,0.5538071052921959
OOS_2026,CORE_PLUS__PRE_STATE,REV,174,0.5803240740740742,0.15378581165118643,0.48777980432302037
OOS_2026,CORE_PLUS__VOL_REGIME,CONT,174,0.3631880055237719,0.1779313686479048,0.5493799540852989
OOS_2026,CORE_PLUS__VOL_REGIME,REV,174,0.6125,0.14848162653606656,0.47463323360170956
OOS_2026,CORE_PLUS__BREAK_ACCEPTANCE,CONT,174,0.3598342868415861,0.17777609116413917,0.5484362280410529
OOS_2026,CORE_PLUS__BREAK_ACCEPTANCE,REV,174,0.6291666666666667,0.14778537292506758,0.474177187750216
OOS_2026,CORE_PLUS__TREND_REGIME,CONT,174,0.36239889524561053,0.17852522397773027,0.5510081077056636
OOS_2026,CORE_PLUS__TREND_REGIME,REV,174,0.575925925925926,0.15111771936559898,0.48267119166888767
OOS_2026,CORE_PLUS__CALENDAR,CONT,174,0.39277964095482343,0.17924844442998222,0.5540302515410298
OOS_2026,CORE_PLUS__CALENDAR,REV,174,0.6615740740740741,0.1449110187744438,0.4661998694603886
