impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side,source_row,filled,fill_time,signal_net_R,gross_R,cost_R,outcome,stop_frac,episode_7d,prior_virtual_fills,vf1_mature,real_R,real_fill
-1.0,-0.3890058919960922,0.6442368291641185,-3.6159981078536085,-1.3689990692822442,0.5251977476059259,-0.49890939542638735,0.09639703585875217,0.8314696123025451,0.5555702330196024,50062,2022-06-07 03:45:00+00:00,DEV_2021_2024,31373.1,31381.03,29218.96,29563.62,30026.72,H4_DISPLACEMENT_EXTREME,0.015664866367808283,-0.015664866367808283,0.015664866367808283,0.30968597255762736,0.44355911650360547,0.44355911650360547,REV,84,False,,0.0,0.0,0.0,NO_FILL,,9,0,False,0.0,False
-1.0,1.0043100115365966,-1.0048753553080418,-3.349138137785838,-1.8253551743034795,1.1866187048911112,1.569648668969612,-0.01687645165790577,0.8968727415326884,-0.44228869021900113,51134,2022-06-18 07:45:00+00:00,DEV_2021_2024,20459.65,20537.34,19066.8,19258.58,18306.93,H4_DISPLACEMENT_EXTREME,-0.04941433895957026,0.04941433895957026,-0.04941433895957026,0.22309504892846177,0.4361147262728249,0.4361147262728249,REV,88,False,,0.0,0.0,0.0,NO_FILL,,10,0,False,0.0,False
-1.0,-0.5184087493053993,-0.8519839004083429,-2.524513716698478,-2.5510060259786633,1.086766303656147,0.27912596831270925,-0.026626692696824245,-0.8968727415326885,0.442288690219001,51182,2022-06-18 19:45:00+00:00,DEV_2021_2024,18953.76,19101.28,18031.13,18067.6,20124.08,H4_DISPLACEMENT_EXTREME,0.11382080972524866,-0.11382080972524866,0.11382080972524866,0.22534647409249653,0.35290538092601,0.35290538092601,REV,89,False,,0.0,0.0,0.0,NO_FILL,,10,0,False,0.0,False
-1.0,0.6818215386125257,-0.6528914335680268,-2.9668254730248056,-0.7450403994192442,1.3709599336981941,1.0367108561781324,0.07869879206663065,-0.8314696123025452,-0.5555702330196022,58174,2022-08-30 15:45:00+00:00,DEV_2021_2024,20403.8,20450.0,19650.0,19756.24,20140.63,H4_DISPLACEMENT_EXTREME,0.019456637497823337,-0.019456637497823337,0.019456637497823337,0.2451478187910094,0.3405547497833006,0.3405547497833006,REV,98,False,,0.0,0.0,0.0,NO_FILL,,11,0,False,0.0,False
-1.0,-0.6046795818841235,-1.250536230145259,-4.72389943339894,-1.5652398039296105,1.1841690320291207,0.006797713859736892,0.04779470014690404,-0.8968727415326885,0.442288690219001,58862,2022-09-06 19:45:00+00:00,DEV_2021_2024,19818.37,19855.0,18733.97,18824.41,18992.38,H4_DISPLACEMENT_EXTREME,0.0089728360536947,-0.0089728360536947,0.0089728360536947,0.24947091007363925,0.3705183926093504,0.3705183926093504,REV,100,False,,0.0,0.0,0.0,NO_FILL,,12,0,False,0.0,False
-1.0,-1.2278454662598066,-1.4335925948494572,-6.613541621001123,-1.8706091015497726,1.9880998538196517,1.1809294551830138,0.10387732317770897,-0.8314696123025452,-0.5555702330196022,59518,2022-09-13 15:45:00+00:00,DEV_2021_2024,22522.74,22799.0,20751.0,20829.77,20178.79,H4_DISPLACEMENT_EXTREME,-0.03125238540800013,0.03125238540800013,-0.03125238540800013,0.3178824853176345,0.3846807576623573,0.3846807576623573,REV,103,False,,0.0,0.0,0.0,NO_FILL,,12,0,False,0.0,False
-1.0,-0.03245072168881033,0.5180098660941037,-3.972123062978878,-2.3515947485819098,-0.8045848000087701,-0.6616785022468591,0.15281502634483224,0.06540312923014312,-0.9978589232386035,68526,2022-12-16 11:45:00+00:00,DEV_2021_2024,17503.36,17519.64,16918.97,17027.09,16708.22,H4_DISPLACEMENT_EXTREME,-0.018727216453310547,0.018727216453310547,-0.018727216453310547,0.24322829658729858,0.5464130654560029,0.5464130654560029,REV,118,False,,0.0,0.0,0.0,NO_FILL,,13,0,False,0.0,False
-1.0,-1.8278674107105486,-1.6025046099769453,-2.7594557952176557,-1.1087305410496484,1.5579614764452592,1.4502128270431627,-0.029273409642688788,0.06540312923014312,-0.9978589232386035,72846,2023-01-30 11:45:00+00:00,DEV_2021_2024,23642.81,23676.98,23017.0,23077.47,22865.43,H4_DISPLACEMENT_EXTREME,-0.009188182240081,0.009188182240081,-0.009188182240081,0.21660186508108015,0.33090049363992136,0.33090049363992136,REV,126,False,,0.0,0.0,0.0,NO_FILL,,14,0,False,0.0,False
-1.0,-4.728712349352115,-4.202725303766193,-5.823374947428928,-1.3862640333893543,2.3900591907302826,3.1303488349944586,0.09452691380516988,-0.0654031292301428,0.9978589232386035,74526,2023-02-16 23:45:00+00:00,DEV_2021_2024,24872.58,24879.81,23505.25,23517.72,24569.97,H4_DISPLACEMENT_EXTREME,0.04474285772600406,-0.04474285772600406,0.04474285772600406,0.30560351713231365,0.3265840569807041,0.3265840569807041,REV,130,False,,0.0,0.0,0.0,NO_FILL,,15,0,False,0.0,False
-1.0,-0.058796841264963755,-4.163880795408846,-2.636664396668883,-0.6790992050200148,1.7530250057555092,1.068001255618468,-0.012254786820162584,0.06540312923014312,-0.9978589232386035,75150,2023-02-23 11:45:00+00:00,DEV_2021_2024,24377.12,24494.28,23647.46,23780.2,23883.72,H4_DISPLACEMENT_EXTREME,0.004352779054516365,-0.004352779054516365,0.004352779054516365,0.1702790495322503,0.3205506746264526,0.3205506746264526,REV,131,False,,0.0,0.0,0.0,NO_FILL,,15,0,False,0.0,False
-1.0,-0.6434096293178933,-0.24754825737248615,-5.027162899019088,-2.006885715341752,0.3154974475054365,0.18204922418011746,0.14185645776269692,0.8314696123025451,0.5555702330196024,75886,2023-03-03 03:45:00+00:00,DEV_2021_2024,23465.32,23476.95,21971.13,22319.69,22346.66,H4_DISPLACEMENT_EXTREME,0.0012083501159738663,-0.0012083501159738663,0.0012083501159738663,0.3103520487856206,0.507264027961278,0.507264027961278,REV,132,False,,0.0,0.0,0.0,NO_FILL,,16,0,False,0.0,False
-1.0,0.3721268059649024,0.36544986558838877,-2.8465128195627982,-1.90188629404662,0.15788220312796178,-0.5405387378870415,0.08077313322558127,0.06540312923014312,-0.9978589232386035,80425,2023-04-19 11:45:00+00:00,DEV_2021_2024,30077.76,30077.76,29000.0,29310.65,28607.13,H4_DISPLACEMENT_EXTREME,-0.02400186416946193,0.02400186416946193,-0.02400186416946193,0.24425732050501625,0.4518883822792348,0.4518883822792348,REV,139,False,,0.0,0.0,0.0,NO_FILL,,17,0,False,0.0,False
-1.0,-1.1120288699939223,-3.8063988089135243,-3.0078249362690466,-1.3612111502041495,0.8765736108932412,0.5348662557559103,0.029551666649285248,-0.8968727415326885,0.442288690219001,80649,2023-04-21 19:45:00+00:00,DEV_2021_2024,28040.7,28090.54,27184.54,27279.91,27622.61,H4_DISPLACEMENT_EXTREME,0.012562729335518164,-0.012562729335518164,0.012562729335518164,0.1715430441960571,0.34321873433069744,0.34321873433069744,REV,140,False,,0.0,0.0,0.0,NO_FILL,,17,0,False,0.0,False
-1.0,-1.2626621819463175,1.2266617200775838,-3.315384370870014,-1.5807976782557076,0.9823928541116077,0.32258569498653994,0.0400343549813635,0.8968727415326884,-0.44228869021900113,85401,2023-06-10 07:45:00+00:00,DEV_2021_2024,26323.07,26349.17,25456.41,25651.09,25741.33,H4_DISPLACEMENT_EXTREME,0.00351837037660796,-0.00351837037660796,0.00351837037660796,0.3158785115495367,0.41625738551792046,0.41625738551792046,REV,147,False,,0.0,0.0,0.0,NO_FILL,,18,0,False,0.0,False
-1.0,0.45821997311978313,1.0406047035583195,-3.693917743499869,-1.586586649133068,0.1364197828886885,-0.364950505534244,-0.0040282934020196386,-0.0654031292301428,0.9978589232386035,85849,2023-06-14 23:45:00+00:00,DEV_2021_2024,25874.58,25879.69,24820.56,25128.6,25598.49,H4_DISPLACEMENT_EXTREME,0.018699410233757652,-0.018699410233757652,0.018699410233757652,0.2302544301725,0.4422523207254506,0.4422523207254506,REV,148,False,,0.0,0.0,0.0,NO_FILL,,18,0,False,0.0,False
-1.0,0.216438148716105,0.13311552299369528,-4.471060505671149,-2.592955671307084,0.8312829132080026,-0.0929309435338446,0.022404909287504233,-0.8968727415326885,0.442288690219001,88713,2023-07-14 19:45:00+00:00,DEV_2021_2024,31240.49,31275.5,29900.0,30115.17,30326.47,H4_DISPLACEMENT_EXTREME,0.007016062995472749,-0.007016062995472749,0.007016062995472749,0.2577671397675881,0.4178339629865868,0.4178339629865868,REV,152,False,,0.0,0.0,0.0,NO_FILL,,19,0,False,0.0,False
