impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
1.0,-0.6255521593529764,-0.8266167457312806,0.4334970254894128,0.0036978953102159632,-0.13884288632247152,-0.6063379871377952,0.004835036063972363,0.06540312923014312,-0.9978589232386035,161353,2025-08-09 11:45:00+00:00,BRIDGE_2025,116756.0,117944.05,116756.0,117110.0,118330.58,H4_7D_PIVOT_SWEEP_RECLAIM,0.010422508752454984,0.010422508752454984,-0.010422508752454984,0.14170038824548087,0.3243118959142401,0.3243118959142401,REV
1.0,0.8568776164372018,-0.7113796467887262,-0.9937179668583936,0.5374808336131799,0.9675362632653284,0.7415752891066654,0.037130929361924976,0.8968727415326884,-0.44228869021900113,161433,2025-08-10 07:45:00+00:00,BRIDGE_2025,118500.0,118741.77,117466.34,117808.3,121537.15,H4_7D_PIVOT_SWEEP_RECLAIM,0.031651932134826755,0.031651932134826755,-0.031651932134826755,0.1947273749204372,0.3296749807494306,0.3296749807494306,REV
-1.0,-0.9614988935835496,-0.09969398567129856,-0.13791011916135876,-1.7432106919414492,0.6310782767016028,-0.014422504495639341,-0.09065172281908788,0.8968727415326884,-0.44228869021900113,162201,2025-08-18 07:45:00+00:00,BRIDGE_2025,115319.0,115712.49,114878.71,115205.98,114978.14,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0019777617465898123,0.0019777617465898123,-0.0019777617465898123,0.19910355185844025,0.36269964297528473,0.36269964297528473,REV
-1.0,-0.15802112565691215,-0.29917927127530225,-0.34142687960577645,-2.065452724644209,0.14638785604461657,-0.622867288664388,-0.09487800003303112,0.06540312923014312,-0.9978589232386035,162217,2025-08-18 11:45:00+00:00,BRIDGE_2025,115205.99,115402.51,114640.14,114947.27,115508.71,H4_7D_PIVOT_SWEEP_RECLAIM,0.004884326526415128,-0.004884326526415128,0.004884326526415128,0.16056813700692746,0.38085369811068,0.38085369811068,REV
-1.0,0.9705433894270101,-0.10410480403275438,0.25750249727371455,-0.09503528338829284,0.12948975843923907,-0.26813264435162704,-0.07985250471793556,0.8968727415326884,-0.44228869021900113,162297,2025-08-19 07:45:00+00:00,BRIDGE_2025,114810.01,115483.24,114366.0,114978.14,113490.13,H4_7D_PIVOT_SWEEP_RECLAIM,-0.012941763282849683,0.012941763282849683,-0.012941763282849683,0.1518047496165436,0.3640688889304938,0.3640688889304938,REV
-1.0,0.2553543215784647,0.2636708630681063,0.9509538422214071,-0.7088387662032171,-0.7460287713119718,-0.6822374311768054,-0.06617087945573492,0.8314696123025451,0.5555702330196024,162377,2025-08-20 03:45:00+00:00,BRIDGE_2025,112872.95,113636.13,112566.01,113525.91,113954.62,H4_7D_PIVOT_SWEEP_RECLAIM,0.003776406969687063,-0.003776406969687063,0.003776406969687063,0.14651646724949893,0.39826962370747193,0.39826962370747193,REV
-1.0,0.08623318789065339,0.4860099665949328,-0.25123498702372543,-1.6329246992441588,-0.6353383789322655,-0.770218974504283,-0.020861655948026817,0.8314696123025451,0.5555702330196024,162953,2025-08-26 03:45:00+00:00,BRIDGE_2025,110111.98,110111.98,108666.66,109879.56,111418.15,H4_7D_PIVOT_SWEEP_RECLAIM,0.014002421014206679,-0.014002421014206679,0.014002421014206679,0.18422716707895653,0.4407196254020044,0.4407196254020044,REV
-1.0,-1.6866290215666382,0.20605638403106993,-0.1650104909488603,-1.9045629008788036,0.1950402860981628,1.1594555403161744,0.025962240387220423,-0.8968727415326885,0.442288690219001,163305,2025-08-29 19:45:00+00:00,BRIDGE_2025,108386.23,108832.0,107934.24,108212.01,108828.33,H4_7D_PIVOT_SWEEP_RECLAIM,0.005695486111015002,-0.005695486111015002,0.005695486111015002,0.21452161968556185,0.3446940178834467,0.3446940178834467,REV
-1.0,-0.8363216400852549,0.028156137694846872,0.2803353658147711,-2.1354028226507467,-0.5690663341160727,-0.1512336165898322,0.027010340015915856,-0.0654031292301428,0.9978589232386035,163321,2025-08-29 23:45:00+00:00,BRIDGE_2025,108212.01,108549.99,107463.9,108377.4,108816.33,H4_7D_PIVOT_SWEEP_RECLAIM,0.004050014117334522,-0.004050014117334522,0.004050014117334522,0.1967369527516039,0.4055774630989842,0.4055774630989842,REV
-1.0,0.5152454315341783,1.7764205771066923,0.14853875071130973,-1.6129626084750421,0.8569254041438403,-0.7628263844392287,0.018343557734952637,0.8314696123025451,0.5555702330196024,163337,2025-08-30 03:45:00+00:00,BRIDGE_2025,108377.4,108436.21,107350.1,108436.2,109223.84,H4_7D_PIVOT_SWEEP_RECLAIM,0.007263533094710617,-0.007263533094710617,0.007263533094710617,0.30476798732318705,0.3568764673411547,0.3568764673411547,REV
