impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
1.0,0.3058541099923136,-0.2022806650118559,0.17832479794087075,0.9958676382648834,0.08831447364924176,-0.8091267922880194,0.09230961737895937,0.8968727415326884,-0.44228869021900113,125241,2024-07-29 07:45:00+00:00,DEV_2021_2024,69347.66,69888.0,69263.07,69528.01,66952.0,H4_7D_PIVOT_SWEEP_RECLAIM,-0.03704996015274986,-0.03704996015274986,0.03704996015274986,0.19144346652776345,0.33355775380883274,0.33355775380883274,REV
-1.0,0.2620677231938024,1.3058443912714826,0.5545154542999268,-1.7136618470967464,0.11489802441457017,-0.09895646790563911,0.023827218764724545,0.8314696123025451,0.5555702330196024,125705,2024-08-03 03:45:00+00:00,DEV_2021_2024,61498.34,61975.0,60505.0,61895.99,60735.0,H4_7D_PIVOT_SWEEP_RECLAIM,-0.018757111728885834,0.018757111728885834,-0.018757111728885834,0.25092180734553254,0.39585095523386366,0.39585095523386366,REV
-1.0,-0.9283540734304041,-0.1831272149704939,-2.920739641180669,-1.459269724145426,0.3830846753342082,0.05004829956110604,-0.06328502930041306,-0.0654031292301428,0.9978589232386035,128089,2024-08-27 23:45:00+00:00,DEV_2021_2024,62102.0,62102.01,58034.01,59415.0,59034.9,H4_7D_PIVOT_SWEEP_RECLAIM,-0.006397374400403888,0.006397374400403888,-0.006397374400403888,0.1964930558336911,0.38970286219793643,0.38970286219793643,REV
-1.0,0.9214280772864196,0.5724357671394731,0.5524453790322594,-0.2919001507503607,0.2242892589871046,0.0018686578341255322,-0.03507247142304289,0.8314696123025451,0.5555702330196024,128585,2024-09-02 03:45:00+00:00,DEV_2021_2024,57301.77,57767.14,57128.0,57742.01,59110.99,H4_7D_PIVOT_SWEEP_RECLAIM,0.023708738872917356,-0.023708738872917356,0.023708738872917356,0.19051704867377267,0.3573838410521172,0.3573838410521172,REV
1.0,-0.3665061784293898,0.9216811980800325,1.4356178112864881,1.0580654952035042,-0.8609648277226727,-0.5660301526058451,0.05835899333827431,0.8314696123025451,0.5555702330196024,129545,2024-09-12 03:45:00+00:00,DEV_2021_2024,57338.0,58470.01,57324.0,58232.72,57845.97,H4_7D_PIVOT_SWEEP_RECLAIM,-0.006641625766128478,-0.006641625766128478,0.006641625766128478,0.16444139637901728,0.3470124734692993,0.3470124734692993,REV
1.0,0.1656680718500267,-0.19570492568859518,-0.09502277961465608,0.6185381355676954,-0.1331836968779767,-0.7881974849450193,-0.013133037338592462,0.06540312923014312,-0.9978589232386035,131017,2024-09-27 11:45:00+00:00,DEV_2021_2024,65460.02,65986.0,65342.78,65437.35,65798.01,H4_7D_PIVOT_SWEEP_RECLAIM,0.005511377598362621,0.005511377598362621,-0.005511377598362621,0.13687094628816626,0.32597465182966284,0.32597465182966284,REV
1.0,0.17638875229972745,0.80806637982219,-0.2589535708508875,0.4561454787912566,-0.733411279871413,-0.8478814314361319,0.05617441861553381,0.8314696123025451,0.5555702330196024,133289,2024-10-21 03:45:00+00:00,DEV_2021_2024,69032.0,69519.52,68588.51,68939.99,67390.02,H4_7D_PIVOT_SWEEP_RECLAIM,-0.022483028720626574,-0.022483028720626574,0.022483028720626574,0.17486683724425142,0.38932208997739076,0.38932208997739076,REV
-1.0,-0.01648304010828846,0.2142729283839845,0.11978420490288888,-0.7872924111593269,-0.1902812276615268,-0.9457717630377791,0.05292406938861448,-0.0654031292301428,0.9978589232386035,136825,2024-11-26 23:45:00+00:00,DEV_2021_2024,91683.9,92364.0,90791.1,91965.16,95863.11,H4_7D_PIVOT_SWEEP_RECLAIM,0.04238507278190995,-0.04238507278190995,0.04238507278190995,0.21103380786588874,0.3604776674300868,0.3604776674300868,REV
-1.0,1.7985866041734544,0.5169666857154097,-1.8765270509186525,-1.0666893915563982,0.7605346192751594,1.392518294382582,-0.10461759258445223,-0.0654031292301428,0.9978589232386035,137689,2024-12-05 23:45:00+00:00,DEV_2021_2024,99028.01,99479.72,90500.0,96945.63,99740.84,H4_7D_PIVOT_SWEEP_RECLAIM,0.028832759145512643,-0.028832759145512643,0.028832759145512643,0.1774306205960131,0.37515765145557584,0.37515765145557584,REV
1.0,0.6494346549203817,-0.08705932570272998,-0.08504122407432992,-0.23756462362566916,-1.523816821892375,-0.5563849034956556,-0.046278361245563844,0.8968727415326884,-0.44228869021900113,138585,2024-12-15 07:45:00+00:00,DEV_2021_2024,101733.83,102850.0,101534.01,101732.09,104992.79,H4_7D_PIVOT_SWEEP_RECLAIM,0.03205183339888129,0.03205183339888129,-0.03205183339888129,0.1019426630456736,0.45234814587018063,0.45234814587018063,REV
1.0,0.14008033315303917,0.052506905253597684,0.4605299124104705,0.6421788354110148,-2.0344365775743105,-0.7562121223262877,-0.05194438028272698,-0.8968727415326885,0.442288690219001,138633,2024-12-15 19:45:00+00:00,DEV_2021_2024,102704.0,103490.0,102583.65,103252.95,106583.12,H4_7D_PIVOT_SWEEP_RECLAIM,0.03225244099539615,0.03225244099539615,-0.03225244099539615,0.07691993358215826,0.37928400820702957,0.37928400820702957,REV
1.0,0.06069537350688176,-0.3787435835037749,0.27822482166942847,0.4985783045236487,-0.5238467061022473,-0.8412027452545903,0.04499716439969715,0.8968727415326884,-0.44228869021900113,140697,2025-01-06 07:45:00+00:00,BRIDGE_2025,99037.57,99892.0,99037.57,99318.7,101664.81,H4_7D_PIVOT_SWEEP_RECLAIM,0.0236220369376563,0.0236220369376563,-0.0236220369376563,0.15301216512006577,0.36908305953814974,0.36908305953814974,REV
1.0,0.309659858553468,0.05310367789878413,-0.5103327907971984,1.1611512049782506,-0.5533168435363401,-0.5573993858435216,0.02041673944877451,0.8314696123025451,0.5555702330196024,140777,2025-01-07 03:45:00+00:00,BRIDGE_2025,102235.6,102724.38,101512.91,101708.08,96525.2,H4_7D_PIVOT_SWEEP_RECLAIM,-0.050958483243565,-0.050958483243565,0.050958483243565,0.14791210304008356,0.366617027568789,0.366617027568789,REV
-1.0,0.28353580360134767,0.011109462293851067,-1.2211369898007414,-0.8903969234823503,0.06994979238738727,0.16296835966895631,0.07191479983556917,-0.8968727415326885,0.442288690219001,140937,2025-01-08 19:45:00+00:00,BRIDGE_2025,95493.77,95555.25,92500.9,94243.89,91909.59,H4_7D_PIVOT_SWEEP_RECLAIM,-0.024768714449286855,0.024768714449286855,-0.024768714449286855,0.20525789702497516,0.36466172287902016,0.36466172287902016,REV
-1.0,1.5223527606535434,0.20926463865279973,0.6891913051750274,-1.030241023361643,-0.23994451561958052,0.3418980722379359,0.08312305956218687,-0.0654031292301428,0.9978589232386035,141049,2025-01-09 23:45:00+00:00,BRIDGE_2025,91909.59,92720.67,91203.67,92552.49,94726.11,H4_7D_PIVOT_SWEEP_RECLAIM,0.02348526765730452,-0.02348526765730452,0.02348526765730452,0.20454733679913045,0.38711658010929667,0.38711658010929667,REV
1.0,0.9433040778742461,0.9732953510055078,0.7700335053310375,1.1261393413665,-0.37389795922214564,-0.14278356830636005,-0.007191471779392447,0.8314696123025451,0.5555702330196024,141545,2025-01-15 03:45:00+00:00,BRIDGE_2025,96560.85,97554.63,96500.0,97317.12,99478.03,H4_7D_PIVOT_SWEEP_RECLAIM,0.022204828913967134,0.022204828913967134,-0.022204828913967134,0.15234424089051796,0.341803308675045,0.341803308675045,REV
1.0,0.2089828012907781,0.3983804890313961,0.025027726155480285,1.1213967715197555,-0.5253558453080058,-0.7176443773875182,-0.009068214005283596,0.8968727415326884,-0.44228869021900113,141561,2025-01-15 07:45:00+00:00,BRIDGE_2025,97317.12,97724.96,96750.0,97301.35,99799.99,H4_7D_PIVOT_SWEEP_RECLAIM,0.025679397048447905,0.025679397048447905,-0.025679397048447905,0.13972319557420873,0.3584761664241199,0.3584761664241199,REV
1.0,0.08679798965899035,-0.28342827439044194,-0.9246535403000415,0.9811172259430657,-0.08357545922666355,-0.7514921349205855,0.0036808282166352797,0.8314696123025451,0.5555702330196024,141641,2025-01-16 03:45:00+00:00,BRIDGE_2025,100497.35,100866.66,99170.0,99478.03,101051.73,H4_7D_PIVOT_SWEEP_RECLAIM,0.01581947131246264,0.01581947131246264,-0.01581947131246264,0.15965685896967471,0.34662817364967924,0.34662817364967924,REV
-1.0,-0.24836451132784987,2.0643305265836527,-0.9532126179549804,-1.419762380643741,1.149027552332894,0.9580551056965007,0.03255431271393699,-0.8968727415326885,0.442288690219001,143337,2025-02-02 19:45:00+00:00,BRIDGE_2025,99346.87,99361.97,96821.54,98273.16,101880.0,H4_7D_PIVOT_SWEEP_RECLAIM,0.036702082572486416,-0.036702082572486416,0.036702082572486416,0.29586568591700196,0.31381002984909107,0.31381002984909107,REV
