impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
-1.0,-1.5729012168999243,-3.08831997408587,-5.011287926341701,-4.0801337680910175,2.0163451223686506,1.6013494034529212,0.04033333494026879,0.06540312923014312,-0.9978589232386035,139081,2024-12-20 11:45:00+00:00,DEV_2021_2024,97832.52,97864.91,92612.1,92723.98,98262.08,H4_DISPLACEMENT_EXTREME,0.05972661443926208,-0.05972661443926208,0.05972661443926208
1.0,-0.7577776075449455,2.464217106242038,4.131499233828952,-1.5200956156566654,1.1849188573681382,1.091026495251736,0.02777505834009926,-0.8314696123025452,-0.5555702330196022,139097,2024-12-20 15:45:00+00:00,DEV_2021_2024,92723.99,97572.0,92232.54,96991.62,97527.97,H4_DISPLACEMENT_EXTREME,0.005529755505707001,0.005529755505707001,-0.005529755505707001
-1.0,-0.3690056938770014,-2.0745109973359313,-2.541918486512151,-0.8670734909168153,0.8441460111069282,0.12148018685211773,-0.00022193824346313363,-0.8314696123025452,-0.5555702330196022,139385,2024-12-23 15:45:00+00:00,DEV_2021_2024,95932.41,96423.0,93107.52,93250.37,98300.0,H4_DISPLACEMENT_EXTREME,0.05415120024175768,-0.05415120024175768,0.05415120024175768
1.0,0.5685078880002195,1.4383699546317374,3.5778444117514567,2.170964156895348,0.47621675419940224,0.37104620827050155,-0.006827863653199534,-0.8314696123025452,-0.5555702330196022,139481,2024-12-24 15:45:00+00:00,DEV_2021_2024,94398.6,98300.0,94075.1,98300.0,98519.98,H4_DISPLACEMENT_EXTREME,0.0022379452937888455,0.0022379452937888455,-0.0022379452937888455
1.0,0.665874348968615,2.6669774890409554,2.806672263202289,1.8727646749662323,1.8150383370012324,1.0089773341679997,0.07919232440541918,-0.8314696123025452,-0.5555702330196022,140729,2025-01-06 15:45:00+00:00,BRIDGE_2025,99259.99,102468.92,98711.94,102147.95,97952.26,H4_DISPLACEMENT_EXTREME,-0.04107463732752348,-0.04107463732752348,0.04107463732752348
-1.0,1.4898676773863815,-3.8786224032929275,-2.788565242082252,-1.865220212780791,2.3964704991517354,3.2802793682880065,0.05581000154342953,-0.8314696123025452,-0.5555702330196022,140825,2025-01-07 15:45:00+00:00,BRIDGE_2025,100830.86,100960.06,97153.5,97952.26,95493.77,H4_DISPLACEMENT_EXTREME,-0.025098859383132055,0.025098859383132055,-0.025098859383132055
-1.0,-0.6122046175919714,-1.6341940779793362,-2.7888370568084504,-1.4494333482382091,1.8830238585477173,0.9944216793423784,0.03757740464803063,0.06540312923014312,-0.9978589232386035,141385,2025-01-13 11:45:00+00:00,BRIDGE_2025,93590.24,93661.55,90833.12,90851.22,96548.04,H4_DISPLACEMENT_EXTREME,0.06270481973661779,-0.06270481973661779,0.06270481973661779
-1.0,0.46647912622895976,-4.075109176504732,-4.94917489621639,-1.5058773359282411,2.541117775006828,2.664910836387554,0.03052401997185809,-0.0654031292301428,0.9978589232386035,142009,2025-01-19 23:45:00+00:00,BRIDGE_2025,106200.0,106422.43,99651.6,101331.57,102260.01,H4_DISPLACEMENT_EXTREME,0.009162396279856155,-0.009162396279856155,0.009162396279856155
1.0,-2.9501898835268596,-0.6536316054653041,4.850207044819749,0.6972675282330235,2.1807437229556244,2.867533933733245,0.14463504034402622,0.8968727415326884,-0.44228869021900113,142041,2025-01-20 07:45:00+00:00,BRIDGE_2025,101891.94,109588.0,101535.28,107120.65,101989.05,H4_DISPLACEMENT_EXTREME,-0.047904862414482996,-0.047904862414482996,0.047904862414482996
-1.0,-5.409634809666598,-5.054268106950796,-2.8998069431875417,-0.09653288936934565,2.9652029070096027,5.887103155766581,0.143438942067538,-0.8314696123025452,-0.5555702330196022,142073,2025-01-20 15:45:00+00:00,BRIDGE_2025,108239.19,108700.01,104480.0,104957.99,103943.0,H4_DISPLACEMENT_EXTREME,-0.009670440525776147,0.009670440525776147,-0.009670440525776147
1.0,0.7180926716795226,0.06731049075149262,2.8631638131694768,0.3107942889904082,2.1775713614577317,1.1178638370830924,0.0066979724426368716,-0.8314696123025452,-0.5555702330196022,142361,2025-01-23 15:45:00+00:00,BRIDGE_2025,101944.5,106050.86,101281.62,105263.52,105859.98,H4_DISPLACEMENT_EXTREME,0.005666350507754103,0.005666350507754103,-0.005666350507754103
-1.0,-0.13284987249992491,-0.5451744223972419,-2.7550107240192516,-1.5141098087283298,0.9261947950095074,0.07130687471845545,0.015688028533301163,-0.8968727415326885,0.442288690219001,143145,2025-01-31 19:45:00+00:00,BRIDGE_2025,105464.0,105574.4,102122.0,102312.32,101669.6,H4_DISPLACEMENT_EXTREME,-0.006281844286381455,0.006281844286381455,-0.006281844286381455
-1.0,0.6402994680344608,0.8501548187732901,-3.282336974841704,-2.141459531196699,1.1485454010746643,0.3155842312859032,0.007105017150712507,0.8314696123025451,0.5555702330196024,143369,2025-02-03 03:45:00+00:00,BRIDGE_2025,97700.59,97782.79,91231.0,94038.74,100629.7,H4_DISPLACEMENT_EXTREME,0.07008759686831234,-0.07008759686831234,0.07008759686831234
1.0,0.6282432114226227,3.75172171910112,3.2666418659017706,-0.16824723450086998,2.201245030782105,1.578046356849429,0.044320258707467766,-0.8314696123025452,-0.5555702330196022,143417,2025-02-03 15:45:00+00:00,BRIDGE_2025,95107.89,99500.0,94131.14,98842.0,99347.19,H4_DISPLACEMENT_EXTREME,0.00511108638028368,0.00511108638028368,-0.00511108638028368
-1.0,-0.6566657304254766,-2.631254103603932,-2.938820567174875,-1.459145628933585,1.5222039219969254,0.7696073429460477,0.012234058914942076,-0.8968727415326885,0.442288690219001,145161,2025-02-21 19:45:00+00:00,BRIDGE_2025,98104.04,98757.0,95247.15,95285.11,96639.99,H4_DISPLACEMENT_EXTREME,0.014219220610649508,-0.014219220610649508,0.014219220610649508
-1.0,1.0720306283045795,-4.47553342722135,-3.1820479294180446,-3.257372778353694,2.5067220235875065,1.5752924734236033,0.047987110770513146,0.8968727415326884,-0.44228869021900113,145497,2025-02-25 07:45:00+00:00,BRIDGE_2025,92153.93,92327.88,88200.0,89320.01,88720.02,H4_DISPLACEMENT_EXTREME,-0.006717307801465622,0.006717307801465622,-0.006717307801465622
-1.0,-0.8107856232429128,-0.9157857285240524,-4.355670468153162,-1.9481026886992736,2.2155714883186812,1.4199141494225564,0.06162929400304618,-0.8968727415326885,0.442288690219001,145641,2025-02-26 19:45:00+00:00,BRIDGE_2025,87567.53,87806.62,83418.0,83856.99,84113.98,H4_DISPLACEMENT_EXTREME,0.003064741897454537,-0.003064741897454537,0.003064741897454537
-1.0,-2.378858640520749,-0.7918654991936577,-4.967430274001001,-2.3193168996863314,1.5269046066516816,1.8429351871817248,0.02476967946588883,0.8314696123025451,0.5555702330196024,145769,2025-02-28 03:45:00+00:00,BRIDGE_2025,84708.57,84892.85,79532.0,80452.44,85330.84,H4_DISPLACEMENT_EXTREME,0.060631134568316813,-0.060631134568316813,0.060631134568316813
1.0,1.186805526350451,4.388683661809481,4.0804088220561905,-0.43859568013548994,1.3423218998644293,0.783369657047583,0.02227781222486041,-0.8314696123025452,-0.5555702330196022,145817,2025-02-28 15:45:00+00:00,BRIDGE_2025,80512.97,84425.89,80075.47,84005.05,84800.0,H4_DISPLACEMENT_EXTREME,0.009463121562334642,0.009463121562334642,-0.009463121562334642
1.0,0.8418374527230176,1.396272609873219,5.548717994927763,3.7557215519912766,0.4170185672301984,-0.28571605266873984,0.05621096024831599,-0.8968727415326885,0.442288690219001,146025,2025-03-02 19:45:00+00:00,BRIDGE_2025,87428.0,95000.0,87278.51,93522.0,85606.0,H4_DISPLACEMENT_EXTREME,-0.08464328343670113,-0.08464328343670113,0.08464328343670113
-1.0,-5.195754220343535,-2.894749268598964,-3.880999345727899,-2.9253640140233275,2.7348189637631677,4.325711064227136,0.10085751600975086,-0.8968727415326885,0.442288690219001,146121,2025-03-03 19:45:00+00:00,BRIDGE_2025,90035.38,91000.0,85555.45,85606.0,88206.19,H4_DISPLACEMENT_EXTREME,0.030373802026283148,-0.030373802026283148,0.030373802026283148
1.0,0.7321517815973736,2.644665809576816,4.586560896634913,1.0775994800720854,0.6056708084910125,0.8141081270232986,0.0651210148139995,-0.8968727415326885,0.442288690219001,146217,2025-03-04 19:45:00+00:00,BRIDGE_2025,82985.05,88487.91,82013.11,88206.19,89750.0,H4_DISPLACEMENT_EXTREME,0.017502286404162737,0.017502286404162737,-0.017502286404162737
-1.0,-0.9521784009297526,0.40432794876943184,-3.088070706605131,-0.9336687255670888,0.7973607495000878,1.3229653916429225,0.04909683290065234,-0.8314696123025452,-0.5555702330196022,146777,2025-03-10 15:45:00+00:00,BRIDGE_2025,83582.0,83771.94,79177.03,80043.85,81232.24,H4_DISPLACEMENT_EXTREME,0.014846863918572817,-0.014846863918572817,0.014846863918572817
-1.0,-0.5670917765685788,-0.6034423991790114,-4.600259923021762,-1.0343771160015662,1.0123348642043404,-0.5650883979963913,-0.032274981287764785,-0.0654031292301428,0.9978589232386035,149017,2025-04-02 23:45:00+00:00,BRIDGE_2025,86900.01,88500.0,82320.0,82516.29,83213.09,H4_DISPLACEMENT_EXTREME,0.008444515433802868,-0.008444515433802868,0.008444515433802868
