setup_id,setup_server,setup_utc,symbol,side,actual_state,variant,retrace_ATR,atr,confirm_ref,basis,entry,sl,tp,filled,fill_time_utc,status,exit_time_utc,exit_px,R_realized,R_mtm_cutoff,MFE_R,MAE_R
3,2026-09-24 12:30:26,2026-09-24 09:30:26,ETHUSDT,SELL,expired,R020,0.2,10.2266666667,2653.114,5.4340000000001965,2655.15933333334,2701.17933333349,2552.8926666663397,True,2026-09-24 09:30:00,SL,2026-09-24 14:29:00,2701.17933333349,-1.000000000000001,-1.000000000000001,1.0772562653884832,1.0331305229575258
3,2026-09-24 12:30:26,2026-09-24 09:30:26,ETHUSDT,SELL,expired,R000,0.0,10.2266666667,2653.114,5.4340000000001965,2653.114,2699.13400000015,2550.847333333,True,2026-09-24 09:30:26,SL,2026-09-24 14:29:00,2699.13400000015,-1.000000000000001,-1.000000000000001,1.0328118209440422,1.0775749674019668
4,2026-09-24 13:30:28,2026-09-24 10:30:28,ETHUSDT,SELL,filled,R060,0.6,11.7666666667,2636.15,0.42000000000007276,2643.21000000002,2696.16000000017,2525.54333333302,True,2026-09-24 10:41:00,SL,2026-09-24 14:29:00,2696.16000000017,-0.9999999999999977,-0.9999999999999977,0.06458923512767503,1.028895184132685
4,2026-09-24 13:30:28,2026-09-24 10:30:28,ETHUSDT,SELL,filled,R040,0.4,11.7666666667,2636.15,0.42000000000007276,2640.85666666668,2693.80666666683,2523.1899999996804,True,2026-09-24 10:39:00,SL,2026-09-24 14:29:00,2693.80666666683,-0.9999999999999977,-0.9999999999999977,0.020144790683233743,1.0733396285771262
4,2026-09-24 13:30:28,2026-09-24 10:30:28,ETHUSDT,SELL,filled,R020,0.2,11.7666666667,2636.15,0.42000000000007276,2638.50333333334,2691.45333333349,2520.83666666634,True,2026-09-24 10:30:00,SL,2026-09-24 14:28:00,2691.45333333349,-0.9999999999999977,-0.9999999999999977,0.0788164935472743,1.0346868114542933
4,2026-09-24 13:30:28,2026-09-24 10:30:28,ETHUSDT,SELL,filled,R000,0.0,11.7666666667,2636.15,0.42000000000007276,2636.15,2689.10000000015,2518.4833333330002,True,2026-09-24 10:30:28,SL,2026-09-24 14:28:00,2689.10000000015,-0.9999999999999977,-0.9999999999999977,0.03437204910283301,1.0791312558987347
5,2026-09-24 13:45:37,2026-09-24 10:45:37,SOLUSDT,BUY,expired,R060,0.6,0.5514222222,113.2519533333,-0.05804666670000813,112.92109999998,110.43970000008,118.43532222198,False,,NO_FILL,,,,,,
5,2026-09-24 13:45:37,2026-09-24 10:45:37,SOLUSDT,BUY,expired,R040,0.4,0.5514222222,113.2519533333,-0.05804666670000813,113.03138444442,110.54998444451999,118.54560666642,False,,NO_FILL,,,,,,
5,2026-09-24 13:45:37,2026-09-24 10:45:37,SOLUSDT,BUY,expired,R020,0.2,0.5514222222,113.2519533333,-0.05804666670000813,113.14166888886,110.66026888895999,118.65589111086,False,,NO_FILL,,,,,,
5,2026-09-24 13:45:37,2026-09-24 10:45:37,SOLUSDT,BUY,expired,R000,0.0,0.5514222222,113.2519533333,-0.05804666670000813,113.2519533333,110.77055333339999,118.7661755553,True,2026-09-24 10:45:37,OPEN,,,,1.6321431450645647,1.8054324172566079,0.10074957685583741
6,2026-09-24 19:30:36,2026-09-24 16:30:36,ETHUSDT,BUY,expired,R060,0.6,16.2333333333,2693.38,0.36999999999989086,2683.6400000000203,2610.59000000017,2845.9733333330205,False,,NO_FILL,,,,,,
6,2026-09-24 19:30:36,2026-09-24 16:30:36,ETHUSDT,BUY,expired,R040,0.4,16.2333333333,2693.38,0.36999999999989086,2686.88666666668,2613.83666666683,2849.21999999968,True,2026-09-24 16:35:00,OPEN,,,,0.12749258498752888,0.2667122975134831,0.35779146703263004
6,2026-09-24 19:30:36,2026-09-24 16:30:36,ETHUSDT,BUY,expired,R020,0.2,16.2333333333,2693.38,0.36999999999989086,2690.13333333334,2617.08333333349,2852.46666666634,True,2026-09-24 16:31:00,OPEN,,,,0.08304814054308339,0.2222678530690376,0.40223591147707555
6,2026-09-24 19:30:36,2026-09-24 16:30:36,ETHUSDT,BUY,expired,R000,0.0,16.2333333333,2693.38,0.36999999999989086,2693.38,2620.33000000015,2855.7133333330003,True,2026-09-24 16:30:36,OPEN,,,,0.03860369609863791,0.17782340862459212,0.446680355921521
7,2026-09-24 19:30:41,2026-09-24 16:30:41,SOLUSDT,BUY,expired,R060,0.6,0.8328444444,117.1819066667,0.0019066666999947302,116.68220000006,112.93440000026001,125.01064444406,False,,NO_FILL,,,,,,
7,2026-09-24 19:30:41,2026-09-24 16:30:41,SOLUSDT,BUY,expired,R040,0.4,0.8328444444,117.1819066667,0.0019066666999947302,116.84876888894,113.10096888914,125.17721333294,True,2026-09-24 16:33:00,OPEN,,,,0.13691706542168128,0.2516510426944689,0.15925668986388203
7,2026-09-24 19:30:41,2026-09-24 16:30:41,SOLUSDT,BUY,expired,R020,0.2,0.8328444444,117.1819066667,0.0019066666999947302,117.01533777782001,113.26753777802001,125.34378222182,True,2026-09-24 16:31:00,OPEN,,,,0.09247262097723478,0.20720659825002244,0.2037011343083285
7,2026-09-24 19:30:41,2026-09-24 16:30:41,SOLUSDT,BUY,expired,R000,0.0,0.8328444444,117.1819066667,0.0019066666999947302,117.1819066667,113.4341066669,125.5103511107,True,2026-09-24 16:30:41,OPEN,,,,0.0480281765327921,0.16276215380557976,0.24814557875277118
