split,state_feature,state,horizon,n,cont_win_rate,cont_mean,cont_ci_lo,cont_ci_hi,cont_median,rev_mean
DEV_2021_2024,paxg_pre_state,ALIGNED_LEAD,1h,332,0.4578313253012048,-0.00017732599025716803,-0.0015670727903681666,0.0012413800675639948,-0.0007047837041703198,0.00017732599025716803
DEV_2021_2024,paxg_pre_state,INVERSE_LEAD,1h,319,0.45768025078369906,0.0008965258799514099,-0.0004858356886768875,0.0022733244248226035,-0.0004737853471794562,-0.0008965258799514099
DEV_2021_2024,paxg_pre_state,NEUTRAL,1h,504,0.45436507936507936,0.00012782944825059112,-0.0009418034290944224,0.001262737523155006,-0.0008587043040361175,-0.00012782944825059112
DEV_2021_2024,paxg_pre_state,ALL,1h,1155,0.4562770562770563,0.00025242040593715834,-0.0004817934988755438,0.000937946553050271,-0.0006902455465702673,-0.00025242040593715834
BRIDGE_2025,paxg_pre_state,ALIGNED_LEAD,1h,77,0.5324675324675324,0.0009740368041332924,-0.0009620941149669601,0.0031003022165725985,0.0004673450402572499,-0.0009740368041332924
BRIDGE_2025,paxg_pre_state,INVERSE_LEAD,1h,98,0.47959183673469385,-0.0007608973537865767,-0.002406472559708067,0.0008687388995519892,-0.00015220081853983825,0.0007608973537865767
BRIDGE_2025,paxg_pre_state,NEUTRAL,1h,126,0.5396825396825397,0.0008715689030396887,-0.0006870373230316367,0.0025380509220855646,0.0005676709317340434,-0.0008715689030396887
BRIDGE_2025,paxg_pre_state,ALL,1h,301,0.5182724252491694,0.0003662809801667102,-0.0006743826590082713,0.0013359201219484728,0.0002222546559245142,-0.0003662809801667102
OOS_2026,paxg_pre_state,ALIGNED_LEAD,1h,70,0.45714285714285713,-0.0007076119560347292,-0.0025615910322824287,0.0010921107548151469,-0.0006743174987198786,0.0007076119560347292
OOS_2026,paxg_pre_state,INVERSE_LEAD,1h,51,0.4117647058823529,-0.0026115822542498923,-0.00513743619381691,-0.0005369927758737907,-0.0013901137746064052,0.0026115822542498923
OOS_2026,paxg_pre_state,NEUTRAL,1h,82,0.3780487804878049,-0.0006557744739448487,-0.0022070235329513252,0.001069465316439103,-0.0015775619829417886,0.0006557744739448487
OOS_2026,paxg_pre_state,ALL,1h,203,0.41379310344827586,-0.001165010043116518,-0.002189539461218721,-8.182271858581969e-05,-0.0010399736443849061,0.001165010043116518
DEV_2021_2024,paxg_pre_state,ALIGNED_LEAD,4h,332,0.45180722891566266,-0.0015192826123039912,-0.0038219728818662917,0.000648490461075633,-0.0009872543984906779,0.0015192826123039912
DEV_2021_2024,paxg_pre_state,INVERSE_LEAD,4h,319,0.4952978056426332,0.0009167330322585528,-0.0014345439913697373,0.0031887382133691973,-8.647984024356958e-05,-0.0009167330322585528
DEV_2021_2024,paxg_pre_state,NEUTRAL,4h,504,0.48214285714285715,-0.00011447605824039865,-0.001866765045919031,0.0016725263040766273,-0.0005852041701265298,0.00011447605824039865
DEV_2021_2024,paxg_pre_state,ALL,4h,1155,0.47705627705627707,-0.00023347179510615384,-0.0014650729102927413,0.0008790912767642837,-0.0006149223199379827,0.00023347179510615384
BRIDGE_2025,paxg_pre_state,ALIGNED_LEAD,4h,77,0.4935064935064935,0.001338581389928364,-0.002104150299964356,0.004807386876459638,-0.00023086119791659865,-0.001338581389928364
BRIDGE_2025,paxg_pre_state,INVERSE_LEAD,4h,98,0.5204081632653061,0.0004151070368775301,-0.002191870893697167,0.0029659704825614223,0.00047939405346791863,-0.0004151070368775301
BRIDGE_2025,paxg_pre_state,NEUTRAL,4h,126,0.5634920634920635,0.001652639290093064,-0.0010097386082097918,0.004256757579269204,0.0009665009199824048,-0.001652639290093064
BRIDGE_2025,paxg_pre_state,ALL,4h,301,0.53156146179402,0.0011693814192365716,-0.0005937218393382266,0.00290305989953762,0.0006413592233009968,-0.0011693814192365716
OOS_2026,paxg_pre_state,ALIGNED_LEAD,4h,70,0.44285714285714284,0.0008477236083278645,-0.002060928795338699,0.004066414987846811,-0.001738653459569306,-0.0008477236083278645
OOS_2026,paxg_pre_state,INVERSE_LEAD,4h,51,0.39215686274509803,-0.004205198394294878,-0.008762037638224486,0.0002944830505486199,-0.003005458259302096,0.004205198394294878
OOS_2026,paxg_pre_state,NEUTRAL,4h,82,0.47560975609756095,0.0007276392361477607,-0.002088625181266957,0.0037567675473867746,-0.000637932866375257,-0.0007276392361477607
OOS_2026,paxg_pre_state,ALL,4h,203,0.4433497536945813,-0.00047023669045306355,-0.0022802867202924865,0.0014976737874639408,-0.0016788825314221212,0.00047023669045306355
DEV_2021_2024,paxg_pre_state,ALIGNED_LEAD,24h,332,0.4397590361445783,-0.0044240293066430585,-0.009016961706641917,-2.9128867362044037e-06,-0.0051868142203744805,0.0044240293066430585
DEV_2021_2024,paxg_pre_state,INVERSE_LEAD,24h,319,0.48589341692789967,0.004602340102915307,0.00042405392010637626,0.008877228397577987,-0.001376721766727762,-0.004602340102915307
DEV_2021_2024,paxg_pre_state,NEUTRAL,24h,504,0.498015873015873,0.0008639633082556972,-0.0023751134797873803,0.004182060713587874,-0.00038577974205061816,-0.0008639633082556972
DEV_2021_2024,paxg_pre_state,ALL,24h,1155,0.4779220779220779,0.0003764556453552895,-0.0020117642048193885,0.0025398270669710825,-0.001620985202328784,-0.0003764556453552895
BRIDGE_2025,paxg_pre_state,ALIGNED_LEAD,24h,77,0.44155844155844154,-0.0021618605275378336,-0.00808422445619952,0.004125996994091952,-0.002538833930796569,0.0021618605275378336
BRIDGE_2025,paxg_pre_state,INVERSE_LEAD,24h,98,0.5102040816326531,0.0004154913538286333,-0.0037751215142388236,0.0046530723057174785,0.0007487067466959707,-0.0004154913538286333
BRIDGE_2025,paxg_pre_state,NEUTRAL,24h,126,0.5158730158730159,-0.0016398512027962489,-0.006374722435389046,0.0033042077640105336,0.00019695004390030135,0.0016398512027962489
BRIDGE_2025,paxg_pre_state,ALL,24h,301,0.4950166112956811,-0.0011042071744104135,-0.004062271826190663,0.0017731523412789503,-0.0008208734726172784,0.0011042071744104135
OOS_2026,paxg_pre_state,ALIGNED_LEAD,24h,70,0.5428571428571428,0.010458358166790091,0.0038543704517971233,0.01736059440838818,0.005240989477701297,-0.010458358166790091
OOS_2026,paxg_pre_state,INVERSE_LEAD,24h,51,0.49019607843137253,0.0019757992663753075,-0.005808174760474865,0.010201410820135424,-0.001420289101497385,-0.0019757992663753075
OOS_2026,paxg_pre_state,NEUTRAL,24h,82,0.5609756097560976,-0.0005173159946764217,-0.007466171832249083,0.006313573311331159,0.002036416562043619,0.0005173159946764217
OOS_2026,paxg_pre_state,ALL,24h,203,0.5369458128078818,0.003893748387669855,-0.0001359972720866387,0.008211388033863886,0.002178064843000871,-0.003893748387669855
